Tue Dec 12 21:36:58 JST 2023
SCE-3000_SEED(4)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,0,123,123,0,123,3000,4273,0.4429752390854154,0.5570247609145846,0.0,0.0,0.0,-1725.56023715126,
1,0,0,139,1234,1234,0,1373,3000,5603,0.5747889180687037,0.42521108193129625,0.0,0.0,0.0,-2064.818430302219,
2,0,0,0,126,126,0,126,2600,3946,0.7595616330899986,0.2404383669100014,0.0,0.0,0.0,-720.8445197353434,
3,0,0,21,292,292,0,313,2600,4133,0.464869675653127,0.535130324346873,0.0,0.0,0.0,-1536.8430517812988,
4,0,0,150,226,226,0,376,3000,4586,0.14057469266436506,0.8594253073356349,0.0,0.0,0.0,-2631.132006448706,
5,0,0,0,524,524,0,524,3400,5144,0.9955935378035653,0.004406462196434702,0.0,0.0,0.0,-536.6729852769462,
6,113,9,479,1526,1526,9,2127,3000,6347,0.435072878436785,0.5649271215632149,0.0,0.0,0.0,-2620.1813771246866,
7,0,0,310,1659,1659,0,1969,3400,6609,0.8136155369499012,0.18638446305009881,0.0,0.0,0.0,-2235.7161666246916,
8,0,9,457,1307,1307,0,1773,3400,6353,0.30260253964522865,0.6973974603547712,0.0,0.0,0.0,-2907.6656679972125,
9,0,0,0,141,141,0,141,2600,3891,0.549267747944418,0.450732252055582,0.0,0.0,0.0,-1249.3506078046762,
10,0,0,201,852,852,0,1053,2600,4853,0.51544864839126,0.4845513516087401,0.0,0.0,0.0,-1802.6009409387211,
11,0,0,188,378,378,0,566,3400,5156,0.4666436032455518,0.5333563967544482,0.0,0.0,0.0,-2077.5320284021063,
12,0,0,0,611,611,0,611,2600,4391,0.9106467632047321,0.08935323679526781,0.0,0.0,0.0,-788.7235879857876,
13,0,0,22,568,568,0,590,2600,4410,0.41935032375811676,0.5806496762418832,0.0,0.0,0.0,-1757.1058492461855,
14,0,28,145,185,185,0,358,3000,4538,0.6137790915531056,0.38622090844689433,0.0,0.0,0.0,-1378.3956401166947,
15,0,0,137,755,755,0,892,2600,4712,0.49379152548070393,0.5062084745192961,0.0,0.0,0.0,-1756.6040744789575,
16,0,0,186,527,527,0,713,3000,4913,0.8071205992374643,0.19287940076253576,0.0,0.0,0.0,-1154.1151895439193,
17,0,0,38,71,71,0,109,2600,3889,0.6858142353009713,0.3141857646990287,0.0,0.0,0.0,-891.6367398652804,
18,0,0,298,493,493,0,791,3800,5801,0.4209773805277988,0.5790226194722011,0.0,0.0,0.0,-2533.2790619918533,
19,0,0,62,264,264,0,326,2200,3736,0.6577283265063172,0.3422716734936828,0.0,0.0,0.0,-967.4171161271615,
20,0,0,43,224,224,0,267,3400,4867,0.7080486821724534,0.29195131782754663,0.0,0.0,0.0,-1181.6834787537036,
21,0,85,226,1179,1179,0,1490,3400,6090,0.5394355500364459,0.46056444996355395,0.0,0.0,0.0,-2369.678099430388,
22,0,41,193,272,272,0,506,3000,4686,0.926059330928344,0.073940669071656,0.0,0.0,0.0,-690.4080286647101,
23,0,0,0,487,487,0,487,2600,4257,0.4579544506658718,0.5420455493341282,0.0,0.0,0.0,-1632.3422457430129,
24,0,0,0,99,99,0,99,2600,3889,0.47502916132028916,0.5249708386797108,0.0,0.0,0.0,-1411.9520675379567,
25,0,14,0,166,166,0,180,3000,4350,0.6317628158416091,0.368237184158391,0.0,0.0,0.0,-1218.4288593266626,
26,0,21,333,262,333,0,616,3000,4806,0.4057044556377985,0.5942955443622016,0.0,0.0,0.0,-2032.8005777594885,
27,0,0,0,333,333,0,333,2600,4123,0.6574245930273075,0.3425754069726924,0.0,0.0,0.0,-1109.6184476070937,
28,0,0,73,53,73,0,126,2600,3916,0.19903783156620877,0.8009621684337912,0.0,0.0,0.0,-2107.5804047051997,
29,0,0,60,380,380,0,440,3400,5030,0.4559921010449594,0.5440078989550405,0.0,0.0,0.0,-2050.2633809069202,
30,0,0,294,454,454,0,748,3000,4958,0.9330420374594726,0.06695796254052742,0.0,0.0,0.0,-898.7893316412677,
31,0,46,165,1593,1593,0,1804,3400,6424,0.6573192836579252,0.34268071634207475,0.0,0.0,0.0,-2350.9184232819516,
32,0,0,49,590,590,0,639,2600,4429,0.6279668204927566,0.37203317950724335,0.0,0.0,0.0,-1368.5570650137042,
33,0,0,333,932,932,0,1265,3000,5445,0.4708053617742261,0.5291946382257738,0.0,0.0,0.0,-2183.1526973217174,
34,0,0,0,353,353,0,353,2600,4133,0.6012844974044479,0.39871550259555205,0.0,0.0,0.0,-1248.9137343322054,
35,0,0,0,463,463,0,463,2600,4253,0.5212117530464337,0.4787882469535662,0.0,0.0,0.0,-1486.170483739771,
36,0,0,124,851,851,0,975,2600,4795,0.9706396973405722,0.029360302659427774,0.0,0.0,0.0,-1022.7104918215701,
37,0,0,101,83,101,0,184,2600,3984,0.964431105067266,0.03556889493273398,0.0,0.0,0.0,-269.9344501574853,
38,0,0,337,1340,1340,0,1677,3000,5897,0.8519821572840198,0.14801784271598012,0.0,0.0,0.0,-1872.8276059132415,
39,0,0,120,95,120,0,215,2600,3995,0.15909870788986452,0.8409012921101354,0.0,0.0,0.0,-2220.5495816826733,
40,0,0,319,451,451,0,770,3000,4990,0.09891362292704606,0.9010863770729538,0.0,0.0,0.0,-2779.422620872687,
41,0,0,326,1103,1103,0,1429,2600,5209,0.5791880668135276,0.4208119331864724,0.0,0.0,0.0,-1921.7707737613594,
42,0,0,95,350,350,0,445,2600,4265,0.5476268967454812,0.45237310325451885,0.0,0.0,0.0,-1419.864037513488,
43,0,0,176,301,301,0,477,3000,4667,0.3419208339308217,0.6580791660691784,0.0,0.0,0.0,-2137.333735992537,
44,0,0,29,574,574,0,603,3000,4803,0.7358251627983904,0.26417483720160967,0.0,0.0,0.0,-1236.2270847722584,
45,0,72,362,1487,1487,0,1921,3000,6151,0.4486194052796432,0.5513805947203567,0.0,0.0,0.0,-2515.939661703265,
46,0,0,0,0,0,0,0,2600,3780,0.8962638962897245,0.1037361037102755,0.0,0.0,0.0,-269.7138696467163,
47,163,0,92,501,501,0,756,3800,5746,0.6676122881962178,0.3323877118037822,0.0,0.0,0.0,-1767.7881947307128,
