Sun Jan 29 14:12:42 JST 2023,,,,,,,,,,,,,,,
SCE-4000_SEED(8),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,958,1021,1021,0,1979,2600,5749,0.478244964,0.390907156,0,0,0.13084788,-1829.209705
1,135,709,787,880,880,135,2511,3000,6691,0.387982061,0.268303935,0,0,0.343714004,-1523.067826
2,0,0,524,753,753,0,1277,3000,5437,0.012541289,0.588748822,0,0,0.398709889,-1482.033145
3,0,0,1385,1147,1385,0,2532,2600,6342,0.445384127,0.123972337,0,0,0.430643536,-853.5993902
4,0,0,1372,1304,1372,0,2676,2600,6486,0.247905322,0.675682797,0,0,0.076411881,-2315.332814
5,0,0,280,921,921,0,1201,3400,5831,0.22456943,0.297903735,0,0,0.477526835,-842.77837
6,0,0,202,1204,1204,0,1406,2600,5196,0.102876014,0.468922561,0,0,0.428201425,-848.2878178
7,0,0,942,1016,1016,0,1958,2600,5708,0.034630395,0.906509108,0,0,0.058860497,-2364.92773
8,0,0,1414,863,1414,0,2277,2600,6087,0.348805583,0.398910069,0,0,0.252284348,-1474.666424
9,0,0,15,281,281,0,296,2600,4086,0.076540133,0.850956121,0,0,0.072503746,-2214.768242
10,0,0,1042,1759,1759,0,2801,2600,6601,0.214458745,0.659804895,0,0,0.12573636,-2095.021414
11,0,0,508,1117,1117,0,1625,3000,5835,0.375408041,0.241337604,0,0,0.383254355,-905.9557657
12,0,0,1137,3423,3423,0,4560,2600,8380,0.181429066,0.327910235,0,0,0.4906607,-0.351575147
13,0,0,612,1420,1420,0,2032,2600,5812,0.331867831,0.299796089,0,0,0.36833608,-930.7880302
14,0,569,405,851,851,0,1825,2600,5655,0.75499145,0.048775667,0,0,0.196232882,-1337.681949
15,0,109,357,863,863,0,1329,3000,5519,0.170507005,0.584360846,0,0,0.245132149,-1768.137304
16,0,0,846,985,985,0,1831,2600,5621,0.286548291,0.400890208,0,0,0.312561501,-1259.111382
17,0,0,1012,1213,1213,0,2225,3000,6395,0.311521782,0.071324059,0,0,0.61715416,-158.5001444
18,0,193,1948,2138,2138,0,4279,2600,8109,0.329745191,0.018449057,0,0,0.651805752,-65.38652501
19,0,201,408,883,883,0,1492,2600,5282,0.166042186,0.453028483,0,0,0.380929332,-1089.248396
20,0,174,25,1438,1438,0,1637,3000,5827,0.333302013,0.189061087,0,0,0.4776369,-425.9567953
21,0,0,306,513,513,0,819,2600,4599,0.085570905,0.731457433,0,0,0.182971662,-1878.007434
22,0,0,769,1018,1018,0,1787,2600,5587,0.19976155,0.440840207,0,0,0.359398243,-1137.291016
23,0,0,729,944,944,0,1673,2600,5423,0.553447017,0.125957164,0,0,0.320595819,-950.7630342
24,287,1186,1595,3082,3082,287,6150,4200,11560,0.553419054,0.02014281,0,0,0.426438135,-2296.232399
25,0,0,38,402,402,0,440,2600,4240,0.069145034,0.570942241,0,0,0.359912725,-1370.188726
26,0,0,313,560,560,0,873,2600,4643,0.395088647,0.154697787,0,0,0.450213566,-495.0070372
27,0,79,1731,1628,1731,0,3438,2600,7268,0.080696004,0.216455508,0,0,0.702848488,376.4135524
28,0,78,1087,2238,2238,0,3403,4600,9203,0.371428669,0.372309193,0,0,0.256262138,-2403.079385
29,0,0,959,1065,1065,0,2024,2600,5824,0.457226905,0.037119514,0,0,0.505653581,-483.4169288
30,0,0,492,536,536,0,1028,2600,4808,0.156268505,0.047715262,0,0,0.796016233,141.9609953
31,0,0,488,1362,1362,0,1850,2600,5640,0.355204497,0.265330958,0,0,0.379464545,-830.1581005
32,0,0,117,566,566,0,683,2600,4493,0.705601381,0.256689787,0,0,0.037708832,-1127.97599
33,0,188,332,844,844,0,1364,3400,5904,0.34848686,0.321785298,0,0,0.329727841,-1291.115794
34,0,0,46,414,414,0,460,2600,4260,0.412665137,0.245455109,0,0,0.341879754,-686.4710277
35,0,124,207,1321,1321,0,1652,2600,5432,0.500563853,0.067710132,0,0,0.431726015,-432.6677631
36,0,1,200,1163,1163,0,1364,2600,5194,0.193106917,0.414833081,0,0,0.392060002,-885.9980637
37,0,0,223,629,629,0,852,2600,4632,0.487250999,0.395801424,0,0,0.116947577,-1370.661527
38,0,0,1036,1498,1498,0,2534,2200,5954,0.063398476,0.367195129,0,0,0.569406394,-115.5102444
39,0,168,559,1642,1642,0,2369,2600,6199,0.239293718,0.380720594,0,0,0.379985689,-932.8238598
40,0,1035,3432,2368,3432,0,6835,3000,11045,0.407759848,0.459492394,0,0,0.132747758,-3709.925433
41,0,180,558,1258,1258,0,1996,3000,6206,0.369716402,0.564399969,0,0,0.065883629,-2348.272241
42,0,100,321,578,578,0,999,3000,5209,0.358588484,0.120470043,0,0,0.520941473,-418.5358516
43,0,177,1980,2338,2338,0,4495,2600,8305,0.259601937,0.490867462,0,0,0.2495306,-1859.763567
44,0,183,496,948,948,0,1627,2600,5407,0.802915076,0.007992381,0,0,0.189092544,-1147.863286
45,0,155,498,1581,1581,0,2234,2600,6054,0.578928573,0.354271666,0,0,0.066799761,-2108.822342
46,0,125,1906,1717,1906,0,3748,2600,7558,0.324648214,0.430659949,0,0,0.244691836,-1870.114736
47,0,0,1593,1499,1593,0,3092,2600,6912,0.218610376,0.010644028,0,0,0.770745597,524.1799813
48,0,198,839,1888,1888,0,2925,2600,6735,0.067082646,0.316482442,0,0,0.616434912,144.7580229
49,0,612,719,1479,1479,0,2810,3000,6970,0.438187315,0.224000581,0,0,0.337812104,-1403.683998
50,0,106,486,857,857,0,1449,3000,5659,0.05781834,0.54663459,0,0,0.39554707,-1384.698707
51,0,106,809,564,809,0,1479,2600,5249,0.184830778,0.383048578,0,0,0.432120644,-919.7054229
52,0,19,417,709,709,0,1145,2600,4945,0.193871859,0.405629134,0,0,0.400499007,-992.6652315
53,0,32,0,488,488,0,520,2600,4340,0.472325191,0.480660547,0,0,0.047014262,-1472.383563
54,0,313,2217,2636,2636,0,5166,2600,8976,0.444667642,0.40205871,0,0,0.153273647,-2938.476351
55,0,0,1180,760,1180,0,1940,2600,5740,0.243516172,0.519940344,0,0,0.236543484,-1545.144957
56,0,313,1377,1459,1459,0,3149,2600,6929,0.40674958,0.581899929,0,0,0.011350491,-2777.233877
57,0,112,559,1007,1007,0,1678,2600,5518,0.015319437,0.400332599,0,0,0.584347964,-478.1323718
58,0,368,2406,2282,2406,0,5056,2600,8866,0.078556222,0.394038062,0,0,0.527405716,-152.7410643
59,0,300,2232,2049,2232,0,4581,2600,8391,0.094772022,0.666316318,0,0,0.23891166,-1633.322232
60,0,1453,1023,2315,2315,0,4791,3800,9791,0.6110398,0.077257372,0,0,0.311702828,-2499.477651
61,0,0,347,1034,1034,0,1381,2200,4791,0.638591034,0.016479053,0,0,0.344929913,-561.4906058
62,0,366,566,1716,1716,0,2648,2600,6418,0.303330204,0.591014635,0,0,0.105655162,-2158.552171
63,0,212,585,1036,1036,0,1833,3000,6003,0.226551499,0.286551754,0,0,0.486896747,-770.4991313
64,0,10,405,712,712,0,1127,2600,4907,0.229793998,0.515795373,0,0,0.254410629,-1418.905437
65,0,166,361,906,906,0,1433,2600,5263,0.101699289,0.884371517,0,0,0.013929194,-2432.481176
66,0,298,477,1633,1633,0,2408,2600,6218,0.394973132,0.178591895,0,0,0.426434973,-719.0659163
67,0,310,1128,1473,1473,0,2911,2600,6721,0.406008896,0.510550569,0,0,0.083440535,-2386.415468
68,0,0,1768,1017,1768,0,2785,3000,6995,0.316027429,0.14991081,0,0,0.534061761,-385.6476242
69,0,360,393,1636,1636,0,2389,2600,6199,0.142731557,0.80010056,0,0,0.057167884,-2327.720485
70,0,70,574,918,918,0,1562,3400,6122,0.415313969,0.127080155,0,0,0.457605876,-660.7107529
71,0,0,496,932,932,0,1428,3000,5648,0.264135455,0.319798034,0,0,0.416066511,-948.805543
72,0,309,384,710,710,0,1403,3000,5603,0.075727439,0.478592618,0,0,0.445679942,-1225.590693
73,0,364,562,1040,1040,0,1966,2600,5746,0.305052587,0.34144104,0,0,0.353506373,-1119.833464
74,0,169,366,957,957,0,1492,2600,5322,0.602611342,0.113771437,0,0,0.283617221,-923.4801768
75,0,322,1526,1857,1857,0,3705,2600,7555,0.512723126,0.005664279,0,0,0.481612595,-1020.011716
76,0,0,1858,1756,1858,0,3614,2600,7464,0.473079963,0.43389572,0,0,0.093024317,-2665.000676
77,0,0,1045,640,1045,0,1685,2600,5485,0.043845281,0.141888268,0,0,0.814266452,408.1196476
78,0,0,864,1302,1302,0,2166,3400,6766,0.41946953,0.200492586,0,0,0.380037884,-1095.436471
79,0,368,1519,1339,1519,0,3226,2600,6976,0.158799789,0.259198846,0,0,0.582001364,-302.1450479
80,0,343,1157,932,1157,0,2432,2600,6222,0.456030894,0.198086583,0,0,0.345882523,-1223.906172
81,0,325,10,1118,1118,0,1453,3000,5673,0.493420243,0.362013012,0,0,0.144566745,-1641.35303
82,0,373,380,1264,1264,0,2017,3400,6617,0.3197904,0.290630453,0,0,0.389579147,-1140.732736
83,0,1422,1360,3550,3550,0,6332,3400,10942,0.461388227,0.027706555,0,0,0.510905218,-1201.999015
84,0,395,430,865,865,0,1690,2600,5500,0.177132604,0.249259032,0,0,0.573608364,-451.256349
85,0,0,3131,2388,3131,0,5519,3400,10139,0.098097425,0.394189604,0,0,0.507712971,-291.9950293
86,0,334,3041,1172,3041,0,4547,3000,8717,0.121323976,0.452334946,0,0,0.426341078,-612.1617374
87,0,335,310,887,887,0,1532,2600,5322,0.219797994,0.233088256,0,0,0.54711375,-457.4700952
88,0,334,526,844,844,0,1704,3000,5854,0.518107778,0.094978767,0,0,0.386913455,-841.2369993
89,0,0,1113,1110,1113,0,2223,3000,6393,0.64237502,0.148214311,0,0,0.209410669,-1639.568528
90,0,0,707,849,849,0,1556,2600,5316,0.344374903,0.379368747,0,0,0.276256349,-1287.664453
91,99,0,133,728,728,0,960,3000,5140,0.103956073,0.475279871,0,0,0.420764057,-1219.321209
92,0,333,326,1862,1862,0,2521,3000,6711,0.168264161,0.603053252,0,0,0.228682587,-1807.546728
93,0,52,148,508,508,0,708,2600,4518,0.353789501,0.495230569,0,0,0.15097993,-1461.384642
94,0,334,1158,942,1158,0,2434,2600,6204,0.516783265,0.080002555,0,0,0.40321418,-998.9350891
95,0,381,1106,2295,2295,0,3782,2600,7592,0.221852423,0.350197553,0,0,0.427950024,-767.4141979
96,0,1012,2813,2503,2813,0,6328,3000,10558,0.420006191,0.254882094,0,0,0.325111715,-2507.906207
97,226,159,722,2104,2104,159,3211,3800,8211,0.58991766,0.316680246,0,0,0.093402094,-2915.943468
98,0,0,339,838,838,0,1177,2600,4987,0.397999737,0.289268752,0,0,0.312731511,-958.4754391
99,0,0,321,1344,1344,0,1665,2600,5455,0.29849642,0.315484019,0,0,0.386019562,-798.4446967
100,0,282,552,1882,1882,0,2716,2600,6556,0.410595334,0.129429301,0,0,0.459975365,-586.0194717
101,122,495,1823,2041,2041,122,4481,2600,8321,0.173177642,0.325528258,0,0,0.5012941,-660.399108
102,0,474,1014,4188,4188,0,5676,2600,9486,0.485957624,0.139354806,0,0,0.37468757,-1551.426427
103,0,503,464,879,879,0,1846,3400,6406,0.546295182,0.405945864,0,0,0.047758954,-2346.696723
104,0,2584,2341,3891,3891,0,8816,3400,13456,0.425333239,0.374611333,0,0,0.200055428,-4245.000697
105,48,0,483,610,610,0,1141,3000,5331,0.466480257,0.416120736,0,0,0.117399007,-1709.002788
106,113,673,671,1371,1371,113,2828,2600,6608,0.179557241,0.459650753,0,0,0.360792006,-1249.00349
107,0,1263,841,2225,2225,0,4329,3000,8529,0.258710739,0.36401786,0,0,0.3772714,-1372.583506
108,0,463,2811,2261,2811,0,5535,2600,9335,0.399207289,0.183067758,0,0,0.417724953,-1511.363674
109,69,693,472,1151,1151,69,2385,2600,6175,0.751985655,0.121800991,0,0,0.126213354,-1973.605513
110,0,535,596,1936,1936,0,3067,2600,6897,0.834166607,0.135921909,0,0,0.029911484,-2853.877314
111,92,473,291,1927,1927,92,2783,3000,6993,0.382696418,0.379411651,0,0,0.237891931,-1766.747392
112,116,557,1249,986,1249,116,2908,2600,6718,0.249664001,0.420051468,0,0,0.330284532,-1443.944356
113,0,422,570,1089,1089,0,2081,2600,5881,0.467452941,0.517167328,0,0,0.015379731,-2300.656096
114,0,522,2982,2332,2982,0,5836,2600,9666,0.317392159,0.357949496,0,0,0.324658345,-1814.838144
115,0,0,797,903,903,0,1700,2600,5460,0.27044912,0.473035226,0,0,0.256515654,-1458.021456
116,0,492,1629,1090,1629,0,3211,2600,6981,0.203685189,0.319546665,0,0,0.476768146,-708.1991622
117,171,1019,3349,2788,3349,171,7327,3000,11537,0.62325915,0.045713339,0,0,0.331027511,-3651.754377
118,0,1016,824,895,1016,0,2735,2600,6525,0.197572388,0.335402205,0,0,0.467025407,-937.9084002
119,100,691,2054,2165,2165,100,5010,2600,8810,0.265466743,0.600228741,0,0,0.134304516,-2613.244282
120,0,506,475,1018,1018,0,1999,2600,5739,0.422873163,0.117714811,0,0,0.459412026,-683.7005188
121,0,553,2976,2373,2976,0,5902,2600,9742,0.274117618,0.065510242,0,0,0.66037214,177.0986793
122,115,0,286,1208,1208,0,1609,2200,5039,0.486909498,0.26257016,0,0,0.250520342,-1058.463163
123,125,830,1041,2404,2404,125,4400,2600,8240,0.756466786,0.100728804,0,0,0.142804411,-3264.897495
124,0,0,1344,933,1344,0,2277,2600,6037,0.076381275,0.506417692,0,0,0.417201033,-929.887975
125,144,902,481,1021,1021,144,2548,3000,6728,0.439177109,0.4743934,0,0,0.086429491,-2466.404811
126,198,1054,3753,3161,3753,198,8166,3400,12806,0.309546286,0.394618728,0,0,0.295834986,-2817.765271
127,0,497,613,978,978,0,2088,3400,6658,0.479718146,0.139952771,0,0,0.380329083,-1105.529066
128,105,152,415,798,798,105,1470,2600,5260,0.061027541,0.711396577,0,0,0.227575883,-1781.631498
129,0,452,1208,1353,1353,0,3013,2600,6803,0.095154879,0.472015872,0,0,0.432829248,-928.3249467
130,193,155,1527,1342,1527,155,3217,2600,7007,0.14868268,0.592315061,0,0,0.25900226,-1662.980238
131,195,803,702,1245,1245,195,2945,3000,7165,0.300996386,0.459695132,0,0,0.239308482,-2014.245848
132,0,77,439,1586,1586,0,2102,2600,5902,0.332618707,0.356508181,0,0,0.310873112,-1133.041039
