Sun Jan 29 01:41:57 JST 2023,,,,,,,,,,,,,,,
SCE-4000_SEED(1),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,0,830,830,0,830,2200,4240,0.640582343,0.359417657,0,0,0,-1322.40219
1,0,0,554,1682,1682,0,2236,2600,6036,0.384349707,0.615650293,0,0,0,-2460.096707
2,0,0,36,575,575,0,611,2600,4411,0.993718707,0.006281293,0,0,0,-623.4934918
3,0,24,707,997,997,0,1728,3000,5888,0.506261762,0.493738238,0,0,0,-2356.035038
4,0,0,806,1470,1470,0,2276,2600,6076,0.502683461,0.497316539,0,0,0,-2437.130559
5,0,0,689,877,877,0,1566,2600,5326,0.533340152,0.466659848,0,0,0,-2048.526283
6,0,0,465,1458,1458,0,1923,3000,6143,0.367323044,0.632676956,0,0,0,-2604.393081
7,0,0,548,967,967,0,1515,2600,5275,0.1308141,0.8691859,0,0,0,-2458.066701
8,0,33,470,1566,1566,0,2069,2600,5869,0.80805867,0.19194133,0,0,0,-2170.920846
9,0,0,601,1039,1039,0,1640,2600,5480,0.730169497,0.269830503,0,0,0,-1899.037282
10,0,0,830,988,988,0,1818,2600,5598,0.463244376,0.536755624,0,0,0,-2237.742898
11,0,0,164,1511,1511,0,1675,2600,5495,0.00951449,0.99048551,0,0,0,-2591.199097
12,0,0,607,1053,1053,0,1660,2600,5450,0.839704796,0.160295204,0,0,0,-1810.677492
13,0,0,739,1048,1048,0,1787,2600,5557,0.46939124,0.53060876,0,0,0,-2218.384922
14,0,0,836,1132,1132,0,1968,2600,5788,0.737966844,0.262033156,0,0,0,-2133.604954
15,0,0,568,892,892,0,1460,2600,5260,0.771422173,0.228577827,0,0,0,-1720.578722
16,0,9,481,2891,2891,0,3381,3400,7981,0.062217155,0.937782845,0,0,0,-3398.817874
17,0,0,812,937,937,0,1749,2600,5489,0.247831266,0.752168734,0,0,0,-2389.095593
18,0,0,729,2013,2013,0,2742,2600,6512,0.798708692,0.201291308,0,0,0,-2713.416634
19,0,0,804,1797,1797,0,2601,2600,6421,0.644512437,0.355487563,0,0,0,-2600.644512
20,83,730,2364,1821,2364,83,4998,3400,9608,0.649475529,0.350524471,0,0,0,-4437.861895
21,0,320,703,972,972,0,1995,2600,5785,0.958709953,0.041290047,0,0,0,-2019.980478
22,0,0,594,1805,1805,0,2399,2600,6179,0.474832986,0.525167014,0,0,0,-2504.55857
23,0,247,941,1923,1923,0,3111,3000,7331,0.155168456,0.844831544,0,0,0,-3017.223699
24,0,10,814,1004,1004,0,1828,2600,5628,0.82642566,0.17357434,0,0,0,-1961.999391
25,0,0,918,2363,2363,0,3281,2600,7111,0.447076156,0.552923844,0,0,0,-2904.458862
26,0,374,800,1521,1521,0,2695,3400,7305,0.429454788,0.570545212,0,0,0,-3097.234375
27,0,56,770,1087,1087,0,1913,2600,5743,0.335393568,0.664606432,0,0,0,-2369.584619
28,0,17,475,1673,1673,0,2165,3000,6335,0.409356758,0.590643242,0,0,0,-2658.187107
29,0,240,970,1988,1988,0,3198,3000,7418,0.508111565,0.491888435,0,0,0,-3100.60609
30,0,11,522,672,672,0,1205,2600,4995,0.581893754,0.418106246,0,0,0,-1788.258213
31,0,50,824,1196,1196,0,2070,2600,5830,0.427044474,0.572955526,0,0,0,-2373.666429
32,0,148,983,3331,3331,0,4462,4200,9862,0.548207153,0.451792847,0,0,0,-4343.630274
33,0,0,912,2297,2297,0,3209,2600,7009,0.497050099,0.502949901,0,0,0,-2902.70351
34,0,86,275,1570,1570,0,1931,2600,5751,0.426879492,0.573120508,0,0,0,-2314.41762
35,0,94,794,1680,1680,0,2568,2600,6398,0.773543602,0.226456398,0,0,0,-2575.246605
36,0,79,615,1216,1216,0,1910,3400,6490,0.246807786,0.753192214,0,0,0,-3032.256399
37,0,0,840,1058,1058,0,1898,2600,5688,0.186257448,0.813742552,0,0,0,-2469.247271
38,0,731,1908,1445,1908,0,4084,3000,8254,0.490031199,0.509968801,0,0,0,-3531.19382
39,0,112,923,1106,1106,0,2141,2600,5921,0.203726371,0.796273629,0,0,0,-2506.489596
40,0,0,237,585,585,0,822,2200,4252,0.013689215,0.986310785,0,0,0,-2181.136262
41,0,666,2009,4098,4098,0,6773,3000,10973,0.191097345,0.808902655,0,0,0,-3721.010281
42,0,480,794,1861,1861,0,3135,2600,6935,0.494292772,0.505707228,0,0,0,-2864.446633
43,0,196,729,2409,2409,0,3334,2600,7134,0.34043472,0.65956528,0,0,0,-2849.879085
44,0,211,980,2070,2070,0,3261,2600,7101,0.177405077,0.822594923,0,0,0,-2717.264756
45,0,36,723,951,951,0,1710,2600,5470,0.869497226,0.130502774,0,0,0,-1826.147469
46,0,119,249,2846,2846,0,3214,3400,7824,0.561470396,0.438529604,0,0,0,-3295.566506
47,0,199,992,1714,1714,0,2905,2600,6755,0.13914188,0.86085812,0,0,0,-2642.438274
48,0,539,1522,3210,3210,0,5271,3800,10241,0.045387689,0.954612311,0,0,0,-3866.765291
49,54,271,1363,1177,1363,54,2865,3000,7075,0.496525873,0.503474127,0,0,0,-2932.969007
50,0,148,1203,2915,2915,0,4266,3000,8466,0.708312519,0.291687481,0,0,0,-3896.723649
51,0,18,648,1264,1264,0,1930,2600,5700,0.415501864,0.584498136,0,0,0,-2321.613751
52,0,454,1027,3182,3182,0,4663,3000,8913,0.371485263,0.628514737,0,0,0,-3617.779993
53,0,55,767,1838,1838,0,2660,3000,6880,0.249965252,0.750034748,0,0,0,-2915.011814
54,0,5,885,971,971,0,1861,2600,5641,0.637482546,0.362517454,0,0,0,-2128.900399
55,0,0,514,853,853,0,1367,2600,5207,0.58075617,0.41924383,0,0,0,-1883.927642
56,0,134,736,3584,3584,0,4454,3400,9054,0.451464937,0.548535063,0,0,0,-3875.844044
57,0,203,872,1976,1976,0,3051,2600,6861,0.087160844,0.912839156,0,0,0,-2639.309541
58,0,134,858,1240,1240,0,2232,2600,6012,0.488813537,0.511186463,0,0,0,-2420.116618
59,0,0,199,613,613,0,812,2600,4612,0.075623603,0.924376397,0,0,0,-2464.784998
60,79,717,2654,5182,5182,79,8632,3800,13622,0.299744217,0.700255783,0,0,0,-5248.364058
61,0,137,844,1789,1789,0,2770,2600,6570,0.095494693,0.904505307,0,0,0,-2616.234098
62,0,135,744,1823,1823,0,2702,3000,6922,0.461469363,0.538530637,0,0,0,-2862.48213
63,0,841,989,1621,1621,0,3451,3000,7611,0.786364431,0.213635569,0,0,0,-3354.650358
64,0,397,784,1894,1894,0,3075,3800,8025,0.260103125,0.739896875,0,0,0,-3611.425234
65,0,236,1042,2121,2121,0,3399,3000,7639,0.357355464,0.642644536,0,0,0,-3142.58483
66,0,169,956,1665,1665,0,2790,2600,6600,0.928000895,0.071999105,0,0,0,-2776.32017
67,0,165,1068,2147,2147,0,3380,2600,7200,0.549914591,0.450085409,0,0,0,-3028.933381
68,0,871,1269,3464,3464,0,5604,3000,9814,0.723525018,0.276474982,0,0,0,-4884.059147
69,0,208,1065,1797,1797,0,3070,2600,6910,0.485826883,0.514173117,0,0,0,-2828.338635
70,0,178,734,1596,1596,0,2508,2600,6278,0.444473521,0.555526479,0,0,0,-2559.108436
