Sun Jan 29 01:48:30 JST 2023
SCE-4000_SEED(4)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,628,840,840,0,1468,2600,5218,0.4429752390854154,0.5570247609145846,0.0,0.0,0.0,-2098.55202935531,
1,0,0,616,1284,1284,0,1900,2600,5730,0.5747889180687037,0.42521108193129625,0.0,0.0,0.0,-2197.6477573519073,
2,0,376,180,1768,1768,0,2324,2600,6144,0.7595616330899986,0.2404383669100014,0.0,0.0,0.0,-2390.36098926716,
3,0,0,796,1737,1737,0,2533,2600,6353,0.464869675653127,0.535130324346873,0.0,0.0,0.0,-2568.8537317312403,
4,0,0,246,1041,1041,0,1287,2600,5097,0.14057469266436506,0.8594253073356349,0.0,0.0,0.0,-2415.425428531689,
5,0,0,609,546,609,0,1155,2600,4975,0.9955935378035653,0.004406462196434702,0.0,0.0,0.0,-1161.367337873848,
6,0,144,607,559,607,0,1310,2600,5130,0.435072878436785,0.5649271215632149,0.0,0.0,0.0,-2038.7559868165472,
7,0,0,941,2009,2009,0,2950,2600,6790,0.8136155369499012,0.18638446305009881,0.0,0.0,0.0,-2884.7654379324654,
8,0,0,287,1388,1388,0,1675,2600,5455,0.30260253964522865,0.6973974603547712,0.0,0.0,0.0,-2320.092650828163,
9,0,0,621,217,621,0,838,2600,4588,0.549267747944418,0.450732252055582,0.0,0.0,0.0,-1632.1902281219354,
10,0,142,948,747,948,0,1837,2600,5637,0.51544864839126,0.4845513516087401,0.0,0.0,0.0,-2206.712681277469,
11,0,0,816,989,989,0,1805,2600,5595,0.4666436032455518,0.5333563967544482,0.0,0.0,0.0,-2229.0183354197866,
12,0,68,707,2378,2378,0,3153,3400,7733,0.9106467632047321,0.08935323679526781,0.0,0.0,0.0,-3175.070249488431,
13,0,0,945,1567,1567,0,2512,2600,6332,0.41935032375811676,0.5806496762418832,0.0,0.0,0.0,-2563.0971715092855,
14,0,0,0,600,600,0,600,2600,4380,0.6137790915531056,0.38622090844689433,0.0,0.0,0.0,-1372.4418168937887,
15,0,183,1398,1915,1915,0,3496,3000,7716,0.49379152548070393,0.5062084745192961,0.0,0.0,0.0,-3244.920596638429,
16,0,571,553,369,571,0,1493,2600,5293,0.8071205992374643,0.19287940076253576,0.0,0.0,0.0,-1706.5174966441273,
17,0,0,377,1581,1581,0,1958,2600,5738,0.6858142353009713,0.3141857646990287,0.0,0.0,0.0,-2159.707260936776,
18,0,0,606,1672,1672,0,2278,2600,6088,0.4209773805277988,0.5790226194722011,0.0,0.0,0.0,-2464.4452834700487,
19,0,0,257,1158,1158,0,1415,2200,4825,0.6577283265063172,0.3422716734936828,0.0,0.0,0.0,-1683.683263692541,
20,0,0,617,542,617,0,1159,2600,4959,0.7080486821724534,0.29195131782754663,0.0,0.0,0.0,-1579.701848989495,
21,0,0,6,975,975,0,981,2600,4781,0.5394355500364459,0.46056444996355395,0.0,0.0,0.0,-1726.6538444909938,
22,0,136,91,1327,1327,0,1554,2600,5334,0.926059330928344,0.073940669071656,0.0,0.0,0.0,-1631.3419398489523,
