Fri Feb 10 14:38:27 JST 2023
SCE-5000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,133,302,536,536,0,971,2600,4751,0.0,0.0,1.0,0.0,0.0,-4751.0,
1,0,0,1634,1008,1634,0,2642,2600,6442,0.0,0.0,1.0,0.0,0.0,-6442.0,
2,0,221,415,1210,1210,0,1846,2600,5646,0.0,0.0,1.0,0.0,0.0,-5646.0,
3,0,868,960,1164,1164,0,2992,3400,7562,0.0,0.0,1.0,0.0,0.0,-7562.0,
4,0,0,1013,3040,3040,0,4053,2600,7883,0.0,0.0,1.0,0.0,0.0,-7883.0,
5,0,0,1159,716,1159,0,1875,2600,5685,0.0,0.0,1.0,0.0,0.0,-5685.0,
6,0,459,595,675,675,0,1729,2600,5519,0.0,0.0,1.0,0.0,0.0,-5519.0,
7,0,181,186,2666,2666,0,3033,3400,7603,0.0,0.0,1.0,0.0,0.0,-7603.0,
8,36,865,2230,1079,2230,36,4210,3000,8400,0.0,0.0,1.0,0.0,0.0,-8400.0,
9,0,478,630,1742,1742,0,2850,3800,7840,0.0,0.0,1.0,0.0,0.0,-7840.0,
10,0,324,1402,1198,1402,0,2924,2600,6674,0.0,0.0,1.0,0.0,0.0,-6674.0,
11,0,0,1034,3113,3113,0,4147,2600,7977,0.0,0.0,1.0,0.0,0.0,-7977.0,
12,0,476,2467,2177,2467,0,5120,2600,8950,0.0,0.0,1.0,0.0,0.0,-8950.0,
13,0,139,1720,1415,1720,0,3274,2600,7054,0.0,0.0,1.0,0.0,0.0,-7054.0,
14,0,0,245,913,913,0,1158,3000,5318,0.0,0.0,1.0,0.0,0.0,-5318.0,
15,0,560,2211,1825,2211,0,4596,3000,8816,0.0,0.0,1.0,0.0,0.0,-8816.0,
16,0,913,5703,3490,5703,0,10106,3400,14686,0.0,0.0,1.0,0.0,0.0,-14686.0,
17,0,859,1036,1117,1117,0,3012,3400,7582,0.0,0.0,1.0,0.0,0.0,-7582.0,
18,0,135,1799,1096,1799,0,3030,2600,6800,0.0,0.0,1.0,0.0,0.0,-6800.0,
19,0,530,2741,6791,6791,0,10062,2600,13912,0.0,0.0,1.0,0.0,0.0,-13912.0,
20,0,530,352,2793,2793,0,3675,3000,7885,0.0,0.0,1.0,0.0,0.0,-7885.0,
21,0,141,535,1306,1306,0,1982,2600,5752,0.0,0.0,1.0,0.0,0.0,-5752.0,
22,0,282,1007,3652,3652,0,4941,3400,9531,0.0,0.0,1.0,0.0,0.0,-9531.0,
23,0,0,292,1860,1860,0,2152,3000,6342,0.0,0.0,1.0,0.0,0.0,-6342.0,
24,0,226,1380,3385,3385,0,4991,2600,8781,0.0,0.0,1.0,0.0,0.0,-8781.0,
25,0,467,1607,9928,9928,0,12002,2600,15782,0.0,0.0,1.0,0.0,0.0,-15782.0,
26,44,285,911,3886,3886,44,5126,3800,10086,0.0,0.0,1.0,0.0,0.0,-10086.0,
27,0,880,348,3580,3580,0,4808,3400,9398,0.0,0.0,1.0,0.0,0.0,-9398.0,
28,0,0,139,549,549,0,688,3400,5278,0.0,0.0,1.0,0.0,0.0,-5278.0,
29,0,504,683,3160,3160,0,4347,2600,8137,0.0,0.0,1.0,0.0,0.0,-8137.0,
30,0,1303,912,2424,2424,0,4639,3400,9269,0.0,0.0,1.0,0.0,0.0,-9269.0,
31,0,0,608,649,649,0,1257,3000,5437,0.0,0.0,1.0,0.0,0.0,-5437.0,
