Tue Jan 09 14:26:17 JST 2024
WPSCE-3000_SEED(8)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,255,404,404,0,659,2600,4429,0.5502431085258115,0.4497568914741884,0.0,0.0,0.0,-1531.9781263513996,
1,0,0,36,15,36,0,51,2600,3831,0.1981179226449204,0.8018820773550798,0.0,0.0,0.0,-2094.997415178098,
2,0,0,263,64,263,0,327,2600,4087,0.43839227175368034,0.5616077282463197,0.0,0.0,0.0,-1603.5343663038846,
3,0,0,289,753,753,0,1042,2600,4852,0.020857301995706633,0.9791426980042933,0.0,0.0,0.0,-2567.504323490689,
4,0,0,268,50,268,0,318,2600,4128,0.31797131228811704,0.682028687711883,0.0,0.0,0.0,-1874.389465358517,
5,0,0,235,30,235,0,265,2600,4095,0.22352828924236912,0.7764717107576309,0.0,0.0,0.0,-2078.061444619068,
6,0,0,130,29,130,0,159,2600,3949,0.26841545144089585,0.7315845485591042,0.0,0.0,0.0,-1944.7978830327734,
7,14,502,661,948,948,14,2125,3400,6675,0.19585330615212268,0.8041466938478773,0.0,0.0,0.0,-3150.2870346560435,
8,0,0,264,4,264,0,268,2600,4078,0.3841784766498261,0.615821523350174,0.0,0.0,0.0,-1704.095792452606,
9,0,0,10,314,314,0,324,3000,4514,0.17991652810341396,0.820083471896586,0.0,0.0,0.0,-2518.5433707952643,
10,118,511,3577,670,3577,118,4876,6600,12676,0.952430192565018,0.04756980743498199,0.0,0.0,0.0,-4958.010348017909,
11,1648,1574,1920,2005,2005,1574,7147,9800,18157,0.9390280194508882,0.06097198054911176,0.0,0.0,0.0,-7308.758664396793,
12,0,88,27,768,768,0,883,3000,5103,0.4664949595466497,0.5335050404533502,0.0,0.0,0.0,-2012.4301706397423,
13,0,0,271,289,289,0,560,2600,4340,0.7320744531544031,0.26792554684559694,0.0,0.0,0.0,-1106.5681155650177,
14,0,0,1,53,53,0,54,2600,3884,0.9214868468659434,0.07851315313405657,0.0,0.0,0.0,-253.89448787930803,
15,0,0,292,209,292,0,501,2600,4291,0.24530214372078554,0.7546978562792145,0.0,0.0,0.0,-2085.110800330071,
16,0,0,139,411,411,0,550,2600,4340,0.21924751270590775,0.7807524872940922,0.0,0.0,0.0,-2150.542598952889,
17,0,0,261,137,261,0,398,2600,4168,0.3863924292122616,0.6136075707877384,0.0,0.0,0.0,-1749.1638708746,
18,0,101,89,500,500,0,690,3000,4920,0.35620472525172087,0.6437952747482791,0.0,0.0,0.0,-2177.1670846685247,
19,0,0,190,490,490,0,680,2600,4470,0.5196869278865763,0.4803130721134238,0.0,0.0,0.0,-1602.2010984577737,
20,0,0,0,0,0,0,0,2600,3790,0.44870776011219976,0.5512922398878002,0.0,0.0,0.0,-1433.3598237082804,
21,0,0,755,957,957,0,1712,3800,6692,0.9393161696090571,0.06068383039094291,0.0,0.0,0.0,-1838.7078378562887,
22,0,0,361,194,361,0,555,2600,4355,0.4538490239547632,0.5461509760452368,0.0,0.0,0.0,-1671.878746012509,
23,0,0,351,491,491,0,842,2600,4592,0.7044795432839859,0.2955204567160142,0.0,0.0,0.0,-1361.524962906753,
24,0,0,51,122,122,0,173,2600,3983,0.4168348025293201,0.58316519747068,0.0,0.0,0.0,-1588.3419342613404,
25,0,0,0,34,34,0,34,2600,3834,0.6972554500582209,0.3027445499417791,0.0,0.0,0.0,-810.8425151506051,
26,0,0,16,158,158,0,174,3000,4344,0.1035966814118917,0.8964033185881083,0.0,0.0,0.0,-2707.235778329994,
27,0,1991,4663,2147,4663,0,8801,5400,15431,0.947015044064654,0.052984955935346044,0.0,0.0,0.0,-8620.798164863887,
28,128,289,324,877,877,128,1618,5000,7818,0.6265901886262858,0.37340981137371415,0.0,0.0,0.0,-2880.871982065901,
29,0,0,167,512,512,0,679,2600,4479,0.543227097080082,0.45677290291991796,0.0,0.0,0.0,-1556.4607465091622,
30,0,0,0,56,56,0,56,2600,3836,0.6380657682622237,0.36193423173777617,0.0,0.0,0.0,-976.7606855409025,
31,0,0,0,0,0,0,0,2600,3790,0.9356739698751384,0.06432603012486164,0.0,0.0,0.0,-167.24767832464028,
32,0,0,176,277,277,0,453,2600,4263,0.7999061236012159,0.20009387639878407,0.0,0.0,0.0,-882.6015526281894,
33,0,0,367,141,367,0,508,2600,4248,0.3118342216991511,0.6881657783008489,0.0,0.0,0.0,-1947.642808205376,
34,0,0,0,75,75,0,75,2600,3875,0.589428711802724,0.41057128819727584,0.0,0.0,0.0,-1111.6925026981214,
35,0,0,0,0,0,0,0,2600,3780,0.2820654414669642,0.7179345585330358,0.0,0.0,0.0,-1866.629852185893,
36,0,0,274,555,555,0,829,3000,5059,0.964881189975657,0.035118810024343035,0.0,0.0,0.0,-905.2429365628487,
37,0,0,182,520,520,0,702,2600,4482,0.8713907444088601,0.12860925559113986,0.0,0.0,0.0,-946.1003671119834,
38,0,996,223,1577,1577,0,2796,4600,8616,0.6133525220516127,0.3866474779483872,0.0,0.0,0.0,-3493.51205021889,
39,0,1444,3180,4808,4808,0,9432,5000,15662,0.718622037223087,0.281377962776913,0.0,0.0,0.0,-8184.932868972723,
40,0,1032,665,1543,1543,0,3240,6200,10650,0.8903664733692768,0.10963352663072323,0.0,0.0,0.0,-3564.5152388269407,
41,0,0,440,370,440,0,810,2600,4620,0.23545585437661729,0.7645441456233827,0.0,0.0,0.0,-2178.534020665855,
42,0,0,291,317,317,0,608,2600,4418,0.4994080416958855,0.5005919583041145,0.0,0.0,0.0,-1605.1791809417962,
43,0,0,453,101,453,0,554,2600,4364,0.1244045705807201,0.8755954294192799,0.0,0.0,0.0,-2345.468248591847,
44,0,0,0,99,99,0,99,2600,3879,0.06838864007006695,0.9316113599299329,0.0,0.0,0.0,-2428.9600111847626,
45,0,0,58,382,382,0,440,3000,4660,0.7660830413376043,0.23391695866239573,0.0,0.0,0.0,-1038.827414175733,
46,0,1586,608,3951,3951,0,6145,5400,12755,0.5820716300138854,0.4179283699861145,0.0,0.0,0.0,-5833.643364360344,
47,0,0,278,102,278,0,380,2600,4200,0.41149629140608146,0.5885037085939187,0.0,0.0,0.0,-1686.4782330784992,
48,0,0,418,350,418,0,768,2600,4578,0.7332514362965443,0.2667485637034557,0.0,0.0,0.0,-1256.6833687047308,
49,0,0,585,419,585,0,1004,3000,5164,0.03787042853757933,0.9621295714624206,0.0,0.0,0.0,-2924.410624638991,
50,0,0,320,205,320,0,525,2600,4335,0.4939045411882371,0.5060954588117629,0.0,0.0,0.0,-1575.148077034408,
51,0,279,2,356,356,0,637,3800,5607,0.6270360768477298,0.37296392315227017,0.0,0.0,0.0,-1816.6848889306304,
52,0,0,0,0,0,0,0,2600,3800,0.459288139814756,0.540711860185244,0.0,0.0,0.0,-1405.8508364816344,
53,0,170,483,251,483,0,904,3800,5924,0.13557315068199485,0.8644268493180052,0.0,0.0,0.0,-3407.380155624943,
54,0,0,505,792,792,0,1297,2600,5107,0.3176414081588418,0.6823585918411582,0.0,0.0,0.0,-2186.113245169029,
55,0,0,0,142,142,0,142,3000,4342,0.38539093179981915,0.6146090682001808,0.0,0.0,0.0,-1898.5527169161169,
56,0,0,211,438,438,0,649,2600,4429,0.7719204192777375,0.2280795807222625,0.0,0.0,0.0,-1093.9832619891342,
57,0,0,0,714,714,0,714,3000,4954,0.1472350618368889,0.8527649381631112,0.0,0.0,0.0,-2663.420648640872,
58,0,0,386,627,627,0,1013,2600,4823,0.6903130321422286,0.3096869678577713,0.0,0.0,0.0,-1504.4732179902828,
59,0,0,2190,1040,2190,0,3230,5000,9440,0.5004830411665184,0.4995169588334815,0.0,0.0,0.0,-4114.145017135262,
60,0,111,0,176,176,0,287,2600,4087,0.47017445225400933,0.5298255477459906,0.0,0.0,0.0,-1512.486491936476,
61,0,0,0,0,0,0,0,2200,3410,0.2707053698350388,0.7292946301649612,0.0,0.0,0.0,-1604.4481863629146,
62,0,0,8,101,101,0,109,2600,3879,0.8954698662719154,0.1045301337280847,0.0,0.0,0.0,-369.384563116659,
63,0,0,392,38,392,0,430,2600,4200,0.7485275056729329,0.25147249432706703,0.0,0.0,0.0,-975.6953126897354,
64,0,0,0,19,19,0,19,2600,3799,0.5984174587464809,0.401582541253519,0.0,0.0,0.0,-1055.4845389753325,
65,0,0,0,454,454,0,454,2600,4284,0.6629777780402217,0.3370222219597783,0.0,0.0,0.0,-1177.2496883256842,
66,0,0,178,329,329,0,507,2600,4317,0.9901439054989489,0.009856094501051094,0.0,0.0,0.0,-527.6288057907,
67,0,0,386,368,386,0,754,2600,4564,0.20072613570080033,0.7992738642991997,0.0,0.0,0.0,-2229.4595534963223,
68,0,403,2899,1327,2899,0,4629,6200,12039,0.8413576496141865,0.15864235038581356,0.0,0.0,0.0,-4878.227132456113,
69,0,0,1664,1269,1664,0,2933,4600,8743,0.42982219717944636,0.5701778028205536,0.0,0.0,0.0,-3883.486397301863,
70,0,43,0,417,417,0,460,3400,5020,0.6197197187454899,0.38028028125451,0.0,0.0,0.0,-1578.0240268882594,
71,0,0,414,328,414,0,742,2600,4562,0.013621920778488792,0.9863780792215112,0.0,0.0,0.0,-2574.6904711935676,
72,0,0,69,507,507,0,576,2600,4376,0.1748924712906209,0.8251075287093791,0.0,0.0,0.0,-2246.0176381077836,
73,0,444,651,589,651,0,1684,3000,5864,0.4703008887340785,0.5296991112659215,0.0,0.0,0.0,-2381.0840304259527,
74,0,0,70,316,316,0,386,2600,4216,0.3987104373125236,0.6012895626874764,0.0,0.0,0.0,-1717.2550917900726,
75,0,0,334,396,396,0,730,2600,4580,0.09565399910965006,0.90434600089035,0.0,0.0,0.0,-2421.1270216649546,
76,0,61,744,971,971,0,1776,3400,6426,0.7289317294066937,0.2710682705933063,0.0,0.0,0.0,-2216.2148714435293,
77,0,0,0,80,80,0,80,3000,4280,0.46990068789791817,0.5300993121020818,0.0,0.0,0.0,-1627.889991338079,
78,0,0,645,553,645,0,1198,3400,5798,0.3233887200516893,0.6766112799483107,0.0,0.0,0.0,-2687.89803844618,
79,0,0,366,295,366,0,661,2600,4411,0.4627934791254265,0.5372065208745734,0.0,0.0,0.0,-1702.6434439757977,
80,1772,1577,7396,821,7396,821,11566,5800,18556,0.9109029634139607,0.08909703658603935,0.0,0.0,0.0,-11052.266487044897,
