Mon Jan 30 16:12:56 JST 2023
WPSCE-3000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,0,404,404,0,404,2600,4184,0.4543215620168933,0.1495016360187475,0.0,0.0,0.39617680196435917,-412.1947367099672,
1,0,0,151,435,435,0,586,2600,4386,0.3716154142117468,0.40341952640234396,0.0,0.0,0.2249650593859092,-1168.7976005413075,
2,0,0,28,442,442,0,470,2600,4270,0.17125507595668282,0.43786045780528315,0.0,0.0,0.390884466238034,-1046.156141916166,
3,0,0,61,598,598,0,659,2600,4429,0.699761335275362,0.2044114976207567,0.0,0.0,0.09582716710388137,-935.3079678323098,
4,0,0,144,719,719,0,863,3000,5093,0.20458532515872774,0.03242922979703278,0.0,0.0,0.7629854450442395,274.7417099837278,
5,0,0,51,488,488,0,539,2600,4349,0.5693130560047955,0.06167830204740373,0.0,0.0,0.3690086419478008,-287.1471052393077,
6,0,0,40,639,639,0,679,3000,4869,0.1886262726970221,0.356461173592494,0.0,0.0,0.45491255371048384,-906.7716381177609,
7,0,0,62,363,363,0,425,2600,4195,0.2477505977846398,0.3794525664416449,0.0,0.0,0.37279683577371536,-956.54542542089,
8,0,0,157,803,803,0,960,2600,4750,0.3744111011250723,0.3843031752734579,0.0,0.0,0.24128572360146974,-1164.87047673908,
9,0,13,1,441,441,0,455,2600,4245,0.8056122925849492,0.11998152040174598,0.0,0.0,0.0744061870133051,-645.6924176978238,
10,0,142,667,1870,1870,0,2679,3400,7229,0.4050453394902673,0.29899351798950236,0.0,0.0,0.2959611425202304,-1548.247089145903,
11,0,0,150,631,631,0,781,3000,5011,0.23453229733852135,0.7581222498288338,0.0,0.0,0.007345452832644802,-2452.901492970487,
12,0,0,144,822,822,0,966,3000,5196,0.09423939247880211,0.4592403448675478,0.0,0.0,0.4465202626536501,-1101.7166318358659,
13,0,0,0,429,429,0,429,2600,4209,0.31867566649456314,0.3602793086467472,0.0,0.0,0.3210450248586898,-935.7097477433324,
14,0,0,109,425,425,0,534,2600,4294,0.6070331245884822,0.1773669391317296,0.0,0.0,0.21559993627978805,-693.6797573538365,
15,0,0,38,390,390,0,428,2600,4248,0.5489962102956027,0.006215088492109338,0.0,0.0,0.44478870121228786,-77.66201461321,
16,0,37,239,552,552,0,828,3000,5008,0.4549886099404452,0.4204060821950235,0.0,0.0,0.12460530786453117,-1569.166685674538,
17,0,14,170,817,817,0,1001,3000,5171,0.44936565558705155,0.5424650296411623,0.0,0.0,0.00816931477178615,-2070.5357799975764,
18,0,0,157,449,449,0,606,2600,4376,0.19380355206287048,0.4197518865759242,0.0,0.0,0.3864445613612053,-1035.2862495963213,
19,0,0,141,841,841,0,982,3000,5232,0.4853620300850943,0.4314418188702202,0.0,0.0,0.08319615104468563,-1700.9830071256426,
