Mon Jan 30 13:52:48 JST 2023
WPSCE-3000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,417,664,664,0,1081,3000,5261,0.4543215620168933,0.1495016360187475,0.0,0.0,0.39617680196435917,-676.5651200921695,
1,0,0,222,199,222,0,421,2600,4221,0.3716154142117468,0.40341952640234396,0.0,0.0,0.2249650593859092,-1155.398614845568,
2,0,0,425,650,650,0,1075,3000,5275,0.17125507595668282,0.43786045780528315,0.0,0.0,0.390884466238034,-1243.6056770145613,
3,0,0,484,918,918,0,1402,4600,7172,0.699761335275362,0.2044114976207567,0.0,0.0,0.09582716710388137,-1833.3889417101752,
4,0,0,420,1268,1268,0,1688,3400,6318,0.20458532515872774,0.03242922979703278,0.0,0.0,0.7629854450442395,511.8661341382518,
5,0,0,0,281,281,0,281,2600,4091,0.5693130560047955,0.06167830204740373,0.0,0.0,0.3690086419478008,-216.64912567326522,
6,0,21,105,1506,1506,0,1632,3800,6622,0.1886262726970221,0.356461173592494,0.0,0.0,0.45491255371048384,-977.2922308050285,
7,0,0,782,1557,1557,0,2339,3800,7309,0.2477505977846398,0.3794525664416449,0.0,0.0,0.37279683577371536,-1440.9637273968483,
8,41,613,894,1207,1207,41,2755,3800,7745,0.3744111011250723,0.3843031752734579,0.0,0.0,0.24128572360146974,-2210.5154959194006,
9,0,0,225,404,404,0,629,3000,4819,0.8056122925849492,0.11998152040174598,0.0,0.0,0.0744061870133051,-836.6145936877957,
10,0,35,498,791,791,0,1324,3000,5474,0.4050453394902673,0.29899351798950236,0.0,0.0,0.2959611425202304,-1199.1553197201188,
11,0,0,563,1232,1232,0,1795,3000,6025,0.23453229733852135,0.7581222498288338,0.0,0.0,0.007345452832644802,-2686.302625319329,
12,0,9,424,1390,1390,0,1823,3400,6453,0.09423939247880211,0.4592403448675478,0.0,0.0,0.4465202626536501,-1112.552419949945,
13,0,0,0,385,385,0,385,2600,4165,0.31867566649456314,0.3602793086467472,0.0,0.0,0.3210450248586898,-935.813999511354,
