Mon Jan 30 11:55:37 JST 2023
WPSCE-3000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,148,862,862,0,1010,3000,5190,0.4543215620168933,0.1495016360187475,0.0,0.0,0.39617680196435917,-565.8652824000271,
1,0,0,286,298,298,0,584,2600,4384,0.3716154142117468,0.40341952640234396,0.0,0.0,0.2249650593859092,-1198.8745828487536,
2,0,201,1034,1437,1437,0,2672,3800,7672,0.17125507595668282,0.43786045780528315,0.0,0.0,0.390884466238034,-1559.7623246322773,
3,0,0,111,693,693,0,804,3800,5774,0.699761335275362,0.2044114976207567,0.0,0.0,0.09582716710388137,-1272.9635777172768,
4,0,0,705,1490,1490,0,2195,3400,6825,0.20458532515872774,0.03242922979703278,0.0,0.0,0.7629854450442395,577.524143082598,
5,0,0,0,281,281,0,281,2600,4091,0.5693130560047955,0.06167830204740373,0.0,0.0,0.3690086419478008,-216.64912567326522,
6,0,0,349,1384,1384,0,1733,3400,6323,0.1886262726970221,0.356461173592494,0.0,0.0,0.45491255371048384,-909.2583464631092,
7,0,0,972,1385,1385,0,2357,3800,7327,0.2477505977846398,0.3794525664416449,0.0,0.0,0.37279683577371536,-1509.5442939100508,
8,0,416,689,1048,1048,0,2153,3400,6743,0.3744111011250723,0.3843031752734579,0.0,0.0,0.24128572360146974,-1859.8704583176975,
9,0,0,587,1088,1088,0,1675,4200,7065,0.8056122925849492,0.11998152040174598,0.0,0.0,0.0744061870133051,-1772.3690442966472,
10,0,0,272,579,579,0,851,3000,5001,0.4050453394902673,0.29899351798950236,0.0,0.0,0.2959611425202304,-1070.3126363555111,
11,0,0,491,1424,1424,0,1915,3000,6145,0.23453229733852135,0.7581222498288338,0.0,0.0,0.007345452832644802,-2713.0361740560834,
12,0,132,1004,2462,2462,0,3598,3800,8628,0.09423939247880211,0.4592403448675478,0.0,0.0,0.4465202626536501,-984.853757982125,
13,0,0,83,1493,1493,0,1576,3800,6556,0.31867566649456314,0.3602793086467472,0.0,0.0,0.3210450248586898,-1391.974001139047,
14,0,0,194,260,260,0,454,2600,4214,0.6070331245884822,0.1773669391317296,0.0,0.0,0.21559993627978805,-680.6910968729229,
15,0,289,493,1147,1147,0,1929,3400,6549,0.5489962102956027,0.006215088492109338,0.0,0.0,0.44478870121228786,-569.9723502428953,
16,0,0,0,682,682,0,682,2600,4462,0.4549886099404452,0.4204060821950235,0.0,0.0,0.12460530786453117,-1318.3772257228345,
17,0,0,723,857,857,0,1580,3000,5750,0.44936565558705155,0.5424650296411623,0.0,0.0,0.00816931477178615,-2330.391721991608,
18,0,0,333,1745,1745,0,2078,4200,7448,0.19380355206287048,0.4197518865759242,0.0,0.0,0.3864445613612053,-1491.335945230223,
19,0,0,408,670,670,0,1078,3000,5328,0.4853620300850943,0.4314418188702202,0.0,0.0,0.08319615104468563,-1761.804303842453,
20,0,0,0,250,250,0,250,2600,4060,0.4070150805637843,0.30642191621084863,0.0,0.0,0.286563003225367,-826.8100014828108,
21,0,0,443,452,452,0,895,3000,5065,0.47098227183460667,0.25846018048159236,0.0,0.0,0.27055754768380097,-1074.617663183672,
22,0,0,285,839,839,0,1124,3400,5714,0.3634302997659914,0.2138556709137386,0.0,0.0,0.42271402932027,-780.9478674439791,
23,0,0,0,303,303,0,303,2600,4093,0.7076812883669884,0.25780905558626743,0.0,0.0,0.03450965604674412,-874.2745491173293,
24,0,453,809,2671,2671,0,3933,4200,9323,0.12255896795797216,0.04980740360170928,0.0,0.0,0.8276336284403185,1519.393905458207,
25,0,0,299,342,342,0,641,2600,4421,0.3562201874616094,0.3625119121508155,0.0,0.0,0.28126790038757504,-1074.674489822461,
26,0,466,705,960,960,0,2131,4200,7491,0.4703183172352956,0.23968661579328862,0.0,0.0,0.2899950669714157,-1730.536856067668,
27,0,0,708,884,884,0,1592,3000,5782,0.9316230379757473,0.05720178133250925,0.0,0.0,0.011175180691743499,-1644.8703607234163,
28,0,0,33,1382,1382,0,1415,3400,6005,0.27411288887328233,0.06719164763184564,0.0,0.0,0.6586954634948721,293.9957908459435,
29,0,0,0,444,444,0,444,2600,4234,0.004360763237205565,0.3651576997484406,0.0,0.0,0.6304815370143538,-671.4123957888918,
30,0,0,295,304,304,0,599,2600,4429,0.4438101824410622,0.1338993585404564,0.0,0.0,0.4222904590184815,-485.6043319457645,
31,0,0,109,608,608,0,717,3000,4897,0.39019647304622074,0.5813388453981262,0.0,0.0,0.02846468155565305,-2006.4808809826818,
32,0,0,0,707,707,0,707,2600,4507,0.3918994266276113,0.30105136024414614,0.0,0.0,0.3070492131282427,-842.7226375788335,
33,0,0,205,476,476,0,681,3000,4881,0.38154464705813274,0.2684578113090385,0.0,0.0,0.34999754163282876,-898.6065087564775,
34,0,0,3,455,455,0,458,2600,4258,0.6779419271140165,0.3108341473939635,0.0,0.0,0.011223925492020006,-1113.5592997436554,
35,0,0,0,713,713,0,713,2600,4543,0.3413574276868768,0.3629352398056306,0.0,0.0,0.2957073325074926,-976.1801413575405,
36,0,229,241,1834,1834,0,2304,4200,7694,0.15308853604910305,0.2533504091446098,0.0,0.0,0.5935610548062871,-328.19673094976406,
37,0,0,0,1008,1008,0,1008,3000,5208,0.3837452651846434,0.008971904066234033,0.0,0.0,0.6072828307491226,198.41015389029292,
38,0,0,320,719,719,0,1039,3400,5639,0.5513633270106602,0.18376468685876074,0.0,0.0,0.2648719861305792,-1007.223474055976,
39,0,236,594,991,991,0,1821,3400,6431,0.4744678535867602,0.2818965381020725,0.0,0.0,0.24363560831116735,-1581.0113030921698,
40,0,0,0,582,582,0,582,2600,4402,0.29123184429580296,0.3209978575065599,0.0,0.0,0.38777029819763703,-778.4090493461883,
41,0,0,453,597,597,0,1050,3000,5250,0.4134631867687501,0.3641275184010778,0.0,0.0,0.2224092948301721,-1393.7405522968083,
42,0,0,0,224,224,0,224,2600,4024,0.2539895819499296,0.457507872777284,0.0,0.0,0.28850254527278646,-1181.7895654366184,
43,0,0,159,493,493,0,652,3000,4852,0.020177905026025462,0.5117191766420414,0.0,0.0,0.4681029183319332,-1317.5387852654499,
44,0,0,952,1408,1408,0,2360,3800,7350,0.37337598533198,0.33835057794329393,0.0,0.0,0.28827343672472605,-1761.0105226595754,
45,0,0,0,234,234,0,234,2600,4034,0.25081756072457934,0.5976689125861442,0.0,0.0,0.1515135266892764,-1577.1763166882358,
46,0,0,182,1195,1195,0,1377,3400,6007,0.06925543335563221,0.4032539037286671,0.0,0.0,0.5274906629157007,-836.0766622239115,
47,0,95,48,394,394,0,537,2600,4337,0.30512242823041136,0.519343517091936,0.0,0.0,0.17553405467765254,-1444.9834708557696,
48,0,0,44,429,429,0,473,2600,4283,0.09675014811309347,0.5810524121847843,0.0,0.0,0.32219743970212217,-1418.276390105722,
49,0,0,80,352,352,0,432,2200,3882,0.28658749668773187,0.4550196484051018,0.0,0.0,0.25839285490716635,-1033.8947401330015,
50,0,0,63,404,404,0,467,2600,4297,0.2682595839834253,0.41796639540859765,0.0,0.0,0.31377402060797704,-1085.2251494569907,
51,17,322,1027,883,1027,17,2249,4600,8039,0.6740443892768813,0.08352611439567316,0.0,0.0,0.2424294963274456,-1655.2921664130824,
52,0,0,384,1543,1543,0,1927,3400,6507,0.15155287897106712,0.2391848803540772,0.0,0.0,0.6092622406748558,-165.1793536198063,
53,0,613,1237,4268,4268,0,6118,5800,13118,0.04545704447372599,0.08397914219261053,0.0,0.0,0.8705638133336635,2950.381132500679,
54,0,0,0,360,360,0,360,2600,4130,0.46424379195591814,0.07436594157308954,0.0,0.0,0.46139026647099224,-194.3787172646061,
55,0,0,282,1715,1715,0,1997,3400,6597,0.06473900916027937,0.1559308558377314,0.0,0.0,0.7793301350019892,677.1024703870469,
56,0,0,340,437,437,0,777,2600,4607,0.18325860834986957,0.5155787806969284,0.0,0.0,0.30116261095320207,-1351.288707513313,
57,0,0,67,315,315,0,382,2600,4162,0.43454066846769596,0.1964043156477561,0.0,0.0,0.3690550158845479,-560.3934260351931,
58,0,0,78,237,237,0,315,2600,4105,0.4558869778967082,0.10507607107919133,0.0,0.0,0.4390369510241005,-312.7504254506488,
59,0,0,250,1371,1371,0,1621,3400,6231,0.020121341842769334,0.28493223735591006,0.0,0.0,0.6949464208013206,-48.614759218612676,
60,0,0,93,270,270,0,363,2600,4153,0.49794363763915567,0.11068832886527781,0.0,0.0,0.39136803349556654,-362.87382646893286,
61,0,288,433,2149,2149,0,2870,3800,7880,0.09518876722180282,0.4102377823051728,0.0,0.0,0.4945734504730244,-769.2569896197015,
62,0,25,343,1093,1093,0,1461,3400,6101,0.31487852719582615,0.6480312803541659,0.0,0.0,0.03709019245000795,-2622.8043010894075,
63,0,0,234,275,275,0,509,2600,4319,0.3727480441555933,0.07236128906176494,0.0,0.0,0.5548906667826418,-225.27317267055935,
64,0,0,94,477,477,0,571,2600,4371,0.23365982061314566,0.44098156941059874,0.0,0.0,0.3253586099762556,-1124.775781078989,
65,0,270,962,1064,1064,0,2296,3400,6906,0.4582841717491642,0.3068211383301632,0.0,0.0,0.23489468992067258,-1845.4843785830403,
66,0,0,88,419,419,0,507,2600,4267,0.22068770820354067,0.6104231923648293,0.0,0.0,0.1688890994316299,-1628.2244355458986,
67,0,0,336,417,417,0,753,2600,4573,0.08507697705322476,0.5236537452858522,0.0,0.0,0.39126927766092306,-1262.403412679689,
68,0,0,154,471,471,0,625,2600,4435,0.7990316414933625,0.030861720215415722,0.0,0.0,0.17010663829122188,-499.5150218582669,
69,0,0,224,222,224,0,446,2600,4236,0.30757368309421673,0.5152786769420107,0.0,0.0,0.17714763996377264,-1437.2213513573636,
70,0,62,354,1970,1970,0,2386,3800,7386,0.1309652037374363,0.09221242897704243,0.0,0.0,0.7768223672855213,867.4498573221927,
71,0,0,0,670,670,0,670,3000,4870,0.4243352234824773,0.2716619358395767,0.0,0.0,0.304002840677946,-895.6085039977662,
72,0,0,348,438,438,0,786,2600,4586,0.42466258681272345,0.2761853171704198,0.0,0.0,0.2991520960168567,-920.8379998225089,
73,0,436,823,1054,1054,0,2313,3400,6903,0.6137050742024686,0.38460948500843106,0.0,0.0,0.001685440789100323,-2725.395631067264,
74,0,0,124,304,304,0,428,2600,4198,0.4682562501892108,0.4847173083881807,0.0,0.0,0.04702644142260853,-1446.3826386977792,
75,0,0,345,586,586,0,931,3000,5111,0.25224345484992233,0.34645588820397455,0.0,0.0,0.40130065694610306,-1039.044136106785,
76,0,101,295,548,548,0,944,3000,5124,0.6403605507155554,0.30306259381820333,0.0,0.0,0.05657685546624118,-1482.6840245345943,
77,0,0,790,728,790,0,1518,3000,5748,0.19123291122660444,0.28518982073654503,0.0,0.0,0.5235772680368506,-732.2349797025088,
78,0,559,776,1978,1978,0,3313,3800,8303,0.5250164518279181,0.09213624812228936,0.0,0.0,0.38284730004979245,-1332.225288272103,
79,0,0,59,526,526,0,585,3000,4795,0.6356893470797539,0.11791121624627954,0.0,0.0,0.24639943667396666,-596.0058130899881,
80,0,0,217,810,810,0,1027,3000,5207,0.7038655163821415,0.032841816778945265,0.0,0.0,0.2632926668389133,-608.1282755217752,
81,0,0,403,1004,1004,0,1407,3000,5607,0.43993247704113997,0.3845663407399419,0.0,0.0,0.17550118221891822,-1596.4808304689157,
82,0,0,247,565,565,0,812,2600,4592,0.28284037519257965,0.5548220194166459,0.0,0.0,0.16233760539077444,-1580.4828880938662,
83,0,0,109,317,317,0,426,2600,4226,0.3247152640969117,0.20496634165651753,0.0,0.0,0.47031839424657085,-522.1502598360669,
84,0,0,177,1628,1628,0,1805,3800,6815,0.23624141204202467,0.20637101109774464,0.0,0.0,0.5573875768602307,-303.19861577882875,
85,0,0,86,1267,1267,0,1353,3400,5973,0.3910153310291414,0.06358181567993919,0.0,0.0,0.5454028532909193,-54.19650107462678,
86,0,0,771,1084,1084,0,1855,3000,6055,0.4125498803826194,0.40156473895923284,0.0,0.0,0.18588538065814772,-1768.4744923540254,
87,0,0,212,294,294,0,506,2600,4286,0.4163607770497127,0.579221631611194,0.0,0.0,0.00441759133909332,-1715.3560235225657,
88,0,191,148,1661,1661,0,2000,3400,6650,0.03166913243962935,0.7200503041082118,0.0,0.0,0.24828056345215885,-2099.115282953143,
89,0,63,404,662,662,0,1129,3000,5289,0.5039821821085075,0.2929432566036237,0.0,0.0,0.20307456128786866,-1313.390293838807,
90,0,127,310,652,652,0,1089,3000,5299,0.47208668780776736,0.24135345663499613,0.0,0.0,0.2865598555572365,-1051.3257471043287,
91,0,91,793,787,793,0,1671,3000,5861,0.1671357330300657,0.4146701759930105,0.0,0.0,0.4181940909769239,-1191.6664237275704,
92,0,89,806,905,905,0,1800,3000,5970,0.19026283477423803,0.4520679560678664,0.0,0.0,0.3576692091578956,-1374.9863365093324,
