Mon Jan 30 15:15:51 JST 2023
WPSCE-3000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,542,664,664,0,1206,3000,5386,0.4543215620168933,0.1495016360187475,0.0,0.0,0.39617680196435917,-733.3553153442813,
1,0,0,224,269,269,0,493,2600,4293,0.3716154142117468,0.40341952640234396,0.0,0.0,0.2249650593859092,-1171.5815668776759,
2,0,0,0,270,270,0,270,2600,4070,0.17125507595668282,0.43786045780528315,0.0,0.0,0.390884466238034,-1079.1372549177715,
3,76,751,712,867,867,76,2406,5000,8576,0.699761335275362,0.2044114976207567,0.0,0.0,0.09582716710388137,-2629.8839715971344,
4,0,45,294,1471,1471,0,1810,3800,6840,0.20458532515872774,0.03242922979703278,0.0,0.0,0.7629854450442395,628.8210778940546,
5,0,0,13,194,194,0,207,2600,4017,0.5693130560047955,0.06167830204740373,0.0,0.0,0.3690086419478008,-206.62371137836905,
6,0,0,349,1271,1271,0,1620,3400,6210,0.1886262726970221,0.356461173592494,0.0,0.0,0.45491255371048384,-939.3486962176304,
7,0,354,811,737,811,0,1902,3400,6472,0.2477505977846398,0.3794525664416449,0.0,0.0,0.37279683577371536,-1459.0221290754941,
8,0,0,68,319,319,0,387,2600,4177,0.3744111011250723,0.3843031752734579,0.0,0.0,0.24128572360146974,-1067.1152060175248,
9,0,0,332,706,706,0,1038,3000,5228,0.8056122925849492,0.11998152040174598,0.0,0.0,0.0744061870133051,-1143.6393528770218,
10,0,0,519,531,531,0,1050,3000,5200,0.4050453394902673,0.29899351798950236,0.0,0.0,0.2959611425202304,-1165.1227937550452,
11,0,0,485,1731,1731,0,2216,3400,6846,0.23453229733852135,0.7581222498288338,0.0,0.0,0.007345452832644802,-3084.62424146689,
12,0,0,33,660,660,0,693,2600,4523,0.09423939247880211,0.4592403448675478,0.0,0.0,0.4465202626536501,-964.6294222920251,
13,0,0,68,316,316,0,384,2600,4164,0.31867566649456314,0.3602793086467472,0.0,0.0,0.3210450248586898,-957.6474305601091,
14,0,0,0,229,229,0,229,2600,3989,0.6070331245884822,0.1773669391317296,0.0,0.0,0.21559993627978805,-550.7922418651879,
15,0,0,218,1553,1553,0,1771,3800,6791,0.5489962102956027,0.006215088492109338,0.0,0.0,0.44478870121228786,-305.13277172084486,
16,0,0,13,617,617,0,630,2600,4410,0.4549886099404452,0.4204060821950235,0.0,0.0,0.12460530786453117,-1302.8171630171257,
17,0,0,465,502,502,0,967,3000,5137,0.44936565558705155,0.5424650296411623,0.0,0.0,0.00816931477178615,-2057.8306818607293,
18,0,0,223,269,269,0,492,2600,4262,0.19380355206287048,0.4197518865759242,0.0,0.0,0.3864445613612053,-1082.752665706171,
19,0,0,42,365,365,0,407,2600,4257,0.4853620300850943,0.4314418188702202,0.0,0.0,0.08319615104468563,-1288.9244801758955,
20,0,0,179,753,753,0,932,3400,5542,0.4070150805637843,0.30642191621084863,0.0,0.0,0.286563003225367,-1205.3906287736309,
21,0,84,598,630,630,0,1312,3000,5482,0.47098227183460667,0.25846018048159236,0.0,0.0,0.27055754768380097,-1222.8580270509863,
22,0,0,399,742,742,0,1141,3400,5731,0.3634302997659914,0.2138556709137386,0.0,0.0,0.42271402932027,-828.1294433840671,
23,0,0,26,444,444,0,470,2600,4260,0.7076812883669884,0.25780905558626743,0.0,0.0,0.03450965604674412,-987.5914627720256,
24,0,6,201,1471,1471,0,1678,3800,6668,0.12255896795797216,0.04980740360170928,0.0,0.0,0.8276336284403185,822.5269855157359,
25,0,0,232,266,266,0,498,2600,4278,0.3562201874616094,0.3625119121508155,0.0,0.0,0.28126790038757504,-1045.1113634449068,
26,0,477,439,816,816,0,1732,4200,7092,0.4703183172352956,0.23968661579328862,0.0,0.0,0.2899950669714157,-1584.6391371346688,
27,0,0,227,306,306,0,533,2600,4323,0.9316230379757473,0.05720178133250925,0.0,0.0,0.011175180691743499,-641.8601054139239,
28,0,0,49,1360,1360,0,1409,3400,5999,0.27411288887328233,0.06719164763184564,0.0,0.0,0.6586954634948721,281.14916798229604,
29,0,0,0,465,465,0,465,2600,4255,0.004360763237205565,0.3651576997484406,0.0,0.0,0.6304815370143538,-658.2638595395717,
30,0,0,331,439,439,0,770,2600,4600,0.4438101824410622,0.1338993585404564,0.0,0.0,0.4222904590184815,-504.4866611756912,
31,0,70,475,849,849,0,1394,3800,6374,0.39019647304622074,0.5813388453981262,0.0,0.0,0.02846468155565305,-2728.8549812985616,
32,0,474,760,3424,3424,0,4658,4200,10058,0.3918994266276113,0.30105136024414614,0.0,0.0,0.3070492131282427,-2038.5467365057245,
33,0,0,0,529,529,0,529,3000,4729,0.38154464705813274,0.2684578113090385,0.0,0.0,0.34999754163282876,-822.0618526971014,
34,0,37,361,527,527,0,925,3000,5125,0.6779419271140165,0.3108341473939635,0.0,0.0,0.011223925492020006,-1553.683716028061,
35,0,0,14,322,322,0,336,2600,4166,0.3413574276868768,0.3629352398056306,0.0,0.0,0.2957073325074926,-963.1099581300174,
36,0,0,15,972,972,0,987,3400,5577,0.15308853604910305,0.2533504091446098,0.0,0.0,0.5935610548062871,-435.5484309004271,
37,0,0,211,1456,1456,0,1667,3400,6267,0.3837452651846434,0.008971904066234033,0.0,0.0,0.6072828307491226,213.99597068272612,
38,0,0,0,230,230,0,230,2600,4030,0.5513633270106602,0.18376468685876074,0.0,0.0,0.2648719861305792,-543.6811942351966,
39,0,114,586,773,773,0,1473,3400,6083,0.4744678535867602,0.2818965381020725,0.0,0.0,0.24363560831116735,-1469.009052655812,
40,0,0,0,526,526,0,526,2600,4346,0.29123184429580296,0.3209978575065599,0.0,0.0,0.38777029819763703,-783.815202764691,
41,0,0,35,329,329,0,364,2600,4164,0.4134631867687501,0.3641275184010778,0.0,0.0,0.2224092948301721,-1024.0594898275008,
42,0,0,22,238,238,0,260,2600,4060,0.2539895819499296,0.457507872777284,0.0,0.0,0.28850254527278646,-1186.8941547529969,
43,0,0,96,679,679,0,775,3000,4975,0.020177905026025462,0.5117191766420414,0.0,0.0,0.4681029183319332,-1232.9535247739113,
44,0,0,0,316,316,0,316,2600,4106,0.37337598533198,0.33835057794329393,0.0,0.0,0.28827343672472605,-906.6039080124566,
45,0,0,21,296,296,0,317,2600,4117,0.25081756072457934,0.5976689125861442,0.0,0.0,0.1515135266892764,-1588.600335573641,
46,0,0,337,587,587,0,924,2600,4754,0.06925543335563221,0.4032539037286671,0.0,0.0,0.5274906629157007,-802.8151509836223,
47,0,59,23,508,508,0,590,2600,4390,0.30512242823041136,0.519343517091936,0.0,0.0,0.17553405467765254,-1441.144077318729,
48,0,0,121,414,414,0,535,2600,4345,0.09675014811309347,0.5810524121847843,0.0,0.0,0.32219743970212217,-1429.1078608842654,
49,0,0,36,272,272,0,308,2200,3758,0.28658749668773187,0.4550196484051018,0.0,0.0,0.25839285490716635,-1019.029318936296,
50,0,0,0,352,352,0,352,2600,4182,0.2682595839834253,0.41796639540859765,0.0,0.0,0.31377402060797704,-1070.6915463705116,
51,0,147,751,707,751,0,1605,4200,6995,0.6740443892768813,0.08352611439567316,0.0,0.0,0.2424294963274456,-1250.5863735093103,
52,0,0,0,1110,1110,0,1110,3400,5690,0.15155287897106712,0.2391848803540772,0.0,0.0,0.6092622406748558,-305.1712017126571,
53,0,0,109,1207,1207,0,1316,3400,5916,0.04545704447372599,0.08397914219261053,0.0,0.0,0.8705638133336635,705.4199687114326,
54,0,0,104,324,324,0,428,2600,4198,0.46424379195591814,0.07436594157308954,0.0,0.0,0.46139026647099224,-242.5573447105643,
55,0,0,216,1461,1461,0,1677,3400,6277,0.06473900916027937,0.1559308558377314,0.0,0.0,0.7793301350019892,499.869099027831,
56,0,0,328,633,633,0,961,2600,4791,0.18325860834986957,0.5155787806969284,0.0,0.0,0.30116261095320207,-1325.9804197028616,
57,0,0,172,364,364,0,536,2600,4316,0.43454066846769596,0.1964043156477561,0.0,0.0,0.3690550158845479,-609.2289932008755,
58,0,0,0,298,298,0,298,2600,4088,0.4558869778967082,0.10507607107919133,0.0,0.0,0.4390369510241005,-278.2190928139345,
59,0,0,103,1205,1205,0,1308,3400,5918,0.020121341842769334,0.28493223735591006,0.0,0.0,0.6949464208013206,-157.6778850748451,
60,0,0,53,218,218,0,271,2600,4061,0.49794363763915567,0.11068832886527781,0.0,0.0,0.39136803349556654,-337.41414954789997,
61,0,327,396,2016,2016,0,2739,3800,7749,0.09518876722180282,0.4102377823051728,0.0,0.0,0.4945734504730244,-822.5655300265573,
62,0,89,370,830,830,0,1289,3000,5529,0.31487852719582615,0.6480312803541659,0.0,0.0,0.03709019245000795,-2319.187402884411,
63,0,0,83,196,196,0,279,2600,4089,0.3727480441555933,0.07236128906176494,0.0,0.0,0.5548906667826418,-183.3774851906016,
64,0,8,176,584,584,0,768,2600,4568,0.23365982061314566,0.44098156941059874,0.0,0.0,0.3253586099762556,-1135.9933944723196,
65,0,0,349,675,675,0,1024,2600,4834,0.4582841717491642,0.3068211383301632,0.0,0.0,0.23489468992067258,-1108.4640358331146,
66,0,0,41,314,314,0,355,2600,4115,0.22068770820354067,0.6104231923648293,0.0,0.0,0.1688890994316299,-1612.4132593392812,
67,0,0,341,695,695,0,1036,2600,4856,0.08507697705322476,0.5236537452858522,0.0,0.0,0.39126927766092306,-1177.7073379960152,
68,0,0,193,493,493,0,686,2600,4496,0.7990316414933625,0.030861720215415722,0.0,0.0,0.17010663829122188,-544.5136059469552,
69,0,0,180,215,215,0,395,2600,4185,0.30757368309421673,0.5152786769420107,0.0,0.0,0.17714763996377264,-1423.1294222792324,
70,0,25,163,1253,1253,0,1441,3400,6041,0.1309652037374363,0.09221242897704243,0.0,0.0,0.7768223672855213,471.1153091011683,
71,0,0,117,454,454,0,571,2600,4371,0.4243352234824773,0.2716619358395767,0.0,0.0,0.304002840677946,-810.5991561236065,
72,0,0,139,572,572,0,711,2600,4511,0.42466258681272345,0.2761853171704198,0.0,0.0,0.2991520960168567,-848.9019249452957,
73,0,0,87,492,492,0,579,2600,4369,0.6137050742024686,0.38460948500843106,0.0,0.0,0.001685440789100323,-1354.4906621169127,
74,0,77,336,634,634,0,1047,2600,4817,0.4682562501892108,0.4847173083881807,0.0,0.0,0.04702644142260853,-1720.71453189544,
75,0,90,267,420,420,0,777,2600,4557,0.25224345484992233,0.34645588820397455,0.0,0.0,0.40130065694610306,-928.23219783136,
76,24,488,659,1264,1264,24,2435,4200,7815,0.6403605507155554,0.30306259381820333,0.0,0.0,0.05657685546624118,-2761.985534250692,
77,0,354,2044,2849,2849,0,5247,4600,11077,0.19123291122660444,0.28518982073654503,0.0,0.0,0.5235772680368506,-823.6006239571136,
78,0,83,245,681,681,0,1009,2600,4799,0.5250164518279181,0.09213624812228936,0.0,0.0,0.38284730004979245,-508.57683367841304,
79,0,66,272,272,272,0,610,2600,4420,0.6356893470797539,0.11791121624627954,0.0,0.0,0.24639943667396666,-627.3190171836577,
80,0,0,284,419,419,0,703,2600,4483,0.7038655163821415,0.032841816778945265,0.0,0.0,0.2632926668389133,-469.8865542363985,
81,0,95,402,1375,1375,0,1872,3000,6072,0.43993247704113997,0.3845663407399419,0.0,0.0,0.17550118221891822,-1735.938493689827,
82,0,0,282,577,577,0,859,2600,4639,0.28284037519257965,0.5548220194166459,0.0,0.0,0.16233760539077444,-1591.8283344632282,
83,0,73,96,1368,1368,0,1537,3400,6137,0.3247152640969117,0.20496634165651753,0.0,0.0,0.47031839424657085,-552.5773592198038,
84,0,108,856,1046,1046,0,2010,3400,6620,0.23624141204202467,0.20637101109774464,0.0,0.0,0.5573875768602307,-593.4792705410002,
85,0,105,419,1866,1866,0,2390,3800,7410,0.3910153310291414,0.06358181567993919,0.0,0.0,0.5454028532909193,-158.41581650256137,
86,8,94,1136,2150,2150,8,3388,3400,7988,0.4125498803826194,0.40156473895923284,0.0,0.0,0.18588538065814772,-2364.8726218279535,
87,0,0,174,446,446,0,620,2600,4400,0.4163607770497127,0.579221631611194,0.0,0.0,0.00441759133909332,-1762.1496782226905,
88,270,598,1566,2376,2376,270,4810,3400,9460,0.03166913243962935,0.7200503041082118,0.0,0.0,0.24828056345215885,-2077.620694372291,
89,0,84,261,420,420,0,765,2600,4525,0.5039821821085075,0.2929432566036237,0.0,0.0,0.20307456128786866,-1061.907520741525,
90,0,0,77,472,472,0,549,2600,4359,0.47208668780776736,0.24135345663499613,0.0,0.0,0.2865598555572365,-751.4383270344385,
91,0,0,70,1236,1236,0,1306,3000,5496,0.1671357330300657,0.4146701759930105,0.0,0.0,0.4181940909769239,-945.4018988688192,
92,0,145,557,680,680,0,1382,3000,5552,0.19026283477423803,0.4520679560678664,0.0,0.0,0.3576692091578956,-1375.9320436342273,
93,0,70,411,785,785,0,1266,2600,5116,0.19872939179888952,0.40886081489302595,0.0,0.0,0.39240979330808445,-1006.5878409924153,
94,0,0,98,1306,1306,0,1404,3400,6024,0.043183667619732004,0.22704311612298933,0.0,0.0,0.7297732162572786,120.50735627573852,
95,0,179,316,770,770,0,1265,3000,5515,0.20945750221797113,0.36224222912506066,0.0,0.0,0.42830026865696835,-1021.8992208150498,
96,0,0,0,365,365,0,365,2600,4175,0.13900472535704034,0.46697906091353997,0.0,0.0,0.3940162137294197,-1121.0663651192856,
97,0,0,345,337,345,0,682,2600,4452,0.5971546724992584,0.28175089811852044,0.0,0.0,0.12109442938222104,-1098.0342436157812,
98,0,57,358,639,639,0,1054,3000,5234,0.5176516275774162,0.47962048372752186,0.0,0.0,0.0027278886950619363,-1982.7231457730177,
99,0,57,551,1167,1167,0,1775,2600,5585,0.42749552773085076,0.3838917587691924,0.0,0.0,0.18861271349995684,-1536.8120978677107,
100,0,165,744,1103,1103,0,2012,3000,6212,0.4016821786008036,0.49126985956833,0.0,0.0,0.10704796183086639,-2163.9202201503613,
101,17,307,1645,819,1645,17,2788,4200,8168,0.47485066456489183,0.024000417733796433,0.0,0.0,0.5011489177013118,-608.8149692711279,
102,0,63,760,1677,1677,0,2500,3000,6670,0.43703968943411864,0.5516881893690293,0.0,0.0,0.011272121196852043,-2728.7604444452636,
103,0,0,230,581,581,0,811,2600,4611,0.11614294700765888,0.6815230227454999,0.0,0.0,0.20233403024684118,-1748.5957175880965,
104,0,0,467,687,687,0,1154,3000,5364,0.1865879656987408,0.12115357157227437,0.0,0.0,0.692258462728985,-103.2016632383573,
105,0,170,982,1032,1032,0,2184,3000,6364,0.23057505431889488,0.3922174311860408,0.0,0.0,0.37720751449506423,-1290.9500572316826,
106,0,345,307,708,708,0,1360,3400,5960,0.5152235477818268,0.34755774750002816,0.0,0.0,0.137218704718145,-1785.2495235429335,
107,0,235,649,1810,1810,0,2694,3000,6904,0.14449722414455868,0.24958182381846028,0.0,0.0,0.6059209520369812,-41.30407011388593,
108,0,75,43,940,940,0,1058,2600,4848,0.2712933510585381,0.4174418102622339,0.0,0.0,0.31126483867922805,-1079.788123743267,
109,0,147,1146,1089,1146,0,2382,3400,6972,0.3142347686937967,0.26364521397409435,0.0,0.0,0.42212001733210897,-1161.1514066779478,
110,0,78,396,2233,2233,0,2707,4200,8077,0.016978695439877834,0.17848924082510945,0.0,0.0,0.8045320637350127,1000.9039582990745,
111,0,287,1105,864,1105,0,2256,3400,6846,0.5486870901233326,0.23025428827627112,0.0,0.0,0.2210586216003963,-1776.4328785891223,
112,0,0,248,618,618,0,866,2600,4666,0.09953901455369127,0.17164134372779324,0.0,0.0,0.7288196417185155,-82.0577417137165,
113,0,46,856,1082,1082,0,1984,3400,6564,0.7295440162348497,0.013369079574709765,0.0,0.0,0.2570869041904405,-1214.7021684298984,
114,0,356,705,768,768,0,1829,4200,7219,0.5920266749439511,0.36633634860996706,0.0,0.0,0.04163697644608188,-2589.4522547237575,
115,0,17,0,426,426,0,443,2200,3893,0.5829928007426658,0.02251389455765877,0.0,0.0,0.3944933046996754,-139.74223095378852,
116,0,0,293,592,592,0,885,3000,5085,0.23192173623082807,0.40106593896342485,0.0,0.0,0.3670123248057471,-1191.1772571695549,
117,104,789,1470,830,1470,104,3193,3400,7783,0.14799020177666647,0.2417698017489513,0.0,0.0,0.6102399964743822,-460.96220503532436,
118,147,1817,1087,4741,4741,147,7792,5400,14392,0.3366243926917358,0.1575773995297335,0.0,0.0,0.5057982077785308,-1150.2582587799957,
119,0,192,1059,2175,2175,0,3426,3400,8046,0.3788719397414232,0.05831369532232026,0.0,0.0,0.5628143649362565,-272.16058591364686,
120,0,0,86,1370,1370,0,1456,3000,5636,0.2872482295670734,0.306964182545252,0.0,0.0,0.40578758788767455,-783.1969744793007,
121,0,0,403,780,780,0,1183,2600,4993,0.3115008334732561,0.49242434823625575,0.0,0.0,0.1960748182904882,-1495.8704331465462,
122,0,0,286,1636,1636,0,1922,3400,6532,0.08976205705431069,0.27330343490814707,0.0,0.0,0.6369345080375423,-59.72949719666599,
123,0,0,545,784,784,0,1329,2600,5119,0.2822592795310015,0.3088331870283796,0.0,0.0,0.4089075334406191,-857.5053625530427,
124,0,0,0,656,656,0,656,3400,5226,0.4145724722993257,0.27034896506051265,0.0,0.0,0.3150785626401616,-984.4544859421546,
125,0,0,429,499,499,0,928,2600,4738,0.10218717902842729,0.5602564915461151,0.0,0.0,0.33755632942545766,-1383.0559717749763,
126,0,0,418,510,510,0,928,2600,4708,0.49982302478990437,0.4002051799217351,0.0,0.0,0.09997179528836052,-1453.3836192044787,
127,6,0,184,437,437,0,627,2600,4427,0.7929302998300337,0.03277064073934723,0.0,0.0,0.17429905943061913,-506.2022749445533,
128,0,41,16,442,442,0,499,2200,3909,0.3558121477558712,0.4408111455823769,0.0,0.0,0.2033767066617519,-1057.4422776669144,
129,0,0,0,1257,1257,0,1257,3400,5817,0.09502671517122518,0.37306619466052193,0.0,0.0,0.5319070901682528,-719.2664304745108,
130,0,0,106,694,694,0,800,2600,4590,0.454837839662383,0.2722398114952226,0.0,0.0,0.2729223488423944,-882.2856715208633,
131,0,365,1913,928,1913,0,3206,4200,8586,0.33529788490436574,0.12885496094387988,0.0,0.0,0.5358471541517543,-591.0802490753861,
132,0,0,584,555,584,0,1139,2600,4979,0.2424226942385288,0.687439873516796,0.0,0.0,0.07013743224467513,-2022.5028594504638,
133,0,49,557,1169,1169,0,1775,2600,5565,0.4180242119886175,0.2964903484065856,0.0,0.0,0.28548543960479683,-1179.135403238911,
134,0,0,74,344,344,0,418,3000,4578,0.4065652297979447,0.17975058480605577,0.0,0.0,0.4136841853959995,-566.8886606974843,
135,9,0,616,560,616,0,1185,2600,4985,0.04853345371755247,0.4872206337193439,0.0,0.0,0.46424591256310366,-1038.310308186722,
136,45,298,1456,1664,1664,45,3463,3800,8473,0.1981074563862667,0.3000861792316328,0.0,0.0,0.5018063643821005,-1013.9490986112254,
