Thu Feb 02 16:03:50 JST 2023
WPSCE-3000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,358,376,376,0,734,3000,4914,0.4543215620168933,0.1495016360187475,0.0,0.0,0.39617680196435917,-633.0144570380431,
1,0,0,116,212,212,0,328,2600,4128,0.3716154142117468,0.40341952640234396,0.0,0.0,0.2249650593859092,-1123.0880319177347,
2,0,0,274,586,586,0,860,3000,5060,0.17125507595668282,0.43786045780528315,0.0,0.0,0.390884466238034,-1231.8024415231087,
3,0,0,434,660,660,0,1094,3400,5664,0.699761335275362,0.2044114976207567,0.0,0.0,0.09582716710388137,-1397.292062413257,
4,0,0,118,766,766,0,884,3000,5114,0.20458532515872774,0.03242922979703278,0.0,0.0,0.7629854450442395,306.3057340724738,
5,0,0,0,228,228,0,228,2600,4038,0.5693130560047955,0.06167830204740373,0.0,0.0,0.3690086419478008,-206.03299172824447,
6,0,0,276,314,314,0,590,3000,4780,0.1886262726970221,0.356461173592494,0.0,0.0,0.45491255371048384,-1037.8304798036331,
7,0,312,868,795,868,0,1975,3400,6545,0.2477505977846398,0.3794525664416449,0.0,0.0,0.37279683577371536,-1455.8585030746713,
8,0,0,0,106,106,0,106,2600,3896,0.3744111011250723,0.3843031752734579,0.0,0.0,0.24128572360146974,-1013.2995457284925,
9,0,0,415,1122,1122,0,1537,3800,6527,0.8056122925849492,0.11998152040174598,0.0,0.0,0.0744061870133051,-1610.6721294007734,
10,0,0,313,515,515,0,828,3000,4978,0.4050453394902673,0.29899351798950236,0.0,0.0,0.2959611425202304,-1079.9381066685298,
11,0,0,964,2553,2553,0,3517,3800,8547,0.23453229733852135,0.7581222498288338,0.0,0.0,0.007345452832644802,-3686.9616980074056,
12,0,0,0,619,619,0,619,2600,4449,0.09423939247880211,0.4592403448675478,0.0,0.0,0.4465202626536501,-975.9630380173933,
13,0,0,0,74,74,0,74,2600,3854,0.31867566649456314,0.3602793086467472,0.0,0.0,0.3210450248586898,-936.5508699625973,
14,0,0,0,298,298,0,298,2600,4058,0.6070331245884822,0.1773669391317296,0.0,0.0,0.21559993627978805,-577.8011318584878,
15,0,47,522,2113,2113,0,2682,4200,8102,0.5489962102956027,0.006215088492109338,0.0,0.0,0.44478870121228786,-558.6726820181016,
16,0,0,424,370,424,0,794,3000,4974,0.4549886099404452,0.4204060821950235,0.0,0.0,0.12460530786453117,-1569.6465523432228,
17,0,222,1072,747,1072,0,2041,3400,6611,0.44936565558705155,0.5424650296411623,0.0,0.0,0.00816931477178615,-2752.7788983977694,
18,0,0,130,284,284,0,414,2600,4184,0.19380355206287048,0.4197518865759242,0.0,0.0,0.3864445613612053,-1061.839320224849,
19,0,0,352,617,617,0,969,3000,5219,0.4853620300850943,0.4314418188702202,0.0,0.0,0.08319615104468563,-1713.3092385685459,
20,0,0,0,249,249,0,249,2600,4059,0.4070150805637843,0.30642191621084863,0.0,0.0,0.286563003225367,-826.6895494054723,
21,0,0,401,593,593,0,994,3000,5164,0.47098227183460667,0.25846018048159236,0.0,0.0,0.27055754768380097,-1083.0962938718822,
22,0,36,248,511,511,0,795,3400,5385,0.3634302997659914,0.2138556709137386,0.0,0.0,0.42271402932027,-800.0295004380164,
23,0,0,73,507,507,0,580,3000,4770,0.7076812883669884,0.25780905558626743,0.0,0.0,0.03450965604674412,-1166.3859183959562,
24,0,262,702,2339,2339,0,3303,4200,8693,0.12255896795797216,0.04980740360170928,0.0,0.0,0.8276336284403185,1321.831690629544,
25,0,0,113,365,365,0,478,2600,4258,0.3562201874616094,0.3625119121508155,0.0,0.0,0.28126790038757504,-1010.1414375573046,
26,0,0,82,150,150,0,232,2600,3992,0.4703183172352956,0.23968661579328862,0.0,0.0,0.2899950669714157,-688.7997906154266,
27,0,0,147,412,412,0,559,2600,4349,0.9316230379757473,0.05720178133250925,0.0,0.0,0.011175180691743499,-664.8977352479684,
28,0,0,0,1396,1396,0,1396,3400,5986,0.27411288887328233,0.06719164763184564,0.0,0.0,0.6586954634948721,308.4256722234642,
29,0,32,101,1151,1151,0,1284,3400,5874,0.004360763237205565,0.3651576997484406,0.0,0.0,0.6304815370143538,-521.4511500377488,
30,0,0,143,461,461,0,604,2600,4434,0.4438101824410622,0.1338993585404564,0.0,0.0,0.4222904590184815,-421.5237807920683,
31,0,0,485,699,699,0,1184,3400,5764,0.39019647304622074,0.5813388453981262,0.0,0.0,0.02846468155565305,-2418.647886032953,
