Mon Jan 30 15:36:13 JST 2023
WPSCE-3000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,50,445,445,0,495,2600,4275,0.4543215620168933,0.1495016360187475,0.0,0.0,0.39617680196435917,-437.29474997296586,
1,0,394,1198,757,1198,0,2349,4600,8149,0.3716154142117468,0.40341952640234396,0.0,0.0,0.2249650593859092,-2459.1462882898563,
2,0,145,207,1159,1159,0,1511,3000,5711,0.17125507595668282,0.43786045780528315,0.0,0.0,0.390884466238034,-1119.3126968165157,
3,0,0,451,510,510,0,961,3000,5131,0.699761335275362,0.2044114976207567,0.0,0.0,0.09582716710388137,-1236.8332808389134,
4,0,0,233,960,960,0,1193,3000,5423,0.20458532515872774,0.03242922979703278,0.0,0.0,0.7629854450442395,391.10804493700937,
5,0,0,0,115,115,0,115,2600,3925,0.5693130560047955,0.06167830204740373,0.0,0.0,0.3690086419478008,-183.39859293980413,
6,0,0,85,98,98,0,183,2600,3973,0.1886262726970221,0.356461173592494,0.0,0.0,0.45491255371048384,-916.736228980412,
7,0,170,814,685,814,0,1669,3400,6239,0.2477505977846398,0.3794525664416449,0.0,0.0,0.37279683577371536,-1400.1778492843523,
8,0,0,209,408,408,0,617,2600,4407,0.3744111011250723,0.3843031752734579,0.0,0.0,0.24128572360146974,-1131.7553298757607,
9,0,0,0,270,270,0,270,2600,4060,0.8056122925849492,0.11998152040174598,0.0,0.0,0.0744061870133051,-509.3776015488834,
10,0,97,767,689,767,0,1553,3400,6103,0.4050453394902673,0.29899351798950236,0.0,0.0,0.2959611425202304,-1418.6111770796765,
11,0,0,398,1136,1136,0,1534,3000,5764,0.23453229733852135,0.7581222498288338,0.0,0.0,0.007345452832644802,-2625.794859185908,
12,0,0,0,423,423,0,423,2600,4253,0.09423939247880211,0.4592403448675478,0.0,0.0,0.4465202626536501,-1045.0100885716633,
13,0,0,100,193,193,0,293,2600,4073,0.31867566649456314,0.3602793086467472,0.0,0.0,0.3210450248586898,-968.1364829667227,
14,0,0,273,604,604,0,877,3000,5037,0.6070331245884822,0.1773669391317296,0.0,0.0,0.21559993627978805,-934.2465061462958,
15,0,0,12,416,416,0,428,2600,4248,0.5489962102956027,0.006215088492109338,0.0,0.0,0.44478870121228786,-66.09750838169052,
16,0,36,501,580,580,0,1117,3000,5297,0.4549886099404452,0.4204060821950235,0.0,0.0,0.12460530786453117,-1697.1694453271198,
17,0,231,891,1278,1278,0,2400,3400,6970,0.44936565558705155,0.5424650296411623,0.0,0.0,0.00816931477178615,-2912.418289910533,
18,0,51,526,1671,1671,0,2248,3400,6818,0.19380355206287048,0.4197518865759242,0.0,0.0,0.3864445613612053,-1217.0779373609012,
19,0,0,269,556,556,0,825,2600,4675,0.4853620300850943,0.4314418188702202,0.0,0.0,0.08319615104468563,-1475.9153439019299,
20,0,0,0,244,244,0,244,2600,4054,0.4070150805637843,0.30642191621084863,0.0,0.0,0.286563003225367,-826.0872890187802,
21,0,0,0,330,330,0,330,2600,4100,0.47098227183460667,0.25846018048159236,0.0,0.0,0.27055754768380097,-738.136628221906,
22,0,0,70,255,255,0,325,2600,4115,0.3634302997659914,0.2138556709137386,0.0,0.0,0.42271402932027,-566.3475143229988,
23,0,0,107,381,381,0,488,2600,4278,0.7076812883669884,0.25780905558626743,0.0,0.0,0.03450965604674412,-1002.5038342935761,
24,0,0,0,1093,1093,0,1093,3400,5683,0.12255896795797216,0.04980740360170928,0.0,0.0,0.8276336284403185,601.301431661393,
25,0,0,178,411,411,0,589,2600,4369,0.3562201874616094,0.3625119121508155,0.0,0.0,0.28126790038757504,-1036.743554947715,
26,0,0,84,141,141,0,225,2600,3985,0.4703183172352956,0.23968661579328862,0.0,0.0,0.2899950669714157,-688.1175179975222,
27,0,0,233,429,429,0,662,2600,4452,0.9316230379757473,0.05720178133250925,0.0,0.0,0.011175180691743499,-760.6649300877107,
28,0,0,0,97,97,0,97,2600,3887,0.27411288887328233,0.06719164763184564,0.0,0.0,0.6586954634948721,-137.39377410450447,
29,0,0,3,1086,1086,0,1089,3400,5679,0.004360763237205565,0.3651576997484406,0.0,0.0,0.6304815370143538,-561.5821011124266,
30,0,95,1119,1345,1345,0,2559,3400,7189,0.4438101824410622,0.1338993585404564,0.0,0.0,0.4222904590184815,-1022.9874085243722,
31,0,109,407,1094,1094,0,1610,3400,6190,0.39019647304622074,0.5813388453981262,0.0,0.0,0.02846468155565305,-2573.62803433616,
32,0,0,0,571,571,0,571,2600,4371,0.3918994266276113,0.30105136024414614,0.0,0.0,0.3070492131282427,-831.1830085429194,
33,0,0,327,449,449,0,776,2600,4576,0.38154464705813274,0.2684578113090385,0.0,0.0,0.34999754163282876,-836.920059327471,
34,0,0,0,529,529,0,529,2600,4329,0.6779419271140165,0.3108341473939635,0.0,0.0,0.011223925492020006,-1160.8626060823412,
35,133,28,487,1529,1529,28,2177,3000,6407,0.3413574276868768,0.3629352398056306,0.0,0.0,0.2957073325074926,-1388.0841333974763,
36,0,0,125,1378,1378,0,1503,3400,6093,0.15308853604910305,0.2533504091446098,0.0,0.0,0.5935610548062871,-273.55632725041175,
37,0,0,102,1089,1089,0,1191,3000,5391,0.3837452651846434,0.008971904066234033,0.0,0.0,0.6072828307491226,177.37467965218207,
38,0,34,96,847,847,0,977,3000,5177,0.5513633270106602,0.18376468685876074,0.0,0.0,0.2648719861305792,-865.6294588130964,
39,0,141,378,1140,1140,0,1659,3400,6269,0.4744678535867602,0.2818965381020725,0.0,0.0,0.24363560831116735,-1467.8458051727507,
40,0,0,43,596,596,0,639,2600,4459,0.29123184429580296,0.3209978575065599,0.0,0.0,0.38777029819763703,-789.5804802962822,
41,0,0,0,525,525,0,525,2600,4325,0.4134631867687501,0.3641275184010778,0.0,0.0,0.2224092948301721,-1047.0348411105558,
42,0,25,807,1144,1144,0,1976,3400,6576,0.2539895819499296,0.457507872777284,0.0,0.0,0.28850254527278646,-1727.3632695837584,
43,0,0,136,310,310,0,446,2600,4246,0.020177905026025462,0.5117191766420414,0.0,0.0,0.4681029183319332,-1194.3573002280157,
44,0,0,141,1639,1639,0,1780,3800,6770,0.37337598533198,0.33835057794329393,0.0,0.0,0.28827343672472605,-1477.8612872836154,
45,0,235,630,541,630,0,1406,3000,5606,0.25081756072457934,0.5976689125861442,0.0,0.0,0.1515135266892764,-2050.202706322947,
46,0,171,395,2515,2515,0,3081,4600,8911,0.06925543335563221,0.4032539037286671,0.0,0.0,0.5274906629157007,-741.704930087584,
47,0,245,402,562,562,0,1209,3000,5409,0.30512242823041136,0.519343517091936,0.0,0.0,0.17553405467765254,-1828.2734282775348,
48,0,113,1159,1218,1218,0,2490,3800,7500,0.09675014811309347,0.5810524121847843,0.0,0.0,0.32219743970212217,-2056.4705535465987,
49,0,0,90,750,750,0,840,2600,4690,0.28658749668773187,0.4550196484051018,0.0,0.0,0.25839285490716635,-1229.9899418905845,
50,0,0,0,173,173,0,173,2600,4003,0.2682595839834253,0.41796639540859765,0.0,0.0,0.31377402060797704,-1078.8386305263064,
51,0,34,390,1149,1149,0,1573,3000,5763,0.6740443892768813,0.08352611439567316,0.0,0.0,0.2424294963274456,-1032.2986762393186,
52,0,12,339,1859,1859,0,2210,3800,7190,0.15155287897106712,0.2391848803540772,0.0,0.0,0.6092622406748558,-111.21590245699485,
53,0,24,288,1593,1593,0,1905,3400,6505,0.04545704447372599,0.08397914219261053,0.0,0.0,0.8705638133336635,1014.6834014632022,
54,0,0,82,1077,1077,0,1159,3800,6129,0.46424379195591814,0.07436594157308954,0.0,0.0,0.46139026647099224,-323.7318158653908,
55,0,66,533,1232,1232,0,1831,3000,6031,0.06473900916027937,0.1559308558377314,0.0,0.0,0.7793301350019892,373.80503303678506,
56,0,4,909,1520,1520,0,2433,3400,7063,0.18325860834986957,0.5155787806969284,0.0,0.0,0.30116261095320207,-1741.068879835922,
57,0,0,19,180,180,0,199,2600,3979,0.43454066846769596,0.1964043156477561,0.0,0.0,0.3690550158845479,-530.6949108500187,
58,0,164,348,583,583,0,1095,3000,5285,0.4558869778967082,0.10507607107919133,0.0,0.0,0.4390369510241005,-558.4659115874188,
59,0,0,161,1403,1403,0,1564,3400,6174,0.020121341842769334,0.28493223735591006,0.0,0.0,0.6949464208013206,-25.22955726793259,
60,0,0,25,105,105,0,130,2600,3920,0.49794363763915567,0.11068832886527781,0.0,0.0,0.39136803349556654,-311.42868442577804,
61,0,149,1108,2926,2926,0,4183,4600,9993,0.09518876722180282,0.4102377823051728,0.0,0.0,0.4945734504730244,-838.1464958085269,
62,0,21,260,676,676,0,957,2600,4797,0.31487852719582615,0.6480312803541659,0.0,0.0,0.03709019245000795,-1961.1471093510315,
63,0,0,306,525,525,0,831,3000,5041,0.3727480441555933,0.07236128906176494,0.0,0.0,0.5548906667826418,-235.51989181770585,
64,0,0,0,486,486,0,486,2600,4286,0.23365982061314566,0.44098156941059874,0.0,0.0,0.3253586099762556,-1101.9864688370853,
65,0,0,308,1350,1350,0,1658,3400,6268,0.4582841717491642,0.3068211383301632,0.0,0.0,0.23489468992067258,-1485.9191956897612,
66,0,85,499,966,966,0,1550,3000,5710,0.22068770820354067,0.6104231923648293,0.0,0.0,0.1688890994316299,-2010.1886547590216,
67,0,0,283,733,733,0,1016,2600,4836,0.08507697705322476,0.5236537452858522,0.0,0.0,0.39126927766092306,-1161.1375659038356,
68,0,0,239,803,803,0,1042,3000,5252,0.7990316414933625,0.030861720215415722,0.0,0.0,0.17010663829122188,-788.5805005344796,
69,0,0,31,533,533,0,564,2600,4354,0.30757368309421673,0.5152786769420107,0.0,0.0,0.17714763996377264,-1418.7764252136753,
70,0,362,850,2599,2599,0,3811,4200,9211,0.1309652037374363,0.09221242897704243,0.0,0.0,0.7768223672855213,1132.560739428122,
71,33,35,143,1018,1018,33,1229,3000,5429,0.4243352234824773,0.2716619358395767,0.0,0.0,0.304002840677946,-1037.0509991109182,
72,0,125,979,684,979,0,1788,3400,6388,0.42466258681272345,0.2761853171704198,0.0,0.0,0.2991520960168567,-1405.4568816000738,
73,0,0,337,425,425,0,762,2600,4552,0.6137050742024686,0.38460948500843106,0.0,0.0,0.001685440789100323,-1466.9116152288343,
74,0,0,39,350,350,0,389,2600,4159,0.4682562501892108,0.4847173083881807,0.0,0.0,0.04702644142260853,-1425.95742863496,
75,0,0,351,400,400,0,751,2600,4531,0.25224345484992233,0.34645588820397455,0.0,0.0,0.40130065694610306,-929.6998811441842,
76,0,377,599,1024,1024,0,2000,4200,7380,0.6403605507155554,0.30306259381820333,0.0,0.0,0.05657685546624118,-2495.649295470134,
77,0,85,727,957,957,0,1769,3000,5999,0.19123291122660444,0.28518982073654503,0.0,0.0,0.5235772680368506,-692.7970366582323,
78,0,50,594,853,853,0,1497,3000,5687,0.5250164518279181,0.09213624812228936,0.0,0.0,0.38284730004979245,-735.7896258107885,
79,0,0,382,206,382,0,588,2600,4398,0.6356893470797539,0.11791121624627954,0.0,0.0,0.24639943667396666,-586.2299135137669,
80,0,0,121,571,571,0,692,2600,4472,0.7038655163821415,0.032841816778945265,0.0,0.0,0.2632926668389133,-422.1235481966801,
81,0,0,379,426,426,0,805,2600,4605,0.43993247704113997,0.3845663407399419,0.0,0.0,0.17550118221891822,-1279.2546263167073,
82,0,0,505,1239,1239,0,1744,3000,5924,0.28284037519257965,0.5548220194166459,0.0,0.0,0.16233760539077444,-1956.603379506627,
83,22,10,885,2560,2560,10,3477,4200,8877,0.3247152640969117,0.20496634165651753,0.0,0.0,0.47031839424657085,-790.5817028935799,
84,0,127,1084,1180,1180,0,2391,3400,7001,0.23624141204202467,0.20637101109774464,0.0,0.0,0.5573875768602307,-608.7973132297407,
85,0,0,237,1678,1678,0,1915,3400,6535,0.3910153310291414,0.06358181567993919,0.0,0.0,0.5454028532909193,-49.78654441043636,
86,0,502,524,1372,1372,0,2398,3400,6998,0.4125498803826194,0.40156473895923284,0.0,0.0,0.18588538065814772,-2099.579983355934,
87,0,0,314,389,389,0,703,2600,4483,0.4163607770497127,0.579221631611194,0.0,0.0,0.00441759133909332,-1796.9594254241451,
88,0,0,180,690,690,0,870,2600,4720,0.03166913243962935,0.7200503041082118,0.0,0.0,0.24828056345215885,-1728.3693471218385,
89,89,390,1417,783,1417,89,2679,3400,7239,0.5039821821085075,0.2929432566036237,0.0,0.0,0.20307456128786866,-2076.4923209307226,
90,0,0,164,493,493,0,657,2600,4467,0.47208668780776736,0.24135345663499613,0.0,0.0,0.2865598555572365,-796.4059323509755,
91,0,0,376,458,458,0,834,2600,4624,0.1671357330300657,0.4146701759930105,0.0,0.0,0.4181940909769239,-1026.000765261471,
92,0,452,1286,867,1286,0,2605,3400,7175,0.19026283477423803,0.4520679560678664,0.0,0.0,0.3576692091578956,-1572.703132240582,
93,22,111,1791,3094,3094,22,5018,4600,10868,0.19872939179888952,0.40886081489302595,0.0,0.0,0.39240979330808445,-1672.500951512311,
94,30,0,32,1025,1025,0,1087,3000,5307,0.043183667619732004,0.22704311612298933,0.0,0.0,0.7297732162572786,19.947551592093987,
95,35,0,162,438,438,0,635,2200,4085,0.20945750221797113,0.36224222912506066,0.0,0.0,0.42830026865696835,-742.3429003117931,
96,0,0,385,1480,1480,0,1865,3000,6075,0.13900472535704034,0.46697906091353997,0.0,0.0,0.3940162137294197,-1077.0369992119588,
97,0,0,138,132,138,0,270,2600,4040,0.5971546724992584,0.28175089811852044,0.0,0.0,0.12109442938222104,-877.0730654282063,
98,0,0,0,123,123,0,123,2600,3903,0.5176516275774162,0.47962048372752186,0.0,0.0,0.0027278886950619363,-1310.3488775740864,
99,0,0,134,1117,1117,0,1251,2600,5061,0.42749552773085076,0.3838917587691924,0.0,0.0,0.18861271349995684,-1322.2350770117428,
100,26,0,184,570,570,0,780,2600,4580,0.4016821786008036,0.49126985956833,0.0,0.0,0.10704796183086639,-1529.5963959426908,
101,0,13,893,2542,2542,0,3448,4200,8828,0.47485066456489183,0.024000417733796433,0.0,0.0,0.5011489177013118,-464.1662971049575,
102,0,0,289,452,452,0,741,2600,4511,0.43703968943411864,0.5516881893690293,0.0,0.0,0.011272121196852043,-1753.1407034491808,
103,0,0,0,501,501,0,501,2600,4301,0.11614294700765888,0.6815230227454999,0.0,0.0,0.20233403024684118,-1728.7781264354696,
104,0,0,307,1026,1026,0,1333,2600,5143,0.1865879656987408,0.12115357157227437,0.0,0.0,0.692258462728985,146.53613839560376,
105,0,71,455,1611,1611,0,2137,3000,6317,0.23057505431889488,0.3922174311860408,0.0,0.0,0.37720751449506423,-1061.7098787860523,
106,0,27,745,988,988,0,1760,3000,5960,0.5152235477818268,0.34755774750002816,0.0,0.0,0.137218704718145,-1813.894606334572,
107,0,0,330,506,506,0,836,2600,4646,0.14449722414455868,0.24958182381846028,0.0,0.0,0.6059209520369812,-463.11641958213534,
108,0,0,0,1041,1041,0,1041,3000,5231,0.2712933510585381,0.4174418102622339,0.0,0.0,0.31126483867922805,-1210.7151121735637,
109,0,0,88,1104,1104,0,1192,3000,5382,0.3142347686937967,0.26364521397409435,0.0,0.0,0.42212001733210897,-699.4829870706404,
110,0,314,708,2700,2700,0,3722,4200,9092,0.016978695439877834,0.17848924082510945,0.0,0.0,0.8045320637350127,1359.3870561918498,
111,0,0,337,310,337,0,647,2600,4437,0.5486870901233326,0.23025428827627112,0.0,0.0,0.2210586216003963,-879.1649413487676,
112,0,50,238,1244,1244,0,1532,3000,5732,0.09953901455369127,0.17164134372779324,0.0,0.0,0.7288196417185155,239.2338328181985,
113,0,70,185,950,950,0,1205,2600,4985,0.7295440162348497,0.013369079574709765,0.0,0.0,0.2570869041904405,-669.6275874763207,
114,0,0,442,957,957,0,1399,2600,5189,0.5920266749439511,0.36633634860996706,0.0,0.0,0.04163697644608188,-1740.8732381736015,
115,0,0,218,394,394,0,612,2200,4062,0.5829928007426658,0.02251389455765877,0.0,0.0,0.3944933046996754,-250.8918000296886,
116,0,0,260,421,421,0,681,2600,4481,0.23192173623082807,0.40106593896342485,0.0,0.0,0.3670123248057471,-1046.1979549348791,
117,0,0,680,1735,1735,0,2415,3000,6605,0.14799020177666647,0.2417698017489513,0.0,0.0,0.6102399964743822,-23.939348654450214,
118,0,151,451,1752,1752,0,2354,3400,6954,0.3366243926917358,0.1575773995297335,0.0,0.0,0.5057982077785308,-442.018518769454,
119,0,216,1632,3602,3602,0,5450,3800,10470,0.3788719397414232,0.05831369532232026,0.0,0.0,0.5628143649362565,-259.1867713151771,
120,0,0,204,888,888,0,1092,2600,4872,0.2872482295670734,0.306964182545252,0.0,0.0,0.40578758788767455,-751.4425632606444,
