Mon Jan 30 23:01:25 JST 2023
WPSCE-3000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,43,468,468,0,511,2600,4291,0.4543215620168933,0.1495016360187475,0.0,0.0,0.39617680196435917,-435.45182852005587,
1,0,0,162,423,423,0,585,2600,4385,0.3716154142117468,0.40341952640234396,0.0,0.0,0.2249650593859092,-1171.1255658397267,
2,0,0,329,553,553,0,882,3000,5082,0.17125507595668282,0.43786045780528315,0.0,0.0,0.390884466238034,-1248.4692405800108,
3,0,0,437,367,437,0,804,3000,4974,0.699761335275362,0.2044114976207567,0.0,0.0,0.09582716710388137,-1133.9661343992648,
4,0,0,0,625,625,0,625,2600,4455,0.20458532515872774,0.03242922979703278,0.0,0.0,0.7629854450442395,264.68407745615957,
5,0,0,0,157,157,0,157,2600,3967,0.5693130560047955,0.06167830204740373,0.0,0.0,0.3690086419478008,-191.8113783301979,
6,0,0,990,969,990,0,1959,3800,6949,0.1886262726970221,0.356461173592494,0.0,0.0,0.45491255371048384,-1273.7078996915643,
7,0,0,0,348,348,0,348,2600,4118,0.2477505977846398,0.3794525664416449,0.0,0.0,0.37279683577371536,-943.0605819280785,
8,0,0,126,506,506,0,632,2600,4422,0.3744111011250723,0.3843031752734579,0.0,0.0,0.24128572360146974,-1113.7254954796927,
9,0,0,0,517,517,0,517,2600,4307,0.8056122925849492,0.11998152040174598,0.0,0.0,0.0744061870133051,-689.9855096250797,
10,0,0,0,313,313,0,313,2600,4063,0.4050453394902673,0.29899351798950236,0.0,0.0,0.2959611425202304,-811.5265004243277,
11,0,0,10,340,340,0,350,2600,4180,0.23453229733852135,0.7581222498288338,0.0,0.0,0.007345452832644802,-2050.706699660351,
12,0,0,0,634,634,0,634,2600,4464,0.09423939247880211,0.4592403448675478,0.0,0.0,0.4465202626536501,-970.6788249647705,
13,0,0,156,495,495,0,651,2600,4431,0.31867566649456314,0.3602793086467472,0.0,0.0,0.3210450248586898,-985.2667740644519,
14,0,0,237,522,522,0,759,2600,4519,0.6070331245884822,0.1773669391317296,0.0,0.0,0.21559993627978805,-809.3490165671055,
15,0,0,23,272,272,0,295,2600,4115,0.5489962102956027,0.006215088492109338,0.0,0.0,0.44478870121228786,-57.13058538694479,
16,88,414,673,780,780,88,1955,3400,6535,0.4549886099404452,0.4204060821950235,0.0,0.0,0.12460530786453117,-2232.656538854395,
17,0,0,446,515,515,0,961,3000,5131,0.44936565558705155,0.5424650296411623,0.0,0.0,0.00816931477178615,-2055.0282868351737,
18,0,0,164,457,457,0,621,2600,4391,0.19380355206287048,0.4197518865759242,0.0,0.0,0.3864445613612053,-1035.1017463863745,
19,0,137,660,800,800,0,1597,3000,5847,0.4853620300850943,0.4314418188702202,0.0,0.0,0.08319615104468563,-2002.8916978208078,
20,0,0,10,556,556,0,566,2600,4376,0.4070150805637843,0.30642191621084863,0.0,0.0,0.286563003225367,-867.7384879540043,
21,0,0,0,522,522,0,522,2600,4292,0.47098227183460667,0.25846018048159236,0.0,0.0,0.27055754768380097,-776.6181752588608,
22,0,0,396,442,442,0,838,2600,4628,0.3634302997659914,0.2138556709137386,0.0,0.0,0.42271402932027,-673.7397346200618,
23,0,0,387,637,637,0,1024,3000,5214,0.7076812883669884,0.25780905558626743,0.0,0.0,0.03450965604674412,-1476.1101551448226,
24,0,0,0,1091,1091,0,1091,3400,5681,0.12255896795797216,0.04980740360170928,0.0,0.0,0.8276336284403185,599.8912823404282,
25,0,0,171,478,478,0,649,2600,4429,0.3562201874616094,0.3625119121508155,0.0,0.0,0.28126790038757504,-1039.271816869444,
26,0,0,41,343,343,0,384,2600,4144,0.4703183172352956,0.23968661579328862,0.0,0.0,0.2899950669714157,-704.3191269097083,
27,0,0,161,519,519,0,680,2600,4470,0.9316230379757473,0.05720178133250925,0.0,0.0,0.011175180691743499,-776.4283785090173,
28,0,0,417,2707,2707,0,3124,4600,8914,0.27411288887328233,0.06719164763184564,0.0,0.0,0.6586954634948721,617.6783757339947,
29,0,0,12,832,832,0,844,3000,5034,0.004360763237205565,0.3651576997484406,0.0,0.0,0.6304815370143538,-574.5929446215807,
30,0,0,149,554,554,0,703,2600,4533,0.4438101824410622,0.1338993585404564,0.0,0.0,0.4222904590184815,-426.1879761650147,
31,66,224,1082,1049,1082,66,2421,3800,7401,0.39019647304622074,0.5813388453981262,0.0,0.0,0.02846468155565305,-3124.8331572972365,
32,0,0,24,722,722,0,746,2600,4546,0.3918994266276113,0.30105136024414614,0.0,0.0,0.3070492131282427,-853.4009770203868,
