Mon Jan 30 17:15:11 JST 2023
WPSCE-3000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,0,141,141,0,141,2600,3921,0.4543215620168933,0.1495016360187475,0.0,0.0,0.39617680196435917,-396.9026648161508,
1,0,0,221,298,298,0,519,2600,4319,0.3716154142117468,0.40341952640234396,0.0,0.0,0.2249650593859092,-1174.71958092499,
2,0,62,432,809,809,0,1303,3000,5503,0.17125507595668282,0.43786045780528315,0.0,0.0,0.390884466238034,-1220.5012042008377,
3,0,87,363,646,646,0,1096,3000,5266,0.699761335275362,0.2044114976207567,0.0,0.0,0.09582716710388137,-1318.2685663749594,
4,0,0,28,438,438,0,466,2600,4296,0.20458532515872774,0.03242922979703278,0.0,0.0,0.7629854450442395,154.53486593312456,
5,0,361,905,1264,1264,0,2530,3800,7540,0.5693130560047955,0.06167830204740373,0.0,0.0,0.3690086419478008,-1208.3126560502465,
6,0,0,169,184,184,0,353,3000,4543,0.1886262726970221,0.356461173592494,0.0,0.0,0.45491255371048384,-1052.2646851568018,
7,0,0,0,307,307,0,307,2600,4077,0.2477505977846398,0.3794525664416449,0.0,0.0,0.37279683577371536,-948.1874776856304,
8,0,0,178,452,452,0,630,2600,4420,0.3744111011250723,0.3843031752734579,0.0,0.0,0.24128572360146974,-1126.0061023519218,
9,0,0,0,346,346,0,346,2600,4136,0.8056122925849492,0.11998152040174598,0.0,0.0,0.0744061870133051,-564.9492655723285,
10,0,0,0,271,271,0,271,2600,4021,0.4050453394902673,0.29899351798950236,0.0,0.0,0.2959611425202304,-806.9449641515861,
11,0,0,36,478,478,0,514,2600,4344,0.23453229733852135,0.7581222498288338,0.0,0.0,0.007345452832644802,-2088.156323932964,
12,0,0,0,444,444,0,444,2600,4274,0.09423939247880211,0.4592403448675478,0.0,0.0,0.4465202626536501,-1037.6121902979917,
13,0,0,165,669,669,0,834,2600,4614,0.31867566649456314,0.3602793086467472,0.0,0.0,0.3210450248586898,-987.722586707545,
14,0,0,108,360,360,0,468,2600,4228,0.6070331245884822,0.1773669391317296,0.0,0.0,0.21559993627978805,-667.629566989183,
15,0,0,38,481,481,0,519,2600,4339,0.5489962102956027,0.006215088492109338,0.0,0.0,0.44478870121228786,-87.14489793979166,
16,0,377,542,571,571,0,1490,3400,6070,0.4549886099404452,0.4204060821950235,0.0,0.0,0.12460530786453117,-2036.164077483696,
17,0,0,399,632,632,0,1031,3000,5201,0.44936565558705155,0.5424650296411623,0.0,0.0,0.00816931477178615,-2085.5280728979683,
18,0,0,222,334,334,0,556,2600,4326,0.19380355206287048,0.4197518865759242,0.0,0.0,0.3864445613612053,-1070.0371965497163,
19,0,0,0,373,373,0,373,2600,4223,0.4853620300850943,0.4314418188702202,0.0,0.0,0.08319615104468563,-1271.756601944645,
20,0,0,126,806,806,0,932,3000,5142,0.4070150805637843,0.30642191621084863,0.0,0.0,0.286563003225367,-1067.6340231183472,
21,0,0,89,281,281,0,370,2600,4140,0.47098227183460667,0.25846018048159236,0.0,0.0,0.27055754768380097,-770.2332389317967,
22,0,0,228,330,330,0,558,2600,4348,0.3634302997659914,0.2138556709137386,0.0,0.0,0.42271402932027,-619.3232219694545,
23,0,0,116,450,450,0,566,2600,4356,0.7076812883669884,0.25780905558626743,0.0,0.0,0.03450965604674412,-1055.321808518976,
24,0,0,129,1385,1385,0,1514,3400,6104,0.12255896795797216,0.04980740360170928,0.0,0.0,0.8276336284403185,791.3731256556598,
25,0,0,232,320,320,0,552,2600,4332,0.3562201874616094,0.3625119121508155,0.0,0.0,0.28126790038757504,-1049.1587869469047,
26,0,0,0,597,597,0,597,2600,4357,0.4703183172352956,0.23968661579328862,0.0,0.0,0.2899950669714157,-730.8381814700866,
27,0,380,615,2055,2055,0,3050,4200,8440,0.9316230379757473,0.05720178133250925,0.0,0.0,0.011175180691743499,-3058.7327511010353,
28,0,0,165,1256,1256,0,1421,3400,6011,0.27411288887328233,0.06719164763184564,0.0,0.0,0.6586954634948721,209.35548511235004,
29,0,0,181,887,887,0,1068,3000,5258,0.004360763237205565,0.3651576997484406,0.0,0.0,0.6304815370143538,-540.8932710509254,
30,0,0,274,534,534,0,808,2600,4638,0.4438101824410622,0.1338993585404564,0.0,0.0,0.4222904590184815,-481.2338545016958,
31,0,0,244,590,590,0,834,3000,5014,0.39019647304622074,0.5813388453981262,0.0,0.0,0.02846468155565305,-2052.6462325970915,
32,0,0,48,546,546,0,594,2600,4394,0.3918994266276113,0.30105136024414614,0.0,0.0,0.3070492131282427,-847.8729256835605,
33,0,0,154,431,431,0,585,2600,4385,0.38154464705813274,0.2684578113090385,0.0,0.0,0.34999754163282876,-770.3449874887585,
34,0,0,108,1021,1021,0,1129,3000,5329,0.6779419271140165,0.3108341473939635,0.0,0.0,0.011223925492020006,-1686.4392499662627,
35,0,193,871,1748,1748,0,2812,3400,7442,0.3413574276868768,0.3629352398056306,0.0,0.0,0.2957073325074926,-1676.9804847715445,
36,0,0,773,1041,1041,0,1814,3800,6804,0.15308853604910305,0.2533504091446098,0.0,0.0,0.5935610548062871,-622.5371010892454,
37,0,0,114,850,850,0,964,3000,5164,0.3837452651846434,0.008971904066234033,0.0,0.0,0.6072828307491226,119.3442583000558,
38,0,0,127,460,460,0,587,2600,4387,0.5513633270106602,0.18376468685876074,0.0,0.0,0.2648719861305792,-679.597345167969,
