Mon Jan 30 08:22:50 JST 2023
WPSCE-4000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,199,1065,1065,0,1264,2600,5044,0.4543215620168933,0.1495016360187475,0.0,0.0,0.39617680196435917,-541.0384139460541,
1,0,0,471,370,471,0,841,2600,4641,0.3716154142117468,0.40341952640234396,0.0,0.0,0.2249650593859092,-1255.46078902741,
2,275,286,1275,2054,2054,275,3890,3000,8090,0.17125507595668282,0.43786045780528315,0.0,0.0,0.390884466238034,-1284.3801534498832,
3,0,353,991,570,991,0,1914,4600,7684,0.699761335275362,0.2044114976207567,0.0,0.0,0.09582716710388137,-2184.671362172577,
4,0,0,529,1602,1602,0,2131,3000,6361,0.20458532515872774,0.03242922979703278,0.0,0.0,0.7629854450442395,689.0436656565245,
5,0,0,445,371,445,0,816,2600,4626,0.5693130560047955,0.06167830204740373,0.0,0.0,0.3690086419478008,-460.71419335639143,
6,0,0,33,1355,1355,0,1388,3000,5578,0.1886262726970221,0.356461173592494,0.0,0.0,0.45491255371048384,-714.7902770032431,
7,0,0,370,968,968,0,1338,2600,5108,0.2477505977846398,0.3794525664416449,0.0,0.0,0.37279683577371536,-957.1996355551682,
8,0,377,1406,777,1406,0,2560,3400,7150,0.3744111011250723,0.3843031752734579,0.0,0.0,0.24128572360146974,-1925.8754874262756,
9,46,0,1121,4277,4277,0,5444,4200,10834,0.8056122925849492,0.11998152040174598,0.0,0.0,0.0744061870133051,-4571.44044466389,
10,0,0,244,383,383,0,627,2600,4377,0.4050453394902673,0.29899351798950236,0.0,0.0,0.2959611425202304,-917.9934570478555,
11,0,0,420,1161,1161,0,1581,2600,5411,0.23453229733852135,0.7581222498288338,0.0,0.0,0.007345452832644802,-2333.3853409084695,
12,0,58,1032,2856,2856,0,3946,3400,8576,0.09423939247880211,0.4592403448675478,0.0,0.0,0.4465202626536501,-658.0239451321909,
13,0,0,0,757,757,0,757,2600,4537,0.31867566649456314,0.3602793086467472,0.0,0.0,0.3210450248586898,-934.932598199899,
14,0,176,507,860,860,0,1543,3000,5703,0.6070331245884822,0.1773669391317296,0.0,0.0,0.21559993627978805,-1283.3369834345992,
15,0,0,23,1479,1479,0,1502,3000,5722,0.5489962102956027,0.006215088492109338,0.0,0.0,0.44478870121228786,-185.3950842473496,
16,0,162,1144,1095,1144,0,2401,3400,6981,0.4549886099404452,0.4204060821950235,0.0,0.0,0.12460530786453117,-2379.2598597330652,
17,0,0,471,374,471,0,845,2600,4615,0.44936565558705155,0.5424650296411623,0.0,0.0,0.00816931477178615,-1786.2753087805693,
18,0,0,11,1454,1454,0,1465,3000,5635,0.19380355206287048,0.4197518865759242,0.0,0.0,0.3864445613612053,-981.2874712806852,
19,0,0,429,982,982,0,1411,2600,5261,0.4853620300850943,0.4314418188702202,0.0,0.0,0.08319615104468563,-1724.8959331867595,
20,0,0,449,986,986,0,1435,2600,5245,0.4070150805637843,0.30642191621084863,0.0,0.0,0.286563003225367,-1098.2125015770253,
21,0,14,354,935,935,0,1303,2600,5073,0.47098227183460667,0.25846018048159236,0.0,0.0,0.27055754768380097,-1032.715062368279,
22,0,394,913,2066,2066,0,3373,3400,7963,0.3634302997659914,0.2138556709137386,0.0,0.0,0.42271402932027,-1079.6324976417225,
23,0,0,37,681,681,0,718,2600,4508,0.7076812883669884,0.25780905558626743,0.0,0.0,0.03450965604674412,-1154.9176338039601,
24,0,145,1705,5037,5037,0,6887,4600,12677,0.12255896795797216,0.04980740360170928,0.0,0.0,0.8276336284403185,3095.6129175594674,
25,0,0,535,451,535,0,986,2600,4766,0.3562201874616094,0.3625119121508155,0.0,0.0,0.28126790038757504,-1143.2857497219145,
26,0,0,161,688,688,0,849,3000,5009,0.4703183172352956,0.23968661579328862,0.0,0.0,0.2899950669714157,-918.8434926362979,
27,0,399,472,2668,2668,0,3539,3800,8529,0.9316230379757473,0.05720178133250925,0.0,0.0,0.011175180691743499,-3484.565318374133,
28,0,29,37,1984,1984,0,2050,3400,6640,0.27411288887328233,0.06719164763184564,0.0,0.0,0.6586954634948721,516.4687754353222,
29,0,0,211,1273,1273,0,1484,2600,5274,0.004360763237205565,0.3651576997484406,0.0,0.0,0.6304815370143538,-153.2783953706862,
30,0,0,596,983,983,0,1579,2600,5409,0.4438101824410622,0.1338993585404564,0.0,0.0,0.4222904590184815,-633.8030890644566,
