Sun Jan 29 15:52:30 JST 2023,,,,,,,,,,,,,,,
WPSCE-4000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,340,478,478,0,818,2600,4598,0.454321562,0.149501636,0,0,0.396176802,-570.96678
1,0,0,515,749,749,0,1264,2600,5064,0.371615414,0.403419526,0,0,0.224965059,-1350.113823
2,0,0,339,1016,1016,0,1355,2600,5155,0.171255076,0.437860458,0,0,0.390884466,-973.3492005
3,0,384,838,1182,1182,0,2404,4200,7774,0.699761335,0.204411498,0,0,0.095827167,-2427.486828
4,0,0,935,2860,2860,0,3795,3400,8425,0.204585325,0.03242923,0,0,0.762985445,1295.477683
5,0,0,359,510,510,0,869,2600,4679,0.569313056,0.061678302,0,0,0.369008642,-466.9022236
6,0,0,150,1842,1842,0,1992,3400,6582,0.188626273,0.356461174,0,0,0.454912554,-749.7626015
7,0,157,1244,929,1244,0,2330,3000,6500,0.247750598,0.379452566,0,0,0.372796836,-1251.857328
8,0,0,371,590,590,0,961,2600,4751,0.374411101,0.384303175,0,0,0.241285724,-1216.638747
9,0,60,681,780,780,0,1521,3400,6111,0.805612293,0.11998152,0,0,0.074406187,-1575.236641
10,0,195,983,1091,1091,0,2269,3000,6419,0.405045339,0.298993518,0,0,0.295961143,-1493.134823
11,219,234,1196,3700,3700,219,5349,3000,9579,0.234532297,0.75812225,0,0,0.007345453,-3503.310487
12,0,49,164,1441,1441,0,1654,2600,5484,0.094239392,0.459240345,0,0,0.446520263,-706.4611533
13,0,0,131,1160,1160,0,1291,2600,5071,0.318675666,0.360279309,0,0,0.321045025,-975.7242591
14,0,0,332,592,592,0,924,2600,4684,0.607033125,0.177366939,0,0,0.215599936,-894.4174866
15,0,0,450,1135,1135,0,1585,2600,5405,0.54899621,0.006215088,0,0,0.444788701,-381.4830475
16,0,0,352,1470,1470,0,1822,2600,5602,0.45498861,0.420406082,0,0,0.124605308,-1738.875258
17,0,62,936,994,994,0,1992,3000,6162,0.449365656,0.54246503,0,0,0.008169315,-2514.411176
