Thu Feb 02 13:41:15 JST 2023
WPSCE-4000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,193,440,440,0,633,2600,4413,0.4543215620168933,0.1495016360187475,0.0,0.0,0.39617680196435917,-501.97200954111895,
1,0,0,642,623,642,0,1265,2600,5065,0.3716154142117468,0.40341952640234396,0.0,0.0,0.2249650593859092,-1374.5566994982005,
2,0,0,192,1021,1021,0,1213,2600,5013,0.17125507595668282,0.43786045780528315,0.0,0.0,0.390884466238034,-947.0765574001597,
3,0,523,808,1288,1288,0,2619,3800,7589,0.699761335275362,0.2044114976207567,0.0,0.0,0.09582716710388137,-2486.0132368152495,
4,0,0,768,1838,1838,0,2606,3000,6836,0.20458532515872774,0.03242922979703278,0.0,0.0,0.7629854450442395,771.9302012365692,
5,0,0,281,479,479,0,760,2600,4570,0.5693130560047955,0.06167830204740373,0.0,0.0,0.3690086419478008,-416.28636839389776,
6,0,114,2647,4364,4364,0,7125,4600,12915,0.1886262726970221,0.356461173592494,0.0,0.0,0.45491255371048384,-998.4452070992031,
7,0,47,1130,832,1130,0,2009,3000,6179,0.2477505977846398,0.3794525664416449,0.0,0.0,0.37279683577371536,-1214.8282258499776,
8,0,0,302,629,629,0,931,2600,4721,0.3744111011250723,0.3843031752734579,0.0,0.0,0.24128572360146974,-1195.9962707131083,
9,0,1864,964,2130,2130,0,4958,7400,13548,0.8056122925849492,0.11998152040174598,0.0,0.0,0.0744061870133051,-4723.603819270758,
10,0,99,812,949,949,0,1860,3000,6010,0.4050453394902673,0.29899351798950236,0.0,0.0,0.2959611425202304,-1369.4977611687054,
11,0,90,896,2877,2877,0,3863,3000,8093,0.23453229733852135,0.7581222498288338,0.0,0.0,0.007345452832644802,-3159.23214630569,
12,0,49,199,1305,1305,0,1553,2600,5383,0.09423939247880211,0.4592403448675478,0.0,0.0,0.4465202626536501,-757.6697304121905,
13,0,0,139,1152,1152,0,1291,2600,5071,0.31867566649456314,0.3602793086467472,0.0,0.0,0.3210450248586898,-978.292619288813,
14,0,0,108,800,800,0,908,2600,4668,0.6070331245884822,0.1773669391317296,0.0,0.0,0.21559993627978805,-839.8601698450084,
15,0,0,17,1448,1448,0,1465,3000,5685,0.5489962102956027,0.006215088492109338,0.0,0.0,0.44478870121228786,-178.8706742039933,
16,0,0,210,1204,1204,0,1414,2600,5194,0.4549886099404452,0.4204060821950235,0.0,0.0,0.12460530786453117,-1586.384917493955,
17,0,2,1081,876,1081,0,1959,3000,6129,0.44936565558705155,0.5424650296411623,0.0,0.0,0.00816931477178615,-2498.87137895022,
18,0,223,1931,1092,1931,0,3246,3400,7816,0.19380355206287048,0.4197518865759242,0.0,0.0,0.3864445613612053,-1310.018296365732,
19,0,0,454,1691,1691,0,2145,2600,5995,0.4853620300850943,0.4314418188702202,0.0,0.0,0.08319615104468563,-2022.1655921785364,
20,0,0,291,1171,1171,0,1462,2600,5272,0.4070150805637843,0.30642191621084863,0.0,0.0,0.286563003225367,-1056.1877531555542,
21,0,19,471,1090,1090,0,1580,3000,5750,0.47098227183460667,0.25846018048159236,0.0,0.0,0.27055754768380097,-1224.6248039681127,
22,0,285,511,884,884,0,1680,3400,6270,0.3634302997659914,0.2138556709137386,0.0,0.0,0.42271402932027,-963.9929827944582,
23,257,535,1035,1199,1199,257,3026,3400,7616,0.7076812883669884,0.25780905558626743,0.0,0.0,0.03450965604674412,-2985.4862715957834,
24,0,680,1640,4594,4594,0,6914,4200,12304,0.12255896795797216,0.04980740360170928,0.0,0.0,0.8276336284403185,2745.5850894662244,
25,0,0,744,736,744,0,1480,2600,5260,0.3562201874616094,0.3625119121508155,0.0,0.0,0.28126790038757504,-1260.4735311469462,
26,5,332,1261,1360,1360,5,2958,3400,7518,0.4703183172352956,0.23968661579328862,0.0,0.0,0.2899950669714157,-1813.1927603329177,
