Tue Jan 31 03:05:30 JST 2023
WPSCE-4000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,468,834,826,3939,3939,468,6067,3800,11047,0.4543215620168933,0.1495016360187475,0.0,0.39617680196435917,0.0,-4699.604813246023,
1,0,779,4728,2324,4728,0,7831,9800,18831,0.3716154142117468,0.40341952640234396,0.0,0.2249650593859092,0.0,-7927.266468211739,
2,0,0,548,712,712,0,1260,3000,5460,0.17125507595668282,0.43786045780528315,0.0,0.390884466238034,0.0,-1807.67250908275,
3,0,0,0,453,453,0,453,3000,4623,0.699761335275362,0.2044114976207567,0.0,0.09582716710388137,0.0,-973.6360844400672,
4,0,492,1048,3248,3248,0,4788,3800,9818,0.20458532515872774,0.03242922979703278,0.0,0.7629854450442395,0.0,-3580.9623355924027,
5,77,2239,2422,6214,6214,77,10952,7000,19162,0.5693130560047955,0.06167830204740373,0.0,0.3690086419478008,0.0,-8931.470739330001,
6,0,0,814,834,834,0,1648,3800,6638,0.1886262726970221,0.356461173592494,0.0,0.45491255371048384,0.0,-2044.8056268507132,
7,0,0,508,1989,1989,0,2497,3400,7067,0.2477505977846398,0.3794525664416449,0.0,0.37279683577371536,0.0,-2650.264874923758,
8,0,649,2566,562,2566,0,3777,4200,9167,0.3744111011250723,0.3843031752734579,0.0,0.24128572360146974,0.0,-3647.3632318592927,
9,0,0,731,437,731,0,1168,3800,6158,0.8056122925849492,0.11998152040174598,0.0,0.0744061870133051,0.0,-1451.2758579725814,
10,157,437,5337,6156,6156,157,12087,10200,23437,0.4050453394902673,0.29899351798950236,0.0,0.2959611425202304,0.0,-9720.987795890647,
11,0,162,1186,3870,3870,0,5218,4200,10648,0.23453229733852135,0.7581222498288338,0.0,0.007345452832644802,0.0,-4436.329879255842,
12,0,0,43,541,541,0,584,3000,4814,0.09423939247880211,0.4592403448675478,0.0,0.4465202626536501,0.0,-1674.3243019058884,
13,0,3603,5139,5802,5802,0,14544,7400,23124,0.31867566649456314,0.3602793086467472,0.0,0.3210450248586898,0.0,-9163.589011712975,
