Thu Feb 02 12:05:45 JST 2023
WPSCE-4000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,1109,1237,1237,0,2346,3800,7326,0.4543215620168933,0.1495016360187475,0.0,0.39617680196435917,0.0,-2124.0153053927843,
1,95,0,999,3996,3996,0,5090,4600,10890,0.3716154142117468,0.40341952640234396,0.0,0.2249650593859092,0.0,-4646.212657094667,
2,0,640,2563,6827,6827,0,10030,5400,16630,0.17125507595668282,0.43786045780528315,0.0,0.390884466238034,0.0,-6750.703135001117,
3,24,130,1023,4011,4011,24,5188,4600,10958,0.699761335275362,0.2044114976207567,0.0,0.09582716710388137,0.0,-4952.717611707233,
4,0,0,46,991,991,0,1037,2600,4867,0.20458532515872774,0.03242922979703278,0.0,0.7629854450442395,0.0,-1052.5895557007273,
5,0,0,0,1772,1772,0,1772,3800,6782,0.5693130560047955,0.06167830204740373,0.0,0.3690086419478008,0.0,-1897.0835965521348,
6,0,1563,1603,4992,4992,0,8158,4600,13948,0.1886262726970221,0.356461173592494,0.0,0.45491255371048384,0.0,-5449.457999310514,
7,0,583,784,2608,2608,0,3975,4200,9345,0.2477505977846398,0.3794525664416449,0.0,0.37279683577371536,0.0,-3550.7635529467016,
8,0,0,0,742,742,0,742,3000,4932,0.3744111011250723,0.3843031752734579,0.0,0.24128572360146974,0.0,-1609.756569767468,
9,0,0,79,591,591,0,670,3000,4860,0.8056122925849492,0.11998152040174598,0.0,0.0744061870133051,0.0,-943.6788537620172,
10,0,579,450,2509,2509,0,3538,4200,8888,0.4050453394902673,0.29899351798950236,0.0,0.2959611425202304,0.0,-3431.3896932557336,
11,20,197,2078,2868,2868,20,5163,4200,10593,0.23453229733852135,0.7581222498288338,0.0,0.007345452832644802,0.0,-4415.92355010726,
12,0,0,331,1487,1487,0,1818,2600,5648,0.09423939247880211,0.4592403448675478,0.0,0.4465202626536501,0.0,-2029.3277427480639,
13,0,46,1600,1601,1601,0,3247,3800,8227,0.31867566649456314,0.3602793086467472,0.0,0.3210450248586898,0.0,-2917.794346764248,
14,0,0,205,183,205,0,388,2600,4148,0.6070331245884822,0.1773669391317296,0.0,0.21559993627978805,0.0,-740.8808810201846,
