Wed Feb 01 12:53:07 JST 2023
WPSCE-4000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,0,775,775,0,775,3400,5355,0.4543215620168933,0.1495016360187475,0.0,0.39617680196435917,0.0,-1167.441794549212,
1,0,0,269,227,269,0,496,2600,4296,0.3716154142117468,0.40341952640234396,0.0,0.2249650593859092,0.0,-1293.7276150699304,
2,0,753,3428,6020,6020,0,10201,5000,16401,0.17125507595668282,0.43786045780528315,0.0,0.390884466238034,0.0,-6289.399805613502,
3,0,1426,4265,4774,4774,0,10465,5000,16635,0.699761335275362,0.2044114976207567,0.0,0.09582716710388137,0.0,-8802.538757514376,
4,0,0,47,530,530,0,577,2600,4407,0.20458532515872774,0.03242922979703278,0.0,0.7629854450442395,0.0,-606.744015962318,
5,0,0,195,767,767,0,962,3400,5572,0.5693130560047955,0.06167830204740373,0.0,0.3690086419478008,0.0,-1040.415015211749,
6,0,0,184,146,184,0,330,2600,4120,0.1886262726970221,0.356461173592494,0.0,0.45491255371048384,0.0,-1072.7496312132307,
7,0,0,426,1815,1815,0,2241,3400,6811,0.2477505977846398,0.3794525664416449,0.0,0.37279683577371536,0.0,-2521.974072466264,
8,0,0,50,134,134,0,184,2600,3974,0.3744111011250723,0.3843031752734579,0.0,0.24128572360146974,0.0,-1100.4121852806009,
9,80,615,791,1992,1992,80,3478,4600,9268,0.8056122925849492,0.11998152040174598,0.0,0.0744061870133051,0.0,-3496.099177027924,
10,0,337,921,1958,1958,0,3216,5400,9766,0.4050453394902673,0.29899351798950236,0.0,0.2959611425202304,0.0,-3496.682725998623,
11,0,318,600,2384,2384,0,3302,3400,7932,0.23453229733852135,0.7581222498288338,0.0,0.007345452832644802,0.0,-3369.5528547828576,
12,0,0,308,872,872,0,1180,3000,5410,0.09423939247880211,0.4592403448675478,0.0,0.4465202626536501,0.0,-1878.2891867616127,
13,0,168,584,1843,1843,0,2595,3800,7575,0.31867566649456314,0.3602793086467472,0.0,0.3210450248586898,0.0,-2787.710708225596,
14,0,183,144,1036,1036,0,1363,3800,6323,0.6070331245884822,0.1773669391317296,0.0,0.21559993627978805,0.0,-1724.7420515005342,
15,0,171,610,1959,1959,0,2740,3000,6960,0.5489962102956027,0.006215088492109338,0.0,0.44478870121228786,0.0,-2394.2359473611514,
