Tue Jan 31 11:14:57 JST 2023
WPSCE-4000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,38,0,1073,1073,0,1111,3800,6091,0.4543215620168933,0.1495016360187475,0.0,0.39617680196435917,0.0,-1497.9551807797661,
1,0,504,3191,4876,4876,0,8571,5400,15171,0.3716154142117468,0.40341952640234396,0.0,0.2249650593859092,0.0,-6460.510787347233,
2,0,0,322,2382,2382,0,2704,3400,7304,0.17125507595668282,0.43786045780528315,0.0,0.390884466238034,0.0,-2882.8860805038303,
3,759,710,2678,3184,3184,710,7331,4600,13101,0.699761335275362,0.2044114976207567,0.0,0.09582716710388137,0.0,-6307.319649374162,
4,0,2574,5003,5858,5858,0,13435,6200,20865,0.20458532515872774,0.03242922979703278,0.0,0.7629854450442395,0.0,-7419.233805318265,
5,0,235,1090,1279,1279,0,2604,3400,7214,0.5693130560047955,0.06167830204740373,0.0,0.3690086419478008,0.0,-2164.1594778488975,
6,0,231,157,414,414,0,802,3000,4992,0.1886262726970221,0.356461173592494,0.0,0.45491255371048384,0.0,-1408.995588716634,
7,0,414,740,1151,1151,0,2305,3400,6875,0.2477505977846398,0.3794525664416449,0.0,0.37279683577371536,0.0,-2290.2930117707338,
8,0,117,562,2406,2406,0,3085,4600,8875,0.3744111011250723,0.3843031752734579,0.0,0.24128572360146974,0.0,-3503.386304213891,
9,177,113,1469,1817,1817,113,3576,4600,9366,0.8056122925849492,0.11998152040174598,0.0,0.0744061870133051,0.0,-3559.5726948024812,
10,0,378,735,1189,1189,0,2302,3400,6852,0.4050453394902673,0.29899351798950236,0.0,0.2959611425202304,0.0,-2300.890131127457,
11,0,0,545,1376,1376,0,1921,3800,6951,0.23453229733852135,0.7581222498288338,0.0,0.007345452832644802,0.0,-3341.5084356345874,
12,0,0,67,923,923,0,990,3000,5220,0.09423939247880211,0.4592403448675478,0.0,0.4465202626536501,0.0,-1883.1562355859767,
13,0,239,34,1255,1255,0,1528,3000,5708,0.31867566649456314,0.3602793086467472,0.0,0.3210450248586898,0.0,-1970.6858505415896,
14,0,0,177,278,278,0,455,2600,4215,0.6070331245884822,0.1773669391317296,0.0,0.21559993627978805,0.0,-797.2908957160374,
15,0,260,839,987,987,0,2086,3400,6706,0.5489962102956027,0.006215088492109338,0.0,0.44478870121228786,0.0,-1605.3438436463273,
16,0,0,220,1090,1090,0,1310,2600,5090,0.4549886099404452,0.4204060821950235,0.0,0.12460530786453117,0.0,-1824.9106783013833,
17,230,267,735,2916,2916,230,4148,4600,9918,0.44936565558705155,0.5424650296411623,0.0,0.00816931477178615,0.0,-4381.250655201454,
18,0,367,278,1148,1148,0,1793,4200,7163,0.19380355206287048,0.4197518865759242,0.0,0.3864445613612053,0.0,-2554.0860489102724,
19,0,0,1645,4074,4074,0,5719,3800,10769,0.4853620300850943,0.4314418188702202,0.0,0.08319615104468563,0.0,-4754.20548111954,
20,0,290,321,2657,2657,0,3268,3400,7878,0.4070150805637843,0.30642191621084863,0.0,0.286563003225367,0.0,-3133.3576979691325,
21,0,0,503,1689,1689,0,2192,3400,6762,0.47098227183460667,0.25846018048159236,0.0,0.27055754768380097,0.0,-2368.1294515368118,
22,423,2661,3336,6529,6529,423,12949,6200,20339,0.3634302997659914,0.2138556709137386,0.0,0.42271402932027,0.0,-8613.055974364572,
23,1,135,653,1093,1093,1,1882,3800,6872,0.7076812883669884,0.25780905558626743,0.0,0.03450965604674412,0.0,-2349.215140337533,
24,7,702,1877,4517,4517,7,7103,4600,12893,0.12255896795797216,0.04980740360170928,0.0,0.8276336284403185,0.0,-4832.278070239176,
25,0,505,560,2443,2443,0,3508,4200,8888,0.3562201874616094,0.3625119121508155,0.0,0.28126790038757504,0.0,-3459.3079292955968,
26,0,442,542,2997,2997,0,3981,4200,9341,0.4703183172352956,0.23968661579328862,0.0,0.2899950669714157,0.0,-3748.1362229588567,
27,310,3013,4225,4516,4516,310,12064,5800,19054,0.9316230379757473,0.05720178133250925,0.0,0.011175180691743499,0.0,-11617.873471857443,
28,0,0,108,79,108,0,187,2600,3977,0.27411288887328233,0.06719164763184564,0.0,0.6586954634948721,0.0,-297.0965041195487,
29,0,0,513,2273,2273,0,2786,3400,7376,0.004360763237205565,0.3651576997484406,0.0,0.6304815370143538,0.0,-2686.769799157179,
30,0,0,534,604,604,0,1138,3000,5368,0.4438101824410622,0.1338993585404564,0.0,0.4222904590184815,0.0,-1161.8175004864606,
31,0,0,91,956,956,0,1047,3000,5227,0.39019647304622074,0.5813388453981262,0.0,0.02846468155565305,0.0,-2179.7644790409763,
