Wed Nov 29 12:53:36 JST 2023
WSCE-20_SEED(7)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,0,0,0,0,0,2200,3430,0.493759391708994,0.506240608291006,0.0,0.0,0.0,-1113.7293382402133,
1,0,0,0,0,0,0,0,2600,3810,0.27963502040277083,0.7203649795972291,0.0,0.0,0.0,-1872.9489469527957,
2,0,0,0,0,0,0,0,2600,3790,0.6680337186926617,0.33196628130733824,0.0,0.0,0.0,-863.1123313990794,
3,0,0,0,0,0,0,0,3000,4200,0.1243869127296488,0.8756130872703511,0.0,0.0,0.0,-2626.8392618110533,
4,0,0,0,0,0,0,0,2600,3780,0.08223553957097803,0.917764460429022,0.0,0.0,0.0,-2386.1875971154573,
5,0,0,0,0,0,0,0,3000,4210,0.4498221741149206,0.5501778258850795,0.0,0.0,0.0,-1650.5334776552384,
6,0,0,0,0,0,0,0,2600,3820,0.5546136909603782,0.4453863090396219,0.0,0.0,0.0,-1158.0044035030169,
7,0,0,0,0,0,0,0,2600,3820,0.39937130339829047,0.6006286966017095,0.0,0.0,0.0,-1561.6346111644446,
8,0,0,0,0,0,0,0,2600,3800,0.7779749672533404,0.22202503274665966,0.0,0.0,0.0,-577.2650851413151,
9,0,0,0,0,0,0,0,2600,3800,0.265338446971812,0.7346615530281879,0.0,0.0,0.0,-1910.1200378732885,
10,0,0,0,0,0,0,0,3400,4640,0.18985556602963877,0.8101444339703613,0.0,0.0,0.0,-2754.4910754992284,
11,0,0,0,0,0,0,0,2600,3760,0.8352207836391936,0.1647792163608064,0.0,0.0,0.0,-428.4259625380966,
12,0,0,0,0,0,0,0,2600,3840,0.4439198439852099,0.5560801560147902,0.0,0.0,0.0,-1445.8084056384546,
13,0,0,0,0,0,0,0,2600,3760,0.3193611902651868,0.6806388097348132,0.0,0.0,0.0,-1769.6609053105142,
14,0,0,0,0,0,0,0,2600,3830,0.5081165748942083,0.4918834251057917,0.0,0.0,0.0,-1278.8969052750583,
15,0,0,0,0,0,0,0,2600,3830,0.892984699666709,0.10701530033329104,0.0,0.0,0.0,-278.2397808665567,
16,0,0,0,0,0,0,0,2600,3800,0.7537322880690576,0.2462677119309424,0.0,0.0,0.0,-640.2960510204502,
17,0,0,0,0,0,0,0,2600,3800,0.4983731184203591,0.501626881579641,0.0,0.0,0.0,-1304.2298921070665,
18,0,0,0,0,0,0,0,2200,3410,0.9517825001194827,0.04821749988051729,0.0,0.0,0.0,-106.07849973713803,
19,0,0,0,0,0,0,0,2600,3780,0.3513766681752,0.6486233318248,0.0,0.0,0.0,-1686.42066274448,
