Mon Jan 30 12:05:59 JST 2023
WSCE-3000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,75,455,455,0,530,2600,4310,0.4543215620168933,0.1495016360187475,0.0,0.0,0.39617680196435917,-449.2342366239135,
1,0,0,270,301,301,0,571,2600,4371,0.3716154142117468,0.40341952640234396,0.0,0.0,0.2249650593859092,-1193.3686872858432,
2,0,0,75,360,360,0,435,2600,4235,0.17125507595668282,0.43786045780528315,0.0,0.0,0.390884466238034,-1072.2147404892012,
3,0,0,77,465,465,0,542,3000,4712,0.699761335275362,0.2044114976207567,0.0,0.0,0.09582716710388137,-947.9455038782114,
4,0,66,326,1580,1580,0,1972,3800,7002,0.20458532515872774,0.03242922979703278,0.0,0.0,0.7629854450442395,678.8436687281627,
5,0,0,125,222,222,0,347,2600,4157,0.5693130560047955,0.06167830204740373,0.0,0.0,0.3690086419478008,-275.995297244502,
6,0,0,21,929,929,0,950,3000,5140,0.1886262726970221,0.356461173592494,0.0,0.0,0.45491255371048384,-825.9647174426136,
7,0,0,146,173,173,0,319,2600,4089,0.2477505977846398,0.3794525664416449,0.0,0.0,0.37279683577371536,-1001.115260852724,
8,0,0,274,305,305,0,579,2600,4369,0.3744111011250723,0.3843031752734579,0.0,0.0,0.24128572360146974,-1142.3801375639591,
9,0,0,328,656,656,0,984,3000,5174,0.8056122925849492,0.11998152040174598,0.0,0.0,0.0744061870133051,-1103.8565984281,
10,0,143,666,501,666,0,1310,3000,5460,0.4050453394902673,0.29899351798950236,0.0,0.0,0.2959611425202304,-1230.4798277822838,
11,0,136,693,1609,1609,0,2438,3000,6668,0.23453229733852135,0.7581222498288338,0.0,0.0,0.007345452832644802,-2834.337656790091,
12,0,0,161,699,699,0,860,2600,4690,0.09423939247880211,0.4592403448675478,0.0,0.0,0.4465202626536501,-962.9531105924925,
13,0,0,0,321,321,0,321,2600,4101,0.31867566649456314,0.3602793086467472,0.0,0.0,0.3210450248586898,-935.9656384466581,
14,0,0,0,321,321,0,321,2600,4081,0.6070331245884822,0.1773669391317296,0.0,0.0,0.21559993627978805,-586.8040951895878,
