Sun Feb 12 01:29:24 JST 2023
WPSCE-4000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,69,494,494,0,563,2600,4343,0.7524082603896196,0.24759173961038033,0.0,0.0,0.0,-1067.3443735863448,
1,0,0,408,577,577,0,985,2600,4785,0.536612407211473,0.4633875927885272,0.0,0.0,0.0,-1733.3709623534714,
2,0,0,121,3679,3679,0,3800,2600,7600,0.6419946248304128,0.35800537516958714,0.0,0.0,0.0,-3370.3935497964953,
3,0,0,311,1346,1346,0,1657,3000,5827,0.2811536834383327,0.7188463165616673,0.0,0.0,0.0,-2622.4106031423194,
4,0,99,270,1217,1217,0,1586,2600,5416,0.48295276288041233,0.5170472371195876,0.0,0.0,0.0,-2110.2858984392615,
5,0,0,303,662,662,0,965,2600,4775,0.6808300250343551,0.31916997496564486,0.0,0.0,0.0,-1486.8429090688292,
6,0,0,53,498,498,0,551,2600,4341,0.8631762095661771,0.1368237904338229,0.0,0.0,0.0,-831.3519465989032,
7,0,0,217,569,569,0,786,2600,4556,0.3617854203541924,0.6382145796458076,0.0,0.0,0.0,-1943.7212474774951,
8,0,0,412,1549,1549,0,1961,2600,5751,0.1432091288285964,0.8567908711714036,0.0,0.0,0.0,-2508.489366678527,
9,0,102,190,4181,4181,0,4473,2600,8263,0.3460477286369859,0.6539522713630141,0.0,0.0,0.0,-3248.147395737075,
10,0,0,129,460,460,0,589,2600,4339,0.6703332385389458,0.3296667614610541,0.0,0.0,0.0,-1251.9598572981797,
11,0,0,299,2698,2698,0,2997,2600,6827,0.5044238856477177,0.49557611435228227,0.0,0.0,0.0,-2800.256282602144,
12,0,0,393,1148,1148,0,1541,2600,5371,0.4934810280654389,0.5065189719345611,0.0,0.0,0.0,-2077.4035912787003,
13,0,0,741,1002,1002,0,1743,2600,5523,0.3693455203710799,0.6306544796289201,0.0,0.0,0.0,-2283.4708890419843,
14,0,0,484,1189,1189,0,1673,2600,5433,0.6172279204135315,0.3827720795864686,0.0,0.0,0.0,-2027.8297177766565,
15,0,143,0,1238,1238,0,1381,2600,5201,0.5753167388234763,0.4246832611765237,0.0,0.0,0.0,-1898.6888953741823,
16,0,0,129,1117,1117,0,1246,2600,5026,0.8331253692772753,0.16687463072272468,0.0,0.0,0.0,-1471.9482499985693,
17,0,0,267,571,571,0,838,2600,4608,0.9904039676564992,0.0095960323435008,0.0,0.0,0.0,-854.9082089892484,
18,0,0,409,553,553,0,962,2600,4732,0.17026710486391322,0.8297328951360867,0.0,0.0,0.0,-2321.10248223291,
19,0,251,3016,4525,4525,0,7792,3000,12042,0.2827495568939188,0.7172504431060812,0.0,0.0,0.0,-4354.935876635659,
20,0,88,484,5342,5342,0,5914,2600,9724,0.5287926629496672,0.4712073370503328,0.0,0.0,0.0,-4352.418885015197,
21,0,481,820,2689,2689,0,3990,2600,7760,0.7738820439527722,0.22611795604722787,0.0,0.0,0.0,-3675.696041094353,
22,0,0,657,699,699,0,1356,2600,5146,0.20294657341212471,0.7970534265878753,0.0,0.0,0.0,-2347.5344626753167,
23,0,0,494,1605,1605,0,2099,2600,5889,0.013780568221351116,0.9862194317786489,0.0,0.0,0.0,-2593.0959353211033,
24,0,0,296,2693,2693,0,2989,2600,6779,0.51975253451735,0.48024746548264996,0.0,0.0,0.0,-2802.1837359272495,
25,0,0,379,837,837,0,1216,2600,4996,0.21244036542639744,0.7875596345736026,0.0,0.0,0.0,-2305.982534249866,
26,0,0,299,504,504,0,803,2600,4563,0.9851638117842145,0.01483618821578548,0.0,0.0,0.0,-829.6606302237666,
27,0,0,401,623,623,0,1024,2600,4814,0.31586966695761665,0.6841303330423832,0.0,0.0,0.0,-2102.189404874796,
28,0,79,360,822,822,0,1261,2600,5051,0.44171738550898804,0.558282614491012,0.0,0.0,0.0,-2008.5404208034652,
29,0,127,609,809,809,0,1545,2600,5335,0.8383404336480615,0.16165956635193846,0.0,0.0,0.0,-1715.550842501295,
30,0,128,643,2146,2146,0,2917,2600,6747,0.5704989822561108,0.42950101774388916,0.0,0.0,0.0,-2780.8481773751873,
31,0,138,696,851,851,0,1685,2600,5465,0.4571313338568475,0.5428686661431524,0.0,0.0,0.0,-2181.7248295209847,
32,0,138,225,1325,1325,0,1688,2600,5488,0.48856619867526785,0.5114338013247322,0.0,0.0,0.0,-2154.4276268081558,
33,0,0,480,1284,1284,0,1764,2600,5564,0.6295498560931032,0.37045014390689684,0.0,0.0,0.0,-2073.696320306166,
34,0,0,57,505,505,0,562,2600,4362,0.5057803695308537,0.49421963046914624,0.0,0.0,0.0,-1569.2196068961202,
35,0,0,407,4888,4888,0,5295,2600,9125,0.8819451007636182,0.11805489923638178,0.0,0.0,0.0,-4976.842046557951,
36,0,0,322,635,635,0,957,2600,4747,0.7110375814550138,0.2889624185449862,0.0,0.0,0.0,-1431.7652536694122,
37,0,148,824,883,883,0,1855,2600,5655,0.33227771447711485,0.667722285522885,0.0,0.0,0.0,-2352.453102714549,
38,0,0,730,5857,5857,0,6587,2600,10387,0.5630992228871697,0.4369007771128303,0.0,0.0,0.0,-4845.076601651146,
39,0,80,911,6502,6502,0,7493,2600,11303,0.6624155627047749,0.3375844372952252,0.0,0.0,0.0,-5841.199348314463,
40,0,0,773,1133,1133,0,1906,2600,5726,0.26710545498566973,0.7328945450143302,0.0,0.0,0.0,-2414.628814239945,
41,0,0,415,1204,1204,0,1619,2600,5419,0.8365651184125473,0.1634348815874527,0.0,0.0,0.0,-1779.329618837291,
42,0,109,591,5638,5638,0,6338,2600,10138,0.8031328609930852,0.19686713900691477,0.0,0.0,0.0,-5602.110634392153,
43,0,0,319,4644,4644,0,4963,2600,8763,0.9956944353344421,0.004305564665557892,0.0,0.0,0.0,-4952.825950695286,
44,0,0,42,2124,2124,0,2166,2600,5956,0.3667570403670596,0.6332429596329404,0.0,0.0,0.0,-2440.827444480696,
45,0,0,293,4400,4400,0,4693,2600,8493,0.7682237369440641,0.23177626305593585,0.0,0.0,0.0,-4207.892281423926,
46,0,0,563,5363,5363,0,5926,2600,9756,0.5890684279869577,0.41093157201304237,0.0,0.0,0.0,-4559.2415914846215,
47,0,0,484,1785,1785,0,2269,2600,6069,0.9533215530945748,0.04667844690542526,0.0,0.0,0.0,-2284.450565925696,
48,0,0,398,1206,1206,0,1604,2600,5414,0.5655516005642968,0.4344483994357033,0.0,0.0,0.0,-2036.7106058379607,
49,0,145,644,1610,1610,0,2399,2200,5849,0.49319283900045835,0.5068071609995416,0.0,0.0,0.0,-2298.145374961091,
50,0,0,771,6168,6168,0,6939,2600,10769,0.4340779169135474,0.5659220830864525,0.0,0.0,0.0,-4483.464081487882,
51,0,0,525,578,578,0,1103,2600,4893,0.6856374710030922,0.31436252899690775,0.0,0.0,0.0,-1573.6007059083709,
52,0,0,402,633,633,0,1035,2600,4815,0.01635322022096968,0.9836467797790304,0.0,0.0,0.0,-2574.4072103541826,
53,0,0,550,636,636,0,1186,2600,4986,0.5510351973317156,0.4489648026682845,0.0,0.0,0.0,-1820.8362309729541,
