Thu Jan 26 11:05:10 JST 2023,,,,,,,,,,,,,,,
WPSCE-4000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,1264,1020,1264,0,2284,3000,6464,0.75240826,0.24759174,0,0,0,-2461.275686
1,0,939,7386,703,7386,0,9028,5000,15228,0.536612407,0.463387593,0,0,0,-7161.474776
2,113,2134,1375,2742,2742,113,6364,4200,11764,0.641994625,0.358005375,0,0,0,-5589.276368
3,0,0,190,610,610,0,800,2600,4570,0.281153683,0.718846317,0,0,0,-2093.92337
4,0,0,858,1495,1495,0,2353,2600,6183,0.482952763,0.517047237,0,0,0,-2480.710668
5,0,571,212,5660,5660,0,6443,3800,11453,0.680830025,0.319169975,0,0,0,-5599.433756
6,0,0,811,430,811,0,1241,2600,5031,0.86317621,0.13682379,0,0,0,-1426.943531
7,0,0,806,2115,2115,0,2921,2600,6691,0.36178542,0.63821458,0,0,0,-2716.13312
8,0,0,1248,746,1248,0,1994,3000,6184,0.143209129,0.856790871,0,0,0,-2855.931616
9,0,0,310,1112,1112,0,1422,3000,5612,0.346047729,0.653952271,0,0,0,-2453.936684
10,0,0,827,401,827,0,1228,2600,4978,0.670333239,0.329666761,0,0,0,-1680.302797
11,0,169,722,2038,2038,0,2929,3000,7159,0.504423886,0.495576114,0,0,0,-2964.185904
12,0,645,340,5211,5211,0,6196,3400,10826,0.493481028,0.506518972,0,0,0,-4779.772954
13,0,512,1510,1275,1510,0,3297,3000,7477,0.36934552,0.63065448,0,0,0,-3109.69562
14,0,0,62,371,371,0,433,2600,4193,0.61722792,0.38277208,0,0,0,-1262.467096
15,0,0,990,2027,2027,0,3017,3000,7237,0.575316739,0.424683261,0,0,0,-3009.780385
16,0,0,673,1552,1552,0,2225,2600,6005,0.833125369,0.166874631,0,0,0,-2287.577987
17,0,248,1576,1373,1576,0,3197,4200,8567,0.990403968,0.009596032,0,0,0,-3206.62482
18,0,0,271,723,723,0,994,2600,4764,0.170267105,0.829732895,0,0,0,-2326.55103
19,0,0,1017,2412,2412,0,3429,3000,7679,0.282749557,0.717250443,0,0,0,-3121.29956
20,0,0,731,3555,3555,0,4286,4600,10096,0.528792663,0.471207337,0,0,0,-4433.959104
21,0,606,554,866,866,0,2026,3400,6596,0.773882044,0.226117956,0,0,0,-2336.686072
22,0,158,775,1360,1360,0,2293,3400,6883,0.202946573,0.797053427,0,0,0,-3175.338143
23,0,166,86,318,318,0,570,2600,4360,0.013780568,0.986219432,0,0,0,-2572.025447
24,0,606,1744,1041,1744,0,3391,3800,8381,0.519752535,0.480247465,0,0,0,-3587.421213
25,0,615,1611,1047,1611,0,3273,3000,7453,0.212440365,0.787559635,0,0,0,-3057.99622
26,0,176,728,579,728,0,1483,3000,5643,0.985163812,0.014836188,0,0,0,-1505.506498
27,0,0,853,2134,2134,0,2987,2600,6777,0.315869667,0.684130333,0,0,0,-2722.241561
28,0,57,109,141,141,0,307,2600,4097,0.441717386,0.558282614,0,0,0,-1587.142035
29,0,0,985,1988,1988,0,2973,3000,7163,0.838340434,0.161659566,0,0,0,-2977.364808
30,0,0,372,476,476,0,848,2600,4678,0.570498982,0.429501018,0,0,0,-1600.485783
31,0,0,594,243,594,0,837,2600,4617,0.457131334,0.542868666,0,0,0,-1794.077458
32,0,0,382,2349,2349,0,2731,3000,6931,0.488566199,0.511433801,0,0,0,-2868.575693
