Sat Jan 28 15:17:59 JST 2023,,,,,,,,,,,,,,,
WPSCE-4000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,360,370,370,0,730,2600,4510,0.75240826,0.24759174,0,0,0,-1192.996553
1,0,0,431,753,753,0,1184,2600,4984,0.536612407,0.463387593,0,0,0,-1840.156831
2,90,388,731,1393,1393,90,2602,3400,7202,0.641994625,0.358005375,0,0,0,-2887.688289
3,0,0,255,857,857,0,1112,3000,5282,0.281153683,0.718846317,0,0,0,-2469.181846
4,0,0,382,1649,1649,0,2031,2600,5861,0.482952763,0.517047237,0,0,0,-2325.199878
5,0,0,748,3172,3172,0,3920,3800,8930,0.680830025,0.319169975,0,0,0,-3881.699603
6,0,141,833,1672,1672,0,2646,4600,8436,0.86317621,0.13682379,0,0,0,-2913.353687
7,0,558,2192,1067,2192,0,3817,3000,7987,0.36178542,0.63821458,0,0,0,-3295.578688
8,0,0,418,712,712,0,1130,2600,4920,0.143209129,0.856790871,0,0,0,-2389.482581
9,94,0,631,671,671,0,1396,3000,5586,0.346047729,0.653952271,0,0,0,-2444.939443
10,0,1169,2634,969,2634,0,4772,3400,9322,0.670333239,0.329666761,0,0,0,-4319.697203
11,103,0,2195,7074,7074,0,9372,3400,14002,0.504423886,0.495576114,0,0,0,-6412.419445
12,0,96,146,688,688,0,930,3000,5160,0.493481028,0.506518972,0,0,0,-1978.494272
13,0,0,509,311,509,0,820,2600,4600,0.36934552,0.63065448,0,0,0,-1942.564974
14,0,0,70,348,348,0,418,2600,4178,0.61722792,0.38277208,0,0,0,-1253.208678
15,169,1480,3162,2602,3162,169,7413,4200,12833,0.575316739,0.424683261,0,0,0,-6048.492682
16,0,0,392,1640,1640,0,2032,2600,5812,0.833125369,0.166874631,0,0,0,-2126.78479
17,0,930,708,2033,2033,0,3671,4200,9041,0.990403968,0.009596032,0,0,0,-3676.076301
18,0,0,409,707,707,0,1116,2600,4886,0.170267105,0.829732895,0,0,0,-2347.323616
19,0,544,1707,3513,3513,0,5764,3000,10014,0.282749557,0.717250443,0,0,0,-3781.519775
20,0,0,751,741,751,0,1492,2600,5302,0.528792663,0.471207337,0,0,0,-2014.097729
21,0,219,744,1216,1216,0,2179,3000,6349,0.773882044,0.226117956,0,0,0,-2364.642842
22,0,0,119,739,739,0,858,3000,5048,0.202946573,0.797053427,0,0,0,-2565.28844
