Fri Jan 27 12:08:42 JST 2023
WPSCE-4000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,0,1803,1803,0,1803,3000,5983,0.7524082603896196,0.24759173961038033,0.0,0.0,0.0,-2099.367312313625,
1,0,0,432,789,789,0,1221,2600,5021,0.536612407211473,0.4633875927885272,0.0,0.0,0.0,-1860.0114904553793,
2,90,590,590,1293,1293,90,2563,3000,6763,0.6419946248304128,0.35800537516958714,0.0,0.0,0.0,-2719.4483489491095,
3,0,0,265,865,865,0,1130,3000,5300,0.2811536834383327,0.7188463165616673,0.0,0.0,0.0,-2474.242611970318,
4,0,0,647,1487,1487,0,2134,2600,5964,0.48295276288041233,0.5170472371195876,0.0,0.0,0.0,-2374.9440124977273,
5,0,16,883,1597,1597,0,2496,5000,8706,0.6808300250343551,0.31916997496564486,0.0,0.0,0.0,-3295.2016173139746,
6,0,150,1803,2206,2206,0,4159,3400,8749,0.8631762095661771,0.1368237904338229,0.0,0.0,0.0,-4055.1507430607285,
7,0,436,1708,926,1708,0,3070,3000,7240,0.3617854203541924,0.6382145796458076,0.0,0.0,0.0,-3025.324979424794,
8,0,0,690,974,974,0,1664,2600,5454,0.1432091288285964,0.8567908711714036,0.0,0.0,0.0,-2465.956255416434,
9,94,0,484,942,942,0,1520,3000,5710,0.3460477286369859,0.6539522713630141,0.0,0.0,0.0,-2487.849361617261,
10,0,368,1554,918,1554,0,2840,3000,6990,0.6703332385389458,0.3296667614610541,0.0,0.0,0.0,-2892.7466818337684,
11,103,654,1846,7048,7048,103,9651,3800,14681,0.5044238856477177,0.49557611435228227,0.0,0.0,0.0,-6751.384154924795,
12,0,61,213,207,213,0,481,2600,4311,0.4934810280654389,0.5065189719345611,0.0,0.0,0.0,-1554.3137015293348,
13,0,0,476,4137,4137,0,4613,3800,9593,0.3693455203710799,0.6306544796289201,0.0,0.0,0.0,-4100.277908061687,
14,0,0,234,563,563,0,797,2600,4557,0.6172279204135315,0.3827720795864686,0.0,0.0,0.0,-1487.138059494403,
15,169,1789,3147,2540,3147,169,7645,4200,13065,0.5753167388234763,0.4246832611765237,0.0,0.0,0.0,-6181.966165246877,
16,0,0,572,1421,1421,0,1993,2600,5773,0.8331253692772753,0.16687463072272468,0.0,0.0,0.0,-2094.292900848694,
17,0,316,1516,942,1516,0,2774,3000,6944,0.9904039676564992,0.0095960323435008,0.0,0.0,0.0,-2776.168703309631,
18,0,0,1368,913,1368,0,2281,3000,6451,0.17026710486391322,0.8297328951360867,0.0,0.0,0.0,-2877.577951602846,
19,0,423,1507,2651,2651,0,4581,3000,8831,0.2827495568939188,0.7172504431060812,0.0,0.0,0.0,-3447.0270494492856,
20,0,0,617,995,995,0,1612,2600,5422,0.5287926629496672,0.4712073370503328,0.0,0.0,0.0,-2077.5528490057286,
21,0,0,1632,1029,1632,0,2661,3400,7231,0.7738820439527722,0.22611795604722787,0.0,0.0,0.0,-2828.1011695189013,
22,0,0,188,302,302,0,490,2600,4280,0.20294657341212471,0.7970534265878753,0.0,0.0,0.0,-2171.7827301004168,
23,0,2049,882,3507,3507,0,6438,4200,11828,0.013780568221351116,0.9862194317786489,0.0,0.0,0.0,-4230.840911679384,
24,0,846,3843,4463,4463,0,9152,3400,13742,0.51975253451735,0.48024746548264996,0.0,0.0,0.0,-6389.616578543797,
25,0,105,1615,878,1615,0,2598,3000,6778,0.21244036542639744,0.7875596345736026,0.0,0.0,0.0,-2914.5989730985884,
26,0,169,813,937,937,0,1919,3800,6879,0.9851638117842145,0.01483618821578548,0.0,0.0,0.0,-1946.9068700338926,
27,0,96,2389,3893,3893,0,6378,3800,11368,0.31586966695761665,0.6841303330423832,0.0,0.0,0.0,-4614.312001416735,
28,0,29,181,305,305,0,515,2600,4305,0.44171738550898804,0.558282614491012,0.0,0.0,0.0,-1679.01925121376,
29,0,0,727,817,817,0,1544,2600,5334,0.8383404336480615,0.16165956635193846,0.0,0.0,0.0,-1714.712502067647,
30,0,189,887,1162,1162,0,2238,3000,6468,0.5704989822561108,0.42950101774388916,0.0,0.0,0.0,-2565.279775520844,
31,0,0,510,904,904,0,1414,3800,6394,0.4571313338568475,0.5428686661431524,0.0,0.0,0.0,-2709.2846374175615,
32,0,403,3658,4802,4802,0,8863,4600,14663,0.48856619867526785,0.5114338013247322,0.0,0.0,0.0,-6682.757704952666,
33,0,0,225,995,995,0,1220,3000,5420,0.6295498560931032,0.37045014390689684,0.0,0.0,0.0,-1879.4012561542763,
34,0,17,862,1231,1231,0,2110,2600,5910,0.5057803695308537,0.49421963046914624,0.0,0.0,0.0,-2352.1676189298814,
35,0,129,906,2630,2630,0,3665,3000,7895,0.8819451007636182,0.11805489923638178,0.0,0.0,0.0,-3586.4934920078063,
36,0,0,668,205,668,0,873,2600,4663,0.7110375814550138,0.2889624185449862,0.0,0.0,0.0,-1372.038096827191,
37,0,0,428,768,768,0,1196,2600,4996,0.33227771447711485,0.667722285522885,0.0,0.0,0.0,-2133.4820888741306,
38,0,195,849,2491,2491,0,3535,3000,7735,0.5630992228871697,0.4369007771128303,0.0,0.0,0.0,-3301.258084244636,
39,1,277,352,2741,2741,1,3371,3800,8381,0.6624155627047749,0.3375844372952252,0.0,0.0,0.0,-3515.8237235996517,
40,0,137,213,4036,4036,0,4386,3400,9006,0.26710545498566973,0.7328945450143302,0.0,0.0,0.0,-3663.36597861587,
41,0,432,520,1297,1297,0,2249,4200,7649,0.8365651184125473,0.1634348815874527,0.0,0.0,0.0,-2567.86145397712,
42,0,1562,1213,7827,7827,0,10602,4600,16402,0.8031328609930852,0.19686713900691477,0.0,0.0,0.0,-9420.403431680497,
43,0,0,38,693,693,0,731,2600,4531,0.9956944353344421,0.004305564665557892,0.0,0.0,0.0,-739.0471003599278,
44,0,399,824,3013,3013,0,4236,3800,9226,0.3667570403670596,0.6332429596329404,0.0,0.0,0.0,-3959.906069600038,
45,0,0,416,883,883,0,1299,2600,5099,0.7682237369440641,0.23177626305593585,0.0,0.0,0.0,-1600.5409182357726,
46,0,0,428,947,947,0,1375,2600,5205,0.5890684279869577,0.41093157201304237,0.0,0.0,0.0,-1878.391175715977,
47,0,192,446,960,960,0,1598,3000,5798,0.9533215530945748,0.04667844690542526,0.0,0.0,0.0,-1663.4431825614063,
48,207,1581,900,2303,2303,207,4991,4200,10401,0.5655516005642968,0.4344483994357033,0.0,0.0,0.0,-4647.351316046359,
49,0,0,0,311,311,0,311,2200,3761,0.49319283900045835,0.5068071609995416,0.0,0.0,0.0,-1268.3587271281342,
50,0,0,392,956,956,0,1348,2600,5178,0.4340779169135474,0.5659220830864525,0.0,0.0,0.0,-2056.5344480242384,
51,0,373,892,940,940,0,2205,3800,7195,0.6856374710030922,0.31436252899690775,0.0,0.0,0.0,-2706.4082337500677,
52,0,271,2232,864,2232,0,3367,3400,7947,0.01635322022096968,0.9836467797790304,0.0,0.0,0.0,-3399.460343732708,
53,0,120,1121,1935,1935,0,3176,2600,6976,0.5510351973317156,0.4489648026682845,0.0,0.0,0.0,-2917.3962736630683,
54,0,539,2010,1744,2010,0,4293,3000,8463,0.3766581373646158,0.6233418626353842,0.0,0.0,0.0,-3487.018971612448,
55,274,1307,4276,1198,4276,274,7055,6200,14455,0.8448459631825361,0.15515403681746393,0.0,0.0,0.0,-6922.343298521069,
56,0,0,251,1019,1019,0,1270,3000,5500,0.014558758836834272,0.9854412411631658,0.0,0.0,0.0,-2974.8133472122768,
57,0,1718,4628,1280,4628,0,7626,5400,14206,0.7500235559089952,0.24997644409100486,0.0,0.0,0.0,-7069.552435453424,
58,0,129,54,402,402,0,585,2600,4375,0.38416599864661705,0.6158340013533828,0.0,0.0,0.0,-1825.9055127270665,
59,0,0,1667,2795,2795,0,4462,3000,8672,0.5364020831570783,0.4635979168429218,0.0,0.0,0.0,-3784.219845575649,
60,0,0,684,225,684,0,909,2600,4699,0.47569048583960577,0.5243095141603943,0.0,0.0,0.0,-1795.6073884452267,
61,0,579,805,5495,5495,0,6879,3400,11489,0.6066464096001954,0.3933535903998045,0.0,0.0,0.0,-5510.522858999079,
62,0,132,741,2184,2184,0,3057,3400,7697,0.6208093169720886,0.3791906830279113,0.0,0.0,0.0,-3187.0624042785735,
63,0,0,74,912,912,0,986,2600,4796,0.35697890450965647,0.6430210954903435,0.0,0.0,0.0,-2023.8360481214145,
64,0,577,2032,4129,4129,0,6738,3000,10938,0.9576017801024449,0.04239821989755511,0.0,0.0,0.0,-6579.51545402294,
65,0,611,1429,1151,1429,0,3191,3000,7401,0.5222572334987335,0.47774276650126635,0.0,0.0,0.0,-3099.7511315982574,
66,0,0,194,1001,1001,0,1195,3800,6155,0.5246059436277772,0.4753940563722227,0.0,0.0,0.0,-2433.40151684964,
67,0,0,879,1046,1046,0,1925,2600,5745,0.6672462378794397,0.3327537621205603,0.0,0.0,0.0,-2149.608789431378,
68,4,631,793,5615,5615,4,7043,3400,11653,0.7977615080836462,0.20223849191635382,0.0,0.0,0.0,-6306.245173948723,
69,0,0,947,565,947,0,1512,2600,5302,0.14656944936365673,0.8534305506363433,0.0,0.0,0.0,-2440.5324390923415,
70,49,827,300,1303,1303,49,2479,3400,7079,0.7499430941307026,0.2500569058692973,0.0,0.0,0.0,-2709.3024103056223,
71,0,370,970,2163,2163,0,3503,3800,8503,0.7473885158926138,0.2526114841073862,0.0,0.0,0.0,-3578.025610779894,
72,0,0,613,1005,1005,0,1618,2600,5418,0.14274090093518402,0.857259099064816,0.0,0.0,0.0,-2459.8284352816495,
73,0,655,409,870,870,0,1934,3000,6124,0.3903037966901867,0.6096962033098133,0.0,0.0,0.0,-2583.9361527282613,
74,0,0,871,1897,1897,0,2768,2600,6538,0.637807224141031,0.3621927758589691,0.0,0.0,0.0,-2707.1516136556934,
75,0,652,237,1200,1200,0,2089,3400,6669,0.3909201808726271,0.6090798191273729,0.0,0.0,0.0,-2887.503642875986,
76,0,637,953,1352,1352,0,2942,3000,7122,0.25407376197714904,0.745926238022851,0.0,0.0,0.0,-2985.263721805325,
77,0,0,495,1784,1784,0,2279,2600,6109,0.25624996670673655,0.7437500332932634,0.0,0.0,0.0,-2517.743760687137,
78,0,0,556,1294,1294,0,1850,3000,6040,0.3878634080126245,0.6121365919873756,0.0,0.0,0.0,-2553.957080785482,
79,0,0,85,272,272,0,357,3000,4567,0.94213090674615,0.057869093253849986,0.0,0.0,0.0,-509.9480134699255,
80,0,0,481,925,925,0,1406,3000,5586,0.08797837929285204,0.912021620707148,0.0,0.0,0.0,-2859.762463407194,
81,0,336,1827,877,1827,0,3040,4200,8440,0.8619298223857953,0.13807017761420468,0.0,0.0,0.0,-3200.1614060324773,
82,0,0,718,584,718,0,1302,2600,5082,0.8786417568620372,0.1213582431379629,0.0,0.0,0.0,-1459.5229995930758,
83,0,878,961,1816,1816,0,3655,3000,7855,0.16672443025526967,0.8332755697447304,0.0,0.0,0.0,-3109.204501817202,
84,0,137,773,1224,1224,0,2134,2600,5944,0.2622335484937792,0.7377664515062208,0.0,0.0,0.0,-2477.799166401899,
85,0,78,696,658,696,0,1432,2600,5252,0.48798662818596583,0.5120133718140341,0.0,0.0,0.0,-2030.0316182787917,
86,0,0,1087,1797,1797,0,2884,2600,6684,0.34733588199089743,0.6526641180091025,0.0,0.0,0.0,-2698.643390485415,
87,0,863,2423,1956,2423,0,5242,3400,9822,0.8126862878561798,0.18731371214382014,0.0,0.0,0.0,-4896.968142231083,
88,0,117,1682,2593,2593,0,4392,2600,8242,0.9791601273709161,0.02083987262908389,0.0,0.0,0.0,-4354.654948248682,
89,0,0,481,239,481,0,720,2600,4480,0.29078318522801216,0.7092168147719878,0.0,0.0,0.0,-2053.327611771337,
90,119,517,6558,866,6558,119,8060,5400,14670,0.8181358604921855,0.18186413950781455,0.0,0.0,0.0,-7576.241388909213,
91,0,29,1273,1012,1273,0,2314,2600,6104,0.6176470996831884,0.3823529003168115,0.0,0.0,0.0,-2423.352929490608,
92,0,0,1073,1039,1073,0,2112,2600,5882,0.4533959874100472,0.5466040125899528,0.0,0.0,0.0,-2378.742758143897,
93,0,126,1710,2658,2658,0,4494,2600,8344,0.327007290534299,0.672992709465701,0.0,0.0,0.0,-3219.351808271962,
94,0,0,1209,2260,2260,0,3469,2600,7289,0.06975021833297429,0.9302497816670257,0.0,0.0,0.0,-2660.6129397313543,
