Thu Jan 26 10:57:22 JST 2023,,,,,,,,,,,,,,,
WPSCE-4000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,0,2044,2044,0,2044,3000,6224,0.75240826,0.24759174,0,0,0,-2280.697703
1,0,0,301,379,379,0,680,2600,4480,0.536612407,0.463387593,0,0,0,-1569.704178
2,90,348,753,1312,1312,90,2503,3400,7103,0.641994625,0.358005375,0,0,0,-2824.130822
3,0,0,751,3121,3121,0,3872,4200,9242,0.281153683,0.718846317,0,0,0,-4107.781592
4,0,0,381,1584,1584,0,1965,2600,5795,0.482952763,0.517047237,0,0,0,-2293.324996
5,0,248,924,1712,1712,0,2884,4600,8694,0.680830025,0.319169975,0,0,0,-3431.695677
6,0,310,2128,2331,2331,0,4769,3400,9359,0.86317621,0.13682379,0,0,0,-4581.688231
7,0,878,3954,974,3954,0,5806,3400,10376,0.36178542,0.63821458,0,0,0,-4270.455721
8,0,222,1593,709,1593,0,2524,3000,6714,0.143209129,0.856790871,0,0,0,-2931.832455
9,94,0,274,728,728,0,1096,3000,5286,0.346047729,0.653952271,0,0,0,-2341.125125
10,0,495,2077,831,2077,0,3403,3000,7553,0.670333239,0.329666761,0,0,0,-3270.144295
11,103,414,1531,2673,2673,103,4721,3800,9751,0.504423886,0.495576114,0,0,0,-4264.574399
12,0,77,478,539,539,0,1094,2600,4924,0.493481028,0.506518972,0,0,0,-1856.817572
13,0,0,286,296,296,0,582,2600,4362,0.36934552,0.63065448,0,0,0,-1854.66074
14,0,0,419,424,424,0,843,2600,4603,0.61722792,0.38277208,0,0,0,-1515.530544
15,169,353,2926,4166,4166,169,7614,3400,12234,0.575316739,0.424683261,0,0,0,-5824.384737
16,0,0,354,1568,1568,0,1922,2600,5702,0.833125369,0.166874631,0,0,0,-2035.141
17,0,204,1305,708,1305,0,2217,3000,6387,0.990403968,0.009596032,0,0,0,-2224.513693
18,0,0,1122,516,1122,0,1638,3000,5808,0.170267105,0.829732895,0,0,0,-2768.096203
19,0,229,3379,7050,7050,0,10658,3800,15708,0.282749557,0.717250443,0,0,0,-5739.096461
20,0,0,950,861,950,0,1811,2600,5621,0.528792663,0.471207337,0,0,0,-2182.782589
21,0,219,906,1917,1917,0,3042,3800,8012,0.773882044,0.226117956,0,0,0,-3213.397411
22,0,0,48,220,220,0,268,2600,4058,0.202946573,0.797053427,0,0,0,-2126.728591
23,0,39,2413,2319,2413,0,4771,3800,9761,0.013780568,0.986219432,0,0,0,-3813.380932
24,0,701,2304,2825,2825,0,5830,3000,10020,0.519752535,0.480247465,0,0,0,-4470.899673
25,0,140,1530,705,1530,0,2375,3000,6555,0.212440365,0.787559635,0,0,0,-2867.224772
26,0,293,1609,837,1609,0,2739,4200,8099,0.985163812,0.014836188,0,0,0,-2760.675671
27,0,1799,3096,1336,3096,0,6231,5000,12421,0.315869667,0.684130333,0,0,0,-5388.83556
28,0,29,191,260,260,0,480,2600,4270,0.441717386,0.558282614,0,0,0,-1663.559143
29,0,0,1157,1412,1412,0,2569,2600,6359,0.838340434,0.161659566,0,0,0,-2574.011447
30,0,281,524,4326,4326,0,5131,4200,10561,0.570498982,0.429501018,0,0,0,-4731.134552
31,0,291,1047,680,1047,0,2018,3800,6998,0.457131334,0.542868666,0,0,0,-2985.391963
32,0,232,1394,2874,2874,0,4500,3400,9100,0.488566199,0.511433801,0,0,0,-3937.422819
33,0,34,35,929,929,0,998,3000,5198,0.629549856,0.370450144,0,0,0,-1739.641188
34,0,17,1346,1257,1346,0,2620,2600,6420,0.50578037,0.49421963,0,0,0,-2610.115607
35,0,129,689,1662,1662,0,2480,2600,6310,0.881945101,0.118054899,0,0,0,-2494.166588
36,0,0,504,374,504,0,878,2600,4668,0.711037581,0.288962419,0,0,0,-1375.593285
37,0,0,380,443,443,0,823,2600,4623,0.332277714,0.667722286,0,0,0,-2009.542501
38,0,311,1656,3419,3419,0,5386,3400,9986,0.563099223,0.436900777,0,0,0,-4518.315057
39,1,387,572,1224,1224,1,2184,4200,7594,0.662415563,0.337584437,0,0,0,-2864.570226
40,0,137,190,4061,4061,0,4388,3400,9008,0.267105455,0.732894545,0,0,0,-3663.90019
41,0,710,2452,2998,2998,0,6160,7800,15160,0.836565118,0.163434882,0,0,0,-6428.033206
42,0,718,1053,3898,3898,0,5669,3800,10669,0.803132861,0.196867139,0,0,0,-5301.055317
43,0,0,97,719,719,0,816,2600,4616,0.995694435,0.004305565,0,0,0,-823.6811274
44,0,0,363,1302,1302,0,1665,2600,5455,0.36675704,0.63324296,0,0,0,-2257.082167
45,0,0,311,824,824,0,1135,2600,4935,0.768223737,0.231776263,0,0,0,-1474.552225
46,0,921,2862,6426,6426,0,10209,3400,14839,0.589068428,0.410931572,0,0,0,-7410.966926
47,0,0,812,1449,1449,0,2261,3800,7261,0.953321553,0.046678447,0,0,0,-2332.83813
48,207,1528,891,1488,1528,207,4114,3800,9124,0.565551601,0.434448399,0,0,0,-3977.583203
49,0,0,71,252,252,0,323,2200,3773,0.493192839,0.506807161,0,0,0,-1274.277041
50,0,243,333,1846,1846,0,2422,3000,6652,0.434077917,0.565922083,0,0,0,-2749.102964
51,437,1009,1233,1110,1233,437,3789,4200,9179,0.685637471,0.314362529,0,0,0,-3918.202999
52,0,0,1550,738,1550,0,2288,3000,6468,0.01635322,0.98364678,0,0,0,-2988.356507
53,0,120,1532,3326,3326,0,4978,2600,8778,0.551035197,0.448964803,0,0,0,-3910.361699
54,0,1628,2997,2262,2997,0,6887,3400,11457,0.376658137,0.623341863,0,0,0,-4713.406925
55,317,1559,7337,752,7337,317,9965,4600,15765,0.844845963,0.155154037,0,0,0,-9132.598592
56,0,0,71,843,843,0,914,2600,4744,0.014558759,0.985441241,0,0,0,-2575.453933
57,0,0,44,948,948,0,992,3000,5172,0.750023556,0.249976444,0,0,0,-1493.9527
58,0,129,138,337,337,0,604,2600,4394,0.384165999,0.615834001,0,0,0,-1833.204667
59,0,0,1413,2694,2694,0,4107,2600,7917,0.536402083,0.463597917,0,0,0,-3408.357939
60,0,0,514,514,514,0,1028,2600,4818,0.475690486,0.524309514,0,0,0,-1852.214556
61,0,952,1651,842,1651,0,3445,3000,7655,0.60664641,0.39335359,0,0,0,-3269.957652
62,0,132,538,862,862,0,1532,2600,5372,0.620809317,0.379190683,0,0,0,-1936.975649
63,0,0,97,893,893,0,990,2600,4800,0.356978905,0.643021095,0,0,0,-2025.263964
64,0,944,2321,5023,5023,0,8288,3000,12488,0.95760178,0.04239822,0,0,0,-8063.798213
65,0,13,419,422,422,0,854,2600,4664,0.522257233,0.477742767,0,0,0,-1688.13887
66,0,0,151,1064,1064,0,1215,3800,6175,0.524605944,0.475394056,0,0,0,-2443.893636
67,0,0,1438,3074,3074,0,4512,2600,8332,0.667246238,0.332753762,0,0,0,-3875.774807
68,4,1049,3621,2448,3621,4,7122,3800,12132,0.797761508,0.202238492,0,0,0,-6450.16373
69,0,0,1445,911,1445,0,2356,2600,6146,0.146569449,0.853430551,0,0,0,-2564.237054
70,49,1335,870,2308,2308,49,4562,3400,9162,0.749943094,0.250056906,0,0,0,-4271.433875
71,0,19,199,1927,1927,0,2145,3400,6745,0.747388516,0.252611484,0,0,0,-2462.027413
72,0,385,1530,3273,3273,0,5188,3000,9388,0.142740901,0.857259099,0,0,0,-3312.317091
73,0,1080,1071,760,1080,0,2911,3000,7101,0.390303797,0.609696203,0,0,0,-2965.262962
74,0,0,1411,1658,1658,0,3069,2600,6839,0.637807224,0.362192776,0,0,0,-2899.131588
75,0,27,1303,1020,1303,0,2350,3000,6530,0.390920181,0.609079819,0,0,0,-2745.901882
76,0,1062,292,1275,1275,0,2629,3000,6809,0.254073762,0.745926238,0,0,0,-2905.738634
77,0,0,370,1480,1480,0,1850,2600,5680,0.256249967,0.743750033,0,0,0,-2407.812525
78,0,511,457,2572,2572,0,3540,3000,7730,0.387863408,0.612136592,0,0,0,-3209.44624
79,0,0,183,1225,1225,0,1408,3400,6018,0.942130907,0.057869093,0,0,0,-1523.275234
80,0,1229,1349,906,1349,0,3484,3400,8064,0.087978379,0.912021621,0,0,0,-3407.390184
81,0,0,443,1750,1750,0,2193,3400,6793,0.861929822,0.138070178,0,0,0,-2359.650704
82,0,0,680,740,740,0,1420,2600,5200,0.878641757,0.121358243,0,0,0,-1563.202727
83,0,1346,348,1736,1736,0,3430,3000,7630,0.16672443,0.83327557,0,0,0,-3071.691505
84,0,137,870,1331,1331,0,2338,2600,6148,0.262233548,0.737766452,0,0,0,-2531.29481
85,0,78,696,1047,1047,0,1821,2600,5641,0.487986628,0.512013372,0,0,0,-2219.858417
86,0,0,1431,1757,1757,0,3188,2600,6988,0.347335882,0.652664118,0,0,0,-2804.233499
87,0,506,2098,1595,2098,0,4199,3000,8379,0.812686288,0.187313712,0,0,0,-3974.410859
88,0,0,820,1705,1705,0,2525,3000,6775,0.979160127,0.020839873,0,0,0,-2534.898939
89,0,0,1304,1294,1304,0,2598,3000,6758,0.290783185,0.709216815,0,0,0,-2883.10516
90,0,85,564,3348,3348,0,3997,3800,9007,0.81813586,0.18186414,0,0,0,-3961.172765
91,0,0,1547,920,1547,0,2467,3000,6657,0.6176471,0.3823529,0,0,0,-2670.794096
92,0,35,1522,934,1522,0,2491,2600,6261,0.453395987,0.546604013,0,0,0,-2550.579837
93,0,126,1631,2082,2082,0,3839,2600,7689,0.327007291,0.672992709,0,0,0,-3005.162033
94,0,0,1598,3379,3379,0,4977,2600,8797,0.069750218,0.930249782,0,0,0,-2765.796269
95,0,142,211,906,906,0,1259,2200,4709,0.115362397,0.884637603,0,0,0,-2091.443985
96,0,111,559,596,596,0,1266,2600,5076,0.346346702,0.653653298,0,0,0,-2137.973499
97,0,138,1543,1034,1543,0,2715,2600,6485,0.47347755,0.52652245,0,0,0,-2654.449918
98,0,0,398,502,502,0,900,2600,4680,0.566387619,0.433612381,0,0,0,-1637.141047
99,0,55,1580,3908,3908,0,5543,2600,9353,0.265533406,0.734466594,0,0,0,-3381.464814
100,282,1038,4364,2107,4364,282,7791,3000,11991,0.57960878,0.42039122,0,0,0,-5776.905663
101,0,64,183,412,412,0,659,2600,4439,0.572347326,0.427652674,0,0,0,-1489.073841
102,0,514,1606,857,1606,0,2977,3800,7947,0.962812427,0.037187573,0,0,0,-3007.605373
103,0,0,102,1017,1017,0,1119,2600,4919,0.253068956,0.746931044,0,0,0,-2225.204877
104,217,288,1057,728,1057,217,2290,3400,6900,0.744163912,0.255836088,0,0,0,-2573.978057
105,0,116,896,1167,1167,0,2179,2600,5959,0.586820472,0.413179528,0,0,0,-2352.948581
106,0,384,511,719,719,0,1614,3400,6214,0.550272028,0.449727972,0,0,0,-2417.214159
107,0,579,2449,2274,2449,0,5302,3000,9512,0.47190995,0.52809005,0,0,0,-4086.336705
108,0,0,142,403,403,0,545,2600,4335,0.605926884,0.394073116,0,0,0,-1354.820253
109,0,0,514,675,675,0,1189,2600,4979,0.494507031,0.505492969,0,0,0,-1902.250579
110,0,67,506,879,879,0,1452,2600,5222,0.995636907,0.004363093,0,0,0,-1457.008831
111,0,0,687,655,687,0,1342,2600,5132,0.491363319,0.508636681,0,0,0,-1981.864945
112,0,0,107,1240,1240,0,1347,2600,5147,0.120931767,0.879068233,0,0,0,-2448.472496
113,0,0,846,2558,2558,0,3404,3000,7584,0.463327122,0.536672878,0,0,0,-3187.184157
114,0,95,433,603,603,0,1131,3400,5721,0.678762816,0.321237184,0,0,0,-1859.887169
115,0,122,468,470,470,0,1060,2200,4510,0.154357475,0.845642525,0,0,0,-2024.032479
116,0,378,550,689,689,0,1617,3400,6217,0.35262293,0.64737707,0,0,0,-2771.273315
117,1320,2391,2164,15933,15933,1320,21808,4200,27198,0.850707535,0.149292465,0,0,0,-19179.25827
118,0,0,583,585,585,0,1168,2600,4968,0.359253018,0.640746982,0,0,0,-2085.549678
119,0,0,856,1229,1229,0,2085,2600,5905,0.323655691,0.676344309,0,0,0,-2433.317319
120,0,111,1105,451,1105,0,1667,2600,5447,0.955420809,0.044579191,0,0,0,-1708.592385
121,0,112,438,905,905,0,1455,2600,5265,0.358689334,0.641310666,0,0,0,-2189.300713
122,0,97,2408,1762,2408,0,4267,3400,8877,0.686642815,0.313357185,0,0,0,-3995.319321
123,226,247,2331,1122,2331,226,3926,3000,8116,0.337654378,0.662345622,0,0,0,-3312.667954
124,0,1504,622,1307,1504,0,3433,3000,7603,0.31184882,0.68815118,0,0,0,-3135.030539
125,0,13,1546,674,1546,0,2233,2600,6043,0.303525803,0.696474197,0,0,0,-2488.60603
126,0,0,1565,665,1565,0,2230,2600,6010,0.533743293,0.466256707,0,0,0,-2402.514982
127,215,308,394,1280,1280,215,2197,3000,6397,0.555254386,0.444745614,0,0,0,-2554.130728
128,0,110,1573,1920,1920,0,3603,3000,7813,0.104406267,0.895593733,0,0,0,-3062.956979
129,0,121,1035,1239,1239,0,2395,2600,6155,0.50674668,0.49325332,0,0,0,-2496.116931
130,0,74,555,884,884,0,1513,2600,5303,0.510422036,0.489577964,0,0,0,-2045.171247
131,0,123,415,569,569,0,1107,2600,4887,0.992430955,0.007569045,0,0,0,-1118.300584
132,0,0,1403,1540,1540,0,2943,3000,7183,0.042128926,0.957871074,0,0,0,-2997.598651
133,0,126,1045,1694,1694,0,2865,2600,6655,0.273217055,0.726782945,0,0,0,-2672.40252
134,0,125,435,563,563,0,1123,2600,4883,0.590590189,0.409409811,0,0,0,-1727.698291
135,0,163,1279,617,1279,0,2059,2600,5859,0.661704687,0.338295313,0,0,0,-2242.017764
136,0,672,902,1887,1887,0,3461,3000,7671,0.30577665,0.69422335,0,0,0,-3140.963036
137,0,222,676,1236,1236,0,2134,3000,6324,0.49788446,0.50211554,0,0,0,-2568.832057
138,22,0,291,459,459,0,772,2600,4552,0.296206935,0.703793065,0,0,0,-2058.533723
139,0,113,892,2832,2832,0,3837,3800,8827,0.541603662,0.458396338,0,0,0,-3820.039335
140,135,253,635,1263,1263,135,2286,3000,6506,0.510265584,0.489734416,0,0,0,-2635.670373
141,213,179,2330,1135,2330,179,3857,3000,8067,0.159805283,0.840194717,0,0,0,-3136.953127
142,0,82,241,560,560,0,883,2600,4643,0.662168678,0.337831322,0,0,0,-1463.056379
143,0,214,661,1522,1522,0,2397,2600,6197,0.458219805,0.541780195,0,0,0,-2506.98138
144,15,478,374,1211,1211,15,2078,2600,5888,0.229386872,0.770613128,0,0,0,-2480.260053
145,0,234,901,2529,2529,0,3664,2600,7474,0.518245355,0.481754645,0,0,0,-3151.413058
146,0,322,1630,1887,1887,0,3839,2600,7619,0.699402175,0.300597825,0,0,0,-3466.559294
147,0,170,579,758,758,0,1507,2600,5247,0.519067586,0.480932414,0,0,0,-2032.659128
148,0,42,1272,3286,3286,0,4600,2600,8450,0.005309752,0.994690248,0,0,0,-2610.619504
149,5,481,1238,1270,1270,5,2994,3400,7624,0.670548052,0.329451948,0,0,0,-3127.757491
150,0,207,840,1252,1252,0,2299,3000,6499,0.44983623,0.55016377,0,0,0,-2684.664803
151,149,1059,1716,3140,3140,149,6064,3800,11094,0.185479634,0.814520366,0,0,0,-4219.925891
152,0,435,2009,1363,2009,0,3807,2600,7577,0.045702082,0.954297918,0,0,0,-2655.162412
