Thu Jan 26 14:29:21 JST 2023,,,,,,,,,,,,,,,
WPSCE-4000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,560,214,560,0,774,2600,4554,0.75240826,0.24759174,0,0,0,-1226.102517
1,0,0,384,592,592,0,976,2600,4776,0.536612407,0.463387593,0,0,0,-1728.541451
2,0,0,562,916,916,0,1478,2600,5278,0.641994625,0.358005375,0,0,0,-1879.682031
3,0,167,1479,943,1479,0,2589,3400,7159,0.281153683,0.718846317,0,0,0,-3171.984363
4,0,0,611,1506,1506,0,2117,2600,5947,0.482952763,0.517047237,0,0,0,-2366.733816
5,0,0,1052,626,1052,0,1678,2600,5488,0.680830025,0.319169975,0,0,0,-1972.274717
6,0,760,827,795,827,0,2382,3000,6572,0.86317621,0.13682379,0,0,0,-2466.557102
7,0,780,2731,977,2731,0,4488,3000,8658,0.36178542,0.63821458,0,0,0,-3538.336705
8,0,0,619,881,881,0,1500,2600,5290,0.143209129,0.856790871,0,0,0,-2442.469958
9,0,158,690,758,758,0,1606,3800,6596,0.346047729,0.653952271,0,0,0,-3040.771283
10,0,669,2652,1031,2652,0,4352,3000,8502,0.670333239,0.329666761,0,0,0,-3906.290539
11,228,0,1650,5609,5609,0,7487,3000,11717,0.504423886,0.495576114,0,0,0,-5263.349975
12,0,73,395,3078,3078,0,3546,3000,7776,0.493481028,0.506518972,0,0,0,-3269.440641
13,0,0,599,223,599,0,822,2600,4602,0.36934552,0.63065448,0,0,0,-1943.303665
14,0,0,119,468,468,0,587,2600,4347,0.61722792,0.38277208,0,0,0,-1357.520196
15,0,0,1157,1952,1952,0,3109,2600,6929,0.575316739,0.424683261,0,0,0,-2892.83622
16,0,0,597,1546,1546,0,2143,2600,5923,0.833125369,0.166874631,0,0,0,-2219.261706
17,0,248,1160,1024,1160,0,2432,4200,7802,0.990403968,0.009596032,0,0,0,-2448.965785
18,0,0,272,579,579,0,851,2600,4621,0.170267105,0.829732895,0,0,0,-2302.202834
19,0,0,1244,1448,1448,0,2692,2600,6542,0.282749557,0.717250443,0,0,0,-2626.012959
20,0,0,1088,989,1088,0,2077,2600,5887,0.528792663,0.471207337,0,0,0,-2323.441437
21,0,481,612,952,952,0,2045,3000,6215,0.773882044,0.226117956,0,0,0,-2260.942648
22,0,0,315,572,572,0,887,2600,4677,0.202946573,0.797053427,0,0,0,-2252.35252
23,0,0,173,389,389,0,562,2600,4352,0.013780568,0.986219432,0,0,0,-2571.915202
24,0,435,3894,3181,3894,0,7510,3800,12500,0.519752535,0.480247465,0,0,0,-5728.281903
25,0,0,397,651,651,0,1048,2600,4828,0.212440365,0.787559635,0,0,0,-2270.292553
26,0,390,829,950,950,0,2169,3800,7129,0.985163812,0.014836188,0,0,0,-2193.197823
27,0,0,401,657,657,0,1058,2600,4848,0.315869667,0.684130333,0,0,0,-2112.928974
28,0,57,149,216,216,0,422,2600,4212,0.441717386,0.558282614,0,0,0,-1637.939534
29,0,0,1234,1172,1234,0,2406,2600,6196,0.838340434,0.161659566,0,0,0,-2437.361956
30,0,0,399,500,500,0,899,2600,4729,0.570498982,0.429501018,0,0,0,-1629.581231
31,0,70,936,856,936,0,1862,3800,6842,0.457131334,0.542868666,0,0,0,-2914.079475
32,0,143,727,1316,1316,0,2186,2600,5986,0.488566199,0.511433801,0,0,0,-2397.733594
33,0,110,262,821,821,0,1193,3000,5393,0.629549856,0.370450144,0,0,0,-1862.40341
34,0,0,1314,1099,1314,0,2413,2600,6213,0.50578037,0.49421963,0,0,0,-2505.419071
35,0,147,693,1318,1318,0,2158,2600,5988,0.881945101,0.118054899,0,0,0,-2210.180265
36,0,0,603,186,603,0,789,2600,4579,0.711037581,0.288962419,0,0,0,-1312.31094
37,0,2,1552,905,1552,0,2459,3400,7059,0.332277714,0.667722286,0,0,0,-3087.326671
38,0,0,595,899,899,0,1494,2600,5294,0.563099223,0.436900777,0,0,0,-1977.212259
39,0,144,226,683,683,0,1053,2600,4863,0.662415563,0.337584437,0,0,0,-1575.243124
40,0,146,1444,846,1444,0,2436,2600,6256,0.267105455,0.732894545,0,0,0,-2556.194705
41,0,0,1295,706,1295,0,2001,2600,5801,0.836565118,0.163434882,0,0,0,-2098.897494
42,0,29,1351,1969,1969,0,3349,2600,7149,0.803132861,0.196867139,0,0,0,-3201.546513
43,0,833,734,2875,2875,0,4442,3400,9042,0.995694435,0.004305565,0,0,0,-4437.513602
44,0,0,1054,1794,1794,0,2848,3000,7038,0.36675704,0.63324296,0,0,0,-2944.25293
45,0,0,603,899,899,0,1502,2600,5302,0.768223737,0.231776263,0,0,0,-1756.490337
46,0,25,398,861,861,0,1284,2600,5114,0.589068428,0.410931572,0,0,0,-1824.785949
47,0,71,192,408,408,0,671,2600,4471,0.953321553,0.046678447,0,0,0,-761.0427241
48,0,0,1395,849,1395,0,2244,2600,6054,0.565551601,0.434448399,0,0,0,-2398.66363
49,0,0,70,290,290,0,360,2200,3810,0.493192839,0.506807161,0,0,0,-1292.525176
50,0,0,566,933,933,0,1499,2600,5329,0.434077917,0.565922083,0,0,0,-2122.080213
51,0,493,4034,1066,4034,0,5593,3800,10583,0.685637471,0.314362529,0,0,0,-5029.347986
