Thu Jan 26 10:54:03 JST 2023
WSCE-4000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,0,1410,1410,0,1410,2600,5190,0.7524082603896196,0.24759173961038033,0.0,0.0,0.0,-1704.6341701363526,
1,0,0,805,682,805,0,1487,2600,5287,0.536612407211473,0.4633875927885272,0.0,0.0,0.0,-2002.750390773631,
2,0,0,238,560,560,0,798,2600,4598,0.6419946248304128,0.35800537516958714,0.0,0.0,0.0,-1443.125686055596,
3,0,10,280,583,583,0,873,3000,5043,0.2811536834383327,0.7188463165616673,0.0,0.0,0.0,-2401.9861153266665,
4,0,137,945,2391,2391,0,3473,3000,7703,0.48295276288041233,0.5170472371195876,0.0,0.0,0.0,-3228.436656842435,
5,0,0,855,682,855,0,1537,3000,5747,0.6808300250343551,0.31916997496564486,0.0,0.0,0.0,-2003.9456733747384,
6,0,43,469,377,469,0,889,3000,5079,0.8631762095661771,0.1368237904338229,0.0,0.0,0.0,-1177.8350216058002,
7,0,56,841,746,841,0,1643,2600,5413,0.3617854203541924,0.6382145796458076,0.0,0.0,0.0,-2253.771352721038,
8,0,159,950,700,950,0,1809,2600,5599,0.1432091288285964,0.8567908711714036,0.0,0.0,0.0,-2486.72157909658,
9,0,0,479,1695,1695,0,2174,3000,6364,0.3460477286369859,0.6539522713630141,0.0,0.0,0.0,-2714.16457614585,
10,0,814,2174,1452,2174,0,4440,3000,8590,0.6703332385389458,0.3296667614610541,0.0,0.0,0.0,-3965.279863496082,
11,0,185,935,1991,1991,0,3111,2600,6941,0.5044238856477177,0.49557611435228227,0.0,0.0,0.0,-2857.7606055659835,
12,0,57,968,696,968,0,1721,2600,5551,0.4934810280654389,0.5065189719345611,0.0,0.0,0.0,-2166.230176330479,
13,0,0,435,275,435,0,710,2600,4490,0.3693455203710799,0.6306544796289201,0.0,0.0,0.0,-1901.9369664986589,
14,0,0,181,439,439,0,620,2600,4380,0.6172279204135315,0.3827720795864686,0.0,0.0,0.0,-1377.8887175812079,
15,0,237,348,1688,1688,0,2273,2600,6093,0.5753167388234763,0.4246832611765237,0.0,0.0,0.0,-2411.871426404723,
