Sat Jan 14 17:08:12 JST 2023
CCE-5000_SEED(0)
VisitorId,waitingTime,movingTime,travelTime,
0,1427,2600,5207,
1,1958,2600,5758,
2,2159,2600,5959,
3,3564,3000,7734,
4,2523,2600,6353,
5,1868,2600,5678,
6,1754,2600,5544,
7,2155,2600,5925,
8,2049,2600,5839,
9,6908,3000,11098,
10,4885,3000,9035,
11,7190,3000,11420,
12,2168,2600,5998,
13,2558,2600,6338,
14,2576,2600,6336,
15,2044,2600,5864,
16,1876,2600,5656,
17,3428,3000,7598,
18,1845,2600,5615,
19,3973,2600,7823,
20,4391,2600,8201,
21,3642,2600,7412,
22,3189,2600,6979,
23,3303,2600,7093,
24,2408,2600,6198,
25,2094,2600,5874,
26,5528,3000,9688,
27,2109,2600,5899,
28,1442,2600,5232,
29,1423,2600,5213,
30,2430,2600,6260,
31,3259,2600,7039,
32,2449,2600,6249,
33,8489,3000,12689,
34,1362,2600,5162,
35,6097,3000,10327,
36,2012,2600,5802,
37,2302,2600,6102,
38,5269,2600,9069,
39,6629,3000,10839,
40,2460,2600,6280,
41,2668,2600,6468,
42,4630,2600,8430,
43,4357,2600,8157,
44,2871,2600,6661,
45,4301,2600,8101,
46,3193,2600,7023,
47,4266,2600,8066,
48,3162,2600,6972,
49,2887,2200,6337,
50,5862,2600,9692,
51,9371,3400,13961,
52,2288,2600,6068,
53,9402,3000,13602,
54,2013,2600,5783,
55,4376,3000,8576,
56,4372,2600,8202,
57,4312,2600,8092,
58,4733,3000,8923,
59,4598,2600,8408,
60,2544,2600,6334,
61,2485,2600,6295,
62,7959,2600,11799,
63,4331,2600,8141,
64,3234,2600,7034,
65,3198,2600,7008,
66,2528,2600,6288,
67,7753,3000,11973,
68,6013,3000,10223,
69,2382,2600,6172,
70,9667,3800,14667,
71,4532,3000,8732,
72,2782,2600,6582,
73,2956,2600,6746,
74,5897,3800,10867,
75,4854,2600,8634,
76,2615,2600,6395,
77,3218,3000,7448,
78,5246,2600,9036,
79,2621,2600,6431,
80,2564,2600,6344,
81,14364,4200,19764,
82,3091,2600,6871,
83,6818,3000,11018,
84,4654,2600,8464,
85,3080,2600,6900,
86,6361,3400,10961,
87,4037,2600,7817,
88,2828,2600,6678,
89,4512,2600,8272,
90,5240,2600,9050,
91,2563,2600,6353,
92,3867,3400,8437,
93,4111,2600,7961,
94,3829,2600,7649,
95,4038,2200,7488,
96,3266,2600,7076,
97,2968,2600,6738,
98,3347,2600,7127,
99,2749,2600,6559,
100,4532,2600,8332,
101,5537,2600,9317,
102,4075,2600,7845,
103,3609,2600,7409,
104,13858,3400,18468,
105,3757,2600,7537,
106,3408,2600,7208,
107,3341,2600,7151,
108,3811,2600,7601,
109,2380,2600,6170,
110,4887,2600,8657,
111,3001,2600,6791,
112,3200,2600,7000,
113,3196,2600,6976,
114,4513,2600,8303,
115,4722,2200,8172,
116,3537,2600,7337,
117,3003,2600,6793,
118,7430,3000,11630,
119,4028,2600,7848,
120,3208,2600,6988,
121,5162,2600,8972,
122,7910,3000,12120,
123,7794,3000,11984,
124,3579,2600,7349,
125,4289,2600,8099,
126,3478,2600,7258,
127,5825,2600,9625,
128,3078,2200,6488,
129,2902,2600,6662,
130,6112,2600,9902,
131,3194,2600,6974,
132,5416,2600,9256,
133,2959,2600,6749,
134,3223,2600,6983,
135,10602,3000,14802,
136,6478,2600,10288,
137,3680,2600,7470,
138,3237,2600,7017,
139,4948,2600,8738,
140,5517,2600,9337,
141,4275,2600,8085,
142,3737,2600,7497,
143,6142,2600,9942,
144,6097,2600,9907,
145,5213,2600,9023,
146,4239,2600,8019,
147,4129,2600,7869,
148,4884,2200,8334,
149,6851,3400,11481,
150,6861,2600,10661,
151,4510,2600,8340,
152,3580,2600,7350,
153,2248,2600,6018,
154,4834,2200,8284,
155,3737,2600,7517,
156,13249,3000,17489,
157,4020,2600,7790,
