Sun Jan 15 18:45:09 JST 2023
SCE-1000_SEED(0)
VisitorId,waitingTime,movingTime,travelTime,
0,0,2600,3780,
1,0,2600,3800,
2,0,2600,3800,
3,0,3000,4170,
4,0,2600,3830,
5,0,2600,3810,
6,0,2600,3790,
7,0,2600,3770,
8,0,2600,3790,
9,0,3000,4190,
10,0,3000,4150,
11,27,3000,4257,
12,0,2600,3830,
13,0,2600,3780,
14,0,2600,3760,
15,0,2600,3820,
16,0,2600,3780,
17,0,3000,4170,
18,0,2600,3770,
19,0,2600,3850,
20,0,2600,3810,
21,0,2600,3770,
22,0,2600,3790,
23,0,2600,3790,
24,0,2600,3790,
25,0,2600,3780,
26,0,3000,4160,
27,0,2600,3790,
28,0,2600,3790,
29,31,2600,3821,
30,0,2600,3830,
31,0,2600,3780,
32,0,2600,3800,
33,0,3000,4200,
34,90,2600,3890,
35,0,3400,4630,
36,0,2600,3790,
37,0,2600,3800,
38,0,2600,3800,
39,112,3000,4322,
40,0,2600,3820,
41,12,2600,3812,
42,0,2600,3800,
43,0,2600,3800,
44,0,2600,3790,
45,0,2600,3800,
46,0,2600,3830,
47,0,2600,3800,
48,0,2600,3810,
49,0,2200,3450,
50,0,2600,3830,
51,245,3400,4835,
52,0,2600,3780,
53,27,3000,4227,
54,0,2600,3770,
55,0,3000,4200,
56,0,2600,3830,
57,0,2600,3780,
58,0,3000,4190,
59,0,2600,3810,
60,0,2600,3790,
61,0,2600,3810,
62,0,2600,3840,
63,0,2600,3810,
64,0,2600,3800,
65,0,2600,3810,
66,44,2600,3804,
67,134,3000,4354,
68,118,3000,4328,
69,109,2600,3899,
70,0,3800,5000,
71,0,3000,4200,
72,0,2600,3800,
73,0,2600,3790,
74,0,3800,4970,
75,5,2600,3785,
76,0,2600,3780,
77,0,3000,4230,
78,23,2600,3813,
79,0,2600,3810,
80,114,2600,3894,
81,131,4200,5531,
82,86,2600,3866,
83,170,3000,4370,
84,0,2600,3810,
85,0,2600,3820,
86,0,3400,4600,
87,85,2600,3865,
88,24,2600,3874,
89,0,2600,3760,
90,0,2600,3810,
91,73,2600,3863,
92,0,3400,4570,
93,30,2600,3880,
94,16,2600,3836,
95,0,2200,3450,
96,0,2600,3810,
97,9,2600,3779,
98,0,2600,3780,
99,186,2600,3996,
100,87,2600,3887,
101,36,2600,3816,
102,191,2600,3961,
103,0,2600,3800,
104,0,3400,4610,
105,0,2600,3780,
106,0,2600,3800,
107,4,2600,3814,
108,0,2600,3790,
109,0,2600,3790,
110,20,2600,3790,
111,156,2600,3946,
112,0,2600,3800,
113,6,2600,3786,
114,0,2600,3790,
115,0,2200,3450,
116,0,2600,3800,
117,0,2600,3790,
118,165,3000,4365,
119,24,2600,3844,
120,10,2600,3790,
121,0,2600,3810,
122,0,3000,4210,
123,0,3000,4190,
124,107,2600,3877,
125,249,2600,4059,
126,140,2600,3920,
127,0,2600,3800,
128,51,2200,3461,
129,0,2600,3760,
130,16,2600,3806,
131,133,2600,3913,
132,6,2600,3846,
133,0,2600,3790,
134,0,2600,3760,
135,0,3000,4200,
136,89,2600,3899,
137,67,2600,3857,
138,0,2600,3780,
139,0,2600,3790,
140,80,2600,3900,
141,0,2600,3810,
142,0,2600,3760,
143,49,2600,3849,
144,15,2600,3825,
145,16,2600,3826,
146,17,2600,3797,
147,0,2600,3740,
148,0,2200,3450,
149,2,2600,3832,
150,0,2600,3800,
151,0,2600,3830,
152,57,2600,3827,
153,0,2600,3770,
154,17,2200,3467,
155,0,2600,3780,
156,32,3000,4272,
157,53,2600,3823,
158,0,2600,3840,
159,7,2600,3817,
160,119,2600,3919,
161,12,2200,3422,
162,0,3000,4190,
163,0,3000,4210,
164,0,2600,3750,
165,72,2600,3902,
166,0,2600,3810,
167,0,2600,3790,
168,90,2600,3890,
169,0,2600,3820,
170,0,2600,3790,
171,77,2600,3897,
172,0,2600,3830,
173,257,2600,4057,
174,7,2600,3817,
175,0,3000,4200,
176,0,2600,3850,
177,0,3000,4180,
178,0,3000,4200,
179,0,2600,3810,
180,20,2600,3800,
181,21,2600,3831,
182,0,2600,3760,
183,20,2600,3830,
184,0,2600,3790,
185,25,2600,3805,
186,0,2200,3410,
187,0,2600,3770,
188,0,2600,3780,
189,0,2600,3820,
190,0,3400,4610,
191,0,2600,3780,
192,0,3000,4180,
193,0,2600,3770,
194,4,2600,3824,
195,5,2600,3795,
196,99,3000,4269,
197,0,2600,3810,
198,0,2600,3790,
199,4,3000,4214,
200,1,2600,3791,
201,0,3000,4160,
202,3,3000,4173,
203,0,2600,3790,
204,124,3400,4734,
205,127,3400,4737,
206,14,3000,4184,
207,0,2600,3850,
208,0,2600,3800,
209,0,2600,3760,
210,0,2600,3790,
211,4,2600,3814,
212,0,3400,4550,
213,0,2600,3760,
214,135,2600,3935,
215,10,2600,3780,
216,0,2600,3820,
217,0,2600,3800,
218,0,3000,4200,
219,0,2600,3780,
220,0,2600,3800,
221,24,2600,3844,
222,7,2600,3777,
223,17,2600,3817,
224,0,2600,3770,
225,0,2600,3780,
226,0,3400,4550,
227,0,2600,3840,
228,0,3000,4200,
229,0,3000,4210,
230,0,2600,3800,
231,41,2600,3841,
232,49,2600,3899,
233,17,2600,3827,
234,18,3000,4208,
235,100,2600,3870,
236,0,3000,4230,
237,0,2600,3790,
238,70,2600,3860,
239,32,3000,4232,
240,47,2600,3827,
241,103,2600,3873,
242,15,2600,3805,
243,0,2600,3820,
244,34,3000,4264,
245,81,2600,3861,
246,0,2600,3820,
247,0,2200,3430,
248,0,2600,3790,
249,0,2600,3800,
250,0,2600,3780,
251,3,2600,3843,
252,0,2600,3780,
253,3,2600,3793,
254,64,2600,3844,
255,0,2600,3800,
256,0,2600,3800,
257,85,2600,3905,
258,0,2200,3410,
259,0,2600,3810,
260,0,3000,4170,
261,24,2600,3824,
262,0,2600,3770,
263,23,2600,3793,
264,10,3800,5000,
265,0,2600,3780,
266,4,3000,4184,
267,0,2600,3810,
268,1,2600,3831,
269,0,2200,3400,
270,59,2600,3849,
271,0,2200,3410,
272,63,2600,3853,
273,0,2600,3790,
274,14,2600,3814,
275,0,2600,3770,
276,74,3000,4274,
277,37,2600,3857,
278,0,3400,4570,
279,6,4200,5386,
280,73,2600,3863,
281,128,3000,4318,
282,0,2600,3820,
283,0,2600,3830,
284,67,2600,3877,
285,0,2600,3860,
286,0,4600,5820,
287,0,2200,3420,
288,0,3000,4180,
289,24,2600,3784,
290,0,2600,3780,
291,0,2600,3830,
292,43,2600,3833,
293,6,2600,3766,
294,52,2600,3832,
295,0,3000,4200,
296,0,2600,3780,
297,0,2600,3790,
