Sun Jan 15 18:57:45 JST 2023
SCE-2000_SEED(0)
VisitorId,waitingTime,movingTime,travelTime,
0,135,2600,3915,
1,0,2600,3800,
2,0,2600,3800,
3,458,3000,4628,
4,81,2600,3911,
5,132,2600,3942,
6,65,2600,3855,
7,0,2600,3770,
8,0,2600,3790,
9,321,3000,4511,
10,465,3000,4615,
11,715,3000,4945,
12,417,2600,4247,
13,45,2600,3825,
14,0,2600,3760,
15,66,2600,3886,
16,348,2600,4128,
17,396,3000,4566,
18,47,2600,3817,
19,13,2600,3863,
20,238,2600,4048,
21,140,2600,3910,
22,0,2600,3790,
23,16,2600,3806,
24,90,2600,3880,
25,30,2600,3810,
26,430,3000,4590,
27,53,2600,3843,
28,74,2600,3864,
29,376,2600,4166,
30,74,2600,3904,
31,0,2600,3780,
32,464,2600,4264,
33,664,3000,4864,
34,424,2600,4224,
35,673,3400,5303,
36,107,2600,3897,
37,118,2600,3918,
38,21,2600,3821,
39,152,3000,4362,
40,573,2600,4393,
41,294,2600,4094,
42,516,2600,4316,
43,40,2600,3840,
44,171,2600,3961,
45,133,2600,3933,
46,254,2600,4084,
47,110,2600,3910,
48,327,2600,4137,
49,82,2200,3532,
50,32,2600,3862,
51,1131,3400,5721,
52,340,2600,4120,
53,748,3000,4948,
54,179,2600,3949,
55,427,3000,4627,
56,153,2600,3983,
57,247,2600,4027,
58,100,3000,4290,
59,613,2600,4423,
60,382,2600,4172,
61,629,2600,4439,
62,149,2600,3989,
63,121,2600,3931,
64,211,2600,4011,
65,161,2600,3971,
66,193,2600,3953,
67,255,3000,4475,
68,860,3000,5070,
69,665,2600,4455,
70,410,3800,5410,
71,324,3000,4524,
72,277,2600,4077,
73,0,2600,3790,
74,495,3800,5465,
75,163,2600,3943,
76,162,2600,3942,
77,518,3000,4748,
78,473,2600,4263,
79,123,2600,3933,
80,635,2600,4415,
81,1295,4200,6695,
82,221,2600,4001,
83,798,3000,4998,
84,539,2600,4349,
85,696,2600,4516,
86,479,3400,5079,
87,704,2600,4484,
88,698,2600,4548,
89,260,2600,4020,
90,299,2600,4109,
91,476,2600,4266,
92,266,3400,4836,
93,870,2600,4720,
94,570,2600,4390,
95,129,2200,3579,
96,274,2600,4084,
97,541,2600,4311,
98,166,2600,3946,
99,905,2600,4715,
100,520,2600,4320,
101,306,2600,4086,
102,612,2600,4382,
103,278,2600,4078,
104,882,3400,5492,
105,44,2600,3824,
106,405,2600,4205,
107,874,2600,4684,
108,531,2600,4321,
109,600,2600,4390,
110,317,2600,4087,
111,801,2600,4591,
112,317,2600,4117,
113,628,2600,4408,
114,795,2600,4585,
115,116,2200,3566,
116,52,2600,3852,
117,994,2600,4784,
118,952,3000,5152,
119,934,2600,4754,
120,961,2600,4741,
121,852,2600,4662,
122,1197,3000,5407,
123,944,3000,5134,
124,849,3400,5419,
125,732,2600,4542,
126,792,2600,4572,
127,551,2600,4351,
128,387,2200,3797,
129,914,2600,4674,
130,477,2600,4267,
131,933,2600,4713,
132,342,2600,4182,
133,1630,3000,5820,
134,610,2600,4370,
135,1146,3000,5346,
136,391,2600,4201,
137,1084,2600,4874,
138,116,2600,3896,
139,89,2600,3879,
140,483,2600,4303,
141,578,2600,4388,
142,542,3400,5102,
143,339,2600,4139,
144,660,2600,4470,
145,1519,2600,5329,
146,991,2600,4771,
147,807,2600,4547,
148,580,2200,4030,
149,926,2600,4756,
150,115,2600,3915,
151,779,2600,4609,
152,1254,2600,5024,
153,326,2600,4096,
154,296,2200,3746,
155,223,2600,4003,
156,664,3000,4904,
157,889,2600,4659,
158,658,2600,4498,
159,1332,2600,5142,
160,1492,2600,5292,
161,239,2200,3649,
162,1732,3000,5922,
163,298,3000,4508,
164,712,2600,4462,
165,452,2600,4282,
166,952,2600,4762,
167,459,2600,4249,
168,936,2600,4736,
169,1144,2600,4964,
170,831,2600,4621,
171,1020,2600,4840,
172,999,2600,4829,
173,1393,2600,5193,
174,886,2600,4696,
175,1556,3000,5756,
176,1514,2600,5364,
177,782,3000,4962,
178,1986,3000,6186,
179,1005,2600,4815,
180,989,2600,4769,
181,911,2600,4721,
182,757,2600,4517,
183,1258,2600,5068,
184,1156,2600,4946,
185,1062,2600,4842,
186,663,2200,4073,
187,573,2600,4343,
188,242,2600,4022,
189,1106,2600,4926,
190,2458,3800,7468,
191,969,2600,4749,
192,940,3000,5120,
193,857,2600,4627,
194,1144,2600,4964,
195,995,2600,4785,
196,1404,4200,6774,
197,1044,2600,4854,
198,1579,2600,5369,
199,532,3000,4742,
200,1783,2600,5573,
201,354,3000,4514,
202,1268,3000,5438,
203,1415,3000,5605,
204,1017,3400,5627,
205,955,3400,5565,
206,1096,3400,5666,
207,1705,3000,5955,
208,1583,2600,5383,
209,1606,2600,5366,
210,1253,2600,5043,
211,1028,2600,4838,
212,913,3400,5463,
213,1377,2600,5137,
214,1332,2600,5132,
215,1556,2600,5326,
216,1111,2600,4931,
217,1420,2600,5220,
218,1536,3000,5736,
219,1124,2600,4904,
220,815,3000,5015,
221,1660,2600,5480,
222,1662,2600,5432,
223,707,2600,4507,
224,1786,2600,5556,
225,1723,2600,5503,
226,1794,3000,5944,
227,1141,2600,4981,
228,1078,2600,4878,
229,921,3000,5131,
230,227,2600,4027,
231,749,2600,4549,
232,1432,2600,5282,
233,1764,2600,5574,
234,1048,2600,4838,
235,1464,2600,5234,
236,1376,3000,5606,
237,736,2600,4526,
238,1017,2600,4807,
239,1597,3000,5797,
240,1177,2600,4957,
241,949,2600,4719,
242,729,3000,4919,
243,764,2600,4584,
244,2753,3000,6983,
245,763,2600,4543,
246,1215,2600,5035,
247,354,2200,3784,
248,876,2600,4666,
249,690,2600,4490,
250,858,2600,4638,
251,1723,2600,5563,
252,605,2600,4385,
253,984,2600,4774,
254,968,2600,4748,
255,684,2600,4484,
256,1317,2600,5117,
257,602,2600,4422,
258,812,2200,4222,
259,803,3000,5013,
260,633,3000,4803,
261,1594,2600,5394,
262,1159,2600,4929,
263,668,2600,4438,
264,1343,3800,6333,
265,1030,2600,4810,
266,1819,2600,5599,
267,1542,2600,5352,
268,1339,2600,5169,
269,551,2200,3951,
270,2413,2600,6203,
271,611,2200,4021,
272,2416,2600,6206,
273,1178,2600,4968,
274,2102,2600,5902,
275,705,2600,4475,
276,1884,3000,6084,
277,1846,2600,5666,
278,1664,3400,6234,
279,1970,4200,7350,
280,1543,3000,5733,
281,1183,3000,5373,
282,1181,2600,5001,
283,2119,3000,6349,
284,2004,3000,6214,
285,880,2600,4740,
286,1727,3000,5947,
287,800,2200,4220,
288,2074,3000,6254,
289,1436,2600,5196,
290,602,2600,4382,
291,1501,2600,5331,
292,839,2600,4629,
293,1976,3000,6136,
294,2293,2600,6073,
295,903,3000,5103,
296,1320,2600,5100,
297,736,2600,4526,
298,1347,3800,6307,
299,2015,2600,5845,
300,2281,2600,6071,
301,1648,2600,5458,
302,1669,2600,5419,
303,721,2600,4501,
304,1562,2600,5342,
305,1782,2600,5592,
306,1003,2600,4823,
307,1733,2600,5553,
308,1821,2600,5631,
309,732,2600,4542,
310,1047,3000,5237,
311,1634,2600,5474,
312,3123,3000,7313,
313,2500,2600,6310,
314,1775,3000,5975,
315,1602,2600,5372,
316,2315,3000,6545,
317,2465,2600,6265,
318,1103,2600,4953,
319,2612,3000,6802,
320,1544,2600,5334,
321,2289,2600,6079,
322,1591,2600,5381,
323,1873,3000,6053,
324,1890,2600,5700,
325,627,2200,4037,
326,1671,2600,5501,
327,2137,2600,5927,
328,1779,3000,5999,
329,1264,2600,5074,
330,1935,2600,5735,
331,2283,2600,6073,
332,1786,2600,5636,
333,1222,2600,5012,
334,764,2600,4564,
335,2132,2600,5922,
336,2154,2600,5914,
337,2744,2600,6584,
338,2383,3000,6563,
339,1448,2600,5228,
340,1534,3000,5744,
341,1716,2600,5496,
342,1157,3000,5347,
343,2219,2600,6019,
344,1213,2600,5043,
345,1394,2600,5144,
346,1907,3000,6107,
347,2107,2600,5957,
348,2509,3000,6729,
349,1766,2600,5586,
350,861,2200,4271,
351,1927,2600,5697,
352,1914,2600,5704,
353,1966,2600,5756,
354,1397,2600,5227,
355,2308,2600,6068,
356,1397,3000,5607,
357,2309,3000,6529,
358,3284,3400,7914,
359,703,2600,4523,
360,2049,2600,5849,
361,1476,3000,5616,
362,1297,2600,5097,
363,3709,2600,7519,
364,1978,2600,5738,
365,1400,3000,5610,
366,1382,2600,5202,
367,2744,2600,6574,
368,1797,3000,5987,
369,2883,2600,6683,
370,1542,2600,5352,
371,2163,3800,7183,
372,2010,2600,5840,
373,1864,2600,5694,
374,1872,2600,5672,
375,1935,2600,5745,
376,1413,2600,5253,
377,2717,2600,6527,
378,1007,2600,4807,
379,1684,2600,5484,
380,1646,2600,5506,
381,2445,2600,6225,
382,1342,2600,5122,
383,2046,2600,5836,
384,2898,2600,6678,
385,2270,2600,6020,
386,882,2600,4702,
387,2295,3400,6915,
388,1761,2600,5551,
389,2511,2600,6331,
390,3159,2600,6959,
391,1495,2600,5245,
392,2001,2600,5841,
393,1728,2600,5528,
394,2032,3000,6192,
395,2006,2600,5816,
396,1259,2600,5059,
397,1491,2600,5341,
398,2886,4200,8266,
399,1478,2600,5318,
400,2223,3000,6423,
401,2740,2600,6510,
402,1566,2600,5336,
403,1964,2600,5764,
404,1584,2600,5384,
405,1312,2200,4742,
406,1334,2600,5094,
407,2382,2600,6162,
408,1702,3000,5892,
409,1228,2600,5028,
410,2519,3000,6729,
411,2780,2600,6570,
412,1244,2600,5054,
413,1733,2600,5553,
414,2013,2600,5823,
415,1127,2600,4947,
416,919,2200,4329,
417,1779,2600,5549,
418,2672,2600,6452,
419,2291,2600,6111,
420,2413,2600,6243,
421,2634,3000,6824,
422,919,2600,4699,
423,3644,2600,7434,
424,2071,3000,6301,
425,2869,2600,6639,
426,1452,3000,5612,
427,3022,2600,6862,
428,1684,3000,5854,
429,1534,2600,5354,
430,1416,2600,5196,
431,2040,2600,5810,
432,3195,2600,7005,
433,1594,3400,6174,
434,1006,2600,4826,
435,2609,2600,6389,
436,3310,2600,7150,
437,1017,2600,4837,
438,2161,2600,5941,
439,3618,2600,7398,
440,2027,3000,6227,
441,987,2200,4397,
442,1654,2600,5414,
443,3814,3000,8014,
444,3130,2600,6950,
