Fri Jan 20 05:06:03 JST 2023,,,,,,,,,,,,,,,
SCE-3000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,0,705,705,0,705,2600,4485,0,0,1,0,0,-4485
1,0,0,174,174,174,0,348,2600,4148,0,0,1,0,0,-4148
2,0,0,122,422,422,0,544,2600,4344,0,0,1,0,0,-4344
3,0,0,128,251,251,0,379,3000,4549,0,0,1,0,0,-4549
4,0,0,354,719,719,0,1073,2600,4903,0,0,1,0,0,-4903
5,0,0,521,178,521,0,699,2600,4509,0,0,1,0,0,-4509
6,0,0,526,155,526,0,681,2600,4471,0,0,1,0,0,-4471
7,0,0,368,172,368,0,540,2600,4310,0,0,1,0,0,-4310
8,0,0,199,167,199,0,366,2600,4156,0,0,1,0,0,-4156
9,0,0,364,541,541,0,905,3000,5095,0,0,1,0,0,-5095
10,0,375,1020,457,1020,0,1852,3000,6002,0,0,1,0,0,-6002
11,0,136,416,1692,1692,0,2244,3000,6474,0,0,1,0,0,-6474
12,0,0,592,1133,1133,0,1725,2600,5555,0,0,1,0,0,-5555
13,0,0,0,0,0,0,0,2600,3780,0,0,1,0,0,-3780
14,0,0,0,103,103,0,103,2600,3863,0,0,1,0,0,-3863
15,0,0,194,544,544,0,738,2600,4558,0,0,1,0,0,-4558
16,0,0,353,930,930,0,1283,2600,5063,0,0,1,0,0,-5063
17,0,0,637,449,637,0,1086,3000,5256,0,0,1,0,0,-5256
18,0,0,218,156,218,0,374,2600,4144,0,0,1,0,0,-4144
19,0,0,284,343,343,0,627,2600,4477,0,0,1,0,0,-4477
20,0,102,740,592,740,0,1434,2600,5244,0,0,1,0,0,-5244
21,0,0,0,364,364,0,364,2600,4134,0,0,1,0,0,-4134
22,0,0,0,404,404,0,404,2600,4194,0,0,1,0,0,-4194
23,0,0,0,432,432,0,432,2600,4222,0,0,1,0,0,-4222
24,0,0,543,932,932,0,1475,2600,5265,0,0,1,0,0,-5265
25,0,0,223,129,223,0,352,2600,4132,0,0,1,0,0,-4132
26,0,237,459,1502,1502,0,2198,3000,6358,0,0,1,0,0,-6358
27,0,0,238,158,238,0,396,2600,4186,0,0,1,0,0,-4186
28,0,116,74,27,116,0,217,2600,4007,0,0,1,0,0,-4007
29,0,0,570,573,573,0,1143,2600,4933,0,0,1,0,0,-4933
30,0,0,280,524,524,0,804,2600,4634,0,0,1,0,0,-4634
31,0,0,0,364,364,0,364,2600,4144,0,0,1,0,0,-4144
32,0,0,348,966,966,0,1314,2600,5114,0,0,1,0,0,-5114
33,0,569,319,1014,1014,0,1902,3400,6502,0,0,1,0,0,-6502
34,0,0,595,582,595,0,1177,2600,4977,0,0,1,0,0,-4977
35,0,0,704,1775,1775,0,2479,3000,6709,0,0,1,0,0,-6709
36,0,0,359,59,359,0,418,2600,4208,0,0,1,0,0,-4208
37,0,0,330,246,330,0,576,2600,4376,0,0,1,0,0,-4376
38,0,0,0,281,281,0,281,2600,4081,0,0,1,0,0,-4081
39,0,0,105,327,327,0,432,3000,4642,0,0,1,0,0,-4642
40,0,0,666,1002,1002,0,1668,2600,5488,0,0,1,0,0,-5488
41,0,0,646,381,646,0,1027,2600,4827,0,0,1,0,0,-4827
42,0,112,850,758,850,0,1720,2600,5520,0,0,1,0,0,-5520
43,0,0,28,281,281,0,309,2600,4109,0,0,1,0,0,-4109
44,0,0,350,591,591,0,941,2600,4731,0,0,1,0,0,-4731
45,0,0,208,362,362,0,570,2600,4370,0,0,1,0,0,-4370
46,0,178,438,622,622,0,1238,2600,5068,0,0,1,0,0,-5068
47,0,0,32,443,443,0,475,2600,4275,0,0,1,0,0,-4275
48,0,0,724,375,724,0,1099,2600,4909,0,0,1,0,0,-4909
49,0,0,0,206,206,0,206,2200,3656,0,0,1,0,0,-3656
50,0,0,50,322,322,0,372,2600,4202,0,0,1,0,0,-4202
51,0,0,0,1173,1173,0,1173,3400,5763,0,0,1,0,0,-5763
52,0,0,298,404,404,0,702,3000,4882,0,0,1,0,0,-4882
53,68,24,1150,1025,1150,24,2267,3000,6467,0,0,1,0,0,-6467
54,0,0,512,304,512,0,816,2600,4586,0,0,1,0,0,-4586
55,86,51,490,745,745,51,1372,3400,5972,0,0,1,0,0,-5972
56,0,0,0,304,304,0,304,2600,4134,0,0,1,0,0,-4134
57,0,0,512,389,512,0,901,2600,4681,0,0,1,0,0,-4681
58,0,209,531,299,531,0,1039,3000,5229,0,0,1,0,0,-5229
59,0,55,905,721,905,0,1681,2600,5491,0,0,1,0,0,-5491
60,0,0,507,312,507,0,819,2600,4609,0,0,1,0,0,-4609
61,0,0,395,1390,1390,0,1785,3000,5995,0,0,1,0,0,-5995
62,0,203,242,614,614,0,1059,2600,4899,0,0,1,0,0,-4899
63,0,0,9,318,318,0,327,2600,4137,0,0,1,0,0,-4137
64,0,118,917,598,917,0,1633,2600,5433,0,0,1,0,0,-5433
65,0,99,501,407,501,0,1007,2600,4817,0,0,1,0,0,-4817
66,0,0,505,369,505,0,874,2600,4634,0,0,1,0,0,-4634
67,0,0,86,457,457,0,543,3000,4763,0,0,1,0,0,-4763
68,0,0,260,460,460,0,720,3000,4930,0,0,1,0,0,-4930
69,0,0,34,1307,1307,0,1341,2600,5131,0,0,1,0,0,-5131
70,0,53,516,483,516,0,1052,3800,6052,0,0,1,0,0,-6052
71,0,0,100,1012,1012,0,1112,3000,5312,0,0,1,0,0,-5312
72,0,102,542,494,542,0,1138,2600,4938,0,0,1,0,0,-4938
73,0,112,159,251,251,0,522,2600,4312,0,0,1,0,0,-4312
74,0,524,949,263,949,0,1736,3800,6706,0,0,1,0,0,-6706
75,0,101,84,583,583,0,768,2600,4548,0,0,1,0,0,-4548
76,0,35,233,615,615,0,883,2600,4663,0,0,1,0,0,-4663
77,0,0,106,1758,1758,0,1864,3400,6494,0,0,1,0,0,-6494
78,0,185,529,624,624,0,1338,2600,5128,0,0,1,0,0,-5128
79,0,0,262,204,262,0,466,2600,4276,0,0,1,0,0,-4276
80,0,0,877,607,877,0,1484,2600,5264,0,0,1,0,0,-5264
81,0,396,659,2017,2017,0,3072,3400,7672,0,0,1,0,0,-7672
82,36,264,402,576,576,36,1278,3000,5458,0,0,1,0,0,-5458
83,0,1126,428,2593,2593,0,4147,4200,9547,0,0,1,0,0,-9547
84,0,0,635,608,635,0,1243,2600,5053,0,0,1,0,0,-5053
85,0,0,615,561,615,0,1176,2600,4996,0,0,1,0,0,-4996
86,0,0,337,784,784,0,1121,3400,5721,0,0,1,0,0,-5721
87,0,162,540,655,655,0,1357,2600,5137,0,0,1,0,0,-5137
88,0,0,955,1906,1906,0,2861,2600,6711,0,0,1,0,0,-6711
89,0,115,27,576,576,0,718,2600,4478,0,0,1,0,0,-4478
90,27,226,135,637,637,27,1025,2600,4835,0,0,1,0,0,-4835
91,0,163,688,370,688,0,1221,2600,5011,0,0,1,0,0,-5011
92,0,285,369,413,413,0,1067,3400,5637,0,0,1,0,0,-5637
93,23,0,1003,1923,1923,0,2949,2600,6799,0,0,1,0,0,-6799
94,30,276,367,333,367,30,1006,2600,4826,0,0,1,0,0,-4826
95,49,0,0,351,351,0,400,2200,3850,0,0,1,0,0,-3850
96,0,91,216,336,336,0,643,2600,4453,0,0,1,0,0,-4453
97,0,225,302,391,391,0,918,3400,5488,0,0,1,0,0,-5488
98,0,265,156,359,359,0,780,2600,4560,0,0,1,0,0,-4560
99,0,190,682,1795,1795,0,2667,2600,6477,0,0,1,0,0,-6477
100,42,359,1016,682,1016,42,2099,2600,5899,0,0,1,0,0,-5899
101,0,242,112,619,619,0,973,2600,4753,0,0,1,0,0,-4753
102,0,301,836,335,836,0,1472,2600,5242,0,0,1,0,0,-5242
103,0,0,9,701,701,0,710,2600,4510,0,0,1,0,0,-4510
104,43,0,998,1677,1677,0,2718,3400,7328,0,0,1,0,0,-7328
105,0,238,141,351,351,0,730,2600,4510,0,0,1,0,0,-4510
