Fri Jan 20 15:38:17 JST 2023,,,,,,,,,,,,,,,
SCE-3000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,0,738,738,0,738,2600,4518,0,0,1,0,0,-4518
1,0,0,174,191,191,0,365,2600,4165,0,0,1,0,0,-4165
2,0,0,0,284,284,0,284,2600,4084,0,0,1,0,0,-4084
3,0,0,4,323,323,0,327,3000,4497,0,0,1,0,0,-4497
4,0,0,366,781,781,0,1147,2600,4977,0,0,1,0,0,-4977
5,0,0,521,177,521,0,698,2600,4508,0,0,1,0,0,-4508
6,0,0,499,51,499,0,550,2600,4340,0,0,1,0,0,-4340
7,0,0,386,279,386,0,665,2600,4435,0,0,1,0,0,-4435
8,0,0,199,220,220,0,419,2600,4209,0,0,1,0,0,-4209
9,0,0,308,599,599,0,907,3000,5097,0,0,1,0,0,-5097
10,0,351,1058,418,1058,0,1827,3000,5977,0,0,1,0,0,-5977
11,0,136,480,1669,1669,0,2285,3000,6515,0,0,1,0,0,-6515
12,0,0,519,1338,1338,0,1857,2600,5687,0,0,1,0,0,-5687
13,0,0,0,0,0,0,0,2600,3780,0,0,1,0,0,-3780
14,0,0,0,155,155,0,155,2600,3915,0,0,1,0,0,-3915
15,0,0,70,442,442,0,512,2600,4332,0,0,1,0,0,-4332
16,0,0,390,1221,1221,0,1611,2600,5391,0,0,1,0,0,-5391
17,0,0,811,619,811,0,1430,3000,5600,0,0,1,0,0,-5600
18,0,0,218,209,218,0,427,2600,4197,0,0,1,0,0,-4197
19,0,0,300,415,415,0,715,2600,4565,0,0,1,0,0,-4565
20,0,102,716,647,716,0,1465,2600,5275,0,0,1,0,0,-5275
21,0,0,0,324,324,0,324,2600,4094,0,0,1,0,0,-4094
22,0,0,0,319,319,0,319,2600,4109,0,0,1,0,0,-4109
23,0,0,0,333,333,0,333,2600,4123,0,0,1,0,0,-4123
24,0,0,387,810,810,0,1197,2600,4987,0,0,1,0,0,-4987
25,0,0,249,273,273,0,522,2600,4302,0,0,1,0,0,-4302
26,0,264,616,710,710,0,1590,3400,6150,0,0,1,0,0,-6150
27,0,0,302,238,302,0,540,2600,4330,0,0,1,0,0,-4330
28,0,116,9,0,116,0,125,2600,3915,0,0,1,0,0,-3915
29,0,0,566,588,588,0,1154,2600,4944,0,0,1,0,0,-4944
30,0,0,340,423,423,0,763,2600,4593,0,0,1,0,0,-4593
31,0,0,57,192,192,0,249,2600,4029,0,0,1,0,0,-4029
32,0,0,389,1245,1245,0,1634,2600,5434,0,0,1,0,0,-5434
33,0,483,314,1014,1014,0,1811,3400,6411,0,0,1,0,0,-6411
34,0,0,595,581,595,0,1176,2600,4976,0,0,1,0,0,-4976
35,0,0,934,2217,2217,0,3151,3400,7781,0,0,1,0,0,-7781
36,0,0,555,169,555,0,724,2600,4514,0,0,1,0,0,-4514
37,0,0,395,259,395,0,654,2600,4454,0,0,1,0,0,-4454
38,0,0,0,324,324,0,324,2600,4124,0,0,1,0,0,-4124
39,0,0,107,533,533,0,640,3000,4850,0,0,1,0,0,-4850
40,0,0,666,1141,1141,0,1807,2600,5627,0,0,1,0,0,-5627
41,0,0,646,590,646,0,1236,2600,5036,0,0,1,0,0,-5036
42,0,112,850,630,850,0,1592,2600,5392,0,0,1,0,0,-5392
43,0,0,0,345,345,0,345,2600,4145,0,0,1,0,0,-4145
44,0,0,387,495,495,0,882,2600,4672,0,0,1,0,0,-4672
45,0,0,65,321,321,0,386,2600,4186,0,0,1,0,0,-4186
46,0,0,399,518,518,0,917,2600,4747,0,0,1,0,0,-4747
47,0,0,59,360,360,0,419,2600,4219,0,0,1,0,0,-4219
48,0,0,713,643,713,0,1356,2600,5166,0,0,1,0,0,-5166
49,0,0,57,240,240,0,297,2200,3747,0,0,1,0,0,-3747
50,0,0,321,939,939,0,1260,2600,5090,0,0,1,0,0,-5090
51,0,33,91,1517,1517,0,1641,3400,6231,0,0,1,0,0,-6231
52,0,0,160,326,326,0,486,3000,4666,0,0,1,0,0,-4666
53,68,24,1136,1008,1136,24,2236,3000,6436,0,0,1,0,0,-6436
54,0,0,695,241,695,0,936,2600,4706,0,0,1,0,0,-4706
55,86,0,535,1655,1655,0,2276,3000,6476,0,0,1,0,0,-6476
56,0,0,0,342,342,0,342,2600,4172,0,0,1,0,0,-4172
57,0,0,537,560,560,0,1097,2600,4877,0,0,1,0,0,-4877
58,0,70,485,308,485,0,863,3000,5053,0,0,1,0,0,-5053
59,0,55,901,684,901,0,1640,2600,5450,0,0,1,0,0,-5450
60,0,0,512,246,512,0,758,2600,4548,0,0,1,0,0,-4548
61,0,0,426,1474,1474,0,1900,3000,6110,0,0,1,0,0,-6110
62,0,203,157,561,561,0,921,2600,4761,0,0,1,0,0,-4761
63,0,0,9,364,364,0,373,2600,4183,0,0,1,0,0,-4183
64,0,118,913,607,913,0,1638,2600,5438,0,0,1,0,0,-5438
65,0,98,539,651,651,0,1288,2600,5098,0,0,1,0,0,-5098
66,0,0,512,545,545,0,1057,2600,4817,0,0,1,0,0,-4817
67,0,0,62,582,582,0,644,3000,4864,0,0,1,0,0,-4864
68,0,0,163,578,578,0,741,3000,4951,0,0,1,0,0,-4951
69,0,0,849,678,849,0,1527,2600,5317,0,0,1,0,0,-5317
70,0,69,353,454,454,0,876,3800,5876,0,0,1,0,0,-5876
71,0,0,81,1090,1090,0,1171,3000,5371,0,0,1,0,0,-5371
72,0,107,656,457,656,0,1220,2600,5020,0,0,1,0,0,-5020
73,0,109,0,241,241,0,350,2600,4140,0,0,1,0,0,-4140
74,0,536,1081,548,1081,0,2165,3800,7135,0,0,1,0,0,-7135
75,0,108,9,341,341,0,458,2600,4238,0,0,1,0,0,-4238
76,0,35,146,424,424,0,605,2600,4385,0,0,1,0,0,-4385
77,0,0,1094,1970,1970,0,3064,3400,7694,0,0,1,0,0,-7694
78,0,159,604,620,620,0,1383,2600,5173,0,0,1,0,0,-5173
79,0,0,206,58,206,0,264,2600,4074,0,0,1,0,0,-4074
80,0,0,878,741,878,0,1619,2600,5399,0,0,1,0,0,-5399
81,0,446,636,1953,1953,0,3035,3400,7635,0,0,1,0,0,-7635
82,36,264,487,610,610,36,1397,3000,5577,0,0,1,0,0,-5577
83,0,864,513,2495,2495,0,3872,3800,8872,0,0,1,0,0,-8872
84,0,0,636,626,636,0,1262,2600,5072,0,0,1,0,0,-5072
85,0,0,616,647,647,0,1263,2600,5083,0,0,1,0,0,-5083
86,0,0,313,666,666,0,979,3400,5579,0,0,1,0,0,-5579
87,0,162,601,594,601,0,1357,2600,5137,0,0,1,0,0,-5137
88,0,0,955,1901,1901,0,2856,2600,6706,0,0,1,0,0,-6706
89,0,308,120,613,613,0,1041,2600,4801,0,0,1,0,0,-4801
90,27,181,137,621,621,27,966,2600,4776,0,0,1,0,0,-4776
