Wed Jan 25 16:27:00 JST 2023,,,,,,,,,,,,,,,
SCE-4000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,0,1451,1451,0,1451,2600,5231,0,0,1,0,0,-5231
1,0,0,921,428,921,0,1349,2600,5149,0,0,1,0,0,-5149
2,0,153,340,726,726,0,1219,2600,5019,0,0,1,0,0,-5019
3,0,160,354,451,451,0,965,3000,5135,0,0,1,0,0,-5135
4,0,0,862,1895,1895,0,2757,2600,6587,0,0,1,0,0,-6587
5,0,0,763,497,763,0,1260,2600,5070,0,0,1,0,0,-5070
6,0,0,327,204,327,0,531,2600,4321,0,0,1,0,0,-4321
7,0,0,881,458,881,0,1339,2600,5109,0,0,1,0,0,-5109
8,0,0,873,443,873,0,1316,2600,5106,0,0,1,0,0,-5106
9,0,0,561,1667,1667,0,2228,3000,6418,0,0,1,0,0,-6418
10,0,759,2186,1456,2186,0,4401,3000,8551,0,0,1,0,0,-8551
11,0,175,1185,2133,2133,0,3493,2600,7323,0,0,1,0,0,-7323
12,0,58,1027,525,1027,0,1610,2600,5440,0,0,1,0,0,-5440
13,0,142,923,573,923,0,1638,2600,5418,0,0,1,0,0,-5418
14,0,0,157,334,334,0,491,2600,4251,0,0,1,0,0,-4251
15,0,228,439,1717,1717,0,2384,2600,6204,0,0,1,0,0,-6204
16,0,0,812,1016,1016,0,1828,3000,6008,0,0,1,0,0,-6008
17,0,0,1279,412,1279,0,1691,3000,5861,0,0,1,0,0,-5861
18,0,85,1025,449,1025,0,1559,2600,5329,0,0,1,0,0,-5329
19,0,129,1181,2092,2092,0,3402,2600,7252,0,0,1,0,0,-7252
20,0,0,796,1401,1401,0,2197,2600,6007,0,0,1,0,0,-6007
21,0,18,169,474,474,0,661,2600,4431,0,0,1,0,0,-4431
22,0,0,140,421,421,0,561,2600,4351,0,0,1,0,0,-4351
23,0,223,133,680,680,0,1036,2600,4826,0,0,1,0,0,-4826
24,0,176,965,2105,2105,0,3246,2600,7036,0,0,1,0,0,-7036
25,0,63,1026,488,1026,0,1577,2600,5357,0,0,1,0,0,-5357
26,0,882,876,2790,2790,0,4548,3000,8708,0,0,1,0,0,-8708
27,0,207,1154,403,1154,0,1764,2600,5554,0,0,1,0,0,-5554
28,0,31,456,466,466,0,953,2600,4743,0,0,1,0,0,-4743
29,0,149,441,1581,1581,0,2171,2600,5961,0,0,1,0,0,-5961
30,0,0,1000,1062,1062,0,2062,2600,5892,0,0,1,0,0,-5892
31,0,0,190,441,441,0,631,2600,4411,0,0,1,0,0,-4411
32,0,222,1163,723,1163,0,2108,3000,6308,0,0,1,0,0,-6308
33,0,0,1143,2641,2641,0,3784,3000,7984,0,0,1,0,0,-7984
34,0,248,597,538,597,0,1383,2600,5183,0,0,1,0,0,-5183
35,246,652,2332,3116,3116,246,6346,3000,10576,0,0,1,0,0,-10576
36,0,0,929,598,929,0,1527,2600,5317,0,0,1,0,0,-5317
37,0,0,1019,451,1019,0,1470,2600,5270,0,0,1,0,0,-5270
38,0,0,767,1372,1372,0,2139,2600,5939,0,0,1,0,0,-5939
39,255,162,277,458,458,162,1152,3000,5362,0,0,1,0,0,-5362
40,0,309,270,1700,1700,0,2279,2600,6099,0,0,1,0,0,-6099
41,0,260,928,992,992,0,2180,3400,6780,0,0,1,0,0,-6780
42,0,20,910,1780,1780,0,2710,2600,6510,0,0,1,0,0,-6510
43,0,222,135,745,745,0,1102,2600,4902,0,0,1,0,0,-4902
44,0,240,474,826,826,0,1540,2600,5330,0,0,1,0,0,-5330
45,0,307,591,1654,1654,0,2552,2600,6352,0,0,1,0,0,-6352
46,0,0,973,1057,1057,0,2030,2600,5860,0,0,1,0,0,-5860
47,0,0,114,478,478,0,592,2600,4392,0,0,1,0,0,-4392
48,0,0,930,402,930,0,1332,2600,5142,0,0,1,0,0,-5142
49,0,0,98,298,298,0,396,2200,3846,0,0,1,0,0,-3846
50,0,0,764,1581,1581,0,2345,2600,6175,0,0,1,0,0,-6175
51,0,102,325,2518,2518,0,2945,3800,7935,0,0,1,0,0,-7935
52,0,400,269,1151,1151,0,1820,3400,6400,0,0,1,0,0,-6400
53,0,8,1152,2790,2790,0,3950,3000,8150,0,0,1,0,0,-8150
54,0,381,1453,709,1453,0,2543,2600,6313,0,0,1,0,0,-6313
55,0,395,698,2433,2433,0,3526,3000,7726,0,0,1,0,0,-7726
56,0,410,326,1404,1404,0,2140,2600,5970,0,0,1,0,0,-5970
57,0,357,1107,2374,2374,0,3838,2600,7618,0,0,1,0,0,-7618
58,0,204,1345,766,1345,0,2315,3000,6505,0,0,1,0,0,-6505
59,0,459,330,2160,2160,0,2949,3000,7159,0,0,1,0,0,-7159
