Sun Jan 15 21:07:56 JST 2023,,,
SCE-5000_SEED(0),,,
VisitorId,waitingTime,movingTime,travelTime
0,1386,2600,5166
1,2513,3000,6713
2,1782,2600,5582
3,1252,3000,5422
4,5199,3000,9429
5,2121,2600,5931
6,1910,2600,5700
7,2181,2600,5951
8,2349,2600,6139
9,3646,3000,7836
10,5281,3000,9431
11,7241,2600,11071
12,2106,2600,5936
13,2077,2600,5857
14,921,2600,4681
15,3293,3000,7513
16,11630,3400,16210
17,3434,3000,7604
18,2047,2600,5817
19,4309,2600,8159
20,3996,3000,8206
21,1714,2600,5484
22,1214,2600,5004
23,1828,2600,5618
24,5058,2600,8848
25,3426,2600,7206
26,5267,3400,9827
27,3401,3000,7591
28,1555,2600,5345
29,3486,2600,7276
30,4795,3000,9025
31,778,2600,4558
32,8766,3400,13366
33,3441,3000,7641
34,2260,3000,6460
35,12813,3400,17443
36,2225,2600,6015
37,3617,3800,8617
38,4363,2600,8163
39,1587,3000,5797
40,4120,2600,7940
41,3967,3400,8567
42,4249,3000,8449
43,3673,2600,7473
44,2548,2600,6338
45,4099,2600,7899
46,3449,2600,7279
47,1304,2600,5104
48,2746,3400,7356
49,1139,2200,4589
50,4000,2600,7830
51,1309,3400,5899
52,1572,3400,6152
53,6383,3400,10983
54,3861,2600,7631
55,3731,3400,8331
56,4402,2600,8232
57,6925,2600,10705
58,2815,3400,7405
59,4627,3000,8837
60,3753,3000,7943
61,7005,3000,11215
62,2154,2600,5994
63,2729,2600,6539
64,3588,2600,7388
65,5351,3000,9561
66,1890,2600,5650
67,4618,3000,8838
68,11076,3400,15686
69,2536,2600,6326
70,7494,4600,13294
71,2323,3000,6523
72,2070,2600,5870
73,2143,2600,5933
74,3715,3400,8285
75,2195,2600,5975
76,1236,3000,5416
77,2745,2600,6575
78,4571,2600,8361
79,1648,2600,5458
80,2300,2600,6080
81,4295,3400,8895
82,2060,2600,5840
83,6637,4200,12037
84,7881,3800,12891
85,5588,3400,10208
86,3016,3400,7616
87,5696,2600,9476
88,4892,2600,8742
89,2607,2600,6367
90,4008,2600,7818
91,4252,2600,8042
92,2250,3400,6820
93,10624,2600,14474
94,5239,2600,9059
95,2070,2200,5520
96,3067,2600,6877
97,3572,3800,8542
98,3765,2600,7545
99,12253,2600,16063
100,6460,2600,10260
101,3185,2600,6965
102,4805,2600,8575
103,1860,2600,5660
104,6404,3000,10614
105,1701,2600,5481
106,2172,2600,5972
107,18525,3000,22735
108,3343,2600,7133
109,3899,3000,8089
110,2114,3400,6684
111,5376,2600,9166
112,1709,2600,5509
113,4265,3000,8445
114,5135,2600,8925
115,2305,2200,5755
116,1116,2600,4916
117,5072,4200,10462
118,1859,3400,6459
119,8072,2600,11892
120,4393,3000,8573
121,8226,3000,12436
122,4713,3400,9323
123,5102,4600,10892
124,1527,3400,6097
125,2527,2600,6337
126,2805,2600,6585
127,1251,3000,5451
128,1196,2200,4606
129,2351,2600,6111
130,7783,2600,11573
131,3049,3400,7629
132,2885,2600,6725
133,4774,2600,8564
134,3204,2600,6964
135,4903,3800,9903
136,4512,2600,8322
137,4568,2600,8358
138,1255,3000,5435
139,2344,2600,6134
140,3733,2600,7553
141,2329,2600,6139
142,2578,2600,6338
143,5720,4200,11120
144,3321,3000,7531
145,8521,2600,12331
146,4118,3000,8298
147,2902,2600,6642
148,4146,2200,7596
149,3610,2600,7440
150,2410,2600,6210
151,5065,2600,8895
152,3487,3400,8057
153,976,2600,4746
154,4308,3000,8558
155,1043,2600,4823
156,4958,3000,9198
157,4876,3800,9846
158,5045,3400,9685
159,13315,3400,17925
160,7119,2600,10919
161,1936,2200,5346
162,6409,2600,10199
163,4009,3000,8219
164,2060,3400,6610
165,4392,2600,8222
166,5057,3400,9667
167,6816,3800,11806
168,4431,2600,8231
169,4903,2600,8723
170,8649,2600,12439
171,10748,2600,14568
172,3848,2600,7678
173,7848,3000,12048
174,5508,3800,10518
175,9976,3400,14576
176,17028,3000,21278
177,1527,3000,5707
178,7008,3800,12008
179,4587,2600,8397
180,3832,2600,7612
181,6634,3400,11244
182,1878,3400,6438
183,4189,2600,7999
184,4672,3800,9662
185,3390,2600,7170
186,3120,2200,6530
187,3536,2600,7306
188,2362,2600,6142
189,5900,3400,10520
190,5187,3400,9797
191,4019,3000,8199
192,4326,3000,8506
193,2122,3400,6692
194,8214,4200,13634
195,2914,3400,7504
196,2792,3400,7362
197,5636,2600,9446
198,10682,3400,15272
199,3133,3000,7343
200,6074,2600,9864
201,1944,3000,6104
202,3517,3400,8087
203,8922,3000,13112
204,5750,3800,10760
205,12169,5400,18779
206,4949,4200,10319
207,15101,3000,19351
208,7791,3000,11991
209,4471,2600,8231
210,4411,2600,8201
211,6343,3000,10553
212,2327,3400,6877
213,2679,3400,7239
214,14197,3400,18797
215,4861,2600,8631
216,6715,3400,11335
217,5672,3800,10672
218,5511,3000,9711
219,5750,4200,11130
220,5764,3000,9964
221,5033,2600,8853
222,5571,3800,10541
223,4557,2600,8357
224,8339,6200,15709
225,5361,3000,9541
226,4246,3400,8796
227,5073,3000,9313
228,6965,3400,11565
229,4067,3000,8277
230,1004,2600,4804
231,4493,2600,8293
232,16610,3000,20860
233,12577,3400,17187
234,5412,3400,10002
235,4339,2600,8109
236,11788,4600,17618
237,1769,3000,5959
238,2930,2600,6720
239,6010,4600,11810
240,13711,3400,18291
241,3749,2600,7519
242,4856,3000,9046
243,5931,3800,10951
244,15033,3400,19663
245,3287,2600,7067
246,9032,2600,12852
247,1843,2200,5273
248,5894,3400,10484
249,2891,2600,6691
250,2083,3400,6663
251,19709,4600,25549
252,2481,2600,6261
253,5073,3400,9663
254,3962,3400,8542
255,3617,2600,7417
256,10888,2600,14688
257,3693,3000,7913
258,1948,2200,5358
259,3926,2600,7736
260,2418,3000,6588
261,12847,2600,16647
262,5105,2600,8875
263,1226,3000,5396
264,7478,3800,12468
265,4666,3400,9246
266,7941,2600,11721
267,15376,3000,19586
268,11186,4200,16616
269,2435,3000,6635
270,7123,2600,10913
271,3024,2600,6834
272,7159,2600,10949
273,4785,3000,8975
274,15431,4600,21231
275,4333,2600,8103
276,12411,3000,16611
277,12365,5000,18585
278,8826,4200,14196
279,2849,3000,7029
280,6695,3000,10885
281,7411,5000,13601
282,7277,3000,11497
283,23058,3800,28088
284,17189,3000,21399
285,14676,3000,18936
286,7223,3000,11443
287,4310,2600,8130
288,11788,3800,16768
289,3897,3000,8057
290,3459,3000,7639
291,10734,3000,14964
292,6395,4200,11785
293,7328,3000,11488
294,12246,3800,17226
295,4372,3000,8572
296,4797,3000,8977
297,2946,3000,7136
298,5921,2600,9681
299,9507,5000,15737
300,5553,3400,10143
301,9456,3000,13666
302,7441,2600,11191
303,3087,2600,6867
304,4027,3000,8207
305,9275,3400,13885
306,16254,3000,20474
307,13257,3800,18277
308,8242,3000,12452
309,5596,3000,9806
310,4989,3000,9179
311,4480,3000,8720
312,8983,2600,12773
313,15932,2600,19742
314,4319,2600,8119
315,8695,2600,12465
316,19331,3800,24361
317,9605,2600,13405
318,7485,2600,11335
319,23129,3400,27719
320,7434,3000,11624
321,25004,3400,29594
322,7693,4200,13083
323,8997,5000,15177
324,10713,2600,14523
325,3233,2200,6643
326,22695,3800,27725
327,10900,3800,15890
328,2442,2600,6262
329,6972,3000,11182
330,5123,2600,8923
331,10318,5000,16508
332,13485,3400,18135
333,3590,2600,7380
334,2159,3000,6359
335,9968,2600,13758
336,6433,2600,10193
337,17956,4200,23396
338,10049,3000,14229
339,5699,3400,10279
340,5364,3400,9974
341,10207,2600,13987
342,3966,3000,8156
343,11441,3400,16041
344,4934,2600,8764
345,2653,2600,6403
346,8008,3800,13008
347,13904,2600,17754
348,18836,3000,23056
349,6507,2600,10327
350,3250,2200,6660
351,9668,2600,13438
352,14266,4200,19656
353,5349,2600,9139
354,10448,2600,14278
355,5636,2600,9396
356,7271,4600,13081
357,14650,3000,18870
358,16860,3000,21090
359,2370,2600,6190
360,14586,2600,18386
361,4047,3400,8587
362,7466,3800,12466
363,15242,2600,19052
364,6747,2600,10507
365,9123,4600,14933
366,6474,3000,10694
367,22168,2600,25998
368,5442,3000,9632
369,12916,3800,17916
370,4695,3000,8905
371,5354,3800,10374
372,26528,3400,31158
373,17791,3400,22421
374,13452,3000,17652
375,6010,3000,10220
376,22241,3800,27281
377,17133,3000,21343
378,5236,2600,9036
379,4966,2600,8766
380,8178,3000,12438
381,7709,2600,11489
382,3363,2600,7143
383,7766,3400,12356
384,11344,3800,16324
385,8793,4200,14143
386,4219,3000,8439
387,14405,2600,18225
