Mon Jan 16 15:04:15 JST 2023,,,,,,,,,,,,,,,,,,,
SCE-5000_SEED(0),,,,,,,,,,,,,,,,,,,
VisitorId,sumWaitingTime,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],movingTime,travelTime,,,,,,,,,,,,
0,1386,0,139,486,761,2600,5166,1386,0,,,,,,,,,,
1,2513,0,0,1917,596,3000,6713,2513,0,,,,,,,,,,
2,1782,0,181,500,1101,2600,5582,1782,0,,,,,,,,,,
3,1252,0,236,467,549,3000,5422,1252,0,,,,,,,,,,
4,5199,0,292,1719,3188,3000,9429,5199,0,,,,,,,,,,
5,2121,0,0,1200,921,2600,5931,2121,0,,,,,,,,,,
6,1910,0,457,575,878,2600,5700,1910,0,,,,,,,,,,
7,2181,0,181,1428,572,2600,5951,2181,0,,,,,,,,,,
8,2349,0,182,1507,660,2600,6139,2349,0,,,,,,,,,,
9,3646,0,0,538,3108,3000,7836,3646,0,,,,,,,,,,
10,5281,0,856,2393,2032,3000,9431,5281,0,,,,,,,,,,
11,7241,0,363,1886,4992,2600,11071,7241,0,,,,,,,,,,
12,2106,0,0,1205,901,2600,5936,2106,0,,,,,,,,,,
13,2077,0,146,1019,912,2600,5857,2077,0,,,,,,,,,,
14,921,0,0,319,602,2600,4681,921,0,,,,,,,,,,
15,3293,0,511,1436,1346,3000,7513,3293,0,,,,,,,,,,
16,11630,0,0,1940,9690,3400,16210,11630,0,,,,,,,,,,
17,3434,0,218,2570,646,3000,7604,3434,0,,,,,,,,,,
18,2047,0,136,1267,644,2600,5817,2047,0,,,,,,,,,,
19,4309,0,0,1211,3098,2600,8159,4309,0,,,,,,,,,,
20,3996,0,500,445,3051,3000,8206,3996,0,,,,,,,,,,
21,1714,0,141,445,1128,2600,5484,1714,0,,,,,,,,,,
22,1214,0,0,315,899,2600,5004,1214,0,,,,,,,,,,
23,1828,0,373,311,1144,2600,5618,1828,0,,,,,,,,,,
24,5058,0,380,1730,2948,2600,8848,5058,0,,,,,,,,,,
25,3426,0,501,2274,651,2600,7206,3426,0,,,,,,,,,,
26,5267,0,891,1066,3310,3400,9827,5267,0,,,,,,,,,,
