Tue Jan 17 00:24:37 JST 2023,,,,,,,,,,,,,
SCE-5000_SEED(0),,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,139,486,761,1386,2600,5166,0.396176802,0.149501636,0.454321562,0,0,-3284.830491
1,0,0,1917,596,2513,3000,6713,0.224965059,0.403419526,0.371615414,0,0,-4270.250049
2,0,181,500,1101,1782,2600,5582,0.390884466,0.437860458,0.171255076,0,0,-2790.939143
3,0,236,467,549,1252,3000,5422,0.095827167,0.204411498,0.699761335,0,0,-4527.316066
4,0,292,1719,3188,5199,3000,9429,0.762985445,0.03242923,0.204585325,0,0,-5993.084049
5,0,0,1200,921,2121,2600,5931,0.369008642,0.061678302,0.569313056,0,0,-4319.62665
6,0,457,575,878,1910,2600,5700,0.454912554,0.356461174,0.188626273,0,0,-2870.851783
7,0,181,1428,572,2181,2600,5951,0.372796836,0.379452566,0.247750598,0,0,-3274.010379
8,0,182,1507,660,2349,2600,6139,0.241285724,0.384303175,0.374411101,0,0,-3864.47817
9,0,0,538,3108,3646,3000,7836,0.074406187,0.11998152,0.805612293,0,0,-6944.007444
10,0,856,2393,2032,5281,3000,9431,0.295961143,0.298993518,0.405045339,0,0,-6279.933944
11,0,363,1886,4992,7241,2600,11071,0.007345453,0.75812225,0.234532297,0,0,-4620.813337
12,0,0,1205,901,2106,2600,5936,0.446520263,0.459240345,0.094239392,0,0,-2693.801604
13,0,146,1019,912,2077,2600,5857,0.321045025,0.360279309,0.318675666,0,0,-3470.020098
14,0,0,319,602,921,2600,4681,0.215599936,0.177366939,0.607033125,0,0,-3501.243639
15,0,511,1436,1346,3293,3000,7513,0.444788701,0.006215088,0.54899621,0,0,-5607.942987
16,0,0,1940,9690,11630,3400,16210,0.124605308,0.420406082,0.45498861,0,0,-10253.90578
17,0,218,2570,646,3434,3000,7604,0.008169315,0.54246503,0.449365656,0,0,-5072.424961
