Tue Jan 17 01:02:09 JST 2023,,,,,,,,,,,,,,,
SCE-5000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,139,486,761,761,0,1386,2600,5166,0,0,0,0,1,761
1,0,0,1917,596,1917,0,2513,3000,6713,0,0,0,0,1,1917
2,0,181,500,1101,1101,0,1782,2600,5582,0,0,0,0,1,1101
3,0,236,467,549,549,0,1252,3000,5422,0,0,0,0,1,549
4,0,292,1719,3188,3188,0,5199,3000,9429,0,0,0,0,1,3188
5,0,0,1200,921,1200,0,2121,2600,5931,0,0,0,0,1,1200
6,0,457,575,878,878,0,1910,2600,5700,0,0,0,0,1,878
7,0,181,1428,572,1428,0,2181,2600,5951,0,0,0,0,1,1428
8,0,182,1507,660,1507,0,2349,2600,6139,0,0,0,0,1,1507
9,0,0,538,3108,3108,0,3646,3000,7836,0,0,0,0,1,3108
10,0,856,2393,2032,2393,0,5281,3000,9431,0,0,0,0,1,2393
11,0,363,1886,4992,4992,0,7241,2600,11071,0,0,0,0,1,4992
12,0,0,1205,901,1205,0,2106,2600,5936,0,0,0,0,1,1205
13,0,146,1019,912,1019,0,2077,2600,5857,0,0,0,0,1,1019
14,0,0,319,602,602,0,921,2600,4681,0,0,0,0,1,602
15,0,511,1436,1346,1436,0,3293,3000,7513,0,0,0,0,1,1436
16,0,0,1940,9690,9690,0,11630,3400,16210,0,0,0,0,1,9690
17,0,218,2570,646,2570,0,3434,3000,7604,0,0,0,0,1,2570
18,0,136,1267,644,1267,0,2047,2600,5817,0,0,0,0,1,1267
19,0,0,1211,3098,3098,0,4309,2600,8159,0,0,0,0,1,3098
20,0,500,445,3051,3051,0,3996,3000,8206,0,0,0,0,1,3051
21,0,141,445,1128,1128,0,1714,2600,5484,0,0,0,0,1,1128
22,0,0,315,899,899,0,1214,2600,5004,0,0,0,0,1,899
23,0,373,311,1144,1144,0,1828,2600,5618,0,0,0,0,1,1144
24,0,380,1730,2948,2948,0,5058,2600,8848,0,0,0,0,1,2948
25,0,501,2274,651,2274,0,3426,2600,7206,0,0,0,0,1,2274
26,0,891,1066,3310,3310,0,5267,3400,9827,0,0,0,0,1,3310
27,0,539,2300,562,2300,0,3401,3000,7591,0,0,0,0,1,2300
28,0,0,712,843,843,0,1555,2600,5345,0,0,0,0,1,843
29,0,491,677,2318,2318,0,3486,2600,7276,0,0,0,0,1,2318
30,0,0,2026,2769,2769,0,4795,3000,9025,0,0,0,0,1,2769
31,0,0,312,466,466,0,778,2600,4558,0,0,0,0,1,466
32,0,980,4363,3423,4363,0,8766,3400,13366,0,0,0,0,1,4363
33,241,1565,1073,562,1565,241,3441,3000,7641,0,0,0,0,1,1324
34,0,569,556,1135,1135,0,2260,3000,6460,0,0,0,0,1,1135
35,0,1060,2488,9265,9265,0,12813,3400,17443,0,0,0,0,1,9265
36,0,68,1188,969,1188,0,2225,2600,6015,0,0,0,0,1,1188
37,0,1010,612,1995,1995,0,3617,3800,8617,0,0,0,0,1,1995
38,0,198,1056,3109,3109,0,4363,2600,8163,0,0,0,0,1,3109
39,242,90,608,647,647,90,1587,3000,5797,0,0,0,0,1,557
40,0,693,1636,1791,1791,0,4120,2600,7940,0,0,0,0,1,1791
41,0,520,583,2864,2864,0,3967,3400,8567,0,0,0,0,1,2864
42,0,555,465,3229,3229,0,4249,3000,8449,0,0,0,0,1,3229
43,0,368,399,2906,2906,0,3673,2600,7473,0,0,0,0,1,2906
44,0,0,1030,1518,1518,0,2548,2600,6338,0,0,0,0,1,1518
45,0,0,1045,3054,3054,0,4099,2600,7899,0,0,0,0,1,3054
46,0,152,1317,1980,1980,0,3449,2600,7279,0,0,0,0,1,1980
47,0,0,346,958,958,0,1304,2600,5104,0,0,0,0,1,958
48,0,688,513,1545,1545,0,2746,3400,7356,0,0,0,0,1,1545
49,0,187,306,646,646,0,1139,2200,4589,0,0,0,0,1,646
50,0,9,890,3101,3101,0,4000,2600,7830,0,0,0,0,1,3101
51,0,131,606,572,606,0,1309,3400,5899,0,0,0,0,1,606
