Tue Jan 17 13:09:20 JST 2023
SCE-5000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,139,486,761,761,0,1386,2600,5166,0.4543215620168933,0.1495016360187475,0.0,0.0,0.39617680196435917,-716.9033923092802,
1,0,0,1917,596,1917,0,2513,3000,6713,0.3716154142117468,0.40341952640234396,0.0,0.0,0.2249650593859092,-1712.8700962783637,
2,0,181,500,1101,1101,0,1782,2600,5582,0.17125507595668282,0.43786045780528315,0.0,0.0,0.390884466238034,-1013.2499383204697,
3,0,236,467,549,549,0,1252,3000,5422,0.699761335275362,0.2044114976207567,0.0,0.0,0.09582716710388137,-1436.7265698869924,
4,0,292,1719,3188,3188,0,5199,3000,9429,0.20458532515872774,0.03242922979703278,0.0,0.0,0.7629854450442395,1271.4708039097118,
5,0,0,1200,921,1200,0,2121,2600,5931,0.5693130560047955,0.06167830204740373,0.0,0.0,0.3690086419478008,-925.0662067720601,
6,0,457,575,878,878,0,1910,2600,5700,0.1886262726970221,0.356461173592494,0.0,0.0,0.45491255371048384,-887.6620100339919,
7,0,181,1428,572,1428,0,2181,2600,5951,0.2477505977846398,0.3794525664416449,0.0,0.0,0.37279683577371536,-994.5668450317105,
8,0,182,1507,660,1507,0,2349,2600,6139,0.3744111011250723,0.3843031752734579,0.0,0.0,0.24128572360146974,-1515.0623467863704,
9,0,0,538,3108,3108,0,3646,3000,7836,0.8056122925849492,0.11998152040174598,0.0,0.0,0.0744061870133051,-3065.9525507326107,
10,0,856,2393,2032,2393,0,5281,3000,9431,0.4050453394902673,0.29899351798950236,0.0,0.0,0.2959611425202304,-2327.789977765697,
11,0,363,1886,4992,4992,0,7241,2600,11071,0.23453229733852135,0.7581222498288338,0.0,0.0,0.007345452832644802,-3632.6977140426384,
12,0,0,1205,901,1205,0,2106,2600,5936,0.09423939247880211,0.4592403448675478,0.0,0.0,0.4465202626536501,-854.4361407183331,
13,0,146,1019,912,1019,0,2077,2600,5857,0.31867566649456314,0.3602793086467472,0.0,0.0,0.3210450248586898,-1271.4706814597453,
14,0,0,319,602,602,0,921,2600,4681,0.6070331245884822,0.1773669391317296,0.0,0.0,0.21559993627978805,-890.4403878480568,
15,0,511,1436,1346,1436,0,3293,3000,7513,0.5489962102956027,0.006215088492109338,0.0,0.0,0.44478870121228786,-1187.7732110389024,
16,0,0,1940,9690,9690,0,11630,3400,16210,0.4549886099404452,0.4204060821950235,0.0,0.0,0.12460530786453117,-5513.472779863151,
17,0,218,2570,646,2570,0,3434,3000,7604,0.44936565558705155,0.5424650296411623,0.0,0.0,0.00816931477178615,-3149.5216112459316,
18,0,136,1267,644,1267,0,2047,2600,5817,0.19380355206287048,0.4197518865759242,0.0,0.0,0.3864445613612053,-998.4455169254516,
19,0,0,1211,3098,3098,0,4309,2600,8159,0.4853620300850943,0.4314418188702202,0.0,0.0,0.08319615104468563,-2955.4320407628084,
20,0,500,445,3051,3051,0,3996,3000,8206,0.4070150805637843,0.30642191621084863,0.0,0.0,0.286563003225367,-1671.3942877248332,
21,0,141,445,1128,1128,0,1714,2600,5484,0.47098227183460667,0.25846018048159236,0.0,0.0,0.27055754768380097,-1174.0711693893286,
22,0,0,315,899,899,0,1214,2600,5004,0.3634302997659914,0.2138556709137386,0.0,0.0,0.42271402932027,-617.2092159327112,
23,0,373,311,1144,1144,0,1828,2600,5618,0.7076812883669884,0.25780905558626743,0.0,0.0,0.03450965604674412,-1924.4658931416748,
24,0,380,1730,2948,2948,0,5058,2600,8848,0.12255896795797216,0.04980740360170928,0.0,0.0,0.8276336284403185,1690.4614273461916,
25,0,501,2274,651,2274,0,3426,2600,7206,0.3562201874616094,0.3625119121508155,0.0,0.0,0.28126790038757504,-1523.3381283542487,
26,0,891,1066,3310,3310,0,5267,3400,9827,0.4703183172352956,0.23968661579328862,0.0,0.0,0.2899950669714157,-2332.2173989000976,
27,0,539,2300,562,2300,0,3401,3000,7591,0.9316230379757473,0.05720178133250925,0.0,0.0,0.011175180691743499,-3314.3523805620343,
28,0,0,712,843,843,0,1555,2600,5345,0.27411288887328233,0.06719164763184564,0.0,0.0,0.6586954634948721,-45.66355031457556,
29,0,491,677,2318,2318,0,3486,2600,7276,0.004360763237205565,0.3651576997484406,0.0,0.0,0.6304815370143538,496.844562808428,
30,0,0,2026,2769,2769,0,4795,3000,9025,0.4438101824410622,0.1338993585404564,0.0,0.0,0.4222904590184815,-1360.445619404087,
31,0,0,312,466,466,0,778,2600,4558,0.39019647304622074,0.5813388453981262,0.0,0.0,0.02846468155565305,-1801.7893124601535,
32,0,980,4363,3423,4363,0,8766,3400,13366,0.3918994266276113,0.30105136024414614,0.0,0.0,0.3070492131282427,-3119.309281769214,
33,241,1565,1073,562,1565,241,3441,3000,7641,0.38154464705813274,0.2684578113090385,0.0,0.0,0.34999754163282876,-1654.871819332285,
34,0,569,556,1135,1135,0,2260,3000,6460,0.6779419271140165,0.3108341473939635,0.0,0.0,0.011223925492020006,-2451.912042026125,
35,0,1060,2488,9265,9265,0,12813,3400,17443,0.3413574276868768,0.3629352398056306,0.0,0.0,0.2957073325074926,-2868.064100609178,
36,0,68,1188,969,1188,0,2225,2600,6015,0.15308853604910305,0.2533504091446098,0.0,0.0,0.5935610548062871,-294.1825233753708,
37,0,1010,612,1995,1995,0,3617,3800,8617,0.3837452651846434,0.008971904066234033,0.0,0.0,0.6072828307491226,-210.570612280045,
38,0,198,1056,3109,3109,0,4363,2600,8163,0.5513633270106602,0.18376468685876074,0.0,0.0,0.2648719861305792,-2059.899376700317,
39,242,90,608,647,647,90,1587,3000,5797,0.4744678535867602,0.2818965381020725,0.0,0.0,0.24363560831116735,-1462.9650641190856,
40,0,693,1636,1791,1791,0,4120,2600,7940,0.29123184429580296,0.3209978575065599,0.0,0.0,0.38777029819763703,-1339.9730239437963,
41,0,520,583,2864,2864,0,3967,3400,8567,0.4134631867687501,0.3641275184010778,0.0,0.0,0.2224092948301721,-2241.2618040816837,
42,0,555,465,3229,3229,0,4249,3000,8449,0.2539895819499296,0.457507872777284,0.0,0.0,0.28850254527278646,-1520.1506333512757,
43,0,368,399,2906,2906,0,3673,2600,7473,0.020177905026025462,0.5117191766420414,0.0,0.0,0.4681029183319332,-44.276223757301295,
44,0,0,1030,1518,1518,0,2548,2600,6338,0.37337598533198,0.33835057794329393,0.0,0.0,0.28827343672472605,-1393.4744363303153,
45,0,0,1045,3054,3054,0,4099,2600,7899,0.25081756072457934,0.5976689125861442,0.0,0.0,0.1515135266892764,-2119.3180436249754,
46,0,152,1317,1980,1980,0,3449,2600,7279,0.06925543335563221,0.4032539037286671,0.0,0.0,0.5274906629157007,-242.89062676502272,
47,0,0,346,958,958,0,1304,2600,5104,0.30512242823041136,0.519343517091936,0.0,0.0,0.17553405467765254,-1580.011166470299,
48,0,688,513,1545,1545,0,2746,3400,7356,0.09675014811309347,0.5810524121847843,0.0,0.0,0.32219743970212217,-1743.4590638070429,
