Fri Jan 20 15:40:08 JST 2023,,,,,,,,,,,,,,,
SCE-5000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,146,417,707,707,0,1270,2600,5050,0,0,1,0,0,-5050
1,0,558,661,607,661,0,1826,3800,6826,0,0,1,0,0,-6826
2,0,236,434,1111,1111,0,1781,2600,5581,0,0,1,0,0,-5581
3,0,293,420,606,606,0,1319,3000,5489,0,0,1,0,0,-5489
4,0,343,2002,3420,3420,0,5765,3000,9995,0,0,1,0,0,-9995
5,0,0,1212,864,1212,0,2076,2600,5886,0,0,1,0,0,-5886
6,0,322,544,693,693,0,1559,2600,5349,0,0,1,0,0,-5349
7,0,166,1370,548,1370,0,2084,2600,5854,0,0,1,0,0,-5854
8,0,176,1758,598,1758,0,2532,2600,6322,0,0,1,0,0,-6322
9,0,0,570,3076,3076,0,3646,3000,7836,0,0,1,0,0,-7836
10,0,762,2578,1958,2578,0,5298,3000,9448,0,0,1,0,0,-9448
11,0,354,2010,4902,4902,0,7266,2600,11096,0,0,1,0,0,-11096
12,0,0,1206,900,1206,0,2106,2600,5936,0,0,1,0,0,-5936
13,0,156,1140,885,1140,0,2181,2600,5961,0,0,1,0,0,-5961
14,0,0,280,355,355,0,635,2600,4395,0,0,1,0,0,-4395
15,0,480,623,2401,2401,0,3504,2600,7324,0,0,1,0,0,-7324
16,0,0,1251,7855,7855,0,9106,3000,13286,0,0,1,0,0,-13286
17,0,188,2391,633,2391,0,3212,3000,7382,0,0,1,0,0,-7382
18,0,142,1693,652,1693,0,2487,2600,6257,0,0,1,0,0,-6257
19,0,0,1212,3143,3143,0,4355,2600,8205,0,0,1,0,0,-8205
20,0,481,279,3189,3189,0,3949,3000,8159,0,0,1,0,0,-8159
21,0,142,448,1191,1191,0,1781,2600,5551,0,0,1,0,0,-5551
22,0,0,313,898,898,0,1211,2600,5001,0,0,1,0,0,-5001
23,0,373,284,1141,1141,0,1798,2600,5588,0,0,1,0,0,-5588
24,0,374,1734,3101,3101,0,5209,2600,8999,0,0,1,0,0,-8999
25,0,401,2200,521,2200,0,3122,2600,6902,0,0,1,0,0,-6902
26,0,859,869,3100,3100,0,4828,3000,8988,0,0,1,0,0,-8988
27,0,660,2706,697,2706,0,4063,3000,8253,0,0,1,0,0,-8253
28,0,0,796,672,796,0,1468,2600,5258,0,0,1,0,0,-5258
29,0,439,2058,1769,2058,0,4266,3400,8856,0,0,1,0,0,-8856
30,0,0,1344,1813,1813,0,3157,2600,6987,0,0,1,0,0,-6987
31,0,0,257,341,341,0,598,2600,4378,0,0,1,0,0,-4378
32,0,720,2897,2181,2897,0,5798,3000,9998,0,0,1,0,0,-9998
33,241,1430,905,674,1430,241,3250,3000,7450,0,0,1,0,0,-7450
34,0,541,644,885,885,0,2070,2600,5870,0,0,1,0,0,-5870
35,0,966,2854,4435,4435,0,8255,3400,12885,0,0,1,0,0,-12885
36,0,0,1018,828,1018,0,1846,2600,5636,0,0,1,0,0,-5636
37,0,1257,1875,1303,1875,0,4435,5400,11035,0,0,1,0,0,-11035
38,0,158,1274,3268,3268,0,4700,2600,8500,0,0,1,0,0,-8500
39,242,271,783,668,783,242,1964,3000,6174,0,0,1,0,0,-6174
40,0,545,518,2398,2398,0,3461,2600,7281,0,0,1,0,0,-7281
41,0,478,659,3018,3018,0,4155,3800,9155,0,0,1,0,0,-9155
42,0,495,301,3178,3178,0,3974,3000,8174,0,0,1,0,0,-8174
43,0,368,379,2412,2412,0,3159,2600,6959,0,0,1,0,0,-6959
44,0,0,1005,1346,1346,0,2351,2600,6141,0,0,1,0,0,-6141
45,0,0,1016,3062,3062,0,4078,2600,7878,0,0,1,0,0,-7878
46,0,116,1125,1878,1878,0,3119,2600,6949,0,0,1,0,0,-6949
47,0,0,349,1054,1054,0,1403,2600,5203,0,0,1,0,0,-5203
48,0,539,695,1240,1240,0,2474,3800,7484,0,0,1,0,0,-7484
49,0,132,203,559,559,0,894,2200,4344,0,0,1,0,0,-4344
50,0,0,396,2162,2162,0,2558,2600,6388,0,0,1,0,0,-6388
51,0,109,427,2691,2691,0,3227,3400,7817,0,0,1,0,0,-7817
52,0,231,1302,609,1302,0,2142,3400,6722,0,0,1,0,0,-6722
53,279,399,496,4262,4262,279,5436,3400,10036,0,0,1,0,0,-10036
54,0,370,1800,1648,1800,0,3818,2600,7588,0,0,1,0,0,-7588
55,0,707,2274,1837,2274,0,4818,3400,9418,0,0,1,0,0,-9418
56,0,534,566,3202,3202,0,4302,2600,8132,0,0,1,0,0,-8132
57,0,483,1404,3773,3773,0,5660,2600,9440,0,0,1,0,0,-9440
58,0,326,1992,1908,1992,0,4226,3000,8416,0,0,1,0,0,-8416
59,0,545,335,3311,3311,0,4191,3000,8401,0,0,1,0,0,-8401
60,0,148,2518,1877,2518,0,4543,3400,9133,0,0,1,0,0,-9133
61,0,0,1224,2577,2577,0,3801,2600,7611,0,0,1,0,0,-7611
62,0,319,521,1192,1192,0,2032,2600,5872,0,0,1,0,0,-5872
63,0,77,309,2023,2023,0,2409,2600,6219,0,0,1,0,0,-6219
64,0,537,1902,1270,1902,0,3709,2600,7509,0,0,1,0,0,-7509
65,0,811,2969,2109,2969,0,5889,3000,10099,0,0,1,0,0,-10099
66,0,0,1021,905,1021,0,1926,2600,5686,0,0,1,0,0,-5686
