Sun Jan 15 23:59:08 JST 2023,,,
SCE-5000_SEED(0),,,
VisitorId,waitingTime,movingTime,travelTime
0,1161,2600,4941
1,2556,3000,6756
2,2161,2600,5961
3,1424,3000,5594
4,3252,2600,7082
5,3624,3000,7834
6,1484,2600,5274
7,2631,2600,6401
8,2724,2600,6514
9,4028,3000,8218
10,5351,3000,9501
11,11661,3000,15891
12,1900,2600,5730
13,1722,2600,5502
14,1059,2600,4819
15,2337,2600,6157
16,12583,3400,17163
17,3088,3000,7258
18,2439,2600,6209
19,4675,2600,8525
20,4067,3000,8277
21,1350,2600,5120
22,1336,2600,5126
23,1953,2600,5743
24,5203,2600,8993
25,3015,2600,6795
26,5461,3400,10021
27,4334,3400,8924
28,1276,2600,5066
29,3735,2600,7525
30,2847,2600,6677
31,587,2600,4367
32,9756,3000,13956
33,5393,3800,10393
34,1968,3000,6168
35,10640,3800,15670
36,1456,2600,5246
37,3250,3800,8250
38,5281,2600,9081
39,1603,3000,5813
40,3155,2600,6975
41,3810,3400,8410
42,4367,3000,8567
43,3412,2600,7212
44,2352,2600,6142
45,4372,2600,8172
46,2813,2600,6643
47,1305,2600,5105
48,3114,3000,7324
49,928,2200,4378
50,2344,2600,6174
51,1730,3400,6320
52,1776,3400,6356
53,5475,3400,10075
54,3932,2600,7702
55,4445,3400,9045
56,4717,3000,8947
57,6883,2600,10663
58,3021,3400,7611
59,4056,3400,8666
60,2080,2600,5870
61,3529,2600,7339
62,2150,2600,5990
63,2729,2600,6539
64,3292,2600,7092
65,5609,3000,9819
66,1793,2600,5553
67,4858,3000,9078
68,5155,2600,8965
69,2395,3400,6985
70,4249,4200,9649
71,2331,3000,6531
72,2149,2600,5949
73,1855,2600,5645
74,2430,3400,7000
75,2097,2600,5877
76,1971,3000,6151
77,2984,2600,6814
78,4579,2600,8369
79,1197,2600,5007
80,2307,2600,6087
81,4486,3400,9086
82,1878,2600,5658
83,6105,3800,11105
84,9071,4200,14481
85,4830,3000,9050
86,2608,3400,7208
87,4457,2600,8237
88,5141,2600,8991
89,2199,2600,5959
90,3372,2600,7182
91,4441,2600,8231
92,1966,3400,6536
93,10960,2600,14810
94,3035,2600,6855
95,2487,2200,5937
96,2876,2600,6686
97,4189,4600,9959
98,3792,2600,7572
99,6052,2600,9862
100,5979,2600,9779
101,2663,2600,6443
102,4739,2600,8509
103,2123,2600,5923
104,6275,3400,10885
105,1598,2600,5378
106,2145,2600,5945
107,9252,3000,13462
108,3034,2600,6824
109,2575,2600,6365
110,2413,3400,6983
111,5374,2600,9164
112,1901,2600,5701
113,3762,2600,7542
114,5464,2600,9254
115,2813,2200,6263
116,1276,2600,5076
117,6762,3800,11752
118,3919,3400,8519
119,7756,2600,11576
120,5140,3800,10120
121,6900,3800,11910
122,5585,3800,10595
123,4198,3800,9188
124,4139,5800,11109
125,4665,3800,9675
126,2807,2600,6587
127,1141,3000,5341
128,1215,2200,4625
129,1973,2600,5733
130,8299,2600,12089
131,2286,4200,7666
132,4413,2600,8253
133,5153,2600,8943
134,2813,2600,6573
135,6047,3000,10247
136,3569,2600,7379
137,4747,2600,8537
138,982,3000,5162
139,2212,2600,6002
140,3902,2600,7722
141,5074,3400,9684
142,2232,2600,5992
143,6656,2600,10456
144,4724,3400,9334
145,8015,2600,11825
146,3515,3400,8095
147,2074,2600,5814
148,4736,2600,8586
149,5633,3400,10263
150,2314,2600,6114
151,4289,2600,8119
152,3514,3800,8484
153,848,2600,4618
154,9647,4200,15097
155,725,2600,4505
156,4569,3000,8809
157,3211,3800,8181
158,8070,3000,12310
159,16600,3400,21210
160,6925,2600,10725
161,2568,2200,5978
162,6427,3000,10617
163,4631,3000,8841
164,2810,4200,8160
165,3813,2600,7643
166,8207,3400,12817
167,4618,3400,9208
168,3501,2600,7301
169,4530,3000,8750
170,8388,3400,12978
171,11181,2600,15001
172,4035,2600,7865
173,6522,3400,11122
174,7796,3800,12806
175,10642,3400,15242
176,15998,3000,20248
177,1663,3000,5843
178,7778,3000,11978
179,4572,2600,8382
180,4165,3000,8345
181,6346,3400,10956
182,2139,3400,6699
183,5174,2600,8984
184,6236,3400,10826
185,3672,2600,7452
186,2971,2200,6381
187,3767,2600,7537
188,2400,2600,6180
189,5296,2600,9116
190,14677,4200,20087
191,2670,2600,6450
192,3070,3000,7250
193,2083,3400,6653
194,10080,3000,14300
195,2573,3400,7163
196,2113,3400,6683
197,6814,3800,11824
198,12636,3000,16826
199,5936,3800,10946
200,6019,2600,9809
201,1134,3000,5294
202,2184,3400,6754
203,8369,3000,12559
204,6806,3400,11416
205,12826,5000,19036
206,3869,3800,8839
207,15030,3000,19280
208,7171,3000,11371
209,4296,2600,8056
210,4577,2600,8367
211,7766,3000,11976
212,2125,3400,6675
213,3255,3400,7815
214,6542,3400,11142
215,4703,3000,8873
216,10249,3000,14469
217,4652,3400,9252
218,5183,3000,9383
219,5850,3800,10830
220,2866,3400,7466
221,6851,3000,11071
222,4661,3400,9231
223,4297,2600,8097
224,4281,3000,8451
225,5408,3400,9988
226,5666,4600,11416
227,9288,3400,13928
228,6604,2600,10404
229,2603,3000,6813
230,865,2600,4665
231,4350,2600,8150
232,14396,3000,18646
233,15058,3400,19668
234,5713,3400,10303
235,5490,3400,10060
236,8134,3400,12764
237,1165,3000,5355
238,3376,2600,7166
239,3432,3400,8032
240,13725,3400,18305
241,3359,2600,7129
242,3925,3000,8115
243,10988,3800,16008
244,15338,3400,19968
245,2942,3000,7122
246,11152,3000,15372
247,1715,2200,5145
248,10920,3800,15910
249,2511,2600,6311
250,3275,2600,7055
251,21713,5400,28353
252,1789,2600,5569
253,12240,4200,17630
254,3715,3400,8295
255,3480,2600,7280
256,14357,3000,18557
257,2674,2600,6494
258,2019,2200,5429
259,3796,2600,7606
260,1326,3000,5496
261,13454,2600,17254
262,3771,3000,7941
263,1224,3000,5394
264,6678,3400,11268
265,4086,3800,9066
266,11983,3800,16963
267,11556,3000,15766
268,10266,4200,15696
269,2669,2600,6469
270,7331,3000,11521
271,4067,2600,7877
272,10207,3400,14797
273,6254,3400,10844
274,15986,3400,20586
275,3328,2600,7098
276,8202,3000,12402
277,15862,4600,21682
278,10457,5800,17427
279,3272,2600,7052
280,5069,4200,10459
281,4455,3800,9445
282,11299,3400,15919
283,13788,3400,18418
284,12934,5000,19144
285,14368,3000,18628
286,5792,3000,10012
287,5708,3000,9928
288,11880,3800,16860
289,4302,2600,8062
290,2173,2600,5953
291,11665,3000,15895
292,7093,3400,11683
293,9579,3000,13739
294,15204,3000,19384
295,4094,3000,8294
296,4381,2600,8161
297,2233,2600,6023
298,4787,2600,8547
299,19352,3800,24382
300,5669,3800,10659
301,10589,3000,14799
302,6690,2600,10440
303,2602,2600,6382
304,4514,3000,8694
305,6421,3000,10631
306,12227,3400,16847
307,13041,3400,17661
308,9914,3400,14524
309,6034,3000,10244
310,4396,3000,8586
311,4899,3400,9539
312,8980,2600,12770
313,16134,3000,20344
314,3778,2600,7578
315,7827,2600,11597
316,16694,5800,23724
317,8780,2600,12580
318,8545,2600,12395
319,17325,3000,21515
320,7442,3000,11632
321,8206,2600,11996
322,13315,4200,18705
323,8054,3800,13034
324,10068,2600,13878
325,2415,2200,5825
326,11936,3000,16166
327,11008,4600,16798
328,2746,2600,6566
329,7399,2600,11209
330,5328,2600,9128
331,8177,3400,12767
332,14495,3400,19145
333,11341,3400,15931
334,2032,3000,6232
335,7491,2600,11281
336,5450,2600,9210
337,23788,5000,30028
338,16523,2600,20303
339,6187,3800,11167
340,24042,3800,29052
341,9121,2600,12901
342,2376,3000,6566
343,16868,3800,21868
344,7411,3800,12441
345,2820,3400,7370
346,4458,2600,8258
347,15893,2600,19743
348,9407,3000,13627
349,8498,3400,13118
350,2912,2200,6322
351,10538,2600,14308
352,5069,3400,9659
353,4968,2600,8758
354,10702,2600,14532
355,6133,3400,10693
356,9752,3000,13962
357,17503,2600,21323
358,8211,3400,12841
359,3190,3000,7410
360,14858,2600,18658
361,3992,3400,8532
362,6924,3400,11524
363,11139,2600,14949
364,6841,2600,10601
365,14351,3800,19361
366,4455,2600,8275
367,14355,3800,19385
368,5235,3000,9425
369,20170,2600,23970
370,4856,3400,9466
371,11763,3400,16383
372,23060,3000,27290
373,7398,3000,11628
374,14068,2600,17868
375,5947,2600,9757
376,5422,3000,9662
377,14089,2600,17899
378,2559,3400,7159
379,5568,2600,9368
380,15425,2600,19285
381,16408,4200,21788
382,3076,3000,7256
383,7746,3400,12336
384,11500,3400,16080
385,7238,3400,11788
386,6041,4600,11861
387,14565,2600,18385
388,7483,3400,12073
389,8274,2600,12094
390,11774,3000,15974
391,4058,2600,7808
392,18142,3400,22782
393,6112,2600,9912
394,6049,3000,10209
395,5858,2600,9668
396,13826,2600,17626
397,13885,3000,18135
398,7462,3800,12442
399,12166,3400,16806
400,11278,2600,15078
401,8941,2600,12711
402,4647,4200,10017
403,11294,3400,15894
404,14020,3000,18220
405,11956,2200,15386
406,4709,3400,9269
407,7160,3400,11740
408,8411,3800,13401
409,2890,2600,6690
410,19031,3400,23641
411,19142,3000,23332
412,2348,2600,6158
413,7393,2600,11213
414,5915,2600,9725
415,6987,3000,11207
416,7853,3000,12063
417,4289,2600,8059
418,10531,3000,14711
419,5229,3400,9849
420,9917,2600,13747
421,12521,2600,16311
422,3392,2600,7172
423,12338,4600,18128
424,17937,4200,23367
425,9608,3400,14178
426,6192,3000,10352
427,12749,2600,16589
428,4838,2600,8608
429,5992,3400,10612
430,5767,2600,9547
431,6798,3000,10968
432,18494,3800,23504
433,2175,3000,6355
434,4543,3000,8763
435,6361,2600,10141
436,21284,3400,25924
437,5942,3400,10562
438,7174,3400,11754
439,13949,3400,18529
440,13223,5000,19423
441,3628,2200,7038
442,6235,3400,10795
443,15980,3400,20580
444,9926,2600,13746
445,3491,3000,7681
446,5432,2600,9222
447,6597,2600,10377
448,4990,2600,8770
449,3033,2600,6833
450,11251,3800,16221
451,14025,2600,17825
452,15051,4600,20871
453,9574,2600,13384
454,5413,3000,9613
455,8276,2600,12066
456,14415,3400,19025
457,6005,2600,9815
458,18734,4600,24574
459,11594,2600,15374
460,15934,3000,20104
461,12449,5000,18659
462,16286,2600,20146
463,7202,3000,11402
464,13500,3000,17690
465,9740,3400,14330
466,3271,2600,7071
467,3334,2600,7124
468,7249,3000,11459
469,10086,3400,14736
470,5036,3000,9226
471,18262,2600,22072
472,8508,3400,13118
473,17458,2600,21288
474,12076,2600,15836
475,25996,3400,30646
476,17213,2600,21033
477,4927,2600,8677
478,22054,4600,27884
479,17814,3000,22044
480,7578,3800,12548
481,11852,3400,16492
482,13463,4200,18873
483,2214,2600,5994
484,10708,3000,14948
485,26128,3000,30338
486,8647,4600,14437
487,11143,2600,14963
488,5089,3000,9279
489,11610,4200,17000
490,4269,3000,8479
491,11094,3800,16084
492,3622,2600,7432
493,15456,3000,19676
494,7022,2600,10782
495,10093,3400,14703
496,5508,4200,10898
497,1908,2600,5688
498,7786,3000,12006
499,6884,2600,10704
500,8938,3000,13138
501,16544,2600,20324
502,6254,2600,10014
503,28582,3800,33612
504,6195,2600,9965
505,15083,2600,18893
506,6073,3000,10263
507,9681,3000,13891
508,7853,3000,12073
509,6599,2600,10399
510,2788,2600,6598
511,4524,3400,9104
512,13228,2600,17028
513,10855,3000,15085
514,11999,4200,17399
515,14302,2600,18072
516,18006,3000,22206
517,9962,3400,14582
518,15522,2600,19362
519,6802,2600,10592
520,15371,3800,20351
521,4892,3000,9092
522,12172,3800,17162
523,5896,4200,11256
524,13148,3400,17748
525,11363,3400,15973
526,2768,3000,6958
527,4867,2600,8637
528,13009,3400,17599
529,22627,2600,26427
530,22439,3400,27029
531,6550,3800,11540
532,8470,3800,13450
533,6951,3000,11171
534,30177,3000,34387
535,10815,3800,15795
536,8697,3800,13697
537,9124,3000,13314
538,18818,7000,27018
539,16851,4600,22651
540,4858,4200,10228
541,10206,3400,14796
542,12856,3800,17856
543,26081,3400,30731
544,9189,2600,12939
545,8082,2600,11882
546,11792,3400,16402
547,6880,2600,10690
548,16347,3000,20577
549,7104,3000,11264
550,11469,4600,17259
551,13807,2600,17627
552,11150,2600,14900
553,10905,3800,15885
554,7166,4200,12536
555,11340,2600,15180
556,4201,3000,8361
557,9600,3000,13830
558,13316,3800,18296
559,3165,2600,6955
560,15825,3000,19995
561,20565,4200,25965
562,5567,5000,11727
563,8994,2600,12794
564,14715,4200,20115
565,16346,3000,20536
566,36915,4200,42325
567,29758,3000,33958
568,3341,2600,7161
569,12786,2600,16606
570,7090,2600,10910
571,17265,3000,21475
572,9210,2600,12990
573,11122,2600,14962
574,23497,5400,30137
575,15894,3400,20504
576,6628,3000,10838
577,11622,4600,17432
578,10948,4600,16738
579,11227,4200,16637
580,11505,3000,15665
581,4837,2600,8617
582,17323,4200,22753
583,15603,3800,20603
584,11113,2600,14953
585,17250,3000,21460
586,10570,4200,15980
587,20016,3400,24656
588,8491,3800,13451
589,7009,2600,10819
590,14516,3400,19096
591,6708,2600,10518
592,17875,5400,24465
593,9278,3400,13828
594,9448,3400,14028
595,19483,2600,23303
596,20516,5000,26766
597,5893,3000,10093
598,22292,3800,27302
599,17455,3000,21645
600,12480,3400,17060
601,8279,4200,13649
602,25957,3800,30977
603,5693,2200,9123
604,13875,3400,18465
605,14419,3800,19429
606,24135,3400,28795
607,12687,3800,17707
608,9068,3800,14088
609,1960,2600,5750
610,22324,3000,26534
611,11735,3000,15925
612,13369,3800,18389
613,9128,2600,12928
614,19628,3400,24258
615,18800,2600,22620
616,11393,3400,15983
617,18429,3000,22679
618,27936,3400,32526
619,10750,3800,15770
620,10220,2600,14010
621,27210,4200,32630
622,10037,3000,14237
623,5991,2600,9761
624,27314,3000,31534
625,10535,3000,14775
626,19423,3400,24063
627,18615,3000,22835
628,3328,3000,7518
629,16398,3000,20618
630,5977,3000,10157
631,14495,3800,19525
632,6687,3000,10867
633,6191,2600,9961
634,8797,3400,13427
635,14253,3400,18873
636,7017,3800,11997
637,16583,4200,21973
638,21828,3400,26488
639,11464,3000,15644
640,9521,2600,13301
641,8447,3800,13417
642,17807,2600,21647
643,6054,3000,10254
644,14283,3000,18463
645,15607,2600,19427
646,3529,2600,7339
647,21895,3400,26505
648,15352,4600,21142
649,17053,5000,23263
650,14343,3400,18963
651,7022,3400,11602
652,10032,2600,13872
653,16504,3400,21114
654,10647,3000,14867
655,5099,2600,8919
656,14275,3800,19255
657,13773,2600,17563
658,10839,3800,15839
659,5964,3000,10164
660,3691,3000,7871
661,6952,2600,10752
662,18779,3400,23419
663,11455,3800,16465
664,8401,4200,13771
665,8007,3000,12187
666,20249,4600,26049
667,16979,3800,21999
668,16622,2600,20422
669,27973,3000,32203
670,11873,4200,17273
671,6491,2600,10321
672,8300,3000,12510
673,18569,4200,23999
674,7587,3400,12197
675,8757,3800,13747
676,7939,2600,11749
677,13383,3800,18363
678,12750,3000,16940
679,19115,5000,25335
680,10779,5000,16959
681,6168,3400,10738
682,7025,3400,11605
683,18600,3000,22800
684,8153,3000,12343
685,15120,2600,18950
686,7963,3400,12573
687,14237,3000,18467
688,17493,2600,21283
689,14141,3400,18771
690,8015,2600,11835
691,16639,3400,21239
692,19585,4200,24985
693,17677,4600,23487
694,10291,3000,14521
695,7476,3000,11616
696,12184,3800,17184
697,7248,3000,11438
698,7561,2200,10971
699,6596,2600,10386
700,12719,3000,16879
701,11536,3000,15726
702,11078,3000,15298
703,13007,2600,16837
704,19457,3400,24067
705,6522,3800,11472
706,10944,4200,16334
707,11737,3800,16707
