Sun Jan 22 17:09:21 JST 2023
SCE-5000_SEED(9)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,433,495,495,0,928,2600,4728,0.0,0.0,1.0,0.0,0.0,-4728.0,
1,0,327,750,1840,1840,0,2917,2600,6727,0.0,0.0,1.0,0.0,0.0,-6727.0,
2,0,0,213,1133,1133,0,1346,3000,5546,0.0,0.0,1.0,0.0,0.0,-5546.0,
3,0,0,1238,2249,2249,0,3487,3000,7697,0.0,0.0,1.0,0.0,0.0,-7697.0,
4,0,0,1087,1171,1171,0,2258,2600,6068,0.0,0.0,1.0,0.0,0.0,-6068.0,
5,0,0,872,2089,2089,0,2961,2600,6761,0.0,0.0,1.0,0.0,0.0,-6761.0,
6,0,0,1071,2167,2167,0,3238,2600,7008,0.0,0.0,1.0,0.0,0.0,-7008.0,
7,0,2,768,2468,2468,0,3238,3000,7438,0.0,0.0,1.0,0.0,0.0,-7438.0,
8,0,337,790,1966,1966,0,3093,2600,6903,0.0,0.0,1.0,0.0,0.0,-6903.0,
9,0,107,1193,1953,1953,0,3253,2600,7043,0.0,0.0,1.0,0.0,0.0,-7043.0,
10,0,99,707,1642,1642,0,2448,2600,6258,0.0,0.0,1.0,0.0,0.0,-6258.0,
11,0,386,898,2116,2116,0,3400,2600,7220,0.0,0.0,1.0,0.0,0.0,-7220.0,
12,0,376,1481,2916,2916,0,4773,2600,8603,0.0,0.0,1.0,0.0,0.0,-8603.0,
13,0,97,1180,4055,4055,0,5332,2600,9102,0.0,0.0,1.0,0.0,0.0,-9102.0,
14,0,0,970,2178,2178,0,3148,2600,6978,0.0,0.0,1.0,0.0,0.0,-6978.0,
15,0,1082,1108,6060,6060,0,8250,3400,12840,0.0,0.0,1.0,0.0,0.0,-12840.0,
16,0,0,267,867,867,0,1134,2200,4564,0.0,0.0,1.0,0.0,0.0,-4564.0,
17,195,1191,1790,1799,1799,195,4975,3000,9165,0.0,0.0,1.0,0.0,0.0,-9165.0,
18,0,0,321,450,450,0,771,2200,4171,0.0,0.0,1.0,0.0,0.0,-4171.0,
19,0,376,1325,5360,5360,0,7061,2600,10871,0.0,0.0,1.0,0.0,0.0,-10871.0,
20,0,76,1034,1962,1962,0,3072,2600,6872,0.0,0.0,1.0,0.0,0.0,-6872.0,
21,0,119,486,2582,2582,0,3187,2600,6957,0.0,0.0,1.0,0.0,0.0,-6957.0,
22,244,638,1832,1472,1832,244,4186,2600,7986,0.0,0.0,1.0,0.0,0.0,-7986.0,
23,0,382,1477,2923,2923,0,4782,2600,8582,0.0,0.0,1.0,0.0,0.0,-8582.0,
24,0,182,386,1374,1374,0,1942,2600,5742,0.0,0.0,1.0,0.0,0.0,-5742.0,
25,0,180,1404,1488,1488,0,3072,2600,6842,0.0,0.0,1.0,0.0,0.0,-6842.0,
26,0,209,785,1398,1398,0,2392,3000,6562,0.0,0.0,1.0,0.0,0.0,-6562.0,
27,0,205,1458,5195,5195,0,6858,2600,10648,0.0,0.0,1.0,0.0,0.0,-10648.0,
28,0,113,600,694,694,0,1407,2600,5167,0.0,0.0,1.0,0.0,0.0,-5167.0,
29,0,0,324,2356,2356,0,2680,3000,6890,0.0,0.0,1.0,0.0,0.0,-6890.0,
30,0,184,1174,2119,2119,0,3477,2600,7297,0.0,0.0,1.0,0.0,0.0,-7297.0,
31,0,35,1034,1225,1225,0,2294,2600,6104,0.0,0.0,1.0,0.0,0.0,-6104.0,
32,0,363,638,2109,2109,0,3110,3000,7300,0.0,0.0,1.0,0.0,0.0,-7300.0,
33,0,306,1562,1307,1562,0,3175,3000,7395,0.0,0.0,1.0,0.0,0.0,-7395.0,
34,0,0,530,697,697,0,1227,2600,5057,0.0,0.0,1.0,0.0,0.0,-5057.0,
35,0,306,891,772,891,0,1969,2600,5769,0.0,0.0,1.0,0.0,0.0,-5769.0,
36,0,156,1175,1408,1408,0,2739,2600,6539,0.0,0.0,1.0,0.0,0.0,-6539.0,
37,0,415,1181,2355,2355,0,3951,2600,7751,0.0,0.0,1.0,0.0,0.0,-7751.0,
38,0,512,1276,5631,5631,0,7419,2600,11209,0.0,0.0,1.0,0.0,0.0,-11209.0,
39,0,300,795,715,795,0,1810,2600,5570,0.0,0.0,1.0,0.0,0.0,-5570.0,
40,0,502,1448,5884,5884,0,7834,3000,12014,0.0,0.0,1.0,0.0,0.0,-12014.0,
41,0,320,1313,1050,1313,0,2683,3000,6883,0.0,0.0,1.0,0.0,0.0,-6883.0,
42,0,0,703,1543,1543,0,2246,2600,6046,0.0,0.0,1.0,0.0,0.0,-6046.0,
43,0,504,1758,5729,5729,0,7991,2600,11821,0.0,0.0,1.0,0.0,0.0,-11821.0,
44,0,489,1940,2743,2743,0,5172,3800,10142,0.0,0.0,1.0,0.0,0.0,-10142.0,
45,0,548,1481,5861,5861,0,7890,3000,12090,0.0,0.0,1.0,0.0,0.0,-12090.0,
46,0,521,2521,2194,2521,0,5236,3800,10256,0.0,0.0,1.0,0.0,0.0,-10256.0,
47,0,528,1341,1498,1498,0,3367,2600,7137,0.0,0.0,1.0,0.0,0.0,-7137.0,
48,0,8,252,874,874,0,1134,2200,4544,0.0,0.0,1.0,0.0,0.0,-4544.0,
49,0,342,615,3152,3152,0,4109,3400,8699,0.0,0.0,1.0,0.0,0.0,-8699.0,
50,0,197,510,3992,3992,0,4699,3000,8919,0.0,0.0,1.0,0.0,0.0,-8919.0,
51,0,383,873,2811,2811,0,4067,2600,7867,0.0,0.0,1.0,0.0,0.0,-7867.0,
52,0,0,459,1481,1481,0,1940,2600,5730,0.0,0.0,1.0,0.0,0.0,-5730.0,
53,0,0,601,1201,1201,0,1802,3000,5982,0.0,0.0,1.0,0.0,0.0,-5982.0,
54,0,272,1456,2716,2716,0,4444,2600,8254,0.0,0.0,1.0,0.0,0.0,-8254.0,
55,0,0,1199,755,1199,0,1954,2600,5734,0.0,0.0,1.0,0.0,0.0,-5734.0,
56,0,318,641,1428,1428,0,2387,3000,6587,0.0,0.0,1.0,0.0,0.0,-6587.0,
57,0,572,1418,984,1418,0,2974,2600,6744,0.0,0.0,1.0,0.0,0.0,-6744.0,
58,0,570,909,2249,2249,0,3728,2600,7548,0.0,0.0,1.0,0.0,0.0,-7548.0,
59,0,0,453,1482,1482,0,1935,2600,5725,0.0,0.0,1.0,0.0,0.0,-5725.0,
60,0,399,616,3967,3967,0,4982,2600,8762,0.0,0.0,1.0,0.0,0.0,-8762.0,
61,0,0,1240,2392,2392,0,3632,2600,7472,0.0,0.0,1.0,0.0,0.0,-7472.0,
62,0,196,1401,1896,1896,0,3493,2600,7253,0.0,0.0,1.0,0.0,0.0,-7253.0,
63,0,599,503,2309,2309,0,3411,3000,7621,0.0,0.0,1.0,0.0,0.0,-7621.0,
64,0,198,1136,3544,3544,0,4878,2600,8658,0.0,0.0,1.0,0.0,0.0,-8658.0,
65,0,392,1466,3133,3133,0,4991,2600,8791,0.0,0.0,1.0,0.0,0.0,-8791.0,
66,0,486,772,4514,4514,0,5772,2600,9542,0.0,0.0,1.0,0.0,0.0,-9542.0,
67,0,503,1539,3294,3294,0,5336,2600,9146,0.0,0.0,1.0,0.0,0.0,-9146.0,
68,0,353,1753,5733,5733,0,7839,2600,11649,0.0,0.0,1.0,0.0,0.0,-11649.0,
69,0,184,788,1766,1766,0,2738,2600,6578,0.0,0.0,1.0,0.0,0.0,-6578.0,
70,0,379,810,5662,5662,0,6851,3400,11431,0.0,0.0,1.0,0.0,0.0,-11431.0,
71,0,669,817,4069,4069,0,5555,3400,10145,0.0,0.0,1.0,0.0,0.0,-10145.0,
72,136,880,3880,10740,10740,136,15636,3400,20266,0.0,0.0,1.0,0.0,0.0,-20266.0,
73,0,721,1051,1682,1682,0,3454,3000,7644,0.0,0.0,1.0,0.0,0.0,-7644.0,
74,0,719,1840,1428,1840,0,3987,2600,7807,0.0,0.0,1.0,0.0,0.0,-7807.0,
75,0,377,1722,4440,4440,0,6539,2600,10329,0.0,0.0,1.0,0.0,0.0,-10329.0,
76,0,251,430,1603,1603,0,2284,2600,6104,0.0,0.0,1.0,0.0,0.0,-6104.0,
77,363,1086,693,2158,2158,363,4300,3800,9280,0.0,0.0,1.0,0.0,0.0,-9280.0,
78,0,355,1754,3728,3728,0,5837,2600,9667,0.0,0.0,1.0,0.0,0.0,-9667.0,
79,0,693,1114,1799,1799,0,3606,3000,7786,0.0,0.0,1.0,0.0,0.0,-7786.0,
80,0,498,1547,3284,3284,0,5329,2600,9109,0.0,0.0,1.0,0.0,0.0,-9109.0,
81,0,560,1522,3512,3512,0,5594,2600,9384,0.0,0.0,1.0,0.0,0.0,-9384.0,
82,143,901,2000,6439,6439,143,9483,2600,13323,0.0,0.0,1.0,0.0,0.0,-13323.0,
83,158,915,2067,1700,2067,158,4840,2600,8650,0.0,0.0,1.0,0.0,0.0,-8650.0,
84,0,380,622,3932,3932,0,4934,2600,8724,0.0,0.0,1.0,0.0,0.0,-8724.0,
85,0,349,1773,6117,6117,0,8239,3000,12439,0.0,0.0,1.0,0.0,0.0,-12439.0,
86,0,688,1781,6022,6022,0,8491,2600,12301,0.0,0.0,1.0,0.0,0.0,-12301.0,
87,0,0,709,2145,2145,0,2854,2600,6634,0.0,0.0,1.0,0.0,0.0,-6634.0,
88,0,528,1752,5857,5857,0,8137,2600,11937,0.0,0.0,1.0,0.0,0.0,-11937.0,
89,0,517,1749,1860,1860,0,4126,2600,7896,0.0,0.0,1.0,0.0,0.0,-7896.0,
90,158,950,2084,2196,2196,158,5388,3400,10008,0.0,0.0,1.0,0.0,0.0,-10008.0,
91,163,945,1011,5727,5727,163,7846,2600,11636,0.0,0.0,1.0,0.0,0.0,-11636.0,
92,0,371,488,3739,3739,0,4598,2600,8388,0.0,0.0,1.0,0.0,0.0,-8388.0,
93,0,516,427,1866,1866,0,2809,2600,6579,0.0,0.0,1.0,0.0,0.0,-6579.0,
94,0,727,1353,1509,1509,0,3589,2600,7369,0.0,0.0,1.0,0.0,0.0,-7369.0,
95,167,744,2052,6164,6164,167,9127,2600,12957,0.0,0.0,1.0,0.0,0.0,-12957.0,
96,97,760,901,2079,2079,97,3837,4600,9607,0.0,0.0,1.0,0.0,0.0,-9607.0,
97,0,528,770,4548,4548,0,5846,2600,9606,0.0,0.0,1.0,0.0,0.0,-9606.0,
98,0,555,858,4727,4727,0,6140,2600,9900,0.0,0.0,1.0,0.0,0.0,-9900.0,
99,0,0,1100,4092,4092,0,5192,2600,9002,0.0,0.0,1.0,0.0,0.0,-9002.0,
100,0,0,1082,4068,4068,0,5150,2600,8940,0.0,0.0,1.0,0.0,0.0,-8940.0,
101,0,176,368,1674,1674,0,2218,2600,6048,0.0,0.0,1.0,0.0,0.0,-6048.0,
102,0,1007,3960,2270,3960,0,7237,3000,11417,0.0,0.0,1.0,0.0,0.0,-11417.0,
103,0,729,1080,3160,3160,0,4969,2600,8789,0.0,0.0,1.0,0.0,0.0,-8789.0,
104,0,737,1859,4560,4560,0,7156,2600,10946,0.0,0.0,1.0,0.0,0.0,-10946.0,
105,0,364,617,969,969,0,1950,3400,6520,0.0,0.0,1.0,0.0,0.0,-6520.0,
106,156,823,1598,1707,1707,156,4284,3000,8484,0.0,0.0,1.0,0.0,0.0,-8484.0,
107,0,417,998,1328,1328,0,2743,3400,7363,0.0,0.0,1.0,0.0,0.0,-7363.0,
108,161,313,1759,5875,5875,161,8108,2600,11928,0.0,0.0,1.0,0.0,0.0,-11928.0,
109,0,584,840,2350,2350,0,3774,2600,7534,0.0,0.0,1.0,0.0,0.0,-7534.0,
110,0,195,465,1183,1183,0,1843,2200,5273,0.0,0.0,1.0,0.0,0.0,-5273.0,
111,186,171,1368,2067,2067,171,3792,3000,8002,0.0,0.0,1.0,0.0,0.0,-8002.0,
112,0,0,1044,3113,3113,0,4157,3400,8777,0.0,0.0,1.0,0.0,0.0,-8777.0,
113,69,0,1349,2474,2474,0,3892,2600,7732,0.0,0.0,1.0,0.0,0.0,-7732.0,
114,0,152,1190,764,1190,0,2106,2600,5896,0.0,0.0,1.0,0.0,0.0,-5896.0,
115,61,761,618,2019,2019,61,3459,3000,7639,0.0,0.0,1.0,0.0,0.0,-7639.0,
116,0,591,1636,2124,2124,0,4351,3400,8921,0.0,0.0,1.0,0.0,0.0,-8921.0,
117,80,771,1933,2156,2156,80,4940,3400,9530,0.0,0.0,1.0,0.0,0.0,-9530.0,
118,0,588,1598,5354,5354,0,7540,3400,12160,0.0,0.0,1.0,0.0,0.0,-12160.0,
119,180,388,1081,2061,2061,180,3710,2200,7140,0.0,0.0,1.0,0.0,0.0,-7140.0,
120,0,0,297,1070,1070,0,1367,2200,4777,0.0,0.0,1.0,0.0,0.0,-4777.0,
121,189,265,1421,2152,2152,189,4027,2600,7827,0.0,0.0,1.0,0.0,0.0,-7827.0,
122,0,618,1070,1803,1803,0,3491,3000,7711,0.0,0.0,1.0,0.0,0.0,-7711.0,
123,0,116,1312,3569,3569,0,4997,3000,9207,0.0,0.0,1.0,0.0,0.0,-9207.0,
124,0,666,1763,4434,4434,0,6863,3000,11073,0.0,0.0,1.0,0.0,0.0,-11073.0,
125,0,199,496,2869,2869,0,3564,3000,7804,0.0,0.0,1.0,0.0,0.0,-7804.0,
126,68,384,699,1917,1917,68,3068,3400,7678,0.0,0.0,1.0,0.0,0.0,-7678.0,
127,179,306,2010,5561,5561,179,8056,2600,11906,0.0,0.0,1.0,0.0,0.0,-11906.0,
128,0,761,629,3068,3068,0,4458,2600,8238,0.0,0.0,1.0,0.0,0.0,-8238.0,
129,0,630,1211,1943,1943,0,3784,3000,7994,0.0,0.0,1.0,0.0,0.0,-7994.0,
130,172,3,813,2332,2332,3,3320,2600,7130,0.0,0.0,1.0,0.0,0.0,-7130.0,
