Sun Jan 22 15:08:19 JST 2023
SCE-5000_SEED(9)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,377,600,600,0,977,2600,4777,0.0,0.0,1.0,0.0,0.0,-4777.0,
1,0,37,372,785,785,0,1194,2600,5004,0.0,0.0,1.0,0.0,0.0,-5004.0,
2,0,0,0,711,711,0,711,3000,4911,0.0,0.0,1.0,0.0,0.0,-4911.0,
3,0,0,1652,5318,5318,0,6970,4200,12380,0.0,0.0,1.0,0.0,0.0,-12380.0,
4,0,0,1332,914,1332,0,2246,3000,6456,0.0,0.0,1.0,0.0,0.0,-6456.0,
5,0,0,1113,1622,1622,0,2735,2600,6535,0.0,0.0,1.0,0.0,0.0,-6535.0,
6,0,0,722,556,722,0,1278,2600,5048,0.0,0.0,1.0,0.0,0.0,-5048.0,
7,0,0,1358,976,1358,0,2334,3000,6534,0.0,0.0,1.0,0.0,0.0,-6534.0,
8,0,145,615,1311,1311,0,2071,2600,5881,0.0,0.0,1.0,0.0,0.0,-5881.0,
9,0,244,1017,4046,4046,0,5307,2600,9097,0.0,0.0,1.0,0.0,0.0,-9097.0,
10,0,678,5351,28500,28500,0,34529,5400,41139,0.0,0.0,1.0,0.0,0.0,-41139.0,
11,0,0,819,1343,1343,0,2162,2600,5982,0.0,0.0,1.0,0.0,0.0,-5982.0,
12,0,263,1317,2270,2270,0,3850,2600,7680,0.0,0.0,1.0,0.0,0.0,-7680.0,
13,0,49,813,3349,3349,0,4211,2600,7981,0.0,0.0,1.0,0.0,0.0,-7981.0,
14,0,62,584,1127,1127,0,1773,2600,5603,0.0,0.0,1.0,0.0,0.0,-5603.0,
15,0,0,1207,2096,2096,0,3303,3000,7493,0.0,0.0,1.0,0.0,0.0,-7493.0,
16,0,0,123,361,361,0,484,2200,3914,0.0,0.0,1.0,0.0,0.0,-3914.0,
17,195,980,915,4423,4423,195,6513,4200,11903,0.0,0.0,1.0,0.0,0.0,-11903.0,
18,0,0,0,441,441,0,441,2600,4241,0.0,0.0,1.0,0.0,0.0,-4241.0,
19,0,261,1316,4689,4689,0,6266,3000,10476,0.0,0.0,1.0,0.0,0.0,-10476.0,
20,0,150,695,1358,1358,0,2203,2600,6003,0.0,0.0,1.0,0.0,0.0,-6003.0,
21,0,0,1210,3543,3543,0,4753,3000,8923,0.0,0.0,1.0,0.0,0.0,-8923.0,
22,0,0,360,417,417,0,777,2200,4177,0.0,0.0,1.0,0.0,0.0,-4177.0,
23,0,267,1373,2305,2305,0,3945,2600,7745,0.0,0.0,1.0,0.0,0.0,-7745.0,
24,0,0,846,1515,1515,0,2361,2600,6161,0.0,0.0,1.0,0.0,0.0,-6161.0,
25,0,160,285,2959,2959,0,3404,3400,7974,0.0,0.0,1.0,0.0,0.0,-7974.0,
26,0,335,1390,1369,1390,0,3094,3400,7664,0.0,0.0,1.0,0.0,0.0,-7664.0,
27,0,265,1087,4296,4296,0,5648,2600,9438,0.0,0.0,1.0,0.0,0.0,-9438.0,
28,0,0,844,706,844,0,1550,2600,5310,0.0,0.0,1.0,0.0,0.0,-5310.0,
29,0,0,349,1820,1820,0,2169,2600,5979,0.0,0.0,1.0,0.0,0.0,-5979.0,
30,0,326,1215,3330,3330,0,4871,3000,9091,0.0,0.0,1.0,0.0,0.0,-9091.0,
31,0,96,980,3388,3388,0,4464,2600,8274,0.0,0.0,1.0,0.0,0.0,-8274.0,
32,0,345,734,828,828,0,1907,3000,6097,0.0,0.0,1.0,0.0,0.0,-6097.0,
33,0,86,411,2383,2383,0,2880,3000,7100,0.0,0.0,1.0,0.0,0.0,-7100.0,
34,0,0,582,635,635,0,1217,2600,5047,0.0,0.0,1.0,0.0,0.0,-5047.0,
35,0,188,183,1930,1930,0,2301,2600,6101,0.0,0.0,1.0,0.0,0.0,-6101.0,
36,0,43,1021,895,1021,0,1959,2600,5759,0.0,0.0,1.0,0.0,0.0,-5759.0,
37,0,413,1379,2877,2877,0,4669,2600,8469,0.0,0.0,1.0,0.0,0.0,-8469.0,
38,140,980,3825,6916,6916,140,11861,3800,16851,0.0,0.0,1.0,0.0,0.0,-16851.0,
39,0,154,664,742,742,0,1560,2600,5320,0.0,0.0,1.0,0.0,0.0,-5320.0,
40,0,163,749,1482,1482,0,2394,3000,6574,0.0,0.0,1.0,0.0,0.0,-6574.0,
41,0,186,1178,1174,1178,0,2538,3000,6738,0.0,0.0,1.0,0.0,0.0,-6738.0,
42,0,323,571,1680,1680,0,2574,3800,7574,0.0,0.0,1.0,0.0,0.0,-7574.0,
43,0,346,1363,4910,4910,0,6619,2600,10449,0.0,0.0,1.0,0.0,0.0,-10449.0,
44,0,347,736,4595,4595,0,5678,3000,9848,0.0,0.0,1.0,0.0,0.0,-9848.0,
45,0,0,883,1368,1368,0,2251,2600,6051,0.0,0.0,1.0,0.0,0.0,-6051.0,
46,0,349,1243,4924,4924,0,6516,3400,11136,0.0,0.0,1.0,0.0,0.0,-11136.0,
47,0,221,1128,888,1128,0,2237,2600,6007,0.0,0.0,1.0,0.0,0.0,-6007.0,
48,0,0,109,327,327,0,436,2200,3846,0.0,0.0,1.0,0.0,0.0,-3846.0,
49,0,0,951,2555,2555,0,3506,2600,7296,0.0,0.0,1.0,0.0,0.0,-7296.0,
50,0,0,603,1179,1179,0,1782,2600,5602,0.0,0.0,1.0,0.0,0.0,-5602.0,
51,0,346,707,2746,2746,0,3799,2600,7599,0.0,0.0,1.0,0.0,0.0,-7599.0,
52,0,337,428,3786,3786,0,4551,3000,8741,0.0,0.0,1.0,0.0,0.0,-8741.0,
53,0,0,536,2255,2255,0,2791,2600,6571,0.0,0.0,1.0,0.0,0.0,-6571.0,
54,0,179,381,3023,3023,0,3583,2600,7393,0.0,0.0,1.0,0.0,0.0,-7393.0,
55,0,0,880,839,880,0,1719,2600,5499,0.0,0.0,1.0,0.0,0.0,-5499.0,
56,0,0,546,1130,1130,0,1676,2600,5476,0.0,0.0,1.0,0.0,0.0,-5476.0,
57,0,431,1178,1031,1178,0,2640,2600,6410,0.0,0.0,1.0,0.0,0.0,-6410.0,
58,0,179,1127,1740,1740,0,3046,2600,6866,0.0,0.0,1.0,0.0,0.0,-6866.0,
59,0,0,969,796,969,0,1765,2600,5555,0.0,0.0,1.0,0.0,0.0,-5555.0,
60,0,398,1284,1028,1284,0,2710,2600,6490,0.0,0.0,1.0,0.0,0.0,-6490.0,
61,0,7,732,2420,2420,0,3159,3400,7799,0.0,0.0,1.0,0.0,0.0,-7799.0,
62,0,244,1213,1677,1677,0,3134,2600,6894,0.0,0.0,1.0,0.0,0.0,-6894.0,
63,0,350,346,1814,1814,0,2510,3000,6720,0.0,0.0,1.0,0.0,0.0,-6720.0,
64,0,247,872,4698,4698,0,5817,3400,10397,0.0,0.0,1.0,0.0,0.0,-10397.0,
65,0,557,378,3813,3813,0,4748,3400,9348,0.0,0.0,1.0,0.0,0.0,-9348.0,
66,0,399,427,3545,3545,0,4371,2600,8141,0.0,0.0,1.0,0.0,0.0,-8141.0,
67,0,393,1292,2673,2673,0,4358,2600,8168,0.0,0.0,1.0,0.0,0.0,-8168.0,
68,0,423,1407,4275,4275,0,6105,3000,10315,0.0,0.0,1.0,0.0,0.0,-10315.0,
69,0,0,691,1379,1379,0,2070,2600,5910,0.0,0.0,1.0,0.0,0.0,-5910.0,
70,0,309,1766,5539,5539,0,7614,3400,12194,0.0,0.0,1.0,0.0,0.0,-12194.0,
71,0,1219,2988,6653,6653,0,10860,4200,16250,0.0,0.0,1.0,0.0,0.0,-16250.0,
72,0,498,1458,3059,3059,0,5015,2600,8845,0.0,0.0,1.0,0.0,0.0,-8845.0,
73,0,178,1216,877,1216,0,2271,2600,6061,0.0,0.0,1.0,0.0,0.0,-6061.0,
74,0,509,660,3702,3702,0,4871,3000,9091,0.0,0.0,1.0,0.0,0.0,-9091.0,
75,0,361,1535,4726,4726,0,6622,2600,10412,0.0,0.0,1.0,0.0,0.0,-10412.0,
76,0,0,233,1291,1291,0,1524,2200,4944,0.0,0.0,1.0,0.0,0.0,-4944.0,
77,0,124,607,3551,3551,0,4282,3400,8862,0.0,0.0,1.0,0.0,0.0,-8862.0,
78,0,206,1331,2502,2502,0,4039,2600,7869,0.0,0.0,1.0,0.0,0.0,-7869.0,
79,0,106,1282,2143,2143,0,3531,2600,7311,0.0,0.0,1.0,0.0,0.0,-7311.0,
80,0,398,1290,2663,2663,0,4351,2600,8131,0.0,0.0,1.0,0.0,0.0,-8131.0,
81,0,0,973,1763,1763,0,2736,2600,6526,0.0,0.0,1.0,0.0,0.0,-6526.0,
82,0,416,1841,4480,4480,0,6737,2600,10577,0.0,0.0,1.0,0.0,0.0,-10577.0,
83,0,58,153,1325,1325,0,1536,3000,5746,0.0,0.0,1.0,0.0,0.0,-5746.0,
84,0,212,385,3108,3108,0,3705,2600,7495,0.0,0.0,1.0,0.0,0.0,-7495.0,
85,0,168,1357,4715,4715,0,6240,3000,10440,0.0,0.0,1.0,0.0,0.0,-10440.0,
86,0,894,3175,5738,5738,0,9807,3000,14017,0.0,0.0,1.0,0.0,0.0,-14017.0,
87,0,0,679,2355,2355,0,3034,2600,6814,0.0,0.0,1.0,0.0,0.0,-6814.0,
88,0,515,1126,4903,4903,0,6544,2600,10344,0.0,0.0,1.0,0.0,0.0,-10344.0,
