Sat Jan 14 17:24:30 JST 2023,,,
SCE-5000_SEED(0),,,
VisitorId,waitingTime,movingTime,travelTime
0,921,3000,5101
1,567,3400,5167
2,1830,3400,6430
3,4607,4200,9977
4,0,3000,4230
5,1817,3800,6827
6,5649,3800,10639
7,2754,4200,8124
8,1037,3000,5227
9,1064,3000,5254
10,4435,4600,10185
11,155,3000,4385
12,1403,2600,5233
13,2250,3000,6430
14,5250,2600,9010
15,159,3400,4779
16,1097,3000,5277
17,1320,3000,5490
18,1449,3000,5619
19,119,3400,4769
20,1423,3400,6033
21,4461,3800,9431
22,3641,3400,8231
23,229,3000,4419
24,235,3400,4825
25,1077,3400,5657
26,774,3400,5334
27,2917,3800,7907
28,7871,3800,12861
29,690,2600,4480
30,11743,5800,18773
31,7142,4200,12522
32,193,3000,4393
33,1366,4200,6766
34,628,2600,4428
35,166,3000,4396
36,6179,3400,10769
37,801,3400,5401
38,0,3000,4200
39,4675,4200,10085
40,0,3000,4220
41,177,3400,4777
42,0,2600,3800
43,2746,3400,7346
44,2043,3400,6633
45,0,3000,4200
46,4427,3800,9457
47,3924,3000,8124
48,716,3800,5726
49,2386,2600,6236
50,92,3000,4322
51,174,3400,4764
52,596,3400,5176
53,105,3400,4705
54,1717,3800,6687
55,885,3400,5485
56,1388,3400,6018
57,475,3400,5055
58,18863,7000,27053
59,0,3000,4210
60,12840,5400,19430
61,312,3400,4922
62,235,3000,4475
63,1652,3400,6262
64,460,3800,5460
65,1772,3400,6382
66,6083,3800,11043
67,167,3400,4787
68,1450,3000,5660
69,1968,3400,6558
70,3491,3800,8491
71,630,3000,4830
72,360,3400,4960
73,3983,3800,8973
74,29,3000,4199
75,7725,3000,11905
76,8299,3800,13279
77,6785,3400,11415
78,170,2600,3960
79,5913,3000,10123
80,3902,3400,8482
81,2982,3800,7982
82,981,3400,5561
83,421,3000,4621
84,3029,3400,7639
85,387,3400,5007
86,12586,4600,18386
87,8172,3800,13152
88,207,4200,5657
89,13050,3400,17610
90,722,3400,5332
91,1043,3400,5633
92,1841,3800,6811
93,0,2600,3850
94,110,3000,4330
95,1259,3000,5509
96,1639,3400,6249
97,20455,5000,26625
98,1371,3400,5951
99,6588,5000,12798
100,585,3800,5585
101,716,3000,4896
102,5369,4600,11139
103,1107,3000,5307
104,153,3000,4363
105,4541,4200,9921
106,6894,3000,11094
107,757,3000,4967
108,14847,3800,19837
109,22724,4600,28514
110,1559,3400,6129
111,843,3400,5433
112,91,2600,3891
113,2733,3000,6913
114,1239,3400,5829
115,2846,2600,6696
116,5958,3000,10158
117,1539,3800,6529
118,8544,4600,14344
119,3108,3400,7728
120,1279,3400,5859
121,2574,3800,7584
122,1415,3800,6425
123,957,3400,5547
124,2767,3400,7337
125,947,3400,5557
126,4906,3400,9486
127,4454,3000,8654
128,11430,2600,15240
129,1935,2600,5695
130,389,3800,5379
131,4734,3800,9714
132,3691,3400,8331
133,314,3000,4504
134,2180,3000,6340
135,753,3400,5353
136,9254,3400,13864
137,1441,2600,5231
138,4407,3000,8587
139,7231,3800,12221
140,7213,3000,11433
141,2060,3800,7070
142,18342,3800,23302
143,5933,4200,11333
144,3243,3000,7453
145,85,2600,3895
146,4734,3400,9314
147,12467,3800,17407
148,50,2200,3500
149,52,3000,4282
150,1930,3000,6130
151,3908,3400,8538
152,1126,3400,5696
153,6794,3400,11364
154,730,2600,4580
155,18967,3000,23147
156,602,3000,4842
157,0,2600,3770
158,2953,3400,7593
159,0,2600,3810
160,17,2600,3817
161,2530,2600,6340
162,1841,3400,6431
163,1799,3000,6009
164,16917,4200,22267
165,3280,3800,8310
166,356,3000,4566
167,7205,3800,12195
168,8750,3400,13350
169,51,2600,3871
170,173,3400,4763
171,0,2600,3820
172,132,3000,4362
173,1410,3400,6010
174,295,3000,4505
175,2333,3400,6933
176,0,2600,3850
177,4089,3400,8669
178,2399,4200,7799
179,5891,3400,10501
180,8106,3400,12686
181,3043,2600,6853
182,1694,3400,6254
183,1825,3000,6035
184,2623,3400,7213
185,2003,2600,5783
186,290,2200,3700
187,2619,2600,6389
188,16826,2600,20606
189,59,2600,3879
190,1354,3800,6364
191,11253,4600,17033
192,15425,3800,20405
193,13382,5400,19952
194,15448,4600,21268
195,0,2600,3790
196,1419,3400,5989
197,1794,3800,6804
198,688,3000,4878
199,3401,3400,8011
200,206,2600,3996
201,19779,3000,23939
202,5714,3800,10684
203,761,3400,5351
204,1104,3400,5714
205,1133,3400,5743
206,6964,3800,11934
207,135,3000,4385
208,24,2600,3824
209,2716,2600,6476
210,431,2600,4221
211,1067,3000,5277
212,16099,3800,21049
213,3042,3400,7602
214,823,3000,5023
215,1268,3000,5438
216,227,3000,4447
217,4306,3800,9306
218,3265,3400,7865
219,266,2600,4046
220,0,3000,4200
221,4043,3400,8663
222,3787,3800,8757
223,9470,3400,14070
224,6995,3800,11965
225,6128,3400,10708
226,11508,3800,16458
227,670,3000,4910
228,5589,3400,10189
229,7181,3400,11791
230,917,3400,5517
231,6267,3000,10467
232,347,3000,4597
233,1538,3800,6548
234,3045,3400,7635
235,2224,3400,6794
236,241,3800,5271
237,9067,3400,13657
238,1077,3000,5267
239,14107,3800,19107
240,351,3000,4531
241,8368,4200,13738
242,9436,3800,14426
243,1055,3400,5675
244,288,3000,4518
245,17923,4200,23303
246,3429,3400,8049
247,2957,2600,6787
248,6453,3000,10643
249,8553,3000,12753
250,7949,3400,12529
251,207,2600,4047
252,16790,2600,20570
253,1684,3400,6274
254,1771,3400,6351
255,2833,3400,7433
256,479,3000,4679
257,10250,3400,14870
258,9405,3000,13615
259,4244,3800,9254
260,21020,3000,25190
261,4830,3800,9830
262,5365,3000,9535
263,10173,4200,15543
264,8454,3400,13044
265,12613,4200,17993
266,2342,3400,6922
267,1446,3000,5656
268,310,3000,4540
269,16245,4600,22045
270,2204,3000,6394
271,1337,2200,4747
272,2245,3000,6435
273,5213,3000,9403
274,241,2600,4041
275,2515,2600,6285
276,5119,3800,10119
277,647,2600,4467
278,3070,3400,7640
279,6789,3400,11369
280,1938,2600,5728
281,25434,3400,30024
282,7205,3000,11425
283,38,3000,4268
284,277,3400,4887
285,410,2600,4270
286,10535,4600,16355
287,2021,2600,5841
288,9381,3400,13961
289,13102,3000,17262
290,17885,2600,21665
291,3026,3000,7256
292,7876,3000,12066
293,403,2600,4163
294,491,3000,4671
295,2367,2600,6167
296,8958,3000,13138
297,7956,3000,12146
298,9861,4200,15221
299,1575,3000,5805
300,4857,3000,9047
301,4759,3800,9769
302,16918,4200,22268
303,12062,3800,17042
304,19470,5000,25650
305,3411,2600,7221
306,323,3000,4543
307,7112,3800,12132
308,6639,3800,11649
309,56,2600,3866
310,7865,3000,12055
311,6799,3400,11439
312,467,3000,4657
313,538,2600,4348
314,15040,3400,19640
315,8304,3400,12874
316,516,3000,4746
317,998,3000,5198
318,59,2600,3909
319,2344,3400,6934
320,2308,2600,6098
321,967,3000,5157
322,5930,3400,10520
323,5661,3000,9841
324,621,3000,4831
325,3464,2200,6874
326,567,3000,4797
327,66,2600,3856
328,2680,3400,7300
329,13032,5400,19642
330,12011,3400,16611
331,1902,3800,6892
332,689,3000,4939
333,2300,3400,6890
334,12173,3000,16373
335,1090,2600,4880
336,1337,3000,5497
337,633,2600,4473
338,3485,3800,8465
339,9167,3800,14147
340,7889,3800,12899
341,6643,3000,10823
342,27163,3800,32153
343,11541,3400,16141
344,1168,3000,5398
345,11912,3400,16462
346,7263,3800,12263
347,1277,3400,5927
348,1969,3000,6189
349,12822,3800,17842
350,7390,2600,11200
351,2922,2600,6692
352,6878,3400,11468
353,10702,3400,15292
354,1226,2600,5056
355,8902,3400,13462
356,5048,3000,9258
357,11198,4200,16618
358,685,3400,5315
359,7967,3000,12187
360,1513,3000,5713
361,18840,3400,23380
362,11794,3400,16394
363,120,2600,3930
364,9818,3800,14778
