Sun Jan 15 16:13:30 JST 2023,,,
SCE-5000_SEED(0),,,
VisitorId,waitingTime,movingTime,travelTime
0,6921,3400,11501
1,574,3400,5174
2,1814,3400,6414
3,4467,4200,9837
4,0,3000,4230
5,1818,3800,6828
6,5353,3800,10343
7,2792,4200,8162
8,934,3000,5124
9,1009,3000,5199
10,4773,4200,10123
11,155,3000,4385
12,1276,2600,5106
13,2230,3000,6410
14,5298,2600,9058
15,119,3400,4739
16,1097,3000,5277
17,1450,3000,5620
18,1511,3000,5681
19,119,3400,4769
20,1423,3400,6033
21,4456,3800,9426
22,3835,3400,8425
23,243,3000,4433
24,235,3400,4825
25,1078,3400,5658
26,775,3400,5335
27,2916,3800,7906
28,7707,3800,12697
29,686,2600,4476
30,11558,5800,18588
31,7035,4200,12415
32,193,3000,4393
33,1264,4200,6664
34,628,2600,4428
35,206,3000,4436
36,5961,3400,10551
37,802,3400,5402
38,0,3000,4200
39,4873,4200,10283
40,0,3000,4220
41,173,3400,4773
42,0,2600,3800
43,2792,3400,7392
44,2015,3400,6605
45,0,3000,4200
46,4563,3800,9593
47,4098,3000,8298
48,717,3800,5727
49,2237,2600,6087
50,92,3000,4322
51,142,3400,4732
52,554,3400,5134
53,103,3400,4703
54,1451,3800,6421
55,957,3400,5557
56,1410,3400,6040
57,475,3400,5055
58,14913,5000,21103
59,0,3000,4210
60,6793,4600,12583
61,240,3400,4850
62,235,3000,4475
63,1759,3400,6369
64,460,3800,5460
65,3464,3800,8474
66,6242,3800,11202
67,154,3400,4774
68,1721,3800,6731
69,1997,3400,6587
70,3291,3800,8291
71,762,3000,4962
72,379,3400,4979
73,3793,3800,8783
74,29,3000,4199
75,7486,3000,11666
76,7744,3800,12724
77,6796,3400,11426
78,170,2600,3960
79,5651,3000,9861
80,4056,3400,8636
81,2989,3800,7989
82,1020,3400,5600
83,382,3000,4582
84,2913,3400,7523
85,387,3400,5007
86,12076,4600,17876
87,8253,3800,13233
88,207,4200,5657
89,13553,3400,18113
90,645,3400,5255
91,1076,3400,5666
92,1776,3800,6746
93,0,2600,3850
94,70,3000,4290
95,1097,3000,5347
96,1632,3400,6242
97,20883,5000,27053
98,1358,3400,5938
99,6052,5000,12262
100,633,3800,5633
101,709,3000,4889
102,5483,4600,11253
103,1107,3000,5307
104,132,3000,4342
105,4097,4200,9477
106,6680,3000,10880
107,757,3000,4967
108,13925,3800,18915
109,22360,4600,28150
110,1550,3400,6120
111,989,3400,5579
112,91,2600,3891
113,2721,3000,6901
114,1239,3400,5829
115,2846,2600,6696
116,5958,3000,10158
117,1543,3800,6533
118,11538,5400,18138
119,3143,3400,7763
120,1260,3400,5840
121,2393,3800,7403
122,1282,3800,6292
123,957,3400,5547
124,2657,3400,7227
125,947,3400,5557
126,4969,3400,9549
127,4529,3000,8729
128,11211,2600,15021
129,1896,2600,5656
130,317,3800,5307
131,4266,3800,9246
132,3690,3400,8330
133,307,3000,4497
134,3490,3400,8050
135,795,3400,5395
136,9311,3400,13921
137,1441,2600,5231
138,4473,3000,8653
139,5164,3400,9754
140,5913,3000,10133
141,2072,3800,7082
142,18609,3800,23569
143,6029,4200,11429
144,3259,3000,7469
145,87,2600,3897
146,4932,3400,9512
147,13043,3800,17983
148,50,2200,3500
149,52,3000,4282
150,1917,3000,6117
151,3910,3400,8540
152,1305,3400,5875
153,6760,3400,11330
154,748,2600,4598
155,18557,3000,22737
156,603,3000,4843
157,0,2600,3770
158,3010,3400,7650
159,0,2600,3810
160,17,2600,3817
161,2549,2600,6359
162,1829,3400,6419
163,1905,3000,6115
164,18513,4600,24263
165,3293,3800,8323
166,336,3000,4546
167,5113,3400,9703
168,8358,3400,12958
169,51,2600,3871
170,172,3400,4762
171,0,2600,3820
172,118,3000,4348
173,1345,3400,5945
174,274,3000,4484
175,2348,3400,6948
176,0,2600,3850
177,4088,3400,8668
178,2162,4200,7562
179,5342,3400,9952
180,8285,3400,12865
181,3043,2600,6853
182,1733,3400,6293
183,1767,3000,5977
184,2494,3400,7084
185,2021,2600,5801
186,303,2200,3713
187,2593,2600,6363
188,16664,2600,20444
189,59,2600,3879
190,1379,3800,6389
191,14061,4200,19441
192,15221,3800,20201
193,13220,5400,19790
194,14970,4600,20790
195,0,2600,3790
196,1348,3400,5918
197,1883,3800,6893
198,708,3000,4898
199,3444,3400,8054
200,237,2600,4027
201,19479,3000,23639
202,5600,3800,10570
203,784,3400,5374
204,1134,3400,5744
205,1132,3400,5742
206,7048,3800,12018
207,137,3000,4387
208,24,2600,3824
209,2607,2600,6367
210,448,2600,4238
211,1099,3000,5309
212,16574,3800,21524
213,3196,3400,7756
214,823,3000,5023
215,1282,3000,5452
216,214,3000,4434
217,4068,3800,9068
218,3443,3400,8043
219,322,2600,4102
220,0,3000,4200
221,4044,3400,8664
222,3868,3800,8838
223,9150,3400,13750
224,1933,3400,6503
225,6150,3400,10730
226,11857,3800,16807
227,670,3000,4910
228,5380,3400,9980
229,6805,3400,11415
230,888,3400,5488
231,5482,3000,9682
232,366,3000,4616
233,1587,3800,6597
234,2942,3400,7532
235,2225,3400,6795
236,241,3800,5271
237,8615,3400,13205
238,1078,3000,5268
239,10466,3400,15066
240,353,3000,4533
241,8449,4200,13819
242,14265,4200,19655
243,1229,3400,5849
244,288,3000,4518
245,17760,4200,23140
246,3382,3400,8002
247,3056,2600,6886
248,5869,3000,10059
249,8632,3000,12832
250,7717,3400,12297
251,207,2600,4047
252,16574,2600,20354
253,1669,3400,6259
254,1707,3400,6287
255,2924,3400,7524
256,592,3000,4792
257,9824,3400,14444
258,10123,3400,14733
259,4192,3800,9202
260,21254,3000,25424
261,4242,3800,9242
262,5391,3000,9561
263,15331,5000,21501
264,8396,3400,12986
265,12236,4200,17616
266,2240,3400,6820
267,1503,3000,5713
268,312,3000,4542
269,15488,4600,21288
270,1820,3400,6410
271,1369,2200,4779
272,2214,3000,6404
273,4893,3000,9083
274,241,2600,4041
275,2465,2600,6235
276,4497,3800,9497
277,594,2600,4414
278,3297,3400,7867
279,6953,3400,11533
280,2072,2600,5862
281,25435,3400,30025
282,6767,3000,10987
283,38,3000,4268
284,278,3400,4888
285,410,2600,4270
286,10280,4600,16100
287,2122,2600,5942
288,8971,3400,13551
289,12794,3000,16954
290,17666,2600,21446
291,2921,3000,7151
292,7598,3000,11788
293,357,2600,4117
294,491,3000,4671
295,2265,2600,6065
296,8523,3000,12703
297,7119,3000,11309
298,10821,4200,16181
