Sun Jan 22 18:57:59 JST 2023
WPSCE-2000_SEED(9)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,0,0,0,0,0,2600,3800,0.0,0.0,1.0,0.0,0.0,-3800.0,
1,0,0,0,0,0,0,0,2600,3810,0.0,0.0,1.0,0.0,0.0,-3810.0,
2,0,48,206,333,333,0,587,3000,4787,0.0,0.0,1.0,0.0,0.0,-4787.0,
3,0,43,38,458,458,0,539,3000,4749,0.0,0.0,1.0,0.0,0.0,-4749.0,
4,0,0,0,0,0,0,0,2600,3810,0.0,0.0,1.0,0.0,0.0,-3810.0,
5,0,0,38,89,89,0,127,2600,3927,0.0,0.0,1.0,0.0,0.0,-3927.0,
6,0,0,0,10,10,0,10,2600,3780,0.0,0.0,1.0,0.0,0.0,-3780.0,
7,0,0,410,472,472,0,882,3400,5482,0.0,0.0,1.0,0.0,0.0,-5482.0,
8,0,0,0,7,7,0,7,2600,3817,0.0,0.0,1.0,0.0,0.0,-3817.0,
9,0,0,22,0,22,0,22,2600,3812,0.0,0.0,1.0,0.0,0.0,-3812.0,
10,0,0,0,15,15,0,15,2600,3825,0.0,0.0,1.0,0.0,0.0,-3825.0,
11,0,0,0,70,70,0,70,2600,3890,0.0,0.0,1.0,0.0,0.0,-3890.0,
12,0,0,16,0,16,0,16,2600,3846,0.0,0.0,1.0,0.0,0.0,-3846.0,
13,0,0,63,287,287,0,350,2600,4120,0.0,0.0,1.0,0.0,0.0,-4120.0,
14,0,0,103,372,372,0,475,2600,4305,0.0,0.0,1.0,0.0,0.0,-4305.0,
15,0,0,0,224,224,0,224,3000,4414,0.0,0.0,1.0,0.0,0.0,-4414.0,
16,0,0,0,0,0,0,0,2200,3430,0.0,0.0,1.0,0.0,0.0,-3430.0,
17,0,0,134,165,165,0,299,2600,4089,0.0,0.0,1.0,0.0,0.0,-4089.0,
18,0,0,0,0,0,0,0,2200,3400,0.0,0.0,1.0,0.0,0.0,-3400.0,
19,0,0,70,236,236,0,306,2600,4116,0.0,0.0,1.0,0.0,0.0,-4116.0,
20,0,0,0,128,128,0,128,2600,3928,0.0,0.0,1.0,0.0,0.0,-3928.0,
21,0,0,118,101,118,0,219,2600,3989,0.0,0.0,1.0,0.0,0.0,-3989.0,
22,0,0,0,54,54,0,54,2200,3454,0.0,0.0,1.0,0.0,0.0,-3454.0,
23,0,0,133,31,133,0,164,2600,3964,0.0,0.0,1.0,0.0,0.0,-3964.0,
24,0,3,0,333,333,0,336,3000,4536,0.0,0.0,1.0,0.0,0.0,-4536.0,
25,0,269,443,364,443,0,1076,3400,5646,0.0,0.0,1.0,0.0,0.0,-5646.0,
26,0,0,78,76,78,0,154,2600,3924,0.0,0.0,1.0,0.0,0.0,-3924.0,
27,0,0,90,203,203,0,293,2600,4083,0.0,0.0,1.0,0.0,0.0,-4083.0,
28,0,0,90,100,100,0,190,2600,3950,0.0,0.0,1.0,0.0,0.0,-3950.0,
29,0,0,79,7,79,0,86,3000,4296,0.0,0.0,1.0,0.0,0.0,-4296.0,
30,0,0,120,313,313,0,433,2600,4253,0.0,0.0,1.0,0.0,0.0,-4253.0,
31,0,0,168,392,392,0,560,3000,4770,0.0,0.0,1.0,0.0,0.0,-4770.0,
32,0,0,0,62,62,0,62,2600,3852,0.0,0.0,1.0,0.0,0.0,-3852.0,
33,0,0,101,69,101,0,170,3000,4390,0.0,0.0,1.0,0.0,0.0,-4390.0,
34,0,0,0,0,0,0,0,2600,3830,0.0,0.0,1.0,0.0,0.0,-3830.0,
35,0,0,0,0,0,0,0,2600,3800,0.0,0.0,1.0,0.0,0.0,-3800.0,
36,0,0,175,158,175,0,333,2600,4133,0.0,0.0,1.0,0.0,0.0,-4133.0,
37,0,0,0,136,136,0,136,2600,3936,0.0,0.0,1.0,0.0,0.0,-3936.0,
38,0,0,248,471,471,0,719,3400,5309,0.0,0.0,1.0,0.0,0.0,-5309.0,
39,0,0,35,0,35,0,35,2600,3795,0.0,0.0,1.0,0.0,0.0,-3795.0,
40,0,0,77,302,302,0,379,2600,4159,0.0,0.0,1.0,0.0,0.0,-4159.0,
41,0,0,79,432,432,0,511,2600,4311,0.0,0.0,1.0,0.0,0.0,-4311.0,
