Fri Jan 20 13:47:28 JST 2023,,,,,,,,,,,,,,,
WPSCE-2000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,0,388,388,0,388,2600,4168,0,0,1,0,0,-4168
1,0,0,0,191,191,0,191,2600,3991,0,0,1,0,0,-3991
2,0,0,253,346,346,0,599,3000,4799,0,0,1,0,0,-4799
3,0,0,211,123,211,0,334,3000,4504,0,0,1,0,0,-4504
4,0,0,0,308,308,0,308,2600,4138,0,0,1,0,0,-4138
5,0,0,115,43,115,0,158,2600,3968,0,0,1,0,0,-3968
6,0,0,0,0,0,0,0,2600,3790,0,0,1,0,0,-3790
7,0,0,0,129,129,0,129,2600,3899,0,0,1,0,0,-3899
8,0,0,0,210,210,0,210,2600,4000,0,0,1,0,0,-4000
9,0,0,105,291,291,0,396,3000,4586,0,0,1,0,0,-4586
10,0,5,287,203,287,0,495,3000,4645,0,0,1,0,0,-4645
11,0,0,396,143,396,0,539,3000,4769,0,0,1,0,0,-4769
12,0,0,131,286,286,0,417,2600,4247,0,0,1,0,0,-4247
13,0,0,0,0,0,0,0,2600,3780,0,0,1,0,0,-3780
14,0,0,0,198,198,0,198,2600,3958,0,0,1,0,0,-3958
15,0,0,225,35,225,0,260,2600,4080,0,0,1,0,0,-4080
16,0,0,0,234,234,0,234,2600,4014,0,0,1,0,0,-4014
17,0,0,397,227,397,0,624,3000,4794,0,0,1,0,0,-4794
18,0,0,15,299,299,0,314,2600,4084,0,0,1,0,0,-4084
19,0,0,245,140,245,0,385,2600,4235,0,0,1,0,0,-4235
20,0,0,152,41,152,0,193,2600,4003,0,0,1,0,0,-4003
21,0,0,0,37,37,0,37,2600,3807,0,0,1,0,0,-3807
22,0,0,0,304,304,0,304,2600,4094,0,0,1,0,0,-4094
23,0,0,0,21,21,0,21,2600,3811,0,0,1,0,0,-3811
24,0,0,151,0,151,0,151,2600,3941,0,0,1,0,0,-3941
25,0,0,46,302,302,0,348,2600,4128,0,0,1,0,0,-4128
26,0,0,175,120,175,0,295,3000,4455,0,0,1,0,0,-4455
27,0,0,55,306,306,0,361,2600,4151,0,0,1,0,0,-4151
28,0,0,0,0,0,0,0,2600,3790,0,0,1,0,0,-3790
29,0,0,275,239,275,0,514,2600,4304,0,0,1,0,0,-4304
30,0,0,132,17,132,0,149,2600,3979,0,0,1,0,0,-3979
31,0,0,0,292,292,0,292,2600,4072,0,0,1,0,0,-4072
32,0,0,0,319,319,0,319,2600,4119,0,0,1,0,0,-4119
33,0,0,317,241,317,0,558,2600,4358,0,0,1,0,0,-4358
34,0,0,302,282,302,0,584,2600,4384,0,0,1,0,0,-4384
35,0,0,332,199,332,0,531,3000,4761,0,0,1,0,0,-4761
36,0,0,0,10,10,0,10,2600,3800,0,0,1,0,0,-3800
37,0,0,152,254,254,0,406,2600,4206,0,0,1,0,0,-4206
38,0,0,0,0,0,0,0,2600,3800,0,0,1,0,0,-3800
39,0,0,0,313,313,0,313,2600,4123,0,0,1,0,0,-4123
40,0,0,0,36,36,0,36,2600,3856,0,0,1,0,0,-3856
41,0,0,295,188,295,0,483,2600,4283,0,0,1,0,0,-4283
42,0,0,293,286,293,0,579,2600,4379,0,0,1,0,0,-4379
43,0,0,0,52,52,0,52,2600,3852,0,0,1,0,0,-3852
44,0,0,0,0,0,0,0,2600,3790,0,0,1,0,0,-3790
45,0,0,91,80,91,0,171,2600,3971,0,0,1,0,0,-3971
46,0,0,169,219,219,0,388,2600,4218,0,0,1,0,0,-4218
47,0,145,0,269,269,0,414,2600,4214,0,0,1,0,0,-4214
48,0,0,284,201,284,0,485,2600,4295,0,0,1,0,0,-4295
49,0,0,0,0,0,0,0,2200,3450,0,0,1,0,0,-3450
50,0,0,0,88,88,0,88,2600,3918,0,0,1,0,0,-3918
51,109,0,398,400,400,0,907,4200,6297,0,0,1,0,0,-6297
52,0,0,6,53,53,0,59,2600,3839,0,0,1,0,0,-3839
53,0,0,298,376,376,0,674,2600,4474,0,0,1,0,0,-4474
54,0,0,280,253,280,0,533,2600,4303,0,0,1,0,0,-4303
55,0,0,146,151,151,0,297,3000,4497,0,0,1,0,0,-4497
