Fri Jan 20 05:16:21 JST 2023,,,,,,,,,,,,,,,
WPSCE-2000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,0,40,40,0,40,3000,4220,0,0,1,0,0,-4220
1,0,0,50,50,50,0,100,3000,4300,0,0,1,0,0,-4300
2,0,0,0,15,15,0,15,3000,4215,0,0,1,0,0,-4215
3,0,0,471,23,471,0,494,4200,5864,0,0,1,0,0,-5864
4,0,0,0,15,15,0,15,3000,4245,0,0,1,0,0,-4245
5,0,0,0,85,85,0,85,2600,3895,0,0,1,0,0,-3895
6,0,0,0,0,0,0,0,3000,4190,0,0,1,0,0,-4190
7,0,0,0,27,27,0,27,2600,3797,0,0,1,0,0,-3797
8,0,0,0,129,129,0,129,2600,3919,0,0,1,0,0,-3919
9,0,0,580,238,580,0,818,5800,7808,0,0,1,0,0,-7808
10,0,0,0,0,0,0,0,3400,4550,0,0,1,0,0,-4550
11,0,7,0,458,458,0,465,3400,5095,0,0,1,0,0,-5095
12,0,0,0,158,158,0,158,3000,4388,0,0,1,0,0,-4388
13,0,0,157,131,157,0,288,3400,4868,0,0,1,0,0,-4868
14,0,0,50,0,50,0,50,3000,4210,0,0,1,0,0,-4210
15,0,0,0,506,506,0,506,3000,4726,0,0,1,0,0,-4726
16,0,0,0,18,18,0,18,3000,4198,0,0,1,0,0,-4198
17,0,0,14,0,14,0,14,3000,4184,0,0,1,0,0,-4184
18,0,0,489,316,489,0,805,3800,5775,0,0,1,0,0,-5775
19,0,365,731,801,801,0,1897,4200,7347,0,0,1,0,0,-7347
20,0,0,0,137,137,0,137,2600,3947,0,0,1,0,0,-3947
21,0,0,0,0,0,0,0,2600,3770,0,0,1,0,0,-3770
22,0,0,0,170,170,0,170,2600,3960,0,0,1,0,0,-3960
23,0,289,663,881,881,0,1833,5000,8023,0,0,1,0,0,-8023
24,0,0,293,305,305,0,598,3400,5188,0,0,1,0,0,-5188
25,0,0,0,501,501,0,501,3000,4681,0,0,1,0,0,-4681
26,0,0,267,166,267,0,433,5000,6593,0,0,1,0,0,-6593
27,0,0,71,459,459,0,530,3800,5520,0,0,1,0,0,-5520
28,0,0,0,0,0,0,0,3400,4590,0,0,1,0,0,-4590
29,0,0,0,515,515,0,515,3000,4705,0,0,1,0,0,-4705
30,0,0,406,247,406,0,653,5000,6883,0,0,1,0,0,-6883
31,0,0,0,189,189,0,189,2600,3969,0,0,1,0,0,-3969
32,0,0,0,173,173,0,173,3000,4373,0,0,1,0,0,-4373
33,0,0,0,611,611,0,611,3400,5211,0,0,1,0,0,-5211
34,0,0,0,0,0,0,0,3000,4200,0,0,1,0,0,-4200
35,0,0,18,95,95,0,113,3400,4743,0,0,1,0,0,-4743
36,0,0,27,0,27,0,27,3000,4217,0,0,1,0,0,-4217
37,0,0,0,427,427,0,427,3000,4627,0,0,1,0,0,-4627
38,0,0,0,193,193,0,193,3800,5193,0,0,1,0,0,-5193
39,0,0,575,1376,1376,0,1951,5000,8161,0,0,1,0,0,-8161
40,0,0,558,206,558,0,764,3400,5384,0,0,1,0,0,-5384
41,0,0,0,78,78,0,78,2600,3878,0,0,1,0,0,-3878
42,0,0,0,646,646,0,646,3400,5246,0,0,1,0,0,-5246
43,0,0,0,91,91,0,91,2600,3891,0,0,1,0,0,-3891
