Sun Jan 22 19:08:04 JST 2023
WPSCE-3000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,27,19,27,0,46,2600,3826,0.0,0.0,1.0,0.0,0.0,-3826.0,
1,0,743,444,1433,1433,0,2620,4600,8420,0.0,0.0,1.0,0.0,0.0,-8420.0,
2,0,0,0,445,445,0,445,3000,4645,0.0,0.0,1.0,0.0,0.0,-4645.0,
3,0,0,1043,469,1043,0,1512,3400,6082,0.0,0.0,1.0,0.0,0.0,-6082.0,
4,0,0,97,608,608,0,705,2600,4535,0.0,0.0,1.0,0.0,0.0,-4535.0,
5,0,0,851,464,851,0,1315,3000,5525,0.0,0.0,1.0,0.0,0.0,-5525.0,
6,0,0,261,0,261,0,261,2600,4051,0.0,0.0,1.0,0.0,0.0,-4051.0,
7,0,0,22,16,22,0,38,2600,3808,0.0,0.0,1.0,0.0,0.0,-3808.0,
8,0,0,135,117,135,0,252,2600,4042,0.0,0.0,1.0,0.0,0.0,-4042.0,
9,0,0,0,667,667,0,667,3000,4857,0.0,0.0,1.0,0.0,0.0,-4857.0,
10,0,0,649,426,649,0,1075,3000,5225,0.0,0.0,1.0,0.0,0.0,-5225.0,
11,0,443,1254,1554,1554,0,3251,3400,7881,0.0,0.0,1.0,0.0,0.0,-7881.0,
12,0,0,206,2330,2330,0,2536,3800,7566,0.0,0.0,1.0,0.0,0.0,-7566.0,
13,0,0,22,1204,1204,0,1226,3400,5806,0.0,0.0,1.0,0.0,0.0,-5806.0,
14,0,0,0,274,274,0,274,2600,4034,0.0,0.0,1.0,0.0,0.0,-4034.0,
15,0,0,0,338,338,0,338,2600,4158,0.0,0.0,1.0,0.0,0.0,-4158.0,
16,0,0,483,1535,1535,0,2018,3400,6598,0.0,0.0,1.0,0.0,0.0,-6598.0,
17,0,486,543,451,543,0,1480,3800,6450,0.0,0.0,1.0,0.0,0.0,-6450.0,
18,0,0,0,1120,1120,0,1120,3400,5690,0.0,0.0,1.0,0.0,0.0,-5690.0,
19,0,0,310,642,642,0,952,2600,4802,0.0,0.0,1.0,0.0,0.0,-4802.0,
20,0,0,269,549,549,0,818,2600,4628,0.0,0.0,1.0,0.0,0.0,-4628.0,
21,0,0,0,463,463,0,463,2600,4233,0.0,0.0,1.0,0.0,0.0,-4233.0,
22,0,0,453,1791,1791,0,2244,3800,7234,0.0,0.0,1.0,0.0,0.0,-7234.0,
23,0,0,0,334,334,0,334,3400,4924,0.0,0.0,1.0,0.0,0.0,-4924.0,
24,0,0,2467,1370,2467,0,3837,4600,9627,0.0,0.0,1.0,0.0,0.0,-9627.0,
