Fri Jan 20 05:07:30 JST 2023,,,,,,,,,,,,,,,
WPSCE-3000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,146,365,365,0,511,2600,4291,0,0,1,0,0,-4291
1,0,0,162,204,204,0,366,2600,4166,0,0,1,0,0,-4166
2,0,100,349,321,349,0,770,3000,4970,0,0,1,0,0,-4970
3,0,0,600,389,600,0,989,3000,5159,0,0,1,0,0,-5159
4,0,0,225,374,374,0,599,2600,4429,0,0,1,0,0,-4429
5,0,0,547,150,547,0,697,2600,4507,0,0,1,0,0,-4507
6,0,0,92,330,330,0,422,2600,4212,0,0,1,0,0,-4212
7,0,0,188,212,212,0,400,2600,4170,0,0,1,0,0,-4170
8,0,0,223,250,250,0,473,2600,4263,0,0,1,0,0,-4263
9,0,101,315,475,475,0,891,3000,5081,0,0,1,0,0,-5081
10,0,335,783,407,783,0,1525,3000,5675,0,0,1,0,0,-5675
11,18,172,588,1804,1804,18,2582,4200,8012,0,0,1,0,0,-8012
12,0,0,580,962,962,0,1542,2600,5372,0,0,1,0,0,-5372
13,0,0,81,235,235,0,316,2600,4096,0,0,1,0,0,-4096
14,0,0,0,0,0,0,0,2600,3760,0,0,1,0,0,-3760
15,0,0,574,821,821,0,1395,2600,5215,0,0,1,0,0,-5215
16,0,0,99,690,690,0,789,3000,4969,0,0,1,0,0,-4969
17,0,0,85,190,190,0,275,3000,4445,0,0,1,0,0,-4445
18,0,0,165,200,200,0,365,2600,4135,0,0,1,0,0,-4135
19,0,0,656,487,656,0,1143,2600,4993,0,0,1,0,0,-4993
20,0,0,583,278,583,0,861,2600,4671,0,0,1,0,0,-4671
21,0,0,0,168,168,0,168,2600,3938,0,0,1,0,0,-3938
22,0,0,0,197,197,0,197,2600,3987,0,0,1,0,0,-3987
23,0,0,0,201,201,0,201,2600,3991,0,0,1,0,0,-3991
24,0,0,571,797,797,0,1368,2600,5158,0,0,1,0,0,-5158
25,0,0,244,241,244,0,485,2600,4265,0,0,1,0,0,-4265
26,0,154,409,1096,1096,0,1659,3000,5819,0,0,1,0,0,-5819
27,0,0,233,245,245,0,478,2600,4268,0,0,1,0,0,-4268
28,0,0,0,167,167,0,167,2600,3957,0,0,1,0,0,-3957
29,0,0,572,976,976,0,1548,2600,5338,0,0,1,0,0,-5338
30,0,0,311,142,311,0,453,2600,4283,0,0,1,0,0,-4283
31,0,0,0,0,0,0,0,2600,3780,0,0,1,0,0,-3780
32,0,0,240,511,511,0,751,2600,4551,0,0,1,0,0,-4551
33,0,114,67,338,338,0,519,3000,4719,0,0,1,0,0,-4719
34,0,0,660,905,905,0,1565,2600,5365,0,0,1,0,0,-5365
35,0,0,338,730,730,0,1068,3000,5298,0,0,1,0,0,-5298
36,0,0,276,142,276,0,418,2600,4208,0,0,1,0,0,-4208
37,0,0,354,181,354,0,535,2600,4335,0,0,1,0,0,-4335
38,0,0,86,385,385,0,471,2600,4271,0,0,1,0,0,-4271
39,0,28,1046,1626,1626,0,2700,3800,7710,0,0,1,0,0,-7710
40,0,530,578,348,578,0,1456,3000,5676,0,0,1,0,0,-5676
41,0,0,745,449,745,0,1194,2600,4994,0,0,1,0,0,-4994
42,0,0,642,440,642,0,1082,2600,4882,0,0,1,0,0,-4882
43,0,0,0,398,398,0,398,2600,4198,0,0,1,0,0,-4198
44,0,0,95,277,277,0,372,3000,4562,0,0,1,0,0,-4562
45,0,0,266,411,411,0,677,2600,4477,0,0,1,0,0,-4477
46,0,0,267,402,402,0,669,2600,4499,0,0,1,0,0,-4499
47,0,156,10,126,156,0,292,2600,4092,0,0,1,0,0,-4092
48,0,0,789,407,789,0,1196,2600,5006,0,0,1,0,0,-5006
49,0,0,21,112,112,0,133,2200,3583,0,0,1,0,0,-3583
50,0,0,68,437,437,0,505,2600,4335,0,0,1,0,0,-4335
51,83,51,1679,2210,2210,51,4023,3400,8613,0,0,1,0,0,-8613
52,0,0,256,308,308,0,564,2600,4344,0,0,1,0,0,-4344
53,0,0,791,524,791,0,1315,2600,5115,0,0,1,0,0,-5115
54,0,0,267,272,272,0,539,2600,4309,0,0,1,0,0,-4309
55,0,0,397,257,397,0,654,2600,4454,0,0,1,0,0,-4454
56,0,0,453,341,453,0,794,2600,4624,0,0,1,0,0,-4624
57,0,0,246,175,246,0,421,2600,4201,0,0,1,0,0,-4201
58,0,0,0,84,84,0,84,2600,3874,0,0,1,0,0,-3874
59,0,0,765,534,765,0,1299,2600,5109,0,0,1,0,0,-5109
60,0,98,395,121,395,0,614,2600,4404,0,0,1,0,0,-4404
61,0,730,1684,740,1684,0,3154,3000,7364,0,0,1,0,0,-7364
62,0,0,101,399,399,0,500,2600,4340,0,0,1,0,0,-4340
63,0,162,0,122,162,0,284,2600,4094,0,0,1,0,0,-4094
64,0,0,331,408,408,0,739,2600,4539,0,0,1,0,0,-4539
65,0,0,558,468,558,0,1026,2600,4836,0,0,1,0,0,-4836
66,0,0,246,287,287,0,533,2600,4293,0,0,1,0,0,-4293
67,0,157,647,645,647,0,1449,2600,5269,0,0,1,0,0,-5269
68,0,142,764,1268,1268,0,2174,3000,6384,0,0,1,0,0,-6384
69,0,0,205,112,205,0,317,2600,4107,0,0,1,0,0,-4107
70,0,0,48,115,115,0,163,2600,3963,0,0,1,0,0,-3963
71,0,0,0,191,191,0,191,2600,3991,0,0,1,0,0,-3991
72,0,162,296,412,412,0,870,2600,4670,0,0,1,0,0,-4670
73,0,82,35,288,288,0,405,2600,4195,0,0,1,0,0,-4195
74,0,0,354,681,681,0,1035,2600,4805,0,0,1,0,0,-4805
75,0,0,58,180,180,0,238,2600,4018,0,0,1,0,0,-4018
76,1158,512,1257,1299,1299,512,4226,5000,10406,0,0,1,0,0,-10406
77,0,0,109,1969,1969,0,2078,3400,6708,0,0,1,0,0,-6708
78,0,0,227,367,367,0,594,2600,4384,0,0,1,0,0,-4384
79,0,100,0,894,894,0,994,3000,5204,0,0,1,0,0,-5204
80,0,0,559,837,837,0,1396,3000,5576,0,0,1,0,0,-5576
81,0,133,431,3172,3172,0,3736,4600,9536,0,0,1,0,0,-9536
82,0,45,324,412,412,0,781,3000,4961,0,0,1,0,0,-4961
83,0,136,140,281,281,0,557,2600,4357,0,0,1,0,0,-4357
84,0,41,350,390,390,0,781,2600,4591,0,0,1,0,0,-4591
85,0,56,899,700,899,0,1655,3000,5875,0,0,1,0,0,-5875
86,0,0,557,1149,1149,0,1706,3000,5906,0,0,1,0,0,-5906
87,0,61,329,327,329,0,717,2600,4497,0,0,1,0,0,-4497
88,0,171,163,362,362,0,696,2600,4546,0,0,1,0,0,-4546
89,0,39,262,275,275,0,576,2600,4336,0,0,1,0,0,-4336
90,0,202,256,347,347,0,805,2600,4615,0,0,1,0,0,-4615
91,0,46,584,325,584,0,955,2600,4745,0,0,1,0,0,-4745
92,0,120,294,546,546,0,960,2600,4730,0,0,1,0,0,-4730
93,0,207,574,2322,2322,0,3103,3400,7753,0,0,1,0,0,-7753
94,0,209,172,1034,1034,0,1415,2600,5235,0,0,1,0,0,-5235
95,0,27,166,380,380,0,573,2200,4023,0,0,1,0,0,-4023
96,0,0,77,106,106,0,183,2600,3993,0,0,1,0,0,-3993
97,0,0,630,380,630,0,1010,2600,4780,0,0,1,0,0,-4780
98,0,143,0,394,394,0,537,2600,4317,0,0,1,0,0,-4317
99,0,4,725,1730,1730,0,2459,3000,6669,0,0,1,0,0,-6669
100,0,333,1680,2088,2088,0,4101,3000,8301,0,0,1,0,0,-8301
101,0,0,113,128,128,0,241,2600,4021,0,0,1,0,0,-4021
102,0,286,500,1107,1107,0,1893,2600,5663,0,0,1,0,0,-5663
103,0,0,180,552,552,0,732,2600,4532,0,0,1,0,0,-4532
104,193,0,413,316,413,0,922,3000,5132,0,0,1,0,0,-5132
105,0,1,490,436,490,0,927,2600,4707,0,0,1,0,0,-4707
106,0,1,110,200,200,0,311,2600,4111,0,0,1,0,0,-4111
107,0,66,631,570,631,0,1267,2600,5077,0,0,1,0,0,-5077
108,0,0,56,1817,1817,0,1873,3000,6063,0,0,1,0,0,-6063
109,0,262,849,810,849,0,1921,3000,6111,0,0,1,0,0,-6111
110,32,275,427,1129,1129,32,1863,3800,6833,0,0,1,0,0,-6833
111,0,89,1244,1427,1427,0,2760,3000,6950,0,0,1,0,0,-6950
112,0,0,0,1030,1030,0,1030,3000,5230,0,0,1,0,0,-5230
113,0,0,573,418,573,0,991,2600,4771,0,0,1,0,0,-4771
114,0,366,491,393,491,0,1250,3000,5440,0,0,1,0,0,-5440
115,0,17,78,123,123,0,218,2200,3668,0,0,1,0,0,-3668
116,0,0,94,311,311,0,405,2600,4205,0,0,1,0,0,-4205
117,0,317,780,1714,1714,0,2811,2600,6601,0,0,1,0,0,-6601
118,0,323,224,391,391,0,938,2600,4738,0,0,1,0,0,-4738
119,195,578,1161,1425,1425,195,3359,3400,7979,0,0,1,0,0,-7979
120,0,75,603,314,603,0,992,2600,4772,0,0,1,0,0,-4772
121,0,376,583,692,692,0,1651,3000,5861,0,0,1,0,0,-5861
122,0,0,599,450,599,0,1049,2600,4859,0,0,1,0,0,-4859
123,0,174,0,900,900,0,1074,3400,5664,0,0,1,0,0,-5664
124,0,364,587,3598,3598,0,4549,5000,10719,0,0,1,0,0,-10719
125,17,463,191,2338,2338,17,3009,3400,7619,0,0,1,0,0,-7619
126,0,374,603,437,603,0,1414,3000,5594,0,0,1,0,0,-5594
127,45,0,245,370,370,0,660,2600,4460,0,0,1,0,0,-4460
