Fri Jan 20 15:04:29 JST 2023,,,,,,,,,,,,,,,
WPSCE-3000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,242,297,297,0,539,2600,4319,0,0,1,0,0,-4319
1,0,0,110,186,186,0,296,2600,4096,0,0,1,0,0,-4096
2,0,143,407,488,488,0,1038,3000,5238,0,0,1,0,0,-5238
3,0,0,0,215,215,0,215,3000,4385,0,0,1,0,0,-4385
4,0,42,697,1297,1297,0,2036,3000,6266,0,0,1,0,0,-6266
5,0,26,88,471,471,0,585,3400,5195,0,0,1,0,0,-5195
6,0,0,0,0,0,0,0,2600,3790,0,0,1,0,0,-3790
7,0,0,263,120,263,0,383,2600,4153,0,0,1,0,0,-4153
8,0,0,301,187,301,0,488,2600,4278,0,0,1,0,0,-4278
9,0,241,604,1654,1654,0,2499,3800,7489,0,0,1,0,0,-7489
10,0,619,1361,387,1361,0,2367,3400,6917,0,0,1,0,0,-6917
11,0,56,692,1368,1368,0,2116,3000,6346,0,0,1,0,0,-6346
12,0,0,369,833,833,0,1202,2600,5032,0,0,1,0,0,-5032
13,0,0,225,141,225,0,366,2600,4146,0,0,1,0,0,-4146
14,0,0,83,46,83,0,129,2600,3889,0,0,1,0,0,-3889
15,0,0,381,904,904,0,1285,2600,5105,0,0,1,0,0,-5105
16,0,0,268,689,689,0,957,2600,4737,0,0,1,0,0,-4737
17,0,0,273,354,354,0,627,2600,4397,0,0,1,0,0,-4397
18,0,0,110,192,192,0,302,2600,4072,0,0,1,0,0,-4072
19,0,0,439,132,439,0,571,2600,4421,0,0,1,0,0,-4421
20,0,0,380,173,380,0,553,2600,4363,0,0,1,0,0,-4363
21,0,87,229,531,531,0,847,3000,5017,0,0,1,0,0,-5017
22,0,0,202,363,363,0,565,3000,4755,0,0,1,0,0,-4755
23,0,31,91,218,218,0,340,2600,4130,0,0,1,0,0,-4130
24,0,0,365,810,810,0,1175,2600,4965,0,0,1,0,0,-4965
25,0,0,353,701,701,0,1054,2600,4834,0,0,1,0,0,-4834
26,0,126,262,2443,2443,0,2831,4200,8191,0,0,1,0,0,-8191
27,41,1123,2691,645,2691,41,4500,5000,10690,0,0,1,0,0,-10690
28,0,0,3,213,213,0,216,3000,4406,0,0,1,0,0,-4406
29,0,0,5,381,381,0,386,2600,4176,0,0,1,0,0,-4176
30,0,0,659,693,693,0,1352,3400,5982,0,0,1,0,0,-5982
31,0,0,101,136,136,0,237,2600,4017,0,0,1,0,0,-4017
32,0,42,82,279,279,0,403,3000,4603,0,0,1,0,0,-4603
33,0,105,1922,2760,2760,0,4787,4200,10187,0,0,1,0,0,-10187
34,0,0,569,469,569,0,1038,2600,4838,0,0,1,0,0,-4838
35,0,0,292,805,805,0,1097,2600,4927,0,0,1,0,0,-4927
36,0,0,277,233,277,0,510,2600,4300,0,0,1,0,0,-4300
37,0,0,667,212,667,0,879,3000,5079,0,0,1,0,0,-5079
