Fri Jan 20 14:41:50 JST 2023
WPSCE-3000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,101,77,101,0,178,2600,3958,0.0,0.0,1.0,0.0,0.0,-3958.0,
1,0,0,99,143,143,0,242,2600,4042,0.0,0.0,1.0,0.0,0.0,-4042.0,
2,0,0,100,232,232,0,332,2600,4132,0.0,0.0,1.0,0.0,0.0,-4132.0,
3,0,0,507,535,535,0,1042,3000,5212,0.0,0.0,1.0,0.0,0.0,-5212.0,
4,0,0,118,884,884,0,1002,2600,4832,0.0,0.0,1.0,0.0,0.0,-4832.0,
5,0,0,335,151,335,0,486,2600,4296,0.0,0.0,1.0,0.0,0.0,-4296.0,
6,0,0,0,0,0,0,0,2600,3790,0.0,0.0,1.0,0.0,0.0,-3790.0,
7,0,0,99,145,145,0,244,2600,4014,0.0,0.0,1.0,0.0,0.0,-4014.0,
8,0,0,101,15,101,0,116,2600,3906,0.0,0.0,1.0,0.0,0.0,-3906.0,
9,0,0,0,270,270,0,270,2600,4060,0.0,0.0,1.0,0.0,0.0,-4060.0,
10,0,0,353,323,353,0,676,2600,4426,0.0,0.0,1.0,0.0,0.0,-4426.0,
11,0,0,154,791,791,0,945,2600,4775,0.0,0.0,1.0,0.0,0.0,-4775.0,
12,0,0,374,1728,1728,0,2102,2600,5932,0.0,0.0,1.0,0.0,0.0,-5932.0,
13,0,0,58,0,58,0,58,2600,3838,0.0,0.0,1.0,0.0,0.0,-3838.0,
14,0,0,137,242,242,0,379,2600,4139,0.0,0.0,1.0,0.0,0.0,-4139.0,
15,0,0,548,872,872,0,1420,2600,5240,0.0,0.0,1.0,0.0,0.0,-5240.0,
16,0,0,107,799,799,0,906,2600,4686,0.0,0.0,1.0,0.0,0.0,-4686.0,
17,0,0,798,428,798,0,1226,3000,5396,0.0,0.0,1.0,0.0,0.0,-5396.0,
18,0,0,106,205,205,0,311,2600,4081,0.0,0.0,1.0,0.0,0.0,-4081.0,
19,0,0,550,520,550,0,1070,2600,4920,0.0,0.0,1.0,0.0,0.0,-4920.0,
20,0,0,393,429,429,0,822,2600,4632,0.0,0.0,1.0,0.0,0.0,-4632.0,
21,0,14,161,104,161,0,279,2600,4049,0.0,0.0,1.0,0.0,0.0,-4049.0,
22,0,0,297,330,330,0,627,2600,4417,0.0,0.0,1.0,0.0,0.0,-4417.0,
23,0,0,143,100,143,0,243,2600,4033,0.0,0.0,1.0,0.0,0.0,-4033.0,
24,0,0,145,797,797,0,942,2600,4732,0.0,0.0,1.0,0.0,0.0,-4732.0,
25,0,0,138,276,276,0,414,2600,4194,0.0,0.0,1.0,0.0,0.0,-4194.0,
26,0,0,65,488,488,0,553,3400,5113,0.0,0.0,1.0,0.0,0.0,-5113.0,
27,0,0,133,273,273,0,406,2600,4196,0.0,0.0,1.0,0.0,0.0,-4196.0,
28,0,0,156,79,156,0,235,2600,4025,0.0,0.0,1.0,0.0,0.0,-4025.0,
29,0,0,388,808,808,0,1196,2600,4986,0.0,0.0,1.0,0.0,0.0,-4986.0,
30,0,0,166,106,166,0,272,2600,4102,0.0,0.0,1.0,0.0,0.0,-4102.0,
31,0,0,185,287,287,0,472,2600,4252,0.0,0.0,1.0,0.0,0.0,-4252.0,
32,0,0,205,1245,1245,0,1450,2600,5250,0.0,0.0,1.0,0.0,0.0,-5250.0,
