Fri Jan 20 04:50:48 JST 2023,,,,,,,,,,,,,,,,,
WPSCE-3000_SEED(0),,,,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,,
0,0,0,0,607,607,0,607,2600,4387,0.454321562,0.149501636,0,0,0.396176802,-423.998123,,
1,0,0,221,474,474,0,695,2600,4495,0.371615414,0.403419526,0,0,0.224965059,-1200.530043,,
2,0,0,417,622,622,0,1039,3000,5239,0.171255076,0.437860458,0,0,0.390884466,-1248.385259,,
3,0,292,467,996,996,0,1755,3800,6725,0.699761335,0.204411498,0,0,0.095827167,-1909.400976,,
4,0,0,82,582,582,0,664,2600,4494,0.204585325,0.03242923,0,0,0.762985445,223.8968756,,
5,0,0,71,338,338,0,409,2600,4219,0.569313056,0.061678302,0,0,0.369008642,-268.4877043,,
6,0,0,0,912,912,0,912,3000,5102,0.188626273,0.356461174,0,0,0.454912554,-826.5304325,,
7,0,0,62,439,439,0,501,2600,4271,0.247750598,0.379452566,0,0,0.372796836,-947.0419113,,
8,0,0,79,436,436,0,515,2600,4305,0.374411101,0.384303175,0,0,0.241285724,-1086.809397,,
9,0,0,390,523,523,0,913,3000,5103,0.805612293,0.11998152,0,0,0.074406187,-1056.554149,,
10,0,106,635,498,635,0,1239,3000,5389,0.405045339,0.298993518,0,0,0.295961143,-1210.896404,,
11,18,0,556,1035,1035,0,1609,3000,5839,0.234532297,0.75812225,0,0,0.007345453,-2644.126672,,
12,0,0,74,618,618,0,692,2600,4522,0.094239392,0.459240345,0,0,0.446520263,-983.2890339,,
13,0,0,57,442,442,0,499,2600,4279,0.318675666,0.360279309,0,0,0.321045025,-953.8434591,,
14,0,0,18,380,380,0,398,2600,4158,0.607033125,0.177366939,0,0,0.215599936,-620.8252495,,
15,0,0,89,477,477,0,566,2600,4386,0.54899621,0.006215088,0,0,0.444788701,-114.7268746,,
16,0,0,14,511,511,0,525,2600,4305,0.45498861,0.420406082,0,0,0.124605308,-1268.251522,,
17,0,0,71,447,447,0,518,3000,4688,0.449365656,0.54246503,0,0,0.008169315,-1856.514815,,
18,0,0,0,936,936,0,936,3000,5106,0.193803552,0.419751887,0,0,0.386444561,-1078.943675,,
19,0,0,174,343,343,0,517,2600,4367,0.48536203,0.431441819,0,0,0.083196151,-1344.144619,,
20,0,0,79,167,167,0,246,2600,4056,0.407015081,0.306421916,0,0,0.286563003,-848.9666704,,
21,0,0,35,410,410,0,445,2600,4215,0.470982272,0.25846018,0,0,0.270557548,-770.6549857,,
22,0,0,253,493,493,0,746,2600,4536,0.3634303,0.213855671,0,0,0.422714029,-618.7457315,,
