Tue Jan 24 02:54:29 JST 2023,,,,,,,,,,,,,,,
WPSCE-4000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,319,943,943,0,1262,3000,5442,0,0,1,0,0,-5442
1,0,0,796,457,796,0,1253,2600,5053,0,0,1,0,0,-5053
2,0,251,512,986,986,0,1749,3000,5949,0,0,1,0,0,-5949
3,0,181,2113,779,2113,0,3073,3400,7643,0,0,1,0,0,-7643
4,0,251,1426,3207,3207,0,4884,3400,9514,0,0,1,0,0,-9514
5,0,750,2233,1336,2233,0,4319,3400,8929,0,0,1,0,0,-8929
6,0,0,1132,1006,1132,0,2138,2600,5928,0,0,1,0,0,-5928
7,0,901,1088,916,1088,0,2905,3000,7075,0,0,1,0,0,-7075
8,0,239,1259,1007,1259,0,2505,3000,6695,0,0,1,0,0,-6695
9,0,82,628,2601,2601,0,3311,3400,7901,0,0,1,0,0,-7901
10,0,672,1069,1140,1140,0,2881,3000,7031,0,0,1,0,0,-7031
11,0,0,784,2455,2455,0,3239,3000,7469,0,0,1,0,0,-7469
12,0,0,795,3886,3886,0,4681,3000,8911,0,0,1,0,0,-8911
13,0,718,2462,1253,2462,0,4433,3000,8613,0,0,1,0,0,-8613
14,0,0,106,224,224,0,330,2600,4090,0,0,1,0,0,-4090
15,0,0,1385,680,1385,0,2065,2600,5885,0,0,1,0,0,-5885
16,0,0,573,2431,2431,0,3004,3000,7184,0,0,1,0,0,-7184
17,0,221,1336,501,1336,0,2058,3000,6228,0,0,1,0,0,-6228
18,0,224,2228,942,2228,0,3394,3400,7964,0,0,1,0,0,-7964
19,0,1819,5271,10315,10315,0,17405,3400,22055,0,0,1,0,0,-22055
20,0,929,479,3257,3257,0,4665,3400,9275,0,0,1,0,0,-9275
21,0,0,602,953,953,0,1555,3000,5725,0,0,1,0,0,-5725
22,22,260,410,1129,1129,22,1821,3400,6411,0,0,1,0,0,-6411
23,0,0,389,542,542,0,931,2600,4721,0,0,1,0,0,-4721
24,0,0,408,417,417,0,825,2600,4615,0,0,1,0,0,-4615
25,511,1846,2940,897,2940,511,6194,4200,11574,0,0,1,0,0,-11574
26,0,0,761,641,761,0,1402,3400,5962,0,0,1,0,0,-5962
27,0,731,3101,854,3101,0,4686,3800,9676,0,0,1,0,0,-9676
28,0,0,28,192,192,0,220,3000,4410,0,0,1,0,0,-4410
29,0,0,1335,2520,2520,0,3855,2600,7645,0,0,1,0,0,-7645
30,41,31,1995,1408,1995,31,3475,3400,8105,0,0,1,0,0,-8105
31,0,101,2015,1259,2015,0,3375,3400,7955,0,0,1,0,0,-7955
32,0,0,743,2407,2407,0,3150,3000,7350,0,0,1,0,0,-7350
33,0,144,343,2524,2524,0,3011,3400,7611,0,0,1,0,0,-7611
34,0,925,674,2662,2662,0,4261,3000,8461,0,0,1,0,0,-8461
35,0,0,939,2588,2588,0,3527,3000,7757,0,0,1,0,0,-7757
36,0,967,879,1273,1273,0,3119,5400,9709,0,0,1,0,0,-9709
37,48,39,2059,677,2059,39,2823,3400,7423,0,0,1,0,0,-7423
38,0,0,1939,4047,4047,0,5986,4200,11386,0,0,1,0,0,-11386
39,0,33,529,2593,2593,0,3155,3400,7765,0,0,1,0,0,-7765
40,0,0,1575,527,1575,0,2102,2600,5922,0,0,1,0,0,-5922
41,0,0,1416,748,1416,0,2164,2600,5964,0,0,1,0,0,-5964
42,0,0,151,576,576,0,727,3000,4927,0,0,1,0,0,-4927
43,0,0,498,909,909,0,1407,3400,6007,0,0,1,0,0,-6007
44,0,0,745,974,974,0,1719,3000,5909,0,0,1,0,0,-5909
45,0,0,289,558,558,0,847,2600,4647,0,0,1,0,0,-4647
46,0,0,950,1469,1469,0,2419,2600,6249,0,0,1,0,0,-6249
47,0,0,389,557,557,0,946,3400,5546,0,0,1,0,0,-5546
48,0,0,1573,785,1573,0,2358,2600,6168,0,0,1,0,0,-6168
49,0,0,67,180,180,0,247,2200,3697,0,0,1,0,0,-3697
50,0,47,881,2587,2587,0,3515,3000,7745,0,0,1,0,0,-7745
51,640,2250,981,1557,2250,640,5428,4200,10818,0,0,1,0,0,-10818
52,0,0,298,1571,1571,0,1869,2600,5649,0,0,1,0,0,-5649
53,0,0,1419,2590,2590,0,4009,2600,7809,0,0,1,0,0,-7809
54,0,0,1413,710,1413,0,2123,2600,5893,0,0,1,0,0,-5893
55,0,0,991,490,991,0,1481,2600,5281,0,0,1,0,0,-5281
56,0,1209,2302,1346,2302,0,4857,3400,9487,0,0,1,0,0,-9487
57,0,0,1585,565,1585,0,2150,2600,5930,0,0,1,0,0,-5930
58,0,0,0,431,431,0,431,3400,5021,0,0,1,0,0,-5021
59,0,0,1587,2464,2464,0,4051,2600,7861,0,0,1,0,0,-7861
60,0,0,993,596,993,0,1589,3000,5779,0,0,1,0,0,-5779
61,853,2665,10534,349,10534,349,14401,4200,19811,0,0,1,0,0,-19811
62,0,52,143,436,436,0,631,2600,4471,0,0,1,0,0,-4471
63,0,177,591,523,591,0,1291,3400,5901,0,0,1,0,0,-5901
64,74,1613,2399,1290,2399,74,5376,3000,9576,0,0,1,0,0,-9576
65,0,598,645,4027,4027,0,5270,4200,10680,0,0,1,0,0,-10680
66,0,0,0,395,395,0,395,3400,4955,0,0,1,0,0,-4955
67,0,0,1646,2440,2440,0,4086,2600,7906,0,0,1,0,0,-7906
68,0,1377,639,1207,1377,0,3223,3400,7833,0,0,1,0,0,-7833
69,0,85,1802,1039,1802,0,2926,2600,6716,0,0,1,0,0,-6716
70,0,1335,574,1462,1462,0,3371,3400,7971,0,0,1,0,0,-7971
71,0,0,131,2483,2483,0,2614,3000,6814,0,0,1,0,0,-6814
72,0,0,1003,1809,1809,0,2812,2600,6612,0,0,1,0,0,-6612
