Wed Jan 25 21:01:44 JST 2023,,,,,,,,,,,,,,,
WPSCE-4000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,635,232,635,0,867,2600,4647,0,0,1,0,0,-4647
1,0,0,482,157,482,0,639,2600,4439,0,0,1,0,0,-4439
2,0,0,636,897,897,0,1533,2600,5333,0,0,1,0,0,-5333
3,0,220,1424,785,1424,0,2429,3400,6999,0,0,1,0,0,-6999
4,0,0,644,1571,1571,0,2215,2600,6045,0,0,1,0,0,-6045
5,0,0,1192,569,1192,0,1761,2600,5571,0,0,1,0,0,-5571
6,0,961,1042,768,1042,0,2771,3000,6961,0,0,1,0,0,-6961
7,0,967,3037,967,3037,0,4971,3800,9941,0,0,1,0,0,-9941
8,0,0,651,99,651,0,750,2600,4540,0,0,1,0,0,-4540
9,0,0,650,1265,1265,0,1915,3000,6105,0,0,1,0,0,-6105
10,0,769,2368,935,2368,0,4072,3000,8222,0,0,1,0,0,-8222
11,219,1233,2015,10195,10195,219,13662,4200,19092,0,0,1,0,0,-19092
12,0,73,808,3158,3158,0,4039,3000,8269,0,0,1,0,0,-8269
13,0,0,463,257,463,0,720,2600,4500,0,0,1,0,0,-4500
14,0,0,183,69,183,0,252,2600,4012,0,0,1,0,0,-4012
15,0,0,1343,2001,2001,0,3344,2600,7164,0,0,1,0,0,-7164
16,0,0,658,1575,1575,0,2233,2600,6013,0,0,1,0,0,-6013
17,0,499,1463,670,1463,0,2632,3000,6802,0,0,1,0,0,-6802
18,0,0,476,77,476,0,553,2600,4323,0,0,1,0,0,-4323
19,0,0,1431,2543,2543,0,3974,2600,7824,0,0,1,0,0,-7824
20,0,0,1248,2136,2136,0,3384,2600,7194,0,0,1,0,0,-7194
21,0,499,601,1099,1099,0,2199,3000,6369,0,0,1,0,0,-6369
22,6,277,575,500,575,6,1358,3400,5948,0,0,1,0,0,-5948
23,0,0,0,556,556,0,556,2600,4346,0,0,1,0,0,-4346
24,0,958,2230,3739,3739,0,6927,3400,11517,0,0,1,0,0,-11517
25,0,0,566,163,566,0,729,2600,4509,0,0,1,0,0,-4509
26,5,298,2353,936,2353,5,3592,3400,8152,0,0,1,0,0,-8152
27,0,0,673,181,673,0,854,2600,4644,0,0,1,0,0,-4644
28,0,57,160,383,383,0,600,2600,4390,0,0,1,0,0,-4390
29,0,0,1427,867,1427,0,2294,2600,6084,0,0,1,0,0,-6084
30,0,147,1174,1085,1174,0,2406,2600,6236,0,0,1,0,0,-6236
31,0,0,739,459,739,0,1198,3800,6178,0,0,1,0,0,-6178
32,0,160,1354,4587,4587,0,6101,3000,10301,0,0,1,0,0,-10301
33,0,66,180,845,845,0,1091,3000,5291,0,0,1,0,0,-5291
34,0,0,1432,877,1432,0,2309,2600,6109,0,0,1,0,0,-6109
35,0,148,1439,4585,4585,0,6172,3000,10402,0,0,1,0,0,-10402
36,0,0,732,357,732,0,1089,2600,4879,0,0,1,0,0,-4879
37,0,0,698,183,698,0,881,2600,4681,0,0,1,0,0,-4681
38,0,0,460,744,744,0,1204,2600,5004,0,0,1,0,0,-5004
39,138,279,454,1049,1049,138,1920,3800,6930,0,0,1,0,0,-6930
40,0,146,1240,767,1240,0,2153,3000,6373,0,0,1,0,0,-6373
41,0,0,1433,546,1433,0,1979,2600,5779,0,0,1,0,0,-5779
42,0,0,1407,2428,2428,0,3835,2600,7635,0,0,1,0,0,-7635
43,0,0,15,466,466,0,481,2600,4281,0,0,1,0,0,-4281
44,0,0,340,997,997,0,1337,2600,5127,0,0,1,0,0,-5127
45,0,0,675,935,935,0,1610,2600,5410,0,0,1,0,0,-5410
46,0,0,686,1020,1020,0,1706,2600,5536,0,0,1,0,0,-5536
47,0,72,0,519,519,0,591,2600,4391,0,0,1,0,0,-4391
48,0,0,1419,549,1419,0,1968,2600,5778,0,0,1,0,0,-5778
49,0,0,39,338,338,0,377,2200,3827,0,0,1,0,0,-3827
50,0,0,480,777,777,0,1257,2600,5087,0,0,1,0,0,-5087
51,0,313,520,994,994,0,1827,3800,6817,0,0,1,0,0,-6817
52,0,1187,469,1197,1197,0,2853,3800,7833,0,0,1,0,0,-7833
53,217,1173,896,709,1173,217,2995,3400,7595,0,0,1,0,0,-7595
54,0,1162,2115,1241,2115,0,4518,3000,8688,0,0,1,0,0,-8688
55,0,211,565,2007,2007,0,2783,3000,6983,0,0,1,0,0,-6983
56,0,0,0,462,462,0,462,2600,4292,0,0,1,0,0,-4292
57,0,0,1419,448,1419,0,1867,2600,5647,0,0,1,0,0,-5647
58,0,179,221,646,646,0,1046,2600,4836,0,0,1,0,0,-4836
59,0,24,1457,2552,2552,0,4033,2600,7843,0,0,1,0,0,-7843
60,0,0,758,443,758,0,1201,2600,4991,0,0,1,0,0,-4991
61,0,1174,3601,972,3601,0,5747,3000,9957,0,0,1,0,0,-9957
62,0,118,458,1960,1960,0,2536,3400,7176,0,0,1,0,0,-7176
