Sun Jan 22 21:50:27 JST 2023
WPSCE-4000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,0,0,445,456,456,0,901,2600,4681,0.0,0.0,1.0,0.0,0.0,-4681.0,
1,0,0,383,287,383,0,670,2600,4470,0.0,0.0,1.0,0.0,0.0,-4470.0,
2,261,76,1609,1662,1662,76,3608,3000,7808,0.0,0.0,1.0,0.0,0.0,-7808.0,
3,0,286,305,1035,1035,0,1626,3400,6196,0.0,0.0,1.0,0.0,0.0,-6196.0,
4,0,0,1594,3684,3684,0,5278,3000,9508,0.0,0.0,1.0,0.0,0.0,-9508.0,
5,0,0,446,514,514,0,960,2600,4770,0.0,0.0,1.0,0.0,0.0,-4770.0,
6,0,0,443,508,508,0,951,2600,4741,0.0,0.0,1.0,0.0,0.0,-4741.0,
7,0,0,1291,452,1291,0,1743,2600,5513,0.0,0.0,1.0,0.0,0.0,-5513.0,
8,0,0,1436,535,1436,0,1971,2600,5761,0.0,0.0,1.0,0.0,0.0,-5761.0,
9,0,0,485,1418,1418,0,1903,3000,6093,0.0,0.0,1.0,0.0,0.0,-6093.0,
10,0,938,1518,620,1518,0,3076,3000,7226,0.0,0.0,1.0,0.0,0.0,-7226.0,
11,260,0,1641,5678,5678,0,7579,3000,11809,0.0,0.0,1.0,0.0,0.0,-11809.0,
12,0,0,0,1858,1858,0,1858,3000,6088,0.0,0.0,1.0,0.0,0.0,-6088.0,
13,0,0,0,449,449,0,449,2600,4229,0.0,0.0,1.0,0.0,0.0,-4229.0,
14,0,0,0,304,304,0,304,2600,4064,0.0,0.0,1.0,0.0,0.0,-4064.0,
15,0,0,524,3069,3069,0,3593,3000,7813,0.0,0.0,1.0,0.0,0.0,-7813.0,
16,0,0,1231,1966,1966,0,3197,2600,6977,0.0,0.0,1.0,0.0,0.0,-6977.0,
17,0,0,439,449,449,0,888,3000,5058,0.0,0.0,1.0,0.0,0.0,-5058.0,
18,0,0,292,228,292,0,520,2600,4290,0.0,0.0,1.0,0.0,0.0,-4290.0,
19,0,0,560,721,721,0,1281,2600,5131,0.0,0.0,1.0,0.0,0.0,-5131.0,
20,0,0,459,712,712,0,1171,2600,4981,0.0,0.0,1.0,0.0,0.0,-4981.0,
21,0,18,0,90,90,0,108,2600,3878,0.0,0.0,1.0,0.0,0.0,-3878.0,
22,0,0,36,111,111,0,147,2600,3937,0.0,0.0,1.0,0.0,0.0,-3937.0,
23,0,0,44,178,178,0,222,2600,4012,0.0,0.0,1.0,0.0,0.0,-4012.0,
24,0,0,1561,3664,3664,0,5225,3000,9415,0.0,0.0,1.0,0.0,0.0,-9415.0,
25,0,0,384,306,384,0,690,2600,4470,0.0,0.0,1.0,0.0,0.0,-4470.0,
26,0,376,3134,2857,3134,0,6367,4200,11727,0.0,0.0,1.0,0.0,0.0,-11727.0,
27,0,0,372,316,372,0,688,2600,4478,0.0,0.0,1.0,0.0,0.0,-4478.0,
28,0,75,388,522,522,0,985,2600,4775,0.0,0.0,1.0,0.0,0.0,-4775.0,
29,0,0,508,2968,2968,0,3476,3000,7666,0.0,0.0,1.0,0.0,0.0,-7666.0,
30,0,0,362,537,537,0,899,2600,4729,0.0,0.0,1.0,0.0,0.0,-4729.0,
31,0,0,59,561,561,0,620,2600,4400,0.0,0.0,1.0,0.0,0.0,-4400.0,
32,0,0,1293,3912,3912,0,5205,3400,9805,0.0,0.0,1.0,0.0,0.0,-9805.0,
33,0,0,68,696,696,0,764,3000,4964,0.0,0.0,1.0,0.0,0.0,-4964.0,
34,0,10,445,522,522,0,977,2600,4777,0.0,0.0,1.0,0.0,0.0,-4777.0,
35,0,24,1403,2945,2945,0,4372,2600,8202,0.0,0.0,1.0,0.0,0.0,-8202.0,
36,0,0,1435,658,1435,0,2093,2600,5883,0.0,0.0,1.0,0.0,0.0,-5883.0,
37,0,0,364,368,368,0,732,2600,4532,0.0,0.0,1.0,0.0,0.0,-4532.0,
38,0,0,206,2921,2921,0,3127,3000,7327,0.0,0.0,1.0,0.0,0.0,-7327.0,
39,0,127,521,680,680,0,1328,3800,6338,0.0,0.0,1.0,0.0,0.0,-6338.0,
40,0,222,0,1091,1091,0,1313,2600,5133,0.0,0.0,1.0,0.0,0.0,-5133.0,
41,0,0,85,466,466,0,551,3400,5151,0.0,0.0,1.0,0.0,0.0,-5151.0,
42,0,0,565,1555,1555,0,2120,3000,6320,0.0,0.0,1.0,0.0,0.0,-6320.0,
43,0,26,0,504,504,0,530,2600,4330,0.0,0.0,1.0,0.0,0.0,-4330.0,
44,0,0,836,1142,1142,0,1978,3000,6168,0.0,0.0,1.0,0.0,0.0,-6168.0,
45,0,55,462,664,664,0,1181,2600,4981,0.0,0.0,1.0,0.0,0.0,-4981.0,
46,0,148,551,1384,1384,0,2083,2600,5913,0.0,0.0,1.0,0.0,0.0,-5913.0,
47,0,71,124,377,377,0,572,2600,4372,0.0,0.0,1.0,0.0,0.0,-4372.0,
48,0,0,591,510,591,0,1101,2600,4911,0.0,0.0,1.0,0.0,0.0,-4911.0,
49,0,78,0,163,163,0,241,2200,3691,0.0,0.0,1.0,0.0,0.0,-3691.0,
50,0,0,314,3060,3060,0,3374,3000,7604,0.0,0.0,1.0,0.0,0.0,-7604.0,
51,0,419,478,627,627,0,1524,3400,6114,0.0,0.0,1.0,0.0,0.0,-6114.0,
52,0,219,425,529,529,0,1173,3000,5353,0.0,0.0,1.0,0.0,0.0,-5353.0,
53,0,219,96,287,287,0,602,2600,4402,0.0,0.0,1.0,0.0,0.0,-4402.0,
54,0,216,1459,766,1459,0,2441,2600,6211,0.0,0.0,1.0,0.0,0.0,-6211.0,
55,0,793,978,700,978,0,2471,3800,7471,0.0,0.0,1.0,0.0,0.0,-7471.0,
56,0,213,0,563,563,0,776,2600,4606,0.0,0.0,1.0,0.0,0.0,-4606.0,
57,0,223,1457,638,1457,0,2318,2600,6098,0.0,0.0,1.0,0.0,0.0,-6098.0,
58,0,0,0,629,629,0,629,2600,4419,0.0,0.0,1.0,0.0,0.0,-4419.0,
59,0,226,344,1736,1736,0,2306,3000,6516,0.0,0.0,1.0,0.0,0.0,-6516.0,
60,0,122,1454,802,1454,0,2378,2600,6168,0.0,0.0,1.0,0.0,0.0,-6168.0,
61,0,387,375,3245,3245,0,4007,3800,9017,0.0,0.0,1.0,0.0,0.0,-9017.0,
62,0,96,325,3130,3130,0,3551,3000,7791,0.0,0.0,1.0,0.0,0.0,-7791.0,
63,0,111,90,298,298,0,499,2600,4309,0.0,0.0,1.0,0.0,0.0,-4309.0,
64,0,189,416,530,530,0,1135,2600,4935,0.0,0.0,1.0,0.0,0.0,-4935.0,
65,0,169,750,505,750,0,1424,2600,5234,0.0,0.0,1.0,0.0,0.0,-5234.0,
66,0,146,416,441,441,0,1003,3000,5163,0.0,0.0,1.0,0.0,0.0,-5163.0,
67,0,218,908,1579,1579,0,2705,2600,6525,0.0,0.0,1.0,0.0,0.0,-6525.0,
68,0,257,1166,1300,1300,0,2723,3000,6933,0.0,0.0,1.0,0.0,0.0,-6933.0,
69,0,462,567,409,567,0,1438,2600,5228,0.0,0.0,1.0,0.0,0.0,-5228.0,
70,0,224,137,701,701,0,1062,2600,4862,0.0,0.0,1.0,0.0,0.0,-4862.0,
71,0,104,2432,2132,2432,0,4668,3800,9668,0.0,0.0,1.0,0.0,0.0,-9668.0,
72,0,193,1461,2282,2282,0,3936,2600,7736,0.0,0.0,1.0,0.0,0.0,-7736.0,
73,0,456,635,478,635,0,1569,2600,5359,0.0,0.0,1.0,0.0,0.0,-5359.0,
74,0,1384,3029,4147,4147,0,8560,3000,12730,0.0,0.0,1.0,0.0,0.0,-12730.0,
75,0,188,110,531,531,0,829,2600,4609,0.0,0.0,1.0,0.0,0.0,-4609.0,
76,0,383,350,741,741,0,1474,2600,5254,0.0,0.0,1.0,0.0,0.0,-5254.0,
77,0,187,496,3021,3021,0,3704,2600,7534,0.0,0.0,1.0,0.0,0.0,-7534.0,
78,0,180,440,1177,1177,0,1797,2600,5587,0.0,0.0,1.0,0.0,0.0,-5587.0,
79,0,182,496,467,496,0,1145,2600,4955,0.0,0.0,1.0,0.0,0.0,-4955.0,
80,0,433,600,608,608,0,1641,3000,5821,0.0,0.0,1.0,0.0,0.0,-5821.0,
81,0,807,986,715,986,0,2508,3800,7508,0.0,0.0,1.0,0.0,0.0,-7508.0,
82,0,205,458,578,578,0,1241,3000,5421,0.0,0.0,1.0,0.0,0.0,-5421.0,
83,0,441,341,849,849,0,1631,2600,5431,0.0,0.0,1.0,0.0,0.0,-5431.0,
84,0,323,425,1571,1571,0,2319,3000,6529,0.0,0.0,1.0,0.0,0.0,-6529.0,
85,0,347,1908,2146,2146,0,4401,3400,9021,0.0,0.0,1.0,0.0,0.0,-9021.0,
86,0,663,505,1439,1439,0,2607,3400,7207,0.0,0.0,1.0,0.0,0.0,-7207.0,
87,0,333,521,844,844,0,1698,2600,5478,0.0,0.0,1.0,0.0,0.0,-5478.0,
88,0,608,3340,4769,4769,0,8717,4200,14167,0.0,0.0,1.0,0.0,0.0,-14167.0,
89,0,166,446,753,753,0,1365,2600,5125,0.0,0.0,1.0,0.0,0.0,-5125.0,
90,0,656,223,819,819,0,1698,2600,5508,0.0,0.0,1.0,0.0,0.0,-5508.0,
91,0,435,1719,615,1719,0,2769,2600,6559,0.0,0.0,1.0,0.0,0.0,-6559.0,
92,0,449,1684,894,1684,0,3027,2600,6797,0.0,0.0,1.0,0.0,0.0,-6797.0,
93,116,0,2048,6216,6216,0,8380,3400,13030,0.0,0.0,1.0,0.0,0.0,-13030.0,
94,121,184,1866,1234,1866,121,3405,3000,7625,0.0,0.0,1.0,0.0,0.0,-7625.0,
95,0,116,229,519,519,0,864,2200,4314,0.0,0.0,1.0,0.0,0.0,-4314.0,
96,0,26,8,844,844,0,878,2600,4688,0.0,0.0,1.0,0.0,0.0,-4688.0,
97,0,451,238,653,653,0,1342,3400,5912,0.0,0.0,1.0,0.0,0.0,-5912.0,
98,0,472,611,406,611,0,1489,2600,5269,0.0,0.0,1.0,0.0,0.0,-5269.0,
99,0,387,1277,4792,4792,0,6456,2600,10266,0.0,0.0,1.0,0.0,0.0,-10266.0,
100,208,394,2239,1163,2239,208,4004,3000,8204,0.0,0.0,1.0,0.0,0.0,-8204.0,
101,0,384,342,764,764,0,1490,2600,5270,0.0,0.0,1.0,0.0,0.0,-5270.0,
102,0,376,825,2745,2745,0,3946,2600,7716,0.0,0.0,1.0,0.0,0.0,-7716.0,
103,0,0,2400,2110,2400,0,4510,3800,9510,0.0,0.0,1.0,0.0,0.0,-9510.0,
104,1371,3873,1269,2185,3873,1269,8698,5000,14908,0.0,0.0,1.0,0.0,0.0,-14908.0,
105,0,175,1468,687,1468,0,2330,2600,6110,0.0,0.0,1.0,0.0,0.0,-6110.0,
106,192,1547,589,3777,3777,192,6105,6200,13505,0.0,0.0,1.0,0.0,0.0,-13505.0,
107,0,684,498,5534,5534,0,6716,3400,11326,0.0,0.0,1.0,0.0,0.0,-11326.0,
108,71,1341,800,1063,1341,71,3275,3400,7865,0.0,0.0,1.0,0.0,0.0,-7865.0,
109,0,660,1123,1446,1446,0,3229,2600,7019,0.0,0.0,1.0,0.0,0.0,-7019.0,
110,173,352,1117,3603,3603,173,5245,3800,10215,0.0,0.0,1.0,0.0,0.0,-10215.0,
111,39,600,1562,6576,6576,39,8777,3000,12967,0.0,0.0,1.0,0.0,0.0,-12967.0,
112,0,127,21,3061,3061,0,3209,3000,7409,0.0,0.0,1.0,0.0,0.0,-7409.0,
113,0,539,2190,634,2190,0,3363,2600,7143,0.0,0.0,1.0,0.0,0.0,-7143.0,
114,80,0,418,483,483,0,981,2600,4771,0.0,0.0,1.0,0.0,0.0,-4771.0,
115,87,289,105,494,494,87,975,2200,4425,0.0,0.0,1.0,0.0,0.0,-4425.0,
