Sun Jan 22 22:10:34 JST 2023,,,,,,,,,,,,,,,
WPSCE-4000_SEED(1),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,162,353,353,0,515,2200,3925,0,0,1,0,0,-3925
1,0,0,794,1748,1748,0,2542,2600,6342,0,0,1,0,0,-6342
2,0,0,209,686,686,0,895,2600,4695,0,0,1,0,0,-4695
3,0,0,719,3925,3925,0,4644,3000,8804,0,0,1,0,0,-8804
4,0,0,458,811,811,0,1269,2600,5069,0,0,1,0,0,-5069
5,0,0,815,645,815,0,1460,2600,5220,0,0,1,0,0,-5220
6,40,502,1369,2425,2425,40,4336,3000,8556,0,0,1,0,0,-8556
7,0,0,352,791,791,0,1143,3000,5303,0,0,1,0,0,-5303
8,0,164,403,1868,1868,0,2435,2600,6235,0,0,1,0,0,-6235
9,0,0,443,1799,1799,0,2242,2600,6082,0,0,1,0,0,-6082
10,0,0,889,3516,3516,0,4405,2600,8185,0,0,1,0,0,-8185
11,0,0,449,833,833,0,1282,2600,5102,0,0,1,0,0,-5102
12,0,174,270,1160,1160,0,1604,3400,6194,0,0,1,0,0,-6194
13,0,0,997,903,997,0,1900,2600,5670,0,0,1,0,0,-5670
14,0,0,1327,1305,1327,0,2632,3400,7252,0,0,1,0,0,-7252
15,0,152,611,1254,1254,0,2017,2600,5817,0,0,1,0,0,-5817
16,0,0,1186,1437,1437,0,2623,3400,7223,0,0,1,0,0,-7223
17,0,0,1010,798,1010,0,1808,2600,5548,0,0,1,0,0,-5548
18,0,0,1047,3936,3936,0,4983,2600,8753,0,0,1,0,0,-8753
19,0,0,667,1788,1788,0,2455,2600,6275,0,0,1,0,0,-6275
20,0,420,645,3612,3612,0,4677,4200,10087,0,0,1,0,0,-10087
21,0,0,1674,1282,1674,0,2956,3000,7146,0,0,1,0,0,-7146
22,0,46,441,1223,1223,0,1710,2600,5490,0,0,1,0,0,-5490
23,0,47,239,1259,1259,0,1545,3000,5765,0,0,1,0,0,-5765
24,0,0,251,835,835,0,1086,3000,5286,0,0,1,0,0,-5286
25,0,16,104,2031,2031,0,2151,3000,6381,0,0,1,0,0,-6381
