Tue Jan 24 02:54:51 JST 2023
WPSCE-4000_SEED(0)
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,
0,129,225,2245,1281,2245,129,3880,3400,8460,0.0,0.0,1.0,0.0,0.0,-8460.0,
1,0,84,1805,3717,3717,0,5606,4200,11006,0.0,0.0,1.0,0.0,0.0,-11006.0,
2,181,273,2234,1790,2234,181,4478,3400,9078,0.0,0.0,1.0,0.0,0.0,-9078.0,
3,0,871,3018,674,3018,0,4563,3400,9133,0.0,0.0,1.0,0.0,0.0,-9133.0,
4,0,489,1830,3434,3434,0,5753,3400,10383,0.0,0.0,1.0,0.0,0.0,-10383.0,
5,0,114,1727,1454,1727,0,3295,3400,7905,0.0,0.0,1.0,0.0,0.0,-7905.0,
6,0,0,184,202,202,0,386,2600,4176,0.0,0.0,1.0,0.0,0.0,-4176.0,
7,0,0,1054,2807,2807,0,3861,3000,8031,0.0,0.0,1.0,0.0,0.0,-8031.0,
8,0,0,643,354,643,0,997,2600,4787,0.0,0.0,1.0,0.0,0.0,-4787.0,
9,0,113,1094,574,1094,0,1781,4200,7171,0.0,0.0,1.0,0.0,0.0,-7171.0,
10,0,0,474,319,474,0,793,2600,4543,0.0,0.0,1.0,0.0,0.0,-4543.0,
11,0,0,799,2692,2692,0,3491,3000,7721,0.0,0.0,1.0,0.0,0.0,-7721.0,
12,0,0,973,1065,1065,0,2038,2600,5868,0.0,0.0,1.0,0.0,0.0,-5868.0,
13,0,0,387,236,387,0,623,2600,4403,0.0,0.0,1.0,0.0,0.0,-4403.0,
14,0,0,0,176,176,0,176,2600,3936,0.0,0.0,1.0,0.0,0.0,-3936.0,
15,0,77,355,2222,2222,0,2654,2600,6474,0.0,0.0,1.0,0.0,0.0,-6474.0,
16,0,0,628,1799,1799,0,2427,2600,6207,0.0,0.0,1.0,0.0,0.0,-6207.0,
17,0,642,2241,639,2241,0,3522,3400,8092,0.0,0.0,1.0,0.0,0.0,-8092.0,
18,0,0,771,231,771,0,1002,2600,4772,0.0,0.0,1.0,0.0,0.0,-4772.0,
19,0,0,966,1237,1237,0,2203,2600,6053,0.0,0.0,1.0,0.0,0.0,-6053.0,
20,0,0,978,1213,1213,0,2191,2600,6001,0.0,0.0,1.0,0.0,0.0,-6001.0,
21,0,0,95,341,341,0,436,3000,4606,0.0,0.0,1.0,0.0,0.0,-4606.0,
22,0,990,1034,594,1034,0,2618,4200,8008,0.0,0.0,1.0,0.0,0.0,-8008.0,
23,0,878,2360,736,2360,0,3974,4600,9764,0.0,0.0,1.0,0.0,0.0,-9764.0,
24,0,780,2279,3656,3656,0,6715,3000,10905,0.0,0.0,1.0,0.0,0.0,-10905.0,
25,0,0,805,276,805,0,1081,2600,4861,0.0,0.0,1.0,0.0,0.0,-4861.0,
26,0,0,201,2347,2347,0,2548,2600,6308,0.0,0.0,1.0,0.0,0.0,-6308.0,
27,0,901,3629,783,3629,0,5313,3400,9903,0.0,0.0,1.0,0.0,0.0,-9903.0,
