Wed Jan 25 22:00:19 JST 2023,,,,,,,,,,,,,,,
WPSCE-4000_SEED(1),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,356,582,582,0,938,2200,4348,0,0,1,0,0,-4348
1,0,0,633,1724,1724,0,2357,2600,6157,0,0,1,0,0,-6157
2,0,59,277,1973,1973,0,2309,3400,6909,0,0,1,0,0,-6909
3,0,0,373,2176,2176,0,2549,3000,6709,0,0,1,0,0,-6709
4,0,373,2113,1204,2113,0,3690,3400,8290,0,0,1,0,0,-8290
5,0,0,634,921,921,0,1555,2600,5315,0,0,1,0,0,-5315
6,250,670,2962,13940,13940,250,17822,4200,23242,0,0,1,0,0,-23242
7,168,120,3730,2897,3730,120,6915,3800,11875,0,0,1,0,0,-11875
8,0,211,415,1707,1707,0,2333,2600,6133,0,0,1,0,0,-6133
9,254,208,1451,3200,3200,208,5113,4200,10553,0,0,1,0,0,-10553
10,0,0,701,1782,1782,0,2483,2600,6263,0,0,1,0,0,-6263
11,0,0,970,1730,1730,0,2700,2600,6520,0,0,1,0,0,-6520
12,263,484,4055,3073,4055,263,7875,4200,13265,0,0,1,0,0,-13265
13,0,0,788,1311,1311,0,2099,2600,5869,0,0,1,0,0,-5869
14,0,0,1138,404,1138,0,1542,2600,5362,0,0,1,0,0,-5362
15,0,201,487,773,773,0,1461,2600,5261,0,0,1,0,0,-5261
16,0,0,1121,302,1121,0,1423,2600,5223,0,0,1,0,0,-5223
17,0,0,806,846,846,0,1652,2600,5392,0,0,1,0,0,-5392
18,0,0,958,3742,3742,0,4700,2600,8470,0,0,1,0,0,-8470
19,0,0,158,827,827,0,985,2600,4805,0,0,1,0,0,-4805
20,0,628,1749,1518,1749,0,3895,4200,9305,0,0,1,0,0,-9305
21,0,191,854,832,854,0,1877,2600,5667,0,0,1,0,0,-5667
22,0,268,428,2006,2006,0,2702,2600,6482,0,0,1,0,0,-6482
23,0,0,1165,873,1165,0,2038,2600,5858,0,0,1,0,0,-5858
24,0,0,1127,2045,2045,0,3172,2600,6972,0,0,1,0,0,-6972
25,0,131,309,3038,3038,0,3478,3000,7708,0,0,1,0,0,-7708
26,0,2067,3103,5179,5179,0,10349,5000,16559,0,0,1,0,0,-16559
27,0,0,465,1154,1154,0,1619,3000,5849,0,0,1,0,0,-5849
28,0,0,999,753,999,0,1752,2600,5522,0,0,1,0,0,-5522
29,0,1146,1689,4201,4201,0,7036,3800,12056,0,0,1,0,0,-12056
30,0,339,1377,1370,1377,0,3086,3400,7676,0,0,1,0,0,-7676
31,0,0,1026,298,1026,0,1324,2600,5084,0,0,1,0,0,-5084
32,0,155,1338,4646,4646,0,6139,4600,11939,0,0,1,0,0,-11939
33,0,17,1201,1590,1590,0,2808,2600,6608,0,0,1,0,0,-6608
34,0,208,593,2001,2001,0,2802,2600,6622,0,0,1,0,0,-6622
35,0,0,1316,1241,1316,0,2557,2600,6387,0,0,1,0,0,-6387
36,0,73,1323,762,1323,0,2158,2600,5938,0,0,1,0,0,-5938
37,117,205,2143,4017,4017,117,6482,3400,11072,0,0,1,0,0,-11072
38,0,648,1486,1450,1486,0,3584,3000,7754,0,0,1,0,0,-7754
39,0,128,289,1086,1086,0,1503,3000,5683,0,0,1,0,0,-5683
40,0,0,350,681,681,0,1031,2200,4461,0,0,1,0,0,-4461
41,0,0,1069,302,1069,0,1371,2600,5171,0,0,1,0,0,-5171
42,0,257,383,752,752,0,1392,2600,5192,0,0,1,0,0,-5192
43,0,0,356,724,724,0,1080,2600,4880,0,0,1,0,0,-4880
44,0,0,1221,3872,3872,0,5093,3400,9733,0,0,1,0,0,-9733
45,0,336,939,3433,3433,0,4708,3800,9668,0,0,1,0,0,-9668
46,0,0,1130,4348,4348,0,5478,2600,9288,0,0,1,0,0,-9288
47,0,0,1321,1495,1495,0,2816,2600,6666,0,0,1,0,0,-6666
48,0,772,849,1298,1298,0,2919,3800,7889,0,0,1,0,0,-7889
49,0,0,724,830,830,0,1554,2600,5364,0,0,1,0,0,-5364
50,0,0,366,1467,1467,0,1833,2600,5633,0,0,1,0,0,-5633
51,0,0,370,725,725,0,1095,2600,4865,0,0,1,0,0,-4865
52,0,251,669,3566,3566,0,4486,3400,9136,0,0,1,0,0,-9136
