Sun Jan 22 01:19:52 JST 2023,,,,,,,,,,,,,,,
WPSCE-5000_SEED(9),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,113,240,1763,1763,0,2116,2600,5916,0,0,1,0,0,-5916
1,0,0,650,1235,1235,0,1885,2600,5695,0,0,1,0,0,-5695
2,0,118,364,698,698,0,1180,2600,4980,0,0,1,0,0,-4980
3,0,115,655,1188,1188,0,1958,2600,5768,0,0,1,0,0,-5768
4,0,138,1560,1118,1560,0,2816,3400,7426,0,0,1,0,0,-7426
5,0,103,1327,3016,3016,0,4446,3400,9046,0,0,1,0,0,-9046
6,0,0,706,430,706,0,1136,2600,4906,0,0,1,0,0,-4906
7,0,142,1362,3516,3516,0,5020,3400,9620,0,0,1,0,0,-9620
8,0,0,669,1210,1210,0,1879,2600,5689,0,0,1,0,0,-5689
9,0,128,811,1933,1933,0,2872,2600,6662,0,0,1,0,0,-6662
10,0,0,717,1449,1449,0,2166,2600,5976,0,0,1,0,0,-5976
11,0,0,374,841,841,0,1215,2600,5035,0,0,1,0,0,-5035
12,0,198,906,1401,1401,0,2505,2600,6335,0,0,1,0,0,-6335
13,0,0,956,3984,3984,0,4940,3800,9910,0,0,1,0,0,-9910
14,0,0,728,2246,2246,0,2974,2600,6804,0,0,1,0,0,-6804
15,0,0,585,335,585,0,920,2600,4710,0,0,1,0,0,-4710
16,0,0,240,625,625,0,865,2200,4295,0,0,1,0,0,-4295
17,0,174,286,1125,1125,0,1585,2600,5375,0,0,1,0,0,-5375
18,0,0,285,237,285,0,522,2200,3922,0,0,1,0,0,-3922
19,0,132,770,1952,1952,0,2854,2600,6664,0,0,1,0,0,-6664
20,0,61,777,1251,1251,0,2089,2600,5889,0,0,1,0,0,-5889
21,24,896,2548,1419,2548,24,4887,3400,9457,0,0,1,0,0,-9457
22,0,151,617,418,617,0,1186,2200,4586,0,0,1,0,0,-4586
23,0,211,979,1516,1516,0,2706,2600,6506,0,0,1,0,0,-6506
24,0,270,271,1105,1105,0,1646,3000,5846,0,0,1,0,0,-5846
25,0,137,690,832,832,0,1659,3400,6229,0,0,1,0,0,-6229
26,0,205,1163,577,1163,0,1945,2600,5715,0,0,1,0,0,-5715
27,0,187,736,2071,2071,0,2994,2600,6784,0,0,1,0,0,-6784
28,0,216,788,780,788,0,1784,3400,6344,0,0,1,0,0,-6344
29,0,76,383,2704,2704,0,3163,3000,7373,0,0,1,0,0,-7373
30,0,126,876,1118,1118,0,2120,3400,6740,0,0,1,0,0,-6740
31,0,219,1298,1178,1298,0,2695,2600,6505,0,0,1,0,0,-6505
32,0,237,836,644,836,0,1717,2600,5507,0,0,1,0,0,-5507
33,0,1756,4382,7837,7837,0,13975,4600,19795,0,0,1,0,0,-19795
34,0,80,231,1930,1930,0,2241,2600,6071,0,0,1,0,0,-6071
35,0,278,995,619,995,0,1892,2600,5692,0,0,1,0,0,-5692
36,0,100,137,1410,1410,0,1647,3000,5847,0,0,1,0,0,-5847
37,0,230,830,2518,2518,0,3578,2600,7378,0,0,1,0,0,-7378
38,0,193,729,2341,2341,0,3263,2600,7053,0,0,1,0,0,-7053
39,0,274,800,412,800,0,1486,2600,5246,0,0,1,0,0,-5246
40,0,414,1243,4291,4291,0,5948,3400,10528,0,0,1,0,0,-10528
41,0,612,2916,5586,5586,0,9114,3800,14114,0,0,1,0,0,-14114
42,0,214,289,880,880,0,1383,2600,5183,0,0,1,0,0,-5183
43,0,195,1141,5301,5301,0,6637,3000,10867,0,0,1,0,0,-10867
44,0,0,402,1530,1530,0,1932,2600,5702,0,0,1,0,0,-5702
45,0,184,1305,2513,2513,0,4002,2600,7802,0,0,1,0,0,-7802
46,0,376,1934,1096,1934,0,3406,3000,7626,0,0,1,0,0,-7626
47,0,201,728,1241,1241,0,2170,2600,5940,0,0,1,0,0,-5940
48,0,226,251,906,906,0,1383,2200,4793,0,0,1,0,0,-4793
49,0,224,826,2648,2648,0,3698,2600,7488,0,0,1,0,0,-7488
50,0,463,1315,3959,3959,0,5737,3400,10357,0,0,1,0,0,-10357
51,0,338,1220,1940,1940,0,3498,3000,7698,0,0,1,0,0,-7698
52,0,283,1976,1233,1976,0,3492,3000,7682,0,0,1,0,0,-7682
53,0,0,566,2279,2279,0,2845,2600,6625,0,0,1,0,0,-6625
54,0,351,666,2383,2383,0,3400,3000,7610,0,0,1,0,0,-7610
55,0,189,2442,1783,2442,0,4414,3800,9394,0,0,1,0,0,-9394
56,0,399,885,3015,3015,0,4299,3400,8899,0,0,1,0,0,-8899
57,0,255,428,3925,3925,0,4608,4200,9978,0,0,1,0,0,-9978
58,0,507,404,1794,1794,0,2705,3000,6925,0,0,1,0,0,-6925
59,0,367,1218,783,1218,0,2368,2600,6158,0,0,1,0,0,-6158
60,0,476,2556,1138,2556,0,4170,3400,8750,0,0,1,0,0,-8750
61,0,389,2003,4935,4935,0,7327,3400,11967,0,0,1,0,0,-11967
62,0,320,966,2033,2033,0,3319,3000,7479,0,0,1,0,0,-7479
63,0,510,346,1819,1819,0,2675,3000,6885,0,0,1,0,0,-6885
64,0,327,977,5171,5171,0,6475,3000,10655,0,0,1,0,0,-10655
65,51,977,4006,5960,5960,51,10994,3800,15994,0,0,1,0,0,-15994
66,0,383,1067,723,1067,0,2173,2600,5943,0,0,1,0,0,-5943
67,0,381,1673,3749,3749,0,5803,3000,10013,0,0,1,0,0,-10013
68,0,214,793,1962,1962,0,2969,3000,7179,0,0,1,0,0,-7179
69,0,189,957,1826,1826,0,2972,2600,6812,0,0,1,0,0,-6812
70,0,0,756,1263,1263,0,2019,2600,5799,0,0,1,0,0,-5799
71,1016,748,4477,7528,7528,748,13769,5800,20759,0,0,1,0,0,-20759
72,0,393,1168,2112,2112,0,3673,2600,7503,0,0,1,0,0,-7503
73,0,392,1525,1213,1525,0,3130,3400,7720,0,0,1,0,0,-7720
74,0,399,358,2207,2207,0,2964,2600,6784,0,0,1,0,0,-6784
75,0,375,887,4434,4434,0,5696,2600,9486,0,0,1,0,0,-9486
76,0,277,1284,6027,6027,0,7588,3400,12208,0,0,1,0,0,-12208
77,0,1062,3279,2400,3279,0,6741,3800,11721,0,0,1,0,0,-11721
78,0,346,1197,2109,2109,0,3652,2600,7482,0,0,1,0,0,-7482
79,0,366,240,1833,1833,0,2439,2600,6219,0,0,1,0,0,-6219
80,0,15,1806,4063,4063,0,5884,3400,10464,0,0,1,0,0,-10464
81,0,0,91,618,618,0,709,2600,4499,0,0,1,0,0,-4499
82,0,407,1367,3048,3048,0,4822,2600,8662,0,0,1,0,0,-8662
83,199,829,419,3277,3277,199,4724,3400,9334,0,0,1,0,0,-9334
84,119,290,250,1776,1776,119,2435,2600,6225,0,0,1,0,0,-6225
85,0,359,1792,2428,2428,0,4579,3800,9579,0,0,1,0,0,-9579
86,137,691,1673,4183,4183,137,6684,3400,11294,0,0,1,0,0,-11294
87,0,0,682,2180,2180,0,2862,2600,6642,0,0,1,0,0,-6642
88,0,394,1260,3872,3872,0,5526,2600,9326,0,0,1,0,0,-9326
89,0,778,2302,1207,2302,0,4287,3000,8457,0,0,1,0,0,-8457
90,0,59,241,1016,1016,0,1316,3000,5536,0,0,1,0,0,-5536
91,0,674,450,1717,1717,0,2841,2600,6631,0,0,1,0,0,-6631
