Sun Jan 22 13:10:10 JST 2023,,,,,,,,,,,,,,,
WPSCE-5000_SEED(9),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,257,101,1259,6155,6155,101,7772,4600,13572,0,0,1,0,0,-13572
1,0,0,480,622,622,0,1102,2600,4912,0,0,1,0,0,-4912
2,0,163,1447,2889,2889,0,4499,2600,8299,0,0,1,0,0,-8299
3,0,185,592,911,911,0,1688,2600,5498,0,0,1,0,0,-5498
4,0,68,396,2335,2335,0,2799,3800,7809,0,0,1,0,0,-7809
5,69,113,606,2161,2161,69,2949,3000,7149,0,0,1,0,0,-7149
6,0,180,764,2369,2369,0,3313,3000,7483,0,0,1,0,0,-7483
7,0,0,744,1996,1996,0,2740,2600,6540,0,0,1,0,0,-6540
8,0,0,459,650,650,0,1109,2600,4919,0,0,1,0,0,-4919
9,0,194,1475,2942,2942,0,4611,2600,8401,0,0,1,0,0,-8401
10,0,1013,3303,4486,4486,0,8802,5400,15412,0,0,1,0,0,-15412
11,0,0,567,929,929,0,1496,2600,5316,0,0,1,0,0,-5316
12,0,598,2761,5160,5160,0,8519,3000,12749,0,0,1,0,0,-12749
13,0,190,2131,4986,4986,0,7307,3400,11877,0,0,1,0,0,-11877
14,0,0,574,1988,1988,0,2562,3000,6792,0,0,1,0,0,-6792
15,0,0,895,969,969,0,1864,2600,5654,0,0,1,0,0,-5654
16,0,0,151,309,309,0,460,2200,3890,0,0,1,0,0,-3890
17,46,1409,1196,7219,7219,46,9870,4200,15260,0,0,1,0,0,-15260
18,0,147,249,103,249,0,499,2200,3899,0,0,1,0,0,-3899
19,0,141,1723,4894,4894,0,6758,3000,10968,0,0,1,0,0,-10968
20,0,648,1463,3293,3293,0,5404,5000,11604,0,0,1,0,0,-11604
21,44,780,692,4973,4973,44,6489,3000,10659,0,0,1,0,0,-10659
22,0,161,316,46,316,0,523,2200,3923,0,0,1,0,0,-3923
23,0,628,2827,5086,5086,0,8541,3000,12741,0,0,1,0,0,-12741
24,0,0,195,1028,1028,0,1223,3000,5423,0,0,1,0,0,-5423
25,0,638,1133,6080,6080,0,7851,4200,13221,0,0,1,0,0,-13221
26,0,215,1460,1789,1789,0,3464,2600,7234,0,0,1,0,0,-7234
27,0,268,509,2907,2907,0,3684,2600,7474,0,0,1,0,0,-7474
28,0,766,414,1480,1480,0,2660,4600,8420,0,0,1,0,0,-8420
29,0,153,324,2525,2525,0,3002,3000,7212,0,0,1,0,0,-7212
30,0,221,1600,2105,2105,0,3926,2600,7746,0,0,1,0,0,-7746
31,0,0,600,1999,1999,0,2599,3000,6809,0,0,1,0,0,-6809
32,0,210,533,790,790,0,1533,2600,5323,0,0,1,0,0,-5323
33,0,861,491,3527,3527,0,4879,3800,9899,0,0,1,0,0,-9899
34,0,0,614,409,614,0,1023,2600,4853,0,0,1,0,0,-4853
35,0,324,564,375,564,0,1263,2600,5063,0,0,1,0,0,-5063
36,0,564,978,5861,5861,0,7403,3800,12403,0,0,1,0,0,-12403
37,0,283,534,2377,2377,0,3194,3000,7394,0,0,1,0,0,-7394
38,0,342,474,2866,2866,0,3682,2600,7472,0,0,1,0,0,-7472
39,0,711,1904,1147,1904,0,3762,3400,8322,0,0,1,0,0,-8322
40,0,683,992,4911,4911,0,6586,3400,11166,0,0,1,0,0,-11166
41,0,351,1603,1011,1603,0,2965,3000,7165,0,0,1,0,0,-7165
42,0,736,2491,11229,11229,0,14456,4600,20256,0,0,1,0,0,-20256
43,0,1653,4853,12415,12415,0,18921,4200,24351,0,0,1,0,0,-24351
44,0,0,893,2700,2700,0,3593,3000,7763,0,0,1,0,0,-7763
45,0,153,1153,1257,1257,0,2563,3000,6763,0,0,1,0,0,-6763
46,0,1153,2905,6052,6052,0,10110,3800,15130,0,0,1,0,0,-15130
47,0,324,475,1224,1224,0,2023,2600,5793,0,0,1,0,0,-5793
48,0,0,151,361,361,0,512,2200,3922,0,0,1,0,0,-3922
49,0,352,1615,3684,3684,0,5651,3000,9841,0,0,1,0,0,-9841
50,0,265,862,1107,1107,0,2234,2600,6054,0,0,1,0,0,-6054
51,0,372,885,2493,2493,0,3750,2600,7550,0,0,1,0,0,-7550
52,0,340,1739,1696,1739,0,3775,2600,7565,0,0,1,0,0,-7565
53,0,0,897,2492,2492,0,3389,3000,7569,0,0,1,0,0,-7569
54,0,0,892,2009,2009,0,2901,2600,6711,0,0,1,0,0,-6711
55,0,517,1208,1102,1208,0,2827,4200,8207,0,0,1,0,0,-8207
56,0,265,765,1031,1031,0,2061,2600,5861,0,0,1,0,0,-5861
57,0,47,714,373,714,0,1134,2600,4904,0,0,1,0,0,-4904
58,0,790,2701,7537,7537,0,11028,3400,15648,0,0,1,0,0,-15648
59,0,377,406,1214,1214,0,1997,2600,5787,0,0,1,0,0,-5787
60,0,0,1500,1531,1531,0,3031,2600,6811,0,0,1,0,0,-6811
61,0,524,2498,5731,5731,0,8753,4200,14193,0,0,1,0,0,-14193
62,0,343,666,937,937,0,1946,2600,5706,0,0,1,0,0,-5706
63,0,0,974,397,974,0,1371,3000,5581,0,0,1,0,0,-5581
64,0,358,614,2934,2934,0,3906,2600,7686,0,0,1,0,0,-7686
65,55,1345,2370,2321,2370,55,6091,4200,11491,0,0,1,0,0,-11491
66,0,761,687,5026,5026,0,6474,3000,10644,0,0,1,0,0,-10644
67,0,785,3510,7026,7026,0,11321,3400,15931,0,0,1,0,0,-15931
68,0,378,830,4007,4007,0,5215,2600,9025,0,0,1,0,0,-9025
69,0,0,1041,1064,1064,0,2105,3000,6345,0,0,1,0,0,-6345
70,0,1003,1375,1670,1670,0,4048,3800,9028,0,0,1,0,0,-9028
71,664,1306,5079,7732,7732,664,14781,5000,20971,0,0,1,0,0,-20971
72,0,1927,5714,5978,5978,0,13619,4200,19049,0,0,1,0,0,-19049
73,0,387,874,1364,1364,0,2625,2600,6415,0,0,1,0,0,-6415
74,0,99,135,2240,2240,0,2474,2600,6294,0,0,1,0,0,-6294
75,0,61,1427,1214,1427,0,2702,3000,6892,0,0,1,0,0,-6892
76,0,0,301,779,779,0,1080,2600,4900,0,0,1,0,0,-4900
77,0,548,424,2604,2604,0,3576,3400,8156,0,0,1,0,0,-8156
78,0,393,1785,3217,3217,0,5395,2600,9225,0,0,1,0,0,-9225
79,0,115,435,2998,2998,0,3548,2600,7328,0,0,1,0,0,-7328
80,0,958,2124,1440,2124,0,4522,4200,9902,0,0,1,0,0,-9902
81,0,1011,1379,4421,4421,0,6811,3000,11001,0,0,1,0,0,-11001
82,0,530,905,3694,3694,0,5129,3400,9769,0,0,1,0,0,-9769
83,141,339,1007,603,1007,141,2090,2600,5900,0,0,1,0,0,-5900
