Mon Jan 23 23:15:07 JST 2023,,,,,,,,,,,,,,,
WPSCE-5000_SEED(0),,,,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
0,0,0,0,1629,1629,0,1629,3000,5809,0,0,1,0,0,-5809
1,0,1782,565,5027,5027,0,7374,4200,12774,0,0,1,0,0,-12774
2,273,1279,1228,2240,2240,273,5020,3000,9220,0,0,1,0,0,-9220
3,0,0,1148,353,1148,0,1501,2600,5271,0,0,1,0,0,-5271
4,0,123,1579,4195,4195,0,5897,3000,10127,0,0,1,0,0,-10127
5,0,50,1386,1201,1386,0,2637,3000,6847,0,0,1,0,0,-6847
6,0,0,936,1029,1029,0,1965,3000,6155,0,0,1,0,0,-6155
7,0,0,1339,3903,3903,0,5242,2600,9012,0,0,1,0,0,-9012
8,0,0,1343,1109,1343,0,2452,2600,6242,0,0,1,0,0,-6242
9,107,198,1502,1618,1618,107,3425,4200,8815,0,0,1,0,0,-8815
10,0,0,1347,538,1347,0,1885,2600,5635,0,0,1,0,0,-5635
11,0,152,1593,4377,4377,0,6122,3000,10352,0,0,1,0,0,-10352
12,0,168,1648,1554,1648,0,3370,2600,7200,0,0,1,0,0,-7200
13,0,0,0,1664,1664,0,1664,2600,5444,0,0,1,0,0,-5444
14,0,0,26,671,671,0,697,2600,4457,0,0,1,0,0,-4457
15,0,211,351,3132,3132,0,3694,2600,7514,0,0,1,0,0,-7514
16,0,0,1230,1061,1230,0,2291,3000,6471,0,0,1,0,0,-6471
17,0,209,1844,900,1844,0,2953,3000,7123,0,0,1,0,0,-7123
18,0,0,1341,748,1341,0,2089,2600,5859,0,0,1,0,0,-5859
19,0,179,1760,3669,3669,0,5608,2600,9458,0,0,1,0,0,-9458
20,0,90,1377,3194,3194,0,4661,3000,8871,0,0,1,0,0,-8871
21,0,145,296,629,629,0,1070,2600,4840,0,0,1,0,0,-4840
22,0,0,104,385,385,0,489,3000,4679,0,0,1,0,0,-4679
23,0,225,325,1102,1102,0,1652,2600,5442,0,0,1,0,0,-5442
24,0,214,1415,1460,1460,0,3089,2600,6879,0,0,1,0,0,-6879
25,0,131,1600,607,1600,0,2338,2600,6118,0,0,1,0,0,-6118
26,0,119,464,3091,3091,0,3674,2600,7434,0,0,1,0,0,-7434
27,0,219,1779,530,1779,0,2528,2600,6318,0,0,1,0,0,-6318
28,0,166,664,688,688,0,1518,2600,5308,0,0,1,0,0,-5308
29,0,177,375,3108,3108,0,3660,2600,7450,0,0,1,0,0,-7450
30,0,96,1593,2009,2009,0,3698,2600,7528,0,0,1,0,0,-7528
31,107,124,2432,1773,2432,107,4436,3000,8616,0,0,1,0,0,-8616
32,0,120,1296,4931,4931,0,6347,2600,10147,0,0,1,0,0,-10147
33,0,175,321,2941,2941,0,3437,3000,7637,0,0,1,0,0,-7637
34,0,287,516,690,690,0,1493,2600,5293,0,0,1,0,0,-5293
35,0,225,1791,4388,4388,0,6404,3000,10634,0,0,1,0,0,-10634
36,0,221,1800,1439,1800,0,3460,3000,7650,0,0,1,0,0,-7650
37,0,296,337,1814,1814,0,2447,4600,8247,0,0,1,0,0,-8247
38,0,156,856,3114,3114,0,4126,2600,7926,0,0,1,0,0,-7926
39,0,62,259,368,368,0,689,2600,4499,0,0,1,0,0,-4499
40,0,414,1668,1106,1668,0,3188,2600,7008,0,0,1,0,0,-7008
41,0,20,1315,1537,1537,0,2872,3000,7072,0,0,1,0,0,-7072
42,0,235,229,3111,3111,0,3575,3400,8175,0,0,1,0,0,-8175
43,0,223,96,1112,1112,0,1431,2600,5231,0,0,1,0,0,-5231
44,0,389,1321,1931,1931,0,3641,3000,7831,0,0,1,0,0,-7831
45,0,224,540,2421,2421,0,3185,2600,6985,0,0,1,0,0,-6985
46,0,344,1786,4071,4071,0,6201,2600,10031,0,0,1,0,0,-10031
47,0,62,223,420,420,0,705,2600,4505,0,0,1,0,0,-4505
48,0,419,364,1500,1500,0,2283,3400,6893,0,0,1,0,0,-6893
49,0,0,249,155,249,0,404,2200,3854,0,0,1,0,0,-3854
50,0,0,850,2948,2948,0,3798,2600,7628,0,0,1,0,0,-7628
51,0,683,292,1549,1549,0,2524,3400,7114,0,0,1,0,0,-7114
52,0,218,530,2981,2981,0,3729,2600,7509,0,0,1,0,0,-7509
53,0,229,1092,1427,1427,0,2748,3400,7348,0,0,1,0,0,-7348
54,0,234,1447,1486,1486,0,3167,2600,6937,0,0,1,0,0,-6937
55,0,733,3024,1078,3024,0,4835,4200,10235,0,0,1,0,0,-10235
56,0,257,1762,3864,3864,0,5883,2600,9713,0,0,1,0,0,-9713
57,0,422,1961,857,1961,0,3240,2600,7020,0,0,1,0,0,-7020
58,0,118,694,710,710,0,1522,2600,5312,0,0,1,0,0,-5312
59,0,418,2580,953,2580,0,3951,4200,9361,0,0,1,0,0,-9361
60,0,382,1778,1788,1788,0,3948,3000,8138,0,0,1,0,0,-8138
61,112,415,2060,4417,4417,112,7004,3000,11214,0,0,1,0,0,-11214
62,0,164,230,3074,3074,0,3468,2600,7308,0,0,1,0,0,-7308
63,0,0,55,1064,1064,0,1119,2600,4929,0,0,1,0,0,-4929
64,0,466,1616,1411,1616,0,3493,2600,7293,0,0,1,0,0,-7293
65,0,460,1845,1476,1845,0,3781,2600,7591,0,0,1,0,0,-7591
66,0,391,894,1539,1539,0,2824,3000,6984,0,0,1,0,0,-6984
67,0,413,1852,4220,4220,0,6485,2600,10305,0,0,1,0,0,-10305
68,0,467,1074,8771,8771,0,10312,3000,14522,0,0,1,0,0,-14522
69,0,467,1094,1260,1260,0,2821,2600,6611,0,0,1,0,0,-6611
70,0,454,681,1004,1004,0,2139,2600,5939,0,0,1,0,0,-5939
71,0,16,176,2920,2920,0,3112,2600,6912,0,0,1,0,0,-6912
72,0,403,1803,4106,4106,0,6312,2600,10112,0,0,1,0,0,-10112
73,0,473,695,750,750,0,1918,2600,5708,0,0,1,0,0,-5708
74,0,464,1979,4408,4408,0,6851,2600,10621,0,0,1,0,0,-10621
75,0,466,702,1043,1043,0,2211,2600,5991,0,0,1,0,0,-5991
76,169,328,872,1490,1490,169,2859,3800,7839,0,0,1,0,0,-7839
77,64,581,4197,3755,4197,64,8597,3000,12827,0,0,1,0,0,-12827
78,0,585,1332,3669,3669,0,5586,2600,9376,0,0,1,0,0,-9376
79,0,64,1113,1301,1301,0,2478,3000,6688,0,0,1,0,0,-6688
80,0,519,1286,800,1286,0,2605,3000,6785,0,0,1,0,0,-6785
81,0,57,3035,2336,3035,0,5428,3800,10428,0,0,1,0,0,-10428
82,0,690,1516,1684,1684,0,3890,3000,8070,0,0,1,0,0,-8070
83,0,609,312,1071,1071,0,1992,2600,5792,0,0,1,0,0,-5792
84,0,701,980,1608,1608,0,3289,3400,7899,0,0,1,0,0,-7899
